# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Πλήρες αρχείο καταγραφής αλλαγών
buildtoolbar_popup_mat_newhedgewall				Υψηλοί αλλά αδύνατοι φράχτες. Είναι μάλλον καλλωπισμός παρά μια σοβαρή επιλογή ασφαλείας.









buildtoolbar_popup_mat_solacofloor				Δώσε στα δάπεδα των φυλακών μας μια εμφάνιση υψηλής τεχνολογίας. Ταιριάζει θαυμάσια με τους τοίχους Yutani.
buildtoolbar_popup_mat_gratefloor				Δώσε στα δάπεδα των φυλακών μας μια εμφάνιση υψηλής τεχνολογίας.
buildtoolbar_popup_mat_newcargofloor			Δώσε στα δάπεδα των φυλακών μας μια εμφάνιση κατασκευής κατά παραγγελία.
buildtoolbar_popup_mat_newironfloor				Δώσε στα δάπεδα των φυλακών μας μια εμφάνιση κατασκευής κατά παραγγελία.
buildtoolbar_popup_mat_newcheckeredfloor		Αυτά πιθανότατα θα φαίνονται ωραία στις κουζίνες ή στις Καντίνες σου.
buildtoolbar_popup_mat_snow						Είναι σαν το νερό, μόνο που είναι δροσερότερο και ομορφότερο.





buildtoolbar_popup_obj_snowyconifertree			Θα ταίριαζε καλύτερα σε χιονισμένο έδαφος.


buildtoolbar_popup_obj_palmtree					Συνήθως ξεφυτρώνουν σε χέρσα γη, αλλά τώρα μπορείς να αποφασίσεις να τα φυτέψεις όπου θέλεις.


buildtoolbar_popup_obj_bush						Δίνουν στις εξωτερικές περιοχές μια διακοσμητική νότα.

buildtoolbar_popup_obj_streetlamp				Για το φωτισμό δρόμων και διαδρόμων.

buildtoolbar_popup_obj_floodlight				Ένας ψηλός εξωτερικός φωτισμός μπορεί να καλύψει μεγάλες περιοχές όπως Αυλές.





	


buildtoolbar_popup_obj_bleachers				Κλασσικά θρανία φυλακών για να κάθονται ομάδες κρατουμένων και να σχεδιάζουν την επόμενη τους κίνηση.
buildtoolbar_popup_obj_smallbench				Για να κάθεται κόσμος πάνω τους.
buildtoolbar_popup_obj_smalltable				Για να τρώει κόσμος πάνω τους.
buildtoolbar_popup_obj_showerpillar				Για τοποθέτηση στη μέση μιας αίθουσας ντους, και για προσάρτηση μιας Κεφαλής Ντους στη κάθε πλευρά. 


buildtoolbar_popup_obj_doorMat					Ένα φτηνό λαστιχένιο χαλάκι πόρτας που μπορεί να δείχνει όμορφο μπροστά σε εισόδους.


buildtoolbar_popup_obj_guardPavilion			Τοποθέτηση σε Αυλές και σε ανοιχτές περιοχές για Φρουρούς και Ένοπλους Φρουρούς παρακολούθησης των κρατουμένων σου.\nΑνάθεσε φρουρούς μέσω του μενού Τοποθέτησης.\n -Αυξάνει το μέγεθος της Καταστολής στη συγκεκριμένη περιοχή.\n -Οι Φρουροί προφυλάσσονται από τα καιρικά φαινόμενα.
buildtoolbar_popup_obj_guardPavilionCorner		Τοποθέτηση σε γωνίες Αυλών και σε ανοιχτές περιοχές για Φρουρούς και Ένοπλους Φρουρούς παρακολούθησης των κρατουμένων σου.\nΑνάθεσε φρουρούς μέσω του μενού Τοποθέτησης.\n -Αυξάνει το μέγεθος της Καταστολής στη συγκεκριμένη περιοχή.\n -Οι Φρουροί προφυλάσσονται από τα καιρικά φαινόμενα.

buildtoolbar_popup_obj_officeChair				Μια καρέκλα για τους εργάτες του προσωπικού για να κάθονται στο κέντρο ενός Γραφείου.




















buildtoolbar_popup_obj_visitorDoor				Μια πόρτα που επιτρέπει στους επισκέπτες της φυλακής να διέρχονται, χωρίς να χρειάζεται φύλακας για να ανοίγει τη πόρτα. Φύλακες και προσωπικό μπορούν επίσης να χρησιμοποιούν αυτή τη πόρτα, αλλά όχι οι κρατούμενοι.
buildtoolbar_popup_obj_ironingBoardShort		Μια μικρότερη Σιδερώστρα.
buildtoolbar_popup_obj_fencegatestaff			Μια Πύλη που ταιριάζει όμορφα με τους Φράχτες, και που λειτουργεί όπως και μια πόρτα.
buildtoolbar_popup_obj_fencegatestandard		Μια Πύλη που ταιριάζει όμορφα με τους Φράχτες, και που λειτουργεί όπως και μια πόρτα.
buildtoolbar_popup_obj_fencegatevisitor			Μια Πύλη που ταιριάζει όμορφα με τους Φράχτες, και που λειτουργεί όπως και μια πόρτα.












buildtoolbar_popup_obj_walllight				Ένας φωτισμός στυλ καταφυγίου για τοποθέτηση σε τοίχους.
buildtoolbar_popup_obj_securedoor				Μια πόρτα σχεδιασμένη για Κελιά Απομόνωσης που διαθέτει ένα άνοιγμα σίτισης. Οι φρουροί που παραδίδουν τη τροφή μπορούν να περνούν το δίσκο διαμέσου της πόρτας, χωρίς να χρειάζεται να μπουν μέσα στο κελί.


interfacedeployment_guards                      Τοποθέτηση Φρουρών
buildtoolbar_deployment_Guards			Τοποθέτησε φύλακες στους τομείς της φυλακής σου.
	
interfacedeployment_Dogs			Τοποθέτησε Χειριστές Σκύλων
buildtoolbar_deployment_Dogs			Τοποθέτησε Χειριστές Σκύλων στους τομείς της φυλακής σου.

interfacedeployment_ArmedGuards			Τοποθέτησε Ένοπλους Φρουρούς
buildtoolbar_deployment_ArmedGuards		Τοποθέτησε Ένοπλους Φρουρούς στους τομείς της φυλακής σου.

interfacedeployment_patrols                     Τοποθέτηση Φρουρών
buildtoolbar_deployment_Patrols			Τοποθέτησε Φρουρούς στις Διαδρομές Περιπολίας της φυλακής σου.

interfacedeployment_dogpatrols                  Τοποθέτησε Χειριστές Σκύλων
buildtoolbar_deployment_DogPatrols		Τοποθέτησε Χειριστές Σκύλων στις Διαδρομές Περιπολίας της φυλακής σου.

interfacedeployment_armedpatrols                Τοποθέτησε Ένοπλους Φρουρούς
buildtoolbar_deployment_ArmedPatrols		Τοποθέτησε Ένοπλους Φρουρούς στις Διαδρομές Περιπολίας της φυλακής σου.

buildtoolbar_popup_help_Guards_1        Το εργαλείο Φρουρών σου επιτρέπει να σταθμεύσεις Φρουρούς σε ζώνες. Ένας σταθμευμένος φρουρός θα κινείται τυχαία στη ζώνη που του έχει ανατεθεί και θα εκτελεί τις οποιεσδήποτε εργασίες φρουρών στη συγκεκριμένη περιοχή (για παράδειγμα θα ανοίγουν πόρτες).\n\n
buildtoolbar_popup_help_Guards_2        ~Κάνε Αριστερό Κλικ για να αυξήσεις τον αριθμό Χειριστών Σκύλων που παρατάσσονται σε μια ζώνη. Δεξί Κλικ για αφαίρεση ενός Φρουρού.\n\n
buildtoolbar_popup_help_Guards_3        ^Συμβουλές
buildtoolbar_popup_help_Guards_4        Εάν είναι ξεκλείδωτη η Μικροδιαχείριση, θα έχετε πρόσβαση στο Χρονοδιάγραμμα Παράταξης. Αυτό σας επιτρέπει να δημιουργήσετε ένα χρονοδιάγραμμα για το πότε ανατίθενται στους φρουρούς συγκεκριμένες περιοχές. Για παράδειγμα, εάν θέλετε να υπάρχουν φρουροί στο κυλικείο μόνο κατά τη διάρκεια των γευμάτων, μπορείτε να κάνετε κλικ σε κάθε μπλοκ του χρονοδιαγράμματος που ταιριάζει με τα γεύματά σας και στη συνέχεια να μετακινήσετε το ρυθμιστικό ώρας στο συγκεκριμένο μπλοκ και να κάνετε κλικ στο κυλικείο σας για να αναθέσετε φρουρούς.
buildtoolbar_popup_help_Guards_5        - Έχετε διαθέσιμα έως και 7 διαφορετικά μπλοκ ώρας για σκοπούς προγραμματισμού, καθώς και την προεπιλεγμένη πάντα ενεργή λειτουργία, που σας επιτρέπει να δημιουργήσετε περίπλοκα προγράμματα παράταξης που να ανταποκρίνονται στις ανάγκες της φυλακής σας. 
buildtoolbar_popup_help_Guards_6        - Εάν δεν επιλέξετε κάποιο μπλοκ ώρας χειροκίνητα όταν αναθέτετε τους Χειριστές Σκύλων, το χρονοδιάγραμμα θα χρησιμοποιεί την τρέχουσα ώρα. Βεβαιωθείτε ότι έχετε επιλέξει τη σωστή ώρα όταν αλλάζετε την παράταξή σας!

buildtoolbar_popup_help_Dogs_1        Το εργαλείο Χειριστών Σκύλων σας επιτρέπει να σταθμεύσετε Χειριστές Σκύλων σε ζώνες. Ένας σταθμευμένος φρουρός θα κινείται τυχαία στη ζώνη που του έχει ανατεθεί και θα εκτελεί τις οποιεσδήποτε εργασίες φρουρών στη συγκεκριμένη περιοχή (για παράδειγμα θα ανοίγουν πόρτες).\n\n
buildtoolbar_popup_help_Dogs_2        ~Κάνε Αριστερό Κλικ για να αυξήσεις τον αριθμό Χειριστών Σκύλων που παρατάσσονται σε μια ζώνη. Δεξί Κλικ για αφαίρεση ενός Χειριστή Σκύλων.\n\n
buildtoolbar_popup_help_Dogs_3        ^Συμβουλές
buildtoolbar_popup_help_Dogs_4        Εάν είναι ξεκλείδωτη η Μικροδιαχείριση, θα έχετε πρόσβαση στο Χρονοδιάγραμμα Παράταξης. Αυτό σας επιτρέπει να δημιουργήσετε ένα χρονοδιάγραμμα για το πότε ανατίθενται στους φρουρούς συγκεκριμένες περιοχές. Για παράδειγμα, εάν θέλετε να υπάρχουν φρουροί στο κυλικείο μόνο κατά τη διάρκεια των γευμάτων, μπορείτε να κάνετε κλικ σε κάθε μπλοκ του χρονοδιαγράμματος που ταιριάζει με τα γεύματά σας και στη συνέχεια να μετακινήσετε το ρυθμιστικό ώρας στο συγκεκριμένο μπλοκ και να κάνετε κλικ στο κυλικείο σας για να αναθέσετε φρουρούς.
buildtoolbar_popup_help_Dogs_5        - Έχετε διαθέσιμα έως και 7 διαφορετικά μπλοκ ώρας για σκοπούς προγραμματισμού, καθώς και την προεπιλεγμένη πάντα ενεργή λειτουργία, που σας επιτρέπει να δημιουργήσετε περίπλοκα προγράμματα παράταξης που να ανταποκρίνονται στις ανάγκες της φυλακής σας. 
buildtoolbar_popup_help_Dogs_6        - Εάν δεν επιλέξετε κάποιο μπλοκ ώρας χειροκίνητα όταν αναθέτετε τους Χειριστές Σκύλων, το χρονοδιάγραμμα θα χρησιμοποιεί την τρέχουσα ώρα. Βεβαιωθείτε ότι έχετε επιλέξει τη σωστή ώρα όταν αλλάζετε την παράταξή σας!

buildtoolbar_popup_help_ArmedGuards_1        Το εργαλείο Ένοπλων Φρουρών σου επιτρέπει να σταθμεύσεις Φρουρούς σε ζώνες. Ένας σταθμευμένος φρουρός θα κινείται τυχαία στη ζώνη που του έχει ανατεθεί και θα εκτελεί τις οποιεσδήποτε εργασίες φρουρών στη συγκεκριμένη περιοχή (για παράδειγμα θα ανοίγουν πόρτες).\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Κάνε Αριστερό Κλικ για να αυξήσεις τον αριθμό Φρουρών που παρατάσσονται σε μια ζώνη. Δεξί Κλικ για αφαίρεση ενός Φρουρού.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Συμβουλές
buildtoolbar_popup_help_ArmedGuards_4        Εάν είναι ξεκλείδωτη η Μικροδιαχείριση, θα έχετε πρόσβαση στο Χρονοδιάγραμμα Παράταξης. Αυτό σας επιτρέπει να δημιουργήσετε ένα χρονοδιάγραμμα για το πότε ανατίθενται στους φρουρούς συγκεκριμένες περιοχές. Για παράδειγμα, εάν θέλετε να υπάρχουν φρουροί στο κυλικείο μόνο κατά τη διάρκεια των γευμάτων, μπορείτε να κάνετε κλικ σε κάθε μπλοκ του χρονοδιαγράμματος που ταιριάζει με τα γεύματά σας και στη συνέχεια να μετακινήσετε το ρυθμιστικό ώρας στο συγκεκριμένο μπλοκ και να κάνετε κλικ στο κυλικείο σας για να αναθέσετε φρουρούς.
buildtoolbar_popup_help_ArmedGuards_5        - Έχετε διαθέσιμα έως και 7 διαφορετικά μπλοκ ώρας για σκοπούς προγραμματισμού, καθώς και την προεπιλεγμένη πάντα ενεργή λειτουργία, που σας επιτρέπει να δημιουργήσετε περίπλοκα προγράμματα παράταξης που να ανταποκρίνονται στις ανάγκες της φυλακής σας. 
buildtoolbar_popup_help_ArmedGuards_6        - Εάν δεν επιλέξετε κάποιο μπλοκ ώρας χειροκίνητα όταν αναθέτετε Ένοπλους Φρουρούς, το χρονοδιάγραμμα θα χρησιμοποιεί την τρέχουσα ώρα. Βεβαιωθείτε ότι έχετε επιλέξει τη σωστή ώρα όταν αλλάζετε την παράταξή σας!

interfacedeployment_PrioritizeArea			Προτεραιότητα Περιοχής (*X)
buildtoolbar_deployment_PrioritizeGuard			Χρησιμοποιήστε αυτή την επιλογή για να δώσετε προτεραιότητα στους ανατιθέμενους φρουρούς για κάλυψη συγκεκριμένων τομέων γύρω από τη φυλακή σας. Αν έχετε έλλειψη προσωπικού, οι φρουροί θα προσπαθήσουν να καλύψουν πρώτα τις περιοχές προτεραιότητας. Είναι δυνατές δύο προτεραιότητες "Υψηλή" (>>) και "Εξαιρετικά Υψηλή" (>>>).

interfacedeployment_BluePatrol				Μπλε Περιπολία
buildtoolbar_deployment_BluePatrol			Οι έγχρωμες διαδρομές περιπολιών σας επιτρέπουν να κάνετε επικάλυψη και να αναθέτετε ξεχωριστούς φρουρούς σ' αυτές. Κάντε κλικ και σύρετε για δημιουργία διαδρομής Μπλε Περιπολίας. Κάντε δεξί κλικ και σύρετε για κατάργηση μιας διαδρομής Μπλε περιπολίας. Χρησιμοποιήστε τα κουμπιά Τοποθέτησης Φρουρών για να προσθέσετε φρουρούς σε μια διαδρομή περιπολίας.

interfacedeployment_MagentaPatrol			Κόκκινη Περιπολία
buildtoolbar_deployment_MagentaPatrol			Οι έγχρωμες διαδρομές περιπολιών σας επιτρέπουν να κάνετε επικάλυψη και να αναθέτετε ξεχωριστούς φρουρούς σ' αυτές. Κάντε κλικ και σύρετε για δημιουργία διαδρομής Κόκκινης Περιπολίας. Κάντε δεξί κλικ και σύρετε για κατάργηση μιας διαδρομής Κόκκινης περιπολίας. Χρησιμοποιήστε τα κουμπιά Τοποθέτησης Φρουρών για να προσθέσετε φρουρούς σε μια διαδρομή περιπολίας.

interfacedeployment_PrioritizePatrol			Προτεραιότητα Περιπολίας
buildtoolbar_deployment_PrioritizePatrol		Χρησιμοποιήστε αυτή την επιλογή για να δώσετε προτεραιότητα στους ανατιθέμενους φρουρούς για κάλυψη συγκεκριμένων τομέων γύρω από τη φυλακή σας. Αν έχετε έλλειψη προσωπικού, οι φρουροί θα προσπαθήσουν να καλύψουν πρώτα τις περιοχές προτεραιότητας. Είναι δυνατές δύο προτεραιότητες "Υψηλή" (>>) και "Εξαιρετικά Υψηλή" (>>>).

buildtoolbar_popup_filter_title                 Λίστα Φίλτρων
buiildtoolbar_popup_filter_toggle               Κάντε κλικ στο κουμπί για εναλλαγή
buildtoolbar_popup_filter_default               Προεπιλογή
buildtoolbar_popup_filter_az                    A-Z
buildtoolbar_popup_filter_owned                 Κάτοχος
buildtoolbar_popup_filter_costhighlow           Κόστος (Υψηλό-Χαμηλό)
buildtoolbar_popup_filter_costlowhigh           Κόστος (Υψηλό-Χαμηλό)
buildtoolbar_popup_filter_indooroutdoor         Εσωτερικά-Εξωτερικά
buildtoolbar_popup_filter_outdoorindoor         Εσωτερικά-Εξωτερικά
buildtoolbar_popup_filter_quantity               Κατεχόμενη Ποσότητα
buildtoolbar_popup_filter_byroom                Ανά Δωμάτιο






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							ΔΙΠΛΟ-ΚΛΙΚ: Μετακίνηση Αντικειμένου

double_click_add_door							Διπλό Αριστερό Κλικ για να προσθέσετε πόρτες.

codex_option_bureaucracyresearched				Εξερευνημένη Γραφειοκρατία
codex_tooltip_bureaucracyresearched				Ξεκινήστε ένα νέο παιγνίδι με ολόκληρο το δέντρο Γραφειοκρατίας πλήρως εξερευνημένο.

codex_option_jungle						Σενάριο Ζούγκλας
codex_tooltip_jungle						Ξεκινήστε ένα σενάριο έναρξης σε μια περιοχή που μοιάζει με πυκνή ζούγκλα.

codex_option_snowy						Χιονισμένο Σενάριο
codex_tooltip_snowy						Ξεκινήστε ένα σενάριο έναρξης σε μια περιοχή καλυμμένη με χιόνι.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Πλένεται

action_Stretching								Ασκείται
action_PlayChess								Παίζει Σκάκι


plant_tree_location								Φύτευση Δέντρου σε *X

report_intake_cat_SuperMax							Υπερύψιστη

interface_undo							Ξεκάνω

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Αποτυχία αποθήκευσης φυλακής
codex_changelog_next                            Επόμενο >
codex_changelog_prev                            < Προηγούμενο
codex_credits                                   Εύσημα

codex_options_screenshotmode					Λειτουργία Στιγμιότυπου Οθόνης
codex_tooltip_screenshotmode					Όταν βρίσκεστε σε Λειτουργία Στιγμιότυπου Οθόνης, κρατήστε πατημένο το πλήκτρο [*K] και πατήστε [*E] για να ανοιγοκλείσετε ολόκληρη τη διεπαφή χρήστη και το HUD.
codex_sso_content_message						Έχετε κάνει επιτυχώς την εγγραφή σας σε έναν Λογαριασμό Paradox.\n\nΓια να σας ευχαριστήσουμε, τώρα έχουν ξεκλειδωθεί νέα Κιόσκια Φρουρών στο παιγνίδι! Βρείτε στο μενού Αντικειμένων.
codex_options_borderless_windowed               Χωρίς πλαίσια
codex_options_monitor                           Οθόνη


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Λειτουργία Εμφάνισης 
codex_options_borderless_fullscreen		Πλήρης Οθόνη Χωρίς-Πλαίσια
codex_options_display_monitor 			Οθόνη Εμφάνισης 
codex_options_windowed_resolution               Ευκρίνεια Παράθυρου

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Τοίχος (Αρτ Ντεκό)
material_blueWall								Αριστοκρατικός τοίχος (Μπλε λωρίδες)
material_burgundyWall							Αριστοκρατικός τοίχος (Βουργουνδίας)
material_greenWall								Αριστοκρατικός τοίχος (Πράσινο)
material_orientalWall							Τοίχος (Ανατολίτικο)
material_cushionedwall							Τοίχος (Με μαξιλάρι)

material_sandstone								Αμμόπετρα 
material_limestonefloor							Ασβεστόλιθος 
material_blueCarpet								Χαλί (Μπλε)
material_redCarpet								Χαλί (Κόκκινο)
material_brownCarpet							Χαλί (Καφέ)
material_paddedfloor							Καπιτονέ
material_grassstones							Γρασίδι & Πέτρες
material_grasscornerfloor						Γωνία γρασιδιού
material_grasscornerfloor1						Γωνία γρασιδιού
material_grasscornerfloor2						Γωνία γρασιδιού
material_grasscornerfloor3						Γωνία γρασιδιού
material_lunarfloor								Σεληνιακό

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Δέντρο (Τρομακτικό)
object_cactustree								Δέντρο (Κάκτος)
object_sakuratree								Δέντρο (Σάκουρα)
object_plantcactus								Φυτό (Κάκτος)
object_tyrestack								Στοίβα ελαστικών
object_lamp										Φως (Λάμπα)
object_bathroomSink								Νιπτήρας μπάνιου
object_bathroomHandDryer						Στεγνωτήρας χεριών
object_chestOfDrawers							Συρταριέρα
object_woodenStool								Ξύλινο σκαμνί
object_woodenTable								Ξύλινο τραπέζι			
object_bucket									Κάδος
object_shortbookcase							Βιβλιοθήκη (Κοντή)
object_outdoorTable								Τραπέζι εξωτερικού χώρου
object_mooseHead								Κεφάλι άλκης
object_toiletSign								Ταμπέλα (Τουαλέτες)
object_rightArrowSign							Ταμπέλα (Βέλος δεξιά)
object_leftArrowSign							Ταμπέλα (Βέλος αριστερά)
object_infirmarySign							Ταμπέλα (Αναρρωτήριο)
object_canteenSign								Ταμπέλα (Κυλικείο)
object_showerSign								Ταμπέλα (Ντους)
object_armourySign								Ταμπέλα (Οπλοστάσιο)
object_jaildoorred								Πόρτα φυλακής (Κόκκινες)
object_jaildoorgrey								Πόρτα φυλακής (Γκρι)
object_jaildoororange							Πόρτα φυλακής (Πορτοκαλί)
object_jaildoorYellow							Πόρτα φυλακής (Κίτρινες)
object_jaildoorlargered							Μεγάλη πόρτα φυλακής (Κόκκινες)
object_jaildoorlargegrey						Μεγάλη πόρτα φυλακής (Γκρι)
object_jaildoorlargeorange						Μεγάλη πόρτα φυλακής (Πορτοκαλί)
object_jaildoorlargeyellow						Μεγάλη πόρτα φυλακής (Κίτρινες)
object_coatstand								Καλόγερος παλτό
object_dogbowl									Μπολ σκύλου
object_footbridge                               Γεφυράκι πεζών
object_footbridgesteel                          Ατσάλινο γεφυράκι πεζών
object_footbridgeb                              Γεφυράκι πεζών Β
object_footbridgesteelb                         Ατσάλινο γεφυράκι πεζών Β
object_windowclassy								Παράθυρο αριστοκρατικό
object_windowclassyLarge						Παράθυρο αριστοκρατικό (Μεγάλο)
object_gravestone								Ταφόπλακα
object_psychiatrist								Ψυχίατρος
object_orderly									Φροντιστής
object_rorschachTest							Τεστ Ρόρσαχ
object_anatomyModel								Μοντέλο ανατομίας
object_flipboard								Πίνακας σημειώσεων
object_medicineCabinetPsych						Ντουλάπι φαρμάκων
object_leatherchair								Δερμάτινη καρέκλα
object_leatherSofa								Δερμάτινος καναπές
object_parkbench								Παγκάκι (Πάρκο)
object_fencegateguard							Φράχτης πύλης (Φρουρός)
object_oaktable									Τραπέζι (Βελανιδιά)
object_oakbench									Παγκάκι (Βελανιδιά)
