
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Нова
interfacedeployment_deathrowzone                Лише смертники
interfacedeployment_unlockedzone                Розблоковано
interfacedeployment_zonered                     Червоне крило
interfacedeployment_zonegreen                   Зелене крило
interfacedeployment_zoneblue                    Синє крило
interfacedeployment_zoneyellow                  Жовте крило
interfacedeployment_zoning                      Зонування
interfacedeployment_accessonly					Лише для доступу
interfacedeployment_prisonerdirection			Напрямок в'язня
interfacedeployment_staffdirection				Напрямок інших

interfacelogistics_jobs                         Виправні роботи
interfacelogistics_removejobs                   Видалити роботу
interfacelogistics_targettingfood               Розподіл – харчування
interfacelogistics_targettinglaundry            Розподіл – пральня
interfacelogistics_roomquality                  Якість кімнати
interfacelogistics_weathermap                   Температура

interfaceplanning_wall							Стіни
interfaceplanning_object						Об'єкти
interfaceplanning_route							Стежки
interfaceplanning_clear							Очистити
interfaceplanning_zone1							Зона 1
interfaceplanning_zone2							Зона 2
interfaceplanning_zone3							Зона 3
interfaceplanning_zone4							Зона 4
interfaceplanning_zone5							Зона 5
interfaceplanning_zone6							Зона 6
interfaceplanning_zone7							Зона 7
interfaceplanning_zone8							Зона 8
interfaceplanning_zone9							Зона 9

interfacecontraband_source                      Небезпеки
interfacecontraband_day                         -24 години
interfacecontraband_week                        -7 днів
interfacecontraband_alltime                     -30 днів
interfacecontraband_stolenfrom					Де вкрадено
interfacecontraband_informants                  Інформатори
interfacecontraband_gangs                       Банди

interfacecallout_fireengine                     Пожежна машина
interfacecallout_riotpolice                     Спецпризначенці
interfacecallout_armedpolice                    Озброєна поліція
interfacecallout_paramedics                     Фельдшери
interfacecallout_soldiers                       Солдати

interfaceclone_copy                             Копіювати
interfaceclone_paste                            Вставити
interfaceclone_cancel                           Відміна швидкого будівництва
interfaceclone_clone                            Клонування

interfacetopbar_todo							Список справ
interfacetopbar_balance							Банк *B
interfacetopbar_budget							Рух готівки *C
interfacetopbar_income							Прибуток *I
interfacetopbar_expenses						Витрати *C
interfacetopbar_day								ДЕНЬ *D

interfacetopbar_title_balance					Баланс на рахунку
interfacetopbar_title_budget					Щоденний рух готівки
interfacetopbar_title_cctv						Відеоспостереження
interfacetopbar_title_day						День
interfacetopbar_title_prisoners					В'язні
interfacetopbar_title_guards					Охоронці
interfacetopbar_title_tension                   Небезпека
interfacetopbar_title_weathericon               Погода

interfacetopbar_tooltip_balance					Скільки у тебе грошей в банку.\n\nНатисни, щоб отримати ще кошти через список Грантів.
interfacetopbar_tooltip_budget					Щоденна сума отриманих коштів, виходячи з поточного прибутку та витрат.\n\nНатисни, щоб переглянути детальний фінансовий звіт про прибуток та витрати.
interfacetopbar_tooltip_cctv					Кількість наявних камер відеоспостереження та моніторів.
interfacetopbar_tooltip_day						Скільки ти вже керуєш цією в'язницею.
interfacetopbar_tooltip_prisoners				Кількість наявних та можливих в'язнів.
interfacetopbar_tooltip_guards					Кількість наявних охоронців у в'язниці.
interfacetopbar_tooltip_tension                 Загальний рівень небезпеки у в'язниці, за даними начальника охорони.
interfacetopbar_tooltip_weathericon             Поточна погода та температура

interfacetopbar_tooltip_recenttransactions      Останні транзакції.

interfacetopbar_tooltip_gametime                Загальний час гри: *X год., *Y хв., *Z сек.

interfacetopbar_tooltip_totalguards             Всього охоронців: *X
interfacetopbar_tooltip_guardincapacitated      Недієздатних: *X
interfacetopbar_tooltip_guardstationed          На посту: *X
interfacetopbar_tooltip_guardpatrolling         В патрулі: *X
interfacetopbar_tooltip_guardavailable          В наявності: *X
interfacetopbar_tooltip_guardresting            Відпочивають: *X
interfacetopbar_tooltip_guardonbreak            На перерві: *X
interfacetopbar_tooltip_guardwantsabreak        (Потребують перерви: *X)
interfacetopbar_tooltip_guardactive             (Реагують: *X)
interfacetopbar_tooltip_guarddoingjob           Виконують роботу: *X
interfacetopbar_tooltip_idle                    (Байдикують: *X)
interfacetopbar_tooltip_guardsstriking          ВИЙШЛИ НА СТРАЙК: *X

interfacetopbar_tooltip_regularguards			Звичайних охоронців: *X
interfacetopbar_tooltip_armedguards             Озброєних охоронців: *X
interfacetopbar_tooltip_dogs                    Кінологів: *X
interfacetopbar_tooltip_snipers					Снайперів: *X

interfacetopbar_unlimitedfunds                  НЕОБМЕЖЕНІ КОШТИ
interfacetopbar_cheatsenabled					ДОЗВОЛИТИ ЧИТ-КОДИ

interfacetopbar_budget_moneyin					Прибуток: *M$  на добу
interfacetopbar_budget_moneyout					Витрати: *M$  на добу
interfacetopbar_budget_cantgonegative           Не можна мати негативний рух готівки (тобто витрачати більш, ніж отримувати), доки ти не наймеш Бухгалтера для керування фінансами.

interfacetopbar_prisoners_types					Наразі в'язнів: *X
interfacetopbar_prisoners_capacity              Рекомендована місткість зони суворого режиму: *X
interfacetopbar_prisonercells_shared            Місткість загальних камер: *X
interfacetopbar_prisonercells_unlocked          Місткість незаблокованих секторів: *X
interfacetopbar_prisonercells_minseconly        Місткість зони загального режиму: *X
interfacetopbar_prisonercells_medseconly        Місткість зони середнього режиму: *X
interfacetopbar_prisonercells_maxseconly        Місткість зони суворого режиму: *X
interfacetopbar_prisonercells_protectedonly     Місткість зони захищеної ізоляції: *X
interfacetopbar_prisonercells_supermaxonly      Місткість зони надсуворого режиму: *X
interfacetopbar_prisonercells_deathrowonly      Місткість камер смертників: *X
interfacetopbar_prisonercells_staffonly         Немає в наявності: *X
interfacetopbar_prisoners_nocells               В'язнів, що не можуть отримати камеру: *X
interfacetopbar_prisonercells_parents           Батьківська місткість: *X

interfacetopbar_cctv_current					Наразі працює камер спостереження: *C
interfacetopbar_cctv_cap						Місць для камер спостереження: *C

interfacetopbar_tension_currentlevel            Рівень небезпеки *X
interfacetopbar_tension_currentlevellow         Низький
interfacetopbar_tension_currentlevelmedium      Середній
interfacetopbar_tension_currentlevelhigh        Високий
interfacetopbar_tension_increasing              та збільшується
interfacetopbar_tension_decreasing              та зменшується
interfacetopbar_tension_description             ФАКТОРИ:
interfacetopbar_tension_happyprisoners          - В'язнів, які кажуть, що з ними добре обходяться: *X
interfacetopbar_tension_unhappyprisoners        + В'язнів, які мають серйозні скарги: *X
interfacetopbar_tension_lockedupprisoners       + В'язнів, яких зачинено в камерах або карцерах: *X
interfacetopbar_tension_riotingprisoners        + В'язнів, що бунтують: *X
interfacetopbar_tension_wellfedprisoners        - В'язнів, яких добре годують: *X
interfacetopbar_tension_suppressedprisoners     = Слухняних (примушених до порядку) в'язнів: *X
interfacetopbar_tension_activeriotguards        + Спецпризначенців на території: *X
interfacetopbar_tension_activearmedguards       + Озброєних охоронців на службі: *X
interfacetopbar_tension_recentdeaths            + Людей вбито за останній час: *X
interfacetopbar_tension_recentsearches          + В'язнів, яких безпідставно обшукали за останній час: *X
interfacetopbar_tension_angrygangmembers        + ЧЛЕНІВ БАНДИ ЛЮТУЮТЬ (через покарання лідера): *X
interfacetopbar_tension_recentpunishments       = (СТРИМАННЯ) Покарань за останній час: *X
interfacetopbar_tension_recentcalmed            + В'язнів, яких вгамували за останній час: *X
interfacetopbar_tension_staffmorale_low			+ Моральний стан працівників низький
interfacetopbar_tension_staffmorale_high		- Моральний стан працівників високий
interfacetopbar_tension_staffonstrike           + Ваші працівники страйкують!
interfacetopbar_tension_dangerzone				+ ЗОНА НЕБЕЗПЕКИ!

interfacetopbar_staffmorale_title				МОРАЛЬНИЙ СТАН ПРАЦІВНИКІВ
interfacetopbar_staffmorale_happystaff			+ Працівників задоволені роботою: *X
interfacetopbar_staffmorale_unhappystaff		- Працівників мають серйозні скарги: *X
interfacetopbar_staffmorale_injuredstaff		- Працівників травмовані: *X
interfacetopbar_staffmorale_staffdeaths			- Працівників померли на робочому місці: *X
interfacetopbar_staffmorale_staffpayverygood	+ Працівникам надзвичайно добре платять
interfacetopbar_staffmorale_staffpaygood		+ Працівникам добре платять
interfacetopbar_staffmorale_staffpaybad 		- Працівникам недостатньо платять

interfacecontrol_mainmenu                       Головне меню (Esc)
interfacecontrol_mainmenu_tooltip               Перемикання головного меню (Нова/Завантажити/Зберегти/Вихід тощо)
interfacecontrol_todo                           Список справ
interfacecontrol_todo_tooltip                   Перемикання списку справ
interfacecontrol_research                       Бюрократія
interfacecontrol_research_tooltip               Відкривається екран Бюрократія, де адміністратори можуть розблоковувати нові елементи, типи працівників та об'єкти.
interfacecontrol_grading                        Показники в'язниці
interfacecontrol_grading_tooltip                Відкривається екран Показники в'язниці, де показані загальні показники успішності роботи.

interface_confirmlandbuy                        Купити цю ділянку землі за *X$?
interface_loadconfirm                           Завантажити цю карту? Всі незбереженні зміни будуть втрачені.
interface_saveconfirm                           Зберегти з цим ім'ям файлу? Існуючі дані будуть перезаписані.

interface_landbuylabel                          *X м x *Y м. Загальна площа – *A кв. м. *C

interface_action_dismantle                      Демонтувати
interface_action_dump                           Позбутися
interface_action_repair                         Ремонт
interface_action_medicalbay                     Медпункт
interface_action_search                         Пошук
interface_action_searchcell                     Обшук камери
interface_action_searchcellblock                Обшук блоку
interface_action_searchtoilets                  Шукати туалети
interface_action_sack                           Звільнити:
interface_action_dooropen                       Відчинити двері
interface_action_doormodenormal                 Режим дверей: звичайний
interface_action_doormodelockedshut             Зачинено
interface_action_doormodelockedopen             Відчинено
interface_action_switchon                       Увімкнути
interface_action_switchoff                      Вимкнути
interface_action_sellobject                     Продати об'єкт
interface_action_dismiss                        Розпустити
interface_action_connect                        Підключити
interface_action_clearconnections               Відмінити підключення
interface_action_servoopen                      Привід дверей: відчинення
interface_action_servoclose                     Привід дверей: зачинення
interface_action_follow                         Дотримуватися
interface_action_rapsheet                       Показати протокол

interface_contents_container                    Зміст: *X
interface_contents_stack                        Зміст: *X x *Y

interface_skip                                  ПРОПУСТИТИ

interface_error_riotmove                        Не можна увійти: бунт

interface_foundationsinprogress                 Процес будівництва фундаменту
riot_underway                                   ЗАРАЗ БУНТ
riot_status_prisoners                           В'язнів, що бунтують: *X
shakedown_underway                              ЗАРАЗ ШМОН
shakedown_found                                 Знайдено:

gameover_caption                                Натисни ESC для продовження

sector_jobs_max                                 Макс. робочих місць: *X
sector_jobs_qualified                           Кваліфікованих в'язнів: *X
sector_jobs_required                            (Необхідно: *X)
sector_noaccess                                 НЕМАЄ ДОСТУПУ
sector_insecure                                 НЕБЕЗПЕЧНО


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Перевірка сумісності з обладнанням
hardware_compat_message					З вашого дозволу, ми хотіли б отримати такі дані про комп'ютер.\n\nЦя інформація є абсолютно конфіденційною і дозволить нам забезпечити сумісність гри Prison Architect з більшістю комп'ютерів.\n\nДякуємо!
hardware_compat_accept					Прийняти
hardware_compat_decline					Відхилити

connectionmenu_connect                  Підключити
connectionmenu_disconnect               Відключити
connectionmenu_clear                    Очистити
connectionmenu_done                     Готово


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Будівництво
buildtoolbar_reports                    Звіти
buildtoolbar_bangup                     По камерах
buildtoolbar_lockdown                   Зачинення
buildtoolbar_shakedown                  Шмон
buildtoolbar_weaponsfree                Необмежений вогонь

buildtoolbar_tooltip_reports			Інформацію про в'язнів, персонал, прибутки, гранти тощо можна переглянути у вікні Звіти.
buildtoolbar_tooltip_bangup				Відіслати всіх (бажаючих) в'язнів по камерах. Якщо тримати їх там надто довго, вони будуть розлючені.
buildtoolbar_tooltip_lockdown			Негайне зачинення всіх дверей у в'язниці.
buildtoolbar_tooltip_shakedown          Невідкладний обшук всіх камер. Триває довгий час і до біса дратує в'язнів.
buildtoolbar_tooltip_weaponsfree        Дозвіл озброєним охоронцям використовувати летальну зброю. Снайперам вже не потрібен попереджувальний постріл перед пострілом на поразку.
buildtoolbar_tooltip_nostrike           Недоступно під час страйків працівників.

buildtoolbar_cost						Вартість: *C$
buildtoolbar_cost_sqrft					Вартість: *C$ за кв. м
buildtoolbar_wages						Зарплатня: *W$ на добу
buildtoolbar_upkeep						Утримання: $*W на добу
buildtoolbar_outdoor					Лише надворі
buildtoolbar_indoor						Лише в приміщенні
buildtoolbar_walk_speed					Швидкість руху: *S
buildtoolbar_walk_speed_slow			Повільний
buildtoolbar_walk_speed_norm			Звичайний
buildtoolbar_walk_speed_fast			Швидкий
buildtoolbar_locked                     ЗАБЛОКОВАНО
buildtoolbar_locked_research			ЗАБЛОКОВАНО (тобі треба *B)
buildtoolbar_locked_administrator		ЗАБЛОКОВАНО (треба *B)
buildtoolbar_room						Кімната

buildtoolbar_electrical                 - Живлення від електромережі
buildtoolbar_highpower                  - Велика потужність
buildtoolbar_water                      - Необхідне водопостачання
buildtoolbar_wired                      - Дротове з'єднання з іншими об'єктами
buildtoolbar_modcontent                 - Мод

buildtoolbar_popup_foundations			Будуй або руйнуй будівлі задля дизайну своєї в'язниці.
buildtoolbar_popup_construction			Різні типи підлог та стін.
buildtoolbar_popup_planning				Плануй в'язницю ще до початку робіт з будівництва.
buildtoolbar_popup_designation			Призначай певні функції для різних зон.
buildtoolbar_popup_objects				Встановлюй корисні об'єкти у в'язниці.
buildtoolbar_popup_overlays				Візуально визначай недоліки планування в'язниці.
buildtoolbar_popup_utilities			Водопровід та електропостачання.
buildtoolbar_popup_staff				Можливість наймати професіоналів для роботи у в'язниці.
buildtoolbar_popup_deployment			Призначай працівників у різні зони в'язниці.
buildtoolbar_popup_logistics            Призначай в'язнів на роботу на території в'язниці. Вручну керуй призначеннями в їдальню та пральню.
buildtoolbar_popup_research				Розблокування нових можливостей для в'язниці.
buildtoolbar_popup_emergencies			Викликай аварійну службу, якщо щось пішло шкереберть.
buildtoolbar_popup_clone				Копіюй існуючі будівлі.
buildtoolbar_popup_properties			Ось тут більше розтовкмачено.
buildtoolbar_popup_contraband           Показати джерела контрабанди та всю виявлену контрабанду у в'язниці. Дані про секретних інформаторів також тут.
buildtoolbar_popup_grading              Переглянути загальні показники в'язниці за 4 головними характеристиками: покарання, реформа, безпека та здоров'я. Окрім того, тут показано рівень рецидивної злочинності у в'язниці.
buildtoolbar_popup_prefabs              Скопіюй існуючі частини в'язниці або розмісти попередньо визначені приміщення.
buildtoolbar_popup_room_cell			Тут мешкають в'язні.
buildtoolbar_popup_room_holdingcell		Тут перебувають новачки, доки для них знайдуть камеру.
buildtoolbar_popup_room_solitary		Персональні хороми для найзапекліших.
buildtoolbar_popup_room_dormitory       Приміщення зі змінним розміром для кількох в'язнів. Чим більше приміщення, тим більше в'язнів воно може вмістити.
buildtoolbar_popup_room_familycell      Тут мешкають в'язні з дітьми.
buildtoolbar_popup_room_sharedcell      Камера сумісного перебування для кількох в'язнів. Вміщує до 8 осіб.
buildtoolbar_popup_room_canteen			Тут хлопці трапезують та ведуть світські бесіди.
buildtoolbar_popup_room_kitchen			Місце, де кухарі готують їжу для в'язнів.
buildtoolbar_popup_room_shower			Тут в'язні приймають душ, чепуряться та позбавляються вошей.
buildtoolbar_popup_room_yard			Декілька годин на добу в'язні бачать сонце під пильним оком снайперів на вежах.
buildtoolbar_popup_room_storage			Тут зберігаються матеріали, необхідні для життя в'язниці.
buildtoolbar_popup_room_deliveries		Тут вивантажуються товари, продукти, в'язні та інший мотлох.
buildtoolbar_popup_room_garbage			Звідси забирають сміття.
buildtoolbar_popup_room_execution		Тут в'язні помирають.
buildtoolbar_popup_room_workshop		Тут в'язні помирають від нудьги, виробляючи однакові номерні знаки.
buildtoolbar_popup_room_security		Контора охорони.
buildtoolbar_popup_room_office			Канцелярія для канцелярських щурів.
buildtoolbar_popup_room_medicalward		Робоче місце для медиків.
buildtoolbar_popup_room_morgue			Сюди надсилають мертвих в'язнів и працівників.
buildtoolbar_popup_room_commonroom		Тут в'язні можуть відпочити та розважитись.
buildtoolbar_popup_room_kennel          Тут мешкають собаки.
buildtoolbar_popup_room_chapel          Що трапляється, коли чиновники збираються та починають турбуватися про духовність в'язнів? «Багатоконфесійна молитовна кімната» – ось що. Ми кличемо її просто – Каплиця.
buildtoolbar_popup_room_paroleroom      В'язні мають право на умовно-дострокове звільнення, коли мине 50 та 75 відсотків їхнього терміну ув'язнення. В цій кімнаті їхню долю вирішують два начальники – Начальник в'язниці та Начальник охорони.\n\nУвага. Рекомендується підвищена безпека. В'язні, чиє умовно-дострокове звільнення відхиляють, дуже засмучуються.
buildtoolbar_popup_room_library         До в'язниці буде надіслано коробки з уживаними книгами з різних куточків країни. В'язні мають розташувати ці книги на полицях.
buildtoolbar_popup_room_intake          Сюди в'язні потрапляють одразу після прибуття.
buildtoolbar_popup_room_nursery         Кімната розваг для в'язнів з дітьми.
buildtoolbar_popup_room_shop            В магазинах в'язні можуть витратити свої гроші, зароблені тяжкою працею, щоб задовольнити свій потяг до розкоші. Також можна придбати предмети гігієни, їжу та розваги. Ви отримаєте гроші за кожен продаж, а також щоденну комісію за всі продані товари.

buildtoolbar_popup_obj_bed				Не надто м'яка, не надто жорстка – те що треба. Ну добре, зажорстка й замала.
buildtoolbar_popup_obj_toilet			Базове право людини (як вважають психи).
buildtoolbar_popup_obj_table			Корисна річ, особливо якщо є стілець.
buildtoolbar_popup_obj_chair			Корисна річ, особливо якщо є стіл.
buildtoolbar_popup_obj_bench			На цьому можна сидіти.
buildtoolbar_popup_obj_electricchair	2000 вольт правосуддя.
buildtoolbar_popup_obj_jaildoor			В'язні мають залишатися там, де вони перебувають.
buildtoolbar_popup_obj_jaildoorlarge	Натовп в'язнів має залишатися там, де він перебуває.
buildtoolbar_popup_obj_door				Просто двері.
buildtoolbar_popup_obj_solitarydoor		Кремезні двері, які не подолає навіть найміцніший в'язень.
buildtoolbar_popup_obj_staffdoor		Зачинені двері, які може відкрити будь-який працівник, не лише охорона.
buildtoolbar_popup_obj_window			Можна побачити частину сонця.
buildtoolbar_popup_obj_windowlarge		Можна побачити сонце повністю.
buildtoolbar_popup_obj_tree				На нас лежить почесний обов'язок – не допустити глобального потепління.
buildtoolbar_popup_obj_light			В'язнів треба бачити цілодобово.
buildtoolbar_popup_obj_cooker			Розкіш гарячої їжі.
buildtoolbar_popup_obj_fridge			Не дозволяє харчам зіпсуватися.
buildtoolbar_popup_obj_bin				Коли справа стосується контрабанди, не можна забувати про охайність.
buildtoolbar_popup_obj_sink				Всі працівники мають мити руки. Якщо підключити гарячу воду, робота піде швидше.
buildtoolbar_popup_obj_servingtable		Час сервірувати стіл!
buildtoolbar_popup_obj_officedesk		Працівники змушені багато писати. Новенький письмовий стіл без сумніву стане в нагоді.
buildtoolbar_popup_obj_filingcabinet	Записи мають зберігатися в порядку.
buildtoolbar_popup_obj_morgueslab		Треба віддати останню шанобу мерцям.
buildtoolbar_popup_obj_drain			Щоб вода не накопичувалася на підлозі.
buildtoolbar_popup_obj_sprinkler		Автоматично розприскую воду навколо у випадку пожежі.
buildtoolbar_popup_obj_metaldetector	Це допоможе знайти контрабанду у в'язнів, якщо вони пройдуть крізь цю штуку. Поряд має буди охорона, щоб вилучити заборонені предмети.
buildtoolbar_popup_obj_weightsbench		Спорт дарує в'язням щастя.
buildtoolbar_popup_obj_tv				В'язні з радістю тупіють, переглядаючи телевізор. Має бути місце, де в'язні могли б дивитися телевізор.
buildtoolbar_popup_obj_largetv			Чим більше телевізор, тим якісніше процес отупіння. Має бути місце, де в'язні могли б дивитися телевізор.
buildtoolbar_popup_obj_pooltable		Граючи в більярд, хлопці уявляють себе в Лас-Вегасі.
buildtoolbar_popup_obj_dismantleobject	Видалення об'єкту з в'язниці.
buildtoolbar_popup_obj_altar            Швидка доставка молитви за місцем призначення (на ваш вибір).
buildtoolbar_popup_obj_pews             Місця для вірян. Виготовлені з найтвердіших та найнезручніших порід дерева.
buildtoolbar_popup_obj_prayermat        Захищає в'язнів від брудної підлоги під час таїнства.
buildtoolbar_popup_obj_guardtower       Вежа, з якої снайпери, яких треба наймати окремо, можуть спостерігати за в'язницею.

buildtoolbar_popup_staff_guard			Тримають в'язнів ближче до камери та подалі від проблем.
buildtoolbar_popup_staff_armedguard     Зазвичай в'язні не палають бажанням нападати на хлопців, у чиїх руках зброя.\n\nЗверни увагу на те, що кожен озброєний охоронець потребую власної шафки в Збройовій палаті.
buildtoolbar_popup_staff_doctor			Автоматично ставить на ноги всіх поранених – і охоронців, і в'язнів. Всіх.
buildtoolbar_popup_staff_cook			Годує в'язнів харчами, які вони власноруч і приготували.
buildtoolbar_popup_staff_gardener		Газони мають бути доглянутими.
buildtoolbar_popup_staff_janitor		Всередині в'язниці має бути чистота та порядок. Також може прати.

buildtoolbar_popup_uts_powerstation		Генерує електроенергію для в'язниці.
buildtoolbar_popup_uts_capacitor		Збільшує обсяг електроенергії, якщо розташувати біля генератора.
buildtoolbar_popup_uts_electricalcable	Розподіляє електроенергію по території в'язниці.
buildtoolbar_popup_uts_powerswitch		Перемикає подачу електроенергії на підключений кабель.\n\nПрава кнопка миші вмикає та вимикає.
buildtoolbar_popup_uts_waterpumpstation	Забезпечує в'язницю водою.
buildtoolbar_popup_uts_pipevalve		Перемикає постачання води в приєднану трубу.
buildtoolbar_popup_uts_pipelarge		Розподіляє великі обсяги води по території в'язниці під високим тиском. Навряд чи хтось погодиться вибиратися на волю через п'ять сотень метрів лайна.\n\nУвага. Не використовується для підключення напряму до раковин, душових тощо – надто високий тиск. Для цього краще використовувати малу трубу.
buildtoolbar_popup_uts_pipesmall		Використовується для підключення туалетів, душових, раковин та іншої сантехніки до великих труб. Тиск є набагато нижчим, і він дедалі зменшуватиметься, доки не стане надто низьким.
buildtoolbar_popup_uts_cctv				За в'язницею можна слідкувати, не розташовуючи охоронців у кожному кутку.\n\nДля цього достатньо підключити Монітор до камери відеоспостереження.
buildtoolbar_popup_uts_cctvmonitor		Призначено для встановлення в Кімнаті охорони та керується Охоронцем. Здійснює дистанційний контроль за камерами спостереження по всій в'язниці.\n\nОбери інструмент Підключити, щоб підключити цей монітор до камер.\n\nУвага. Одночасно можна переглядати максимум вісім камер. Якщо підключити більше камер, монітор буде поступово переходити від однієї камери до іншої і ти не зможеш бачити всю в'язницю.
