# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Повний опис змін
# Materials - Names
# =============================================================================

material_newmud									Багнюка
material_yutaniwall								Стіна (футуристична)










material_solacofloor							Футуризм 
material_gratefloor								Решітка

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Дерево (засніжена ялина)


object_palmtree									Дерево (пальма)
object_plant									Рослина

object_bush										Кущ

object_streetlamp								Вуличний ліхтар

object_floodlight								Світло (прожектор)





		
		

object_bleachers								Трибуна
object_smallbench								Лавка (мала)
object_smalltable								Стіл (малий)
object_showerpillar								Колона для душової


object_doorMat									Килимок під двері

object_GuardPavilion							Будка охорони
object_GuardPavilionCorner						Будка охорони (кутова)

object_OfficeChair								Стілець (офісний)




















object_visitorDoor								Двері для відвідувачів
object_ironingBoardShort						Гладильна дошка (мала)
object_fencegatestaff							Хвіртка (для працівників)
object_fencegatestandard						Хвіртка (стандартні)
object_fencegatevisitor							Хвіртка (для відвідувачів)












object_walllight								Настінна лампа
object_securedoor								Двері (міцні)
object_secretdoor								Двері (секретні)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					Це багнюка, вона безкоштовна!
buildtoolbar_popup_mat_yutaniwall				Стіна футуристичного вигляду. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати. Чудово пасує до підлоги «Футуризм» та «Склад».

buildtoolbar_popup_mat_newbblockwall			Стіна зі шлакобетону. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.
buildtoolbar_popup_mat_newbarredwall			Стіна з металевих ґрат. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.
buildtoolbar_popup_mat_newtiledwall				Вкрита білою плиткою стіна. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.
buildtoolbar_popup_mat_newhedgewall				Високий, але хиткий живопліт. Виглядає гарно, але втримати мало кого зможе.









buildtoolbar_popup_mat_solacofloor				Підлога наче на космічному кораблі. Чудово пасує до футуристичних стін.
buildtoolbar_popup_mat_gratefloor				Металева підлога, що створює атмосферу високих технологій.
buildtoolbar_popup_mat_newcargofloor			Підлога з унікальним дизайном.
buildtoolbar_popup_mat_newironfloor				Підлога з унікальним дизайном.
buildtoolbar_popup_mat_newcheckeredfloor		Добре виглядатиме на кухні чи в їдальні.
buildtoolbar_popup_mat_snow						Як вода, тільки холодніший та красивіший.





buildtoolbar_popup_obj_snowyconifertree			Найкраще виглядатиме на вкритому снігом ландшафті.


buildtoolbar_popup_obj_palmtree					Зазвичай росте у теплих краях, але виживе усюди, де б її не посадили.


buildtoolbar_popup_obj_bush						Чудовий спосіб прикрасити територію.

buildtoolbar_popup_obj_streetlamp				Освітлення для доріг та стежок.

buildtoolbar_popup_obj_floodlight				Високий вуличний ліхтар, що може залити світлом велику територію, наприклад, двір.





	


buildtoolbar_popup_obj_bleachers				Класична тюремна трибуна, на якій в'язні можуть сидіти та обдумувати свій наступний крок.
buildtoolbar_popup_obj_smallbench				На цьому можна сидіти.
buildtoolbar_popup_obj_smalltable				За цим столом можна їсти.
buildtoolbar_popup_obj_showerpillar				Можна розмістити посередині душової, а потім встановити на ній по душу з кожної сторони.


buildtoolbar_popup_obj_doorMat					Дешевий гумовий килимок, який, можливо, непогано виглядатиме перед дверима.


buildtoolbar_popup_obj_guardPavilion			Можна розмістити надворі, щоб охоронці та озброєні охоронці могли стежити за в'язнями.\n	Призначити охоронців можна за допомогою меню «Розташування».\n- Підвищує рівень Стримування у зоні.\n- Захищає охоронців від негоди.
buildtoolbar_popup_obj_guardPavilionCorner		Можна розмістити надворі у кутових ділянках, щоб охоронці та озброєні охоронці могли стежити за в'язнями.\n	Призначити охоронців можна за допомогою меню «Розташування».\n- Підвищує рівень Стримування у зоні.\n- Захищає охоронців від негоди.

buildtoolbar_popup_obj_officeChair				Стілець, на якому працівники можуть сидіти за письмовим столом.




















buildtoolbar_popup_obj_visitorDoor				Двері, що відкриваються без участі охоронця та дозволяють відвідувачам проходити до в'язниці. Дверима також можуть користуватися охоронці та співробітники, але не в'язні.
buildtoolbar_popup_obj_ironingBoardShort		Маленька гладильна дошка.
buildtoolbar_popup_obj_fencegatestaff			Хвіртка в огорожі, що працює так само, як двері.
buildtoolbar_popup_obj_fencegatestandard		Хвіртка в огорожі, що працює так само, як двері.
buildtoolbar_popup_obj_fencegatevisitor			Хвіртка в огорожі, що працює так само, як двері.












buildtoolbar_popup_obj_walllight				Лампа, яку можна встановити на стіні.
buildtoolbar_popup_obj_securedoor				Створені для карцеру двері, які мають отвір для подачі їжі. Охоронці можуть передати в'язню тацю з їжею через отвір, не заходячи до камери.


interfacedeployment_guards                      Призначити охоронців
buildtoolbar_deployment_Guards			Розташовуй охоронців у різних секторах в'язниці.
	
interfacedeployment_Dogs			Призначити кінологів
buildtoolbar_deployment_Dogs			Розташовуй кінологів у різних секторах в'язниці.

interfacedeployment_ArmedGuards			Призначити озброєних охоронців
buildtoolbar_deployment_ArmedGuards		Розташовуй озброєних охоронців у різних секторах в'язниці.

interfacedeployment_patrols                     Призначити охоронців
buildtoolbar_deployment_Patrols			Призначай охоронців патрулювати в'язницю за маршрутом.

interfacedeployment_dogpatrols                  Призначити кінологів
buildtoolbar_deployment_DogPatrols		Призначай кінологів патрулювати в'язницю за маршрутом.

interfacedeployment_armedpatrols                Призначити озброєних охоронців
buildtoolbar_deployment_ArmedPatrols		Призначай озброєних охоронців патрулювати в'язницю за маршрутом.

buildtoolbar_popup_help_Guards_1        Інструмент «Охоронці» дозволяє призначати охоронців у різні зони. Охоронці на посту хаотично патрулюватимуть призначену зону та виконуватимуть завдання в цій зоні – відкривання дверей тощо.\n\n
buildtoolbar_popup_help_Guards_2        ~Натисніть ліву кнопку миші, щоб збільшити кількість кінологів, розташованих в зоні. Натисніть праву кнопку для зменшення їх кількості.\n\n
buildtoolbar_popup_help_Guards_3        ^Підказки
buildtoolbar_popup_help_Guards_4        - Якщо ви розблокували Мікроменеджмент, ви отримали доступ до Графіку розташування. Це дозволяє створювати розклад призначення охоронців на певні зони. Наприклад, якщо ви бажаєте призначати охоронців до їдальні лише під час харчування, ви можете натискати на кожен блок графіку, що відповідає часу харчування, а потім пересунути повзунок часу на цей блок та натиснути на їдальню, щоб призначити охоронців.
buildtoolbar_popup_help_Guards_5        - У вас є до 7 різних часових блоків для планування, а також базовий режим «Завжди активний», що дозволяє створювати складні схеми розташування відповідно до потреб вашої в'язниці. 
buildtoolbar_popup_help_Guards_6        - Якщо ви не оберете часовий блок вручну під час призначення кінологів, у графіку використовуватиметься поточний час, тому важливо обирати правильний час при зміні розташування!

buildtoolbar_popup_help_Dogs_1        Інструмент «Кінологи» дозволяє призначати кінологів у різні зони. Кінологи на посту хаотично патрулюватимуть призначену зону та виконуватимуть завдання в цій зоні – відкривання дверей тощо.\n\n
buildtoolbar_popup_help_Dogs_2        ~Натисніть ліву кнопку миші, щоб збільшити кількість кінологів, розташованих в зоні. Натисніть праву кнопку для зменшення їх кількості.\n\n
buildtoolbar_popup_help_Dogs_3        ^Підказки
buildtoolbar_popup_help_Dogs_4        - Якщо ви розблокували Мікроменеджмент, ви отримали доступ до Графіку розташування. Це дозволяє створювати розклад призначення кінологів на певні зони. Наприклад, якщо ви бажаєте призначати кінологів до їдальні лише під час харчування, ви можете натискати на кожен блок графіку, що відповідає часу харчування, а потім пересунути повзунок часу на цей блок та натиснути на їдальню, щоб призначити кінологів.
buildtoolbar_popup_help_Dogs_5        - У вас є до 7 різних часових блоків для планування, а також базовий режим «Завжди активний», що дозволяє створювати складні схеми розташування відповідно до потреб вашої в'язниці. 
buildtoolbar_popup_help_Dogs_6        - Якщо ви не оберете часовий блок вручну під час призначення кінологів, у графіку використовуватиметься поточний час, тому важливо обирати правильний час при зміні розташування!

buildtoolbar_popup_help_ArmedGuards_1        Інструмент «Озброєні охоронці» дозволяє призначати кінологів у різні зони. Озброєні охоронці на посту хаотично патрулюватимуть призначену зону та виконуватимуть завдання в цій зоні – відкривання дверей тощо.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Натисніть ліву кнопку миші, щоб збільшити кількість охоронців, розташованих в зоні. Натисніть праву кнопку для зменшення їх кількості.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Підказки
buildtoolbar_popup_help_ArmedGuards_4        - Якщо ви розблокували Мікроменеджмент, ви отримали доступ до Графіку розташування. Це дозволяє створювати розклад призначення озброєних охоронців на певні зони. Наприклад, якщо ви бажаєте призначати озброєних охоронців до їдальні лише під час харчування, ви можете натискати на кожен блок графіку, що відповідає часу харчування, а потім пересунути повзунок часу на цей блок та натиснути на їдальню, щоб призначити озброєних охоронців.
buildtoolbar_popup_help_ArmedGuards_5        - У вас є до 7 різних часових блоків для планування, а також базовий режим «Завжди активний», що дозволяє створювати складні схеми розташування відповідно до потреб вашої в'язниці. 
buildtoolbar_popup_help_ArmedGuards_6        - Якщо ви не оберете часовий блок вручну під час призначення озброєних охоронців, у графіку використовуватиметься поточний час, тому важливо обирати правильний час при зміні розташування!

interfacedeployment_PrioritizeArea			Підвищити пріоритетність зони (*X)
buildtoolbar_deployment_PrioritizeGuard			Використовуйте це налаштування, щоб визначити зони, яким охоронці будуть приділяти більше уваги. Якщо у в'язниці бракуватиме охоронців, вони зосереджуватимуться на зонах, які визначені як пріоритетні. Є два рівні пріоритетності: «Високий» (>>) і «Надвисокий» (>>>).

interfacedeployment_BluePatrol				Синій патруль
buildtoolbar_deployment_BluePatrol			Кольорові маршрути дозволяють призначати на патрулювання конкретних охоронців та накладати їхні графіки. Натисніть кнопку миші й проведи, щоб створити синій патруль. Натисніть праву кнопку миші й потягни, щоб видалити синій маршрут патрулювання. Щоб збільшити кількість охоронців на маршруті, використовуй кнопки призначення охоронців.

interfacedeployment_MagentaPatrol			Фіолетовий патруль
buildtoolbar_deployment_MagentaPatrol			Кольорові маршрути дозволяють призначати на патрулювання конкретних охоронців та накладати їхні графіки. Натисніть кнопку миші й проведи, щоб створити фіолетовий патруль. Натисніть праву кнопку миші й потягни, щоб видалити фіолетовий маршрут патрулювання. Щоб збільшити кількість охоронців на маршруті, використовуй кнопки призначення охоронців.

interfacedeployment_PrioritizePatrol			Підвищити пріоритетність патруля
buildtoolbar_deployment_PrioritizePatrol		Використовуйте це налаштування, щоб визначити маршрути патрулювання, яким охоронці будуть приділяти більше уваги. Якщо у в'язниці бракуватиме охоронців, вони зосереджуватимуться на маршрутах патрулювання, які визначені як пріоритетні. Є два рівні пріоритетності: «Високий» (>>) і «Надвисокий» (>>>).

buildtoolbar_popup_filter_title                 Фільтрувати
buiildtoolbar_popup_filter_toggle               Натисніть, щоб увімкнути/вимкнути
buildtoolbar_popup_filter_default               За замовчуванням
buildtoolbar_popup_filter_az                    За алфавітом
buildtoolbar_popup_filter_owned                 Є у в'язниці
buildtoolbar_popup_filter_costhighlow           За спаданням ціни
buildtoolbar_popup_filter_costlowhigh           За зростанням ціни
buildtoolbar_popup_filter_indooroutdoor         Спочатку для приміщень
buildtoolbar_popup_filter_outdoorindoor         Спочатку надвірні
buildtoolbar_popup_filter_quantity               Кількість у в'язниці
buildtoolbar_popup_filter_byroom                За кімнатою






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							НАТИСНУТИ ДВІЧІ: Перемістити об'єкт

double_click_add_door							Натисніть двічі лівою кнопкою миші, щоб додати двері.

codex_option_bureaucracyresearched				«Бюрократію» розблоковано
codex_tooltip_bureaucracyresearched				Почніть нову гру з повністю розблокованим деревом «Бюрократії».

codex_option_jungle						Ділянка з джунглями
codex_tooltip_jungle						Почати гру на ділянці, що вкрита щільними джунглями.

codex_option_snowy						Вкрита снігом ділянка
codex_tooltip_snowy						Почати гру на ділянці, що вкрита снігом.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Миття

action_Stretching								Фізичні вправи
action_PlayChess								Гра в шахи


plant_tree_location								Посадити дерево в *X

report_intake_cat_SuperMax							Надсуворий режим

interface_undo							Скасувати

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Помилка збереження в'язниці.
codex_changelog_next                            Наступне >
codex_changelog_prev                            < Попереднє
codex_credits                                   Титри

codex_options_screenshotmode					Режим знімка екрана
codex_tooltip_screenshotmode					Увімкнувши режим знімка екрана, тримайте клавішу [*K] і натисніть [*E], щоб приховати весь інтерфейс.
codex_sso_content_message						Ви успішно створили обліковий запис Paradox.\n\nЩоб віддячити, ми даруємо вам новий об'єкт «Будка охорони», який ви зможете знайти у меню «Об'єкти».
codex_options_borderless_windowed               Без рамок
codex_options_monitor                           Монітор


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Режим відображення 
codex_options_borderless_fullscreen		Вікно на весь екран
codex_options_display_monitor 			Режим відображення 
codex_options_windowed_resolution               Роздільна здатність вікна

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Стіна (Ар деко)
material_blueWall								Розкішна стіна (Сині смуги)
material_burgundyWall							Розкішна стіна (Вишнева)
material_greenWall								Розкішна стіна (Зелена)
material_orientalWall							Стіна (східний стиль)
material_cushionedwall							Стіна (з оббивкою)

material_sandstone								Пісковик 
material_limestonefloor							Вапняк 
material_blueCarpet								Килим (синій)
material_redCarpet								Килим (червоний)
material_brownCarpet							Килим (коричневий)
material_paddedfloor							М'яка
material_grassstones							Трава та камінь
material_grasscornerfloor						Зелений куточок
material_grasscornerfloor1						Зелений куточок
material_grasscornerfloor2						Зелений куточок
material_grasscornerfloor3						Зелений куточок
material_lunarfloor								Місячний ландшафт

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Дерево (моторошне)
object_cactustree								Дерево (кактус)
object_sakuratree								Дерево (сакура)
object_plantcactus								Рослина (кактус)
object_tyrestack								Купа шин
object_lamp										Світло (Лампа)
object_bathroomSink								Рукомийник
object_bathroomHandDryer						Сушарка
object_chestOfDrawers							Комод
object_woodenStool								Дерев'яний стілець
object_woodenTable								Дерев'яний стіл			
object_bucket									Відро
object_shortbookcase							Поличка (коротка)
object_outdoorTable								Стіл надворі
object_mooseHead								Лосяча голова
object_toiletSign								Табличка (Туалет)
object_rightArrowSign							Табличка (Стрілка вправо)
object_leftArrowSign							Табличка (Стрілка вліво)
object_infirmarySign							Табличка (Лазарет)
object_canteenSign								Табличка (Їдальня)
object_showerSign								Табличка (Душові)
object_armourySign								Табличка (Збройова палата)
object_jaildoorred								Тюремні двері (червоні)
object_jaildoorgrey								Тюремні двері (сірі)
object_jaildoororange							Тюремні двері (оранжеві)
object_jaildoorYellow							Тюремні двері (жовті)
object_jaildoorlargered							Великі тюремні двері (червоні)
object_jaildoorlargegrey						Великі тюремні двері (сірі)
object_jaildoorlargeorange						Великі тюремні двері (оранжеві)
object_jaildoorlargeyellow						Великі тюремні двері (жовті)
object_coatstand								Вішалка
object_dogbowl									Собача миска
object_footbridge                               Місток
object_footbridgesteel                          Сталевий місток
object_footbridgeb                              Місток B
object_footbridgesteelb                         Сталевий місток B
object_windowclassy								Розкішне вікно
object_windowclassyLarge						Розкішне вікно (велике)
object_gravestone								Могильна плита
object_psychiatrist								Психіатр
object_orderly									Санітар
object_rorschachTest							Тест Роршаха
object_anatomyModel								Анатомічна модель
object_flipboard								Дошка-тринога
object_medicineCabinetPsych						Шафка з ліками
object_leatherchair								Шкіряний стілець
object_leatherSofa								Шкіряний диван
object_parkbench								Лава (паркова)
object_fencegateguard							Хвіртка (для охорони)
object_oaktable									Стіл (дубовий)
object_oakbench									Лава (дубова)
object_BoomBoxRoundHouse						Магнітофон

object_classic									Класика
object_dalmation								Далматинець
object_husky									Хаскі
object_companion								Улюбленець
object_cat										Кіт
object_direwoof									Жахливий вовк

equipment_fountainPen							Чорнильна ручка
equipment_goldPocketWatch						Золотий годинник
equipment_sedativeShot							Заспокійлива ін'єкція (шприц)
equipment_sedativesyringe						Заспокійлива ін'єкція (шприц)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Стіна в стилі ар деко, нагадує про архітектуру 20-х років.
buildtoolbar_popup_mat_blueWall					Розкішна стіна. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.
buildtoolbar_popup_mat_burgundywall				Розкішна стіна. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.
buildtoolbar_popup_mat_greenwall				Розкішна стіна. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.
buildtoolbar_popup_mat_orientalwall				Стіна у східному стилі, допоможе привнести у в'язницю дух давньої Японії.
buildtoolbar_popup_mat_cushionedwall			Багата шкіряна оббивка окремих ділянок стіни допоможе створити стильні нові зони або кімнати.
buildtoolbar_popup_mat_sandstone				Покладіть надворі плити з пісковику.
buildtoolbar_popup_mat_limestonefloor			Підлога кольору затертого вапняку.
buildtoolbar_popup_mat_blueCarpet				Зручний килимок. Чудово підходить для приміщень для персоналу.
buildtoolbar_popup_mat_redCarpet				Зручний килимок. Чудово підходить для приміщень для персоналу.
buildtoolbar_popup_mat_brownCarpet				Зручний килимок. Чудово підходить для приміщень для персоналу.
buildtoolbar_popup_mat_paddedfloor				Чудово пасує до м'яких стін, разом вони створюють ідеальний простір для божевільних злочинців.
buildtoolbar_popup_mat_grassstones				Ділянка трави з кам'яними плитками.
buildtoolbar_popup_mat_grassscornerfloor		Зелений куточок з ґрунтом. Добре доповнює звивисті стежки.
buildtoolbar_popup_mat_lunarfloor				Тверда кам'яниста поверхня космічного вигляду.
buildtoolbar_popup_obj_spookytree				Моторошне старе дерево.
buildtoolbar_popup_obj_cactustree				Найкраще виглядатиме на тлі пустелі.
buildtoolbar_popup_obj_sakuratree				Прекрасне вишневе деревце, вкрите ніжними рожевими квіточками.
buildtoolbar_popup_obj_plant					Приємна кімнатна рослинка.
buildtoolbar_popup_obj_plantcactus				Кактус у горщику.
buildtoolbar_popup_obj_tyrestack				Виконує роль невисокої стіни, довкола якої ходитимуть в'язні та персонал.
buildtoolbar_popup_obj_lamp						Красива підлогова лампа, підходить для офісів та приміщень для персоналу.
buildtoolbar_popup_obj_bathroomSink				Невід'ємна складова ванної кімнати.
buildtoolbar_popup_obj_bathroomHandDryer		Чудова пара рукомийнику.
buildtoolbar_popup_obj_chestOfDrawers			Дерев'яний комодик.
buildtoolbar_popup_obj_woodenStool				Чудова пара дерев'яному столу.
buildtoolbar_popup_obj_woodenTable				Чудова пара дерев'яному стільцю	
buildtoolbar_popup_obj_bucket					Просто відро.
buildtoolbar_popup_obj_shortbookcase			Коротка поличка для книжок.
buildtoolbar_popup_obj_outdoorTable				Місце надворі, де в'язні можуть присісти і поїсти.
buildtoolbar_popup_obj_mooseHead				Чудова голова лося ручної роботи, закріплена на дошці.
buildtoolbar_popup_obj_toiletSign				Стінна табличка з позначкою туалета.
buildtoolbar_popup_obj_rightArrowSign			Стінна табличка зі стрілочкою, що вказує праворуч.
buildtoolbar_popup_obj_leftArrowSign			Стінна табличка зі стрілочкою, що вказує ліворуч.
buildtoolbar_popup_obj_infirmarySign			Стінна табличка з позначкою лазарета.
buildtoolbar_popup_obj_canteenSign				Стінна табличка з позначкою їдальні.
buildtoolbar_popup_obj_showerSign				Стінна табличка з позначкою душових.
buildtoolbar_popup_obj_armourySign				Стінна табличка з позначкою зброярні.
buildtoolbar_popup_obj_jaildoorred				Кольорові двері, що позначають камери суворого режиму.
buildtoolbar_popup_obj_jaildoorgrey				Кольорові двері, що позначають камери загального режиму.
buildtoolbar_popup_obj_jaildoororange			Кольорові двері, що позначають камери середнього режиму.
buildtoolbar_popup_obj_jaildooryellow			Кольорові двері, що позначають камери захисного арешту.
buildtoolbar_popup_obj_jaildoorlargered			Великі кольорові двері, що позначають камери суворого режиму.
buildtoolbar_popup_obj_jaildoorlargegrey		Великі кольорові двері, що позначають камери загального режиму.
buildtoolbar_popup_obj_jaildoorlargeorange		Великі кольорові двері, що позначають камери середнього режиму.
buildtoolbar_popup_obj_jaildoorlargeYellow		Великі кольорові двері, що позначають камери захисного арешту.
buildtoolbar_popup_obj_coatstand				Тут персонал може залишити свої пальта та капелюхи.
buildtoolbar_popup_obj_dogbowl					Вода та їжа для втомлених сторожових собак.\nТрохи збільшує їхню витривалість.
buildtoolbar_popup_obj_secretdoor				Приховані дверцята, замасковані під книжкову шафу. Ними може скористатися персонал.
buildtoolbar_popup_obj_parkbench				Паркова лава, щоб сидіти надворі.
buildtoolbar_popup_obj_fencegateguard			Хвіртка в огорожі, яку можуть відчинити лише охоронці.
buildtoolbar_popup_obj_oaktable					За цим столом можна їсти.
buildtoolbar_popup_obj_oakbench					На цій лаві можна сидіти. Чудова пара дубовому столу.

buildtoolbar_popup_obj_classic					Сторожовий собака як він є. Старий, проте досвідчений.
buildtoolbar_popup_obj_dalmation				Раніше жив на фермі, зараз запобігає втечам.
buildtoolbar_popup_obj_husky					Смертельна пастка для тих, хто ризикне втікати по снігу.
buildtoolbar_popup_obj_companion				Ліпший друг охоронця.
buildtoolbar_popup_obj_cat						Не всі люблять собак.
buildtoolbar_popup_obj_direwoof					Та хто взагалі ризикне втікати від нього?

buildtoolbar_popup_filter_mostused				Найуживаніші
buildtoolbar_caters_safety						Для потреб охорони

interfacedeployment_orderly						Розташувати санітарів
buildtoolbar_deployment_orderly					Розташовуй санітарів у різних секторах в'язниці.

interfacedeployment_orderlypatrols				Розташувати санітарів
buildtoolbar_deployment_orderlypatrols			Призначай санітарів патрулювати в'язницю за маршрутом.

room_PaddedCell                                М'яка камера
room_PaddedHoldingCell                         М'яка камера утримання
room_PsychiatristOffice							Кабінет психіатра

interfaceplanning_BuildPlan			Побудувати плани
interfaceplanning_ClearPlan			Очистити плани
interfaceplanning_Door				Двері

buildtoolbar_improvement						- *R покращить показник  
buildtoolbar_improvement_windows				 (якщо виходять назовні)

buildplan_title					Вибір типу стіни			
buildplan_message				То що, хочеш побудувати цей план?\n	Цю дію не можна буде скасувати.\n\n	Усі заплановані стіни будуть одного типу.\n	Вибір типу стіни можна змінити нижче.
clearplan_title					Очистити плани
clearplan_message				Точно хочеш очистити все накреслені плани?\n\n	Цю дію не можна буде скасувати.

d11_custom_planning 				Індивідуальне планування

buildtoolbar_popup_planning			Плануй в'язницю ще до початку робіт з будівництва і аж поки не визначишся остаточно. Меню планування дозволяє тобі побудувати усі заплановані елементи, видалити окремі секції або очистити увесь план та почати заново.

buildtoolbar_popup_help_planningDoor_1		Обраний тип дверей буде застосовано, коли ти розмістиш двері у плані.
buildtoolbar_popup_help_quickBuildWall_1	Обраний тип стіни буде застосований у наступному швидкому будівництві.


buildtoolbar_popup_mat_blueclassywall			Розкішна стіна. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.
buildtoolbar_popup_mat_burgundyclassywall		Розкішна стіна. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.
buildtoolbar_popup_mat_greenclassywall			Розкішна стіна. Можна побудувати на фундаменті, щоб створити нові зони чи кімнати.

buildtoolbar_popup_obj_windowclassy				Крізь нього те, що надворі, виглядає краще, ніж насправді.
buildtoolbar_popup_obj_windowclassyLarge		Крізь нього те, що надворі, виглядає краще, ніж насправді.
buildtoolbar_popup_obj_gravestone				Могильна плита поставляється для кожної смерті, що трапилася у в'язниці.

buildtoolbar_popup_staff_psychiatrist			Кваліфікований працівник, що регулярно оглядає та консультує психічно хворих в'язнів.\nКоли у в'язниці з'являється програма надання психіатричних консультацій, психіатри влаштовують окремі сесії для психічно хворих в'язнів. Це допомагає заспокоїти їх.\nЯкщо у в'язниці багато психічно хворих в'язнів, краще найняти декілька психіатрів. У кожного має бути окремий кабінет.

buildtoolbar_popup_staff_orderly				Медичний працівник, спеціально навчений працювати з психічно хворими злочинцями.
buildtoolbar_popup_obj_leatherchair				Чудово доповнює шкіряний диван. Підходить для співробітників, а от для в'язнів це нечувана розкіш.

buildtoolbar_popup_obj_rorschachTest		    Якщо додати до кабінета психіатра тест Роршаха, це поліпшить лікування психічно хворих в'язнів.
buildtoolbar_popup_obj_anatomyModel				Якщо додати до кабінета психіатра анатомічну модель, це поліпшить лікування психічно хворих в'язнів.
