# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Changelog complet
material_yutaniwall								Perete (Yutani)










material_solacofloor							Solaco
material_gratefloor								Zăbrele

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Copac (conifer cu zăpadă)


object_palmtree									Copac (palmier)
object_plant									Plantă

object_bush										Tufiș

object_streetlamp								Stâlp de iluminat

object_floodlight								Lumină (reflector)





		
		

object_bleachers								Locuri în aer liber
object_smallbench								Bancă (mică)
object_smalltable								Masă (mică)
object_showerpillar								Duș


object_doorMat									Preș ușă

object_GuardPavilion							Pavilion gardieni
object_GuardPavilionCorner						Pavilion gardieni (colț)

object_OfficeChair								Scaun (birou)




















object_visitorDoor								Ușă vizitatori
object_ironingBoardShort						Masă de călcat (mică)
object_fencegatestaff							Poartă gard (personal)
object_fencegatestandard						Poartă gard (standard)
object_fencegatevisitor							Poartă gard (vizitatori)












object_walllight								Corp iluminat perete
object_securedoor								Ușă (securizată)
object_secretdoor								Ușă (secretă)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					E noroi și e gratis!
buildtoolbar_popup_mat_yutaniwall				Construiește pereți cu un aspect ultra-modern peste fundații pentru a crea noi spații sau camere. Aceștia merg foarte bine cu o podea de tip cargo sau solaco.

buildtoolbar_popup_mat_newbblockwall			Construiește pereți din blocuri poroase peste fundații pentru a crea noi spații sau camere.
buildtoolbar_popup_mat_newbarredwall			Construiește porțiuni de pereți cu zăbrele peste fundații pentru a crea noi spații sau camere.
buildtoolbar_popup_mat_newtiledwall				Construiește pereți acoperiți cu faianță peste fundații pentru a crea noi spații sau camere.
buildtoolbar_popup_mat_newhedgewall				Garduri vii înalte, dar firave. Au mai degrabă un rol estetic, nu sunt o opţiune serioasă de securitate.









buildtoolbar_popup_mat_solacofloor				Conferă podelelor închisorii noastre un aspect ultra-modern. Se potrivesc foarte bine cu pereţii Yutani.
buildtoolbar_popup_mat_gratefloor				Conferă podelelor închisorii noastre un aspect ultra-modern.
buildtoolbar_popup_mat_newcargofloor			Conferă podelelor închisorii noastre un aspect personalizat.
buildtoolbar_popup_mat_newironfloor				Conferă podelelor închisorii noastre un aspect personalizat.
buildtoolbar_popup_mat_newcheckeredfloor		Probabil că modelul acesta merge foarte bine în bucătării și cantine
buildtoolbar_popup_mat_snow						Este la fel ca apa, numai că mai rece și mai drăguță.





buildtoolbar_popup_obj_snowyconifertree			Cel mai bine merge pe un teren cu zăpadă.


buildtoolbar_popup_obj_palmtree					În mod normal, cresc pe terenuri uscate, dar acum îi poți cultiva oriunde vrei.


buildtoolbar_popup_obj_bush						Sunt folosite ca decor pentru exterior.

buildtoolbar_popup_obj_streetlamp				Pentru a lumina drumurile și potecile.

buildtoolbar_popup_obj_floodlight				Un stâlp înalt de iluminat pentru exterior care acoperă spații largi, cum ar fi curțile.





	


buildtoolbar_popup_obj_bleachers				Locuri clasice de stat în aer liber în curțile închisorilor, unde grupurile de deținuți pot sta și se pot gândi la următoarea lor mișcare.
buildtoolbar_popup_obj_smallbench				Obiect de mobilier pe care te poți așeza.
buildtoolbar_popup_obj_smalltable				Obiect de mobilier la care poți mânca.
buildtoolbar_popup_obj_showerpillar				Poate fi poziționat în mijlocul unei băi și i se poate atașa câte o pară de duș pe fiecare parte.


buildtoolbar_popup_obj_doorMat					Un preș de ușă ieftin, din cauciuc care arată bine așezat în fața ușii.


buildtoolbar_popup_obj_guardPavilion			Aşează-l în curți și în spații deschise, pentru uzul gardienilor și al gardienilor înarmați ca să îți poată supraveghea prizonierii.\nDetaşează gardieni prin intermediul meniului Mobilizare trupe.\n-Crește nivelul de suprimare în zona respectivă.\n -gardienii sunt protejați de intemperii.
buildtoolbar_popup_obj_guardPavilionCorner		Aşează-l în colțurile curților și în spații deschise, pentru uzul gardienilor și al gardienilor înarmați ca să îți poată supraveghea prizonierii.\nDetaşează gardieni prin intermediul meniului Mobilizare trupe.\n-Crește nivelul de suprimare în zona respectivă.\n -gardienii sunt protejați de intemperii.

buildtoolbar_popup_obj_officeChair				Un scaun pe care membrii personalului pot sta la birou în poziție centrală.




















buildtoolbar_popup_obj_visitorDoor				O ușă care permite vizitatorilor închisorii să treacă, fără să fie nevoie de un paznic care să o deschidă. gardienii și personalul pot folosi, de asemenea, această ușă, dar nu și deținuții.
buildtoolbar_popup_obj_ironingBoardShort		O masă de călcat mai scurtă.
buildtoolbar_popup_obj_fencegatestaff			O poartă care arată foarte bine în combinație cu un gard și funcționează la fel ca o ușă.
buildtoolbar_popup_obj_fencegatestandard		O poartă care arată foarte bine în combinație cu un gard și funcționează la fel ca o ușă.
buildtoolbar_popup_obj_fencegatevisitor			O poartă care arată foarte bine în combinație cu un gard și funcționează la fel ca o ușă.












buildtoolbar_popup_obj_walllight				Un corp de iluminat care se potrivește într un buncăr și care poate fi instalat pe perete.
buildtoolbar_popup_obj_securedoor				O ușă concepută pentru carcere, care este prevăzută cu o vizetă. gardienii care aduc mâncarea deținuților pot împinge tava prin ușă, fără să fie nevoie să intre în celulă.


interfacedeployment_guards                      Detaşează gardieni
buildtoolbar_deployment_Guards			Detaşează gardieni în diferite sectoare ale închisorii tale.
	
interfacedeployment_Dogs			Detaşează agenţi cu câini
buildtoolbar_deployment_Dogs			Detaşează agenţi cu câini în diferite sectoare ale închisorii tale.

interfacedeployment_ArmedGuards			Detaşează gardieni înarmați
buildtoolbar_deployment_ArmedGuards		Detaşează gardieni înarmați în diferite sectoare ale închisorii tale.

interfacedeployment_patrols                     Detaşează gardieni înarmați în diferite sectoare ale închisorii tale.
buildtoolbar_deployment_Patrols			Reparizează gardieni pe rutele de patrulă ale închisorii tale.

interfacedeployment_dogpatrols                  Detaşează agenţi cu câini
buildtoolbar_deployment_DogPatrols		Detaşează agenţi cu câini pe rutele de patrulă ale închisorii tale.

interfacedeployment_armedpatrols                Detaşează gardieni înarmați
buildtoolbar_deployment_ArmedPatrols		Detaşează gardieni înarmați pe rutele de patrulă ale închisorii tale.

buildtoolbar_popup_help_Guards_1        Instrumentul Gardieni îți permite să detașezi gardieni la obiective, pe zone. Un gardian staționat se va deplasa aleator în zona care îi este alocată și va executa sarcinile oricărui gardian din acea zonă, ca de exemplu deschiderea ușilor.\n\n
buildtoolbar_popup_help_Guards_2        ~Dă clic pentru a crește numărul de agenți cu câini detașați într-o zonă. Dă clic dreapta pentru a elimina un gardian.\n\n
buildtoolbar_popup_help_Guards_3        ^Sfaturi
buildtoolbar_popup_help_Guards_4        - Dacă ai deblocată opțiunea Micromanagement, vei avea acces la Programatorul Mobilizare. Acesta îți permite să creezi un orar în care să specifici orele la care sunt delegați gardienii în anumite zone. De exemplu, dacă vrei ca gardienii să fie mobilizați în cantină numai pe perioada mesei, poți da clic pe fiecare bloc din Programator în care apare masa, apoi poți muta glisorul pentru timp în acel bloc și da clic pe cantină pentru a detașa gardieni.
buildtoolbar_popup_help_Guards_5        Ai maximum 7 blocuri de timp disponibile pentru programare, plus modul Activ permanent, care îți permite să creezi rutine complexe de detașare, adecvate nevoilor din închisoarea ta.
buildtoolbar_popup_help_Guards_6        Dacă nu selectezi manual un bloc de timp când detașezi agenții cu câini, Programatorul va utiliza momentul actual; selectează timpul corect când schimbi mobilizarea!

buildtoolbar_popup_help_Dogs_1        Instrumentul Agenți cu câini îți permite să detașezi agenți cu câini la obiective, pe zone. Un gardian staționat se va deplasa aleatoriu în zona care îi este alocată și va executa sarcinile oricărui gardian din acea zonă, ca de exemplu deschiderea ușilor.\n\n
buildtoolbar_popup_help_Dogs_2        ~Dă clic pentru a crește numărul de agenți cu câini detașați într-o zonă. Dă clic dreapta pentru a elimina un agent cu câini.\n\n
buildtoolbar_popup_help_Dogs_3        ^Sfaturi
buildtoolbar_popup_help_Dogs_4        - Dacă ai deblocată opțiunea Micromanagement, vei avea acces la Programatorul Mobilizare. Acesta îți permite să creezi un orar în care să specifici orele la care sunt delegați agenți cu câini în anumite zone. De exemplu, dacă vrei ca agenții cu câini să fie mobilizați în cantină numai pe perioada mesei, poți da clic pe fiecare bloc din Programator în care apare masa, apoi poți muta glisorul pentru timp în acel bloc și da clic pe cantină pentru a detașa agenții cu câini.
buildtoolbar_popup_help_Dogs_5        Ai maximum 7 blocuri de timp disponibile pentru programare, plus modul Activ permanent, care îți permite să creezi rutine complexe de detașare, adecvate nevoilor din închisoarea ta.
buildtoolbar_popup_help_Dogs_6        Dacă nu selectezi manual un bloc de timp când detașezi agenții cu câini, Programatorul va utiliza momentul actual; selectează timpul corect când schimbi mobilizarea!

buildtoolbar_popup_help_ArmedGuards_1        Instrumentul Gardieni înarmați îți permite să detașezi gardieni înarmați la obiective, pe zone. Un gardian staționat se va deplasa aleator în zona care îi este alocată și va executa sarcinile oricărui gardian din acea zonă, ca de exemplu deschiderea ușilor.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Dă clic pentru a crește numărul de gardieni detașați într-o zonă. Dă clic dreapta pentru a elimina un gardian.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Sfaturi
buildtoolbar_popup_help_ArmedGuards_4        - Dacă ai deblocată opțiunea Micromanagement, vei avea acces la Programatorul Mobilizare. Acesta îți permite să creezi un orar în care să specifici orele la care sunt delegați gardienii înarmați în anumite zone. De exemplu, dacă vrei ca gardienii înarmați să fie mobilizați în cantină numai pe perioada mesei, poți da clic pe fiecare bloc din Programator în care apare masa, apoi poți muta glisorul pentru timp în acel bloc și da clic pe cantină pentru a detașa gardienii înarmați.
buildtoolbar_popup_help_ArmedGuards_5        Ai maximum 7 blocuri de timp disponibile pentru programare, plus modul Activ permanent, care îți permite să creezi rutine complexe de detașare, adecvate nevoilor din închisoarea ta.
buildtoolbar_popup_help_ArmedGuards_6        Dacă nu selectezi manual un bloc de timp când detașezi gardieni înarmați, Programatorul va utiliza momentul actual; selectează timpul corect când schimbi mobilizarea!

interfacedeployment_PrioritizeArea			Stabilește această zonă ca prioritară (*X)
buildtoolbar_deployment_PrioritizeGuard			Folosește această opțiune pentru a indica gardienilor detașați că este prioritar să acopere anumite sectoare specifice ale închisorii tale. Dacă duci lipsă de personal, gardienii vor încerca să acopere mai întâi zonele prioritare. Sunt disponibile două niveluri de prioritate „Sporită” (>>) și „Extra sporită” (>>>).

interfacedeployment_BluePatrol				Patrula albastră
buildtoolbar_deployment_BluePatrol			Rutele patrulelor colorate îți permit să suprapui și să detașezi gardieni separați pentru ele. Dă clic și glisează pentru a crea o rută a patrulei albastre. Dă clic dreapta și glisează pentru a elimina o rută a patrulei albastre. Folosește butoanele Mobilizare gardian pentru a adăuga gardieni la o rută de patrulă.

interfacedeployment_MagentaPatrol			Patrulă magenta
buildtoolbar_deployment_MagentaPatrol			Rutele patrulelor colorate îți permit să suprapui și să detașezi gardieni separați pentru ele. Dă clic și glisează pentru a crea o rută a patrulei magenta. Dă clic dreapta și glisează pentru a elimina o rută a patrulei magenta. Folosește butoanele Mobilizare gardian pentru a adăuga gardieni la o rută de patrulă.

interfacedeployment_PrioritizePatrol			Stabilește această patrulă ca priroritară
buildtoolbar_deployment_PrioritizePatrol		Folosește această opțiune pentru a indica gardienilor detașați că este prioritar să acopere anumite sectoare specifice ale închisorii tale. Dacă duci lipsă de personal, gardienii vor încerca să acopere mai întâi zonele prioritare. Sunt disponibile două niveluri de prioritate „Sporită” (>>) și „Extra sporită” (>>>).

buildtoolbar_popup_filter_title                 Listă filtre
buiildtoolbar_popup_filter_toggle               Dă clic pe acest buton pentru a accesa
buildtoolbar_popup_filter_default               Valoare implicită
buildtoolbar_popup_filter_az                    A-Z
buildtoolbar_popup_filter_owned                 Deţinut de cineva
buildtoolbar_popup_filter_costhighlow           Cost (ridicat - scăzut)
buildtoolbar_popup_filter_costlowhigh           Cost (scăzut - ridicat)
buildtoolbar_popup_filter_indooroutdoor         Interior - Exterior
buildtoolbar_popup_filter_outdoorindoor         Exterior - Interior
buildtoolbar_popup_filter_quantity               Cantitate deținută
buildtoolbar_popup_filter_byroom                Pe camere






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							DUBLU CLIC: deplasare obiect

double_click_add_door							Dublu clic stânga pentru a adăuga uși.

codex_option_bureaucracyresearched				Birocrație cercetată
codex_tooltip_bureaucracyresearched				Începe un nou joc după ce ai cercetat complet întregul tău arbore Birocrație.

codex_option_jungle						Teren în junglă
codex_tooltip_jungle						Generează un teren inițial care să semene cu o junglă deasă.

codex_option_snowy						Teren acoperit de zăpadă
codex_tooltip_snowy						Generează un teren inițial care să fie acoperit cu zăpadă.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Spălare

action_Stretching								Exerciții fizice
action_PlayChess								Joc de șah


plant_tree_location								Platează un copac în *X

report_intake_cat_SuperMax							SuperMax

interface_undo							Anula

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Închisoarea nu a putut fi salvată.
codex_changelog_next                            Următorul>
codex_changelog_prev                            <Anterior
codex_credits                                   Credite

codex_options_screenshotmode					Mod captură de ecran
codex_tooltip_screenshotmode					Când ești în Modul captură de ecran, ține apăsată TASTA [*K]și apasă [*E],pentru a activa/dezactiva TOATE IU și HUD.
codex_sso_content_message						Te-ai conectat cu succes la un cont Paradox.\n\nÎn semn de mulțumire, noile turnuri ale pavilionului gardienilor sunt acum deblocate în joc! Găsește-le în meniul Obiecte.
codex_options_borderless_windowed               Fără frontiere
codex_options_monitor                           Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Mod afişaj
codex_options_borderless_fullscreen		Ecran complet fără frontiere
codex_options_display_monitor 			Monitor afişaj
codex_options_windowed_resolution               Rezoluţie cu ferestre

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Perete (Art Deco)
material_blueWall								Perete elegant (cu dungi albastre)
material_burgundyWall							Perete elegant (roșu de Burgundia)
material_greenWall								Perete elegant (verde)
material_orientalWall							Perete (oriental)
material_cushionedwall							Perete (capitonat)

material_sandstone								Gresie 
material_limestonefloor							Piatră De Var 
material_blueCarpet								Covor (albastru)
material_redCarpet								Covor (roșu)
material_brownCarpet							Covor (maro)
material_paddedfloor							Capitonat
material_grassstones							Iarbă și pietre
material_grasscornerfloor						Colț Cu Iarbă
material_grasscornerfloor1						Colț Cu Iarbă
material_grasscornerfloor2						Colț Cu Iarbă
material_grasscornerfloor3						Colț Cu Iarbă
material_lunarfloor								Lunar

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Copac (ciudat)
object_cactustree								Copac (cactus)
object_sakuratree								Copac (Sakura)
object_plantcactus								Plantă (cactus)
object_tyrestack								Stivă De Anvelope
object_lamp										Lumină (lampă)
object_bathroomSink								Chiuvetă De Baie
object_bathroomHandDryer						Uscător De Mâini
object_chestOfDrawers							Comodă
object_woodenStool								Taburet De Lemn
object_woodenTable								Masă De Lemn			
object_bucket									Găleată
object_shortbookcase							Bibliotecă (mică)
object_outdoorTable								Masă De Exterior
object_mooseHead								Cap De Elan
object_toiletSign								Indicator (toalete)
object_rightArrowSign							Indicator (săgeată spre dreapta)
object_leftArrowSign							Indicator (săgeată spre stânga)
object_infirmarySign							Indicator (infirmerie)
object_canteenSign								Indicator (cantină)
object_showerSign								Indicator (dușuri)
object_armourySign								Indicator (armurărie)
object_jaildoorred								Ușă Pentru Celulă (roșii)
object_jaildoorgrey								Ușă Pentru Celulă (gri)
object_jaildoororange							Ușă Pentru Celulă (portocalii)
object_jaildoorYellow							Ușă Pentru Celulă (galbene)
object_jaildoorlargered							Ușă Mare Pentru Celulă (roșii)
object_jaildoorlargegrey						Ușă Mare Pentru Celulă (gri)
object_jaildoorlargeorange						Ușă Mare Pentru Celulă (portocalii)
object_jaildoorlargeyellow						Ușă Mare Pentru Celulă (galbene)
object_coatstand								Cuier
object_dogbowl									Castron Pentru Câine
object_footbridge                               Pasarelă
object_footbridgesteel                          Pasarelă De Oțel
object_footbridgeb                              Pasarelă B
object_footbridgesteelb                         Pasarelă De Oțel B
object_windowclassy								Fereastră Elegantă
object_windowclassyLarge						Fereastră Elegantă (mare)
object_gravestone								Piatră De Mormânt
object_psychiatrist								Psihiatru
object_orderly									Infirmier
object_rorschachTest							Test Rorschach
object_anatomyModel								Model Anatomic
object_flipboard								Tablă Flipchart
object_medicineCabinetPsych						Dulăpior Cu Medicamente
object_leatherchair								Scaun De Piele
object_leatherSofa								Canapea De Piele
object_parkbench								Bancă (parc)
object_fencegateguard							Poartă (cu paznic)
object_oaktable									Masă (stejar)
object_oakbench									Bancă (stejar)
object_BoomBoxRoundHouse						Casetofon

object_classic									Clasic
object_dalmation								Dalmațian
object_husky									Husky
object_companion								Însoțitor
object_cat										Pisică
object_direwoof									Lup Feroce

equipment_fountainPen							Stilou
equipment_goldPocketWatch						Ceas De Buzunar Din Aur
equipment_sedativeShot							Săgeată Cu Sedativ (siringă)
equipment_sedativesyringe						Sedativ (siringă)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Construiește Pereți Art Deco pentru a da închisorii tale un aspect specific anilor 1920.
buildtoolbar_popup_mat_blueWall					Construiește pereți clasici deasupra fundațiilor pentru a crea noi camere sau zone pentru personal.
buildtoolbar_popup_mat_burgundywall				Construiește pereți clasici deasupra fundațiilor pentru a crea noi camere sau zone pentru personal.
buildtoolbar_popup_mat_greenwall				Construiește pereți clasici deasupra fundațiilor pentru a crea noi camere sau zone pentru personal.
buildtoolbar_popup_mat_orientalwall				Construiește pereți orientali pentru a crea zone în închisoare care amintesc de străvechea Japonie.
buildtoolbar_popup_mat_cushionedwall			Construiește secțiuni de pereți deasupra fundațiilor pentru a crea noi camere sau zone îmbrăcate în piele, cu un aspect luxos.
buildtoolbar_popup_mat_sandstone				Pune dale de gresie în zonele exterioare.
buildtoolbar_popup_mat_limestonefloor			Podeaua este un verde șters.
buildtoolbar_popup_mat_blueCarpet				Pune pe jos un covor confortabil. Ideal pentru zonele dedicate personalului.
buildtoolbar_popup_mat_redCarpet				Pune pe jos un covor confortabil. Ideal pentru zonele dedicate personalului.
buildtoolbar_popup_mat_brownCarpet				Pune pe jos un covor confortabil. Ideal pentru zonele dedicate personalului.
buildtoolbar_popup_mat_paddedfloor				Se potrivește cu pereții capitonați pentru a crea o celulă complet capitonată pentru Deținuții Declarați Nebuni.
buildtoolbar_popup_mat_grassstones				O zonă cu iarbă și piatră cubică.
buildtoolbar_popup_mat_grassscornerfloor		A colț cu iarbă și pământ. Util pentru poteci șerpuitoare.
buildtoolbar_popup_mat_lunarfloor				O suprafață dură de piatră cu un aspect interstelar.
buildtoolbar_popup_obj_spookytree				Un copac bătrân și sinistru.
buildtoolbar_popup_obj_cactustree				Se potrivește cel mai bine pe un teren uscat.
buildtoolbar_popup_obj_sakuratree				Un cireș frumos cu flori roz.
buildtoolbar_popup_obj_plant					O plantă frumoasă de interior.
buildtoolbar_popup_obj_plantcactus				Un cactus de interior în ghiveci.
buildtoolbar_popup_obj_tyrestack				Este ca un fel de zid mic pe care deținuții și personalul trebuie să îl ocolească.
buildtoolbar_popup_obj_lamp						O lampă cu picior decorată, perfectă pentru birouri și pentru zonele dedicate personalului.
buildtoolbar_popup_obj_bathroomSink				Nicio baie curată nu este completă fără una
buildtoolbar_popup_obj_bathroomHandDryer		Se potrivește perfect cu o Chiuvetă De Baie
buildtoolbar_popup_obj_chestOfDrawers			O comodă din lemn.
buildtoolbar_popup_obj_woodenStool				Se potrivește foarte bine cu o Masă De Lemn.
buildtoolbar_popup_obj_woodenTable				Se potrivește foarte bine cu un Taburet De Lemn	
buildtoolbar_popup_obj_bucket					Doar o găleată
buildtoolbar_popup_obj_shortbookcase			O etajeră mai mică pentru cărți.
buildtoolbar_popup_obj_outdoorTable				Aici deținuții se pot așeza să mănânce în aer liber.
buildtoolbar_popup_obj_mooseHead				Un superb cap de elan finisat manual, așezat pe o placă.
buildtoolbar_popup_obj_toiletSign				Un indicator de perete cu simbolul pentru Toalete.
buildtoolbar_popup_obj_rightArrowSign			Un indicator de perete cu o săgeată către dreapta.
buildtoolbar_popup_obj_leftArrowSign			Un indicator de perete cu o săgeată către stânga.
buildtoolbar_popup_obj_infirmarySign			Un indicator de perete cu simbolul pentru Infirmerie.
buildtoolbar_popup_obj_canteenSign				Un indicator de perete cu simbolul pentru Cantină.
buildtoolbar_popup_obj_showerSign				Un indicator de perete cu simbolul pentru Dușuri.
buildtoolbar_popup_obj_armourySign				Un indicator de perete cu simbolul pentru Armurărie.
buildtoolbar_popup_obj_jaildoorred				O ușă colorată de închisoare care să te ajute să diferențiezi blocurile de celule de Maximă Securitate.
buildtoolbar_popup_obj_jaildoorgrey				O ușă colorată de închisoare care să te ajute să diferențiezi blocurile de celule cu Nivel Redus De Securitate.
buildtoolbar_popup_obj_jaildoororange			O ușă colorată de închisoare care să te ajute să diferențiezi blocurile de celule cu Nivel Mediu De Securitate.
buildtoolbar_popup_obj_jaildooryellow			O ușă colorată de închisoare care să te ajute să diferențiezi blocurile de celule pentru persoanele în Custodie.
buildtoolbar_popup_obj_jaildoorlargered			O ușă mare şi colorată de închisoare care să te ajute să diferențiezi blocurile de celule de Maximă Securitate.
buildtoolbar_popup_obj_jaildoorlargegrey		O ușă mare şi colorată de închisoare care să te ajute să diferențiezi blocurile de celule cu Nivel Redus De Securitate.
buildtoolbar_popup_obj_jaildoorlargeorange		O ușă mare şi colorată de închisoare care să te ajute să diferențiezi blocurile de celule cu Nivel Mediu De Securitate.
buildtoolbar_popup_obj_jaildoorlargeYellow		O ușă mare şi colorată de închisoare care să te ajute să diferențiezi blocurile de celule pentru persoanele în Custodie.
buildtoolbar_popup_obj_coatstand				Un spaţiu pentru depozitarea hainelor şi pălăriilor membrilor personalului.
buildtoolbar_popup_obj_dogbowl					În el se poate pune apă şi mâncare pentru câinii de pază obosiți.\nContribuie la creșterea rezistenței acestora într-o mică măsură.
buildtoolbar_popup_obj_secretdoor				O ușă secretă care arată ca o bibliotecă și care se deschide pentru a permite accesul personalului.
buildtoolbar_popup_obj_parkbench				O bancă de parc pentru exterior.
buildtoolbar_popup_obj_fencegateguard			O poartă care se potrivește foarte bine cu gardurile și pe care numai paznicii le pot deschide.
buildtoolbar_popup_obj_oaktable					Se mănâncă la ea.
buildtoolbar_popup_obj_oakbench					Se stă pe el. Se potrivește foarte bine cu Masa De Stejar.

buildtoolbar_popup_obj_classic					Câinele De Pază original, bătrân, dar cu multă experiență.
buildtoolbar_popup_obj_dalmation				Inițial locuia la o fermă, dar acum lucrează în domeniul prevenirii evadărilor.
buildtoolbar_popup_obj_husky					O cursă mortală pentru un evadat care se deplasează prin zăpadă.
buildtoolbar_popup_obj_companion				Cel mai bun prieten al unui paznic
buildtoolbar_popup_obj_cat						Nu toată lumea iubește câinii.
buildtoolbar_popup_obj_direwoof					Cine ar putea încerca măcar să evadeze?

buildtoolbar_popup_filter_mostused				Cei mai folosiți
buildtoolbar_caters_safety						Furnizori pentru a răspunde nevoii de siguranță.

interfacedeployment_orderly						Desemnează infirmieri
buildtoolbar_deployment_orderly					Desemnează infirmieri pentru sectoarele închisorii tale.

interfacedeployment_orderlypatrols				Desemnează infirmieri
buildtoolbar_deployment_orderlypatrols			Desemnează infirmieri pe rutele de patrulă din închisoarea ta.

room_PaddedCell                                Celulă Capitonată
room_PaddedHoldingCell                         Celulă De Detenție Capitonată
room_PsychiatristOffice							Cabinet De Psihiatrie

interfaceplanning_BuildPlan			Elaborează Planuri
interfaceplanning_ClearPlan			Șterge Planuri
interfaceplanning_Door				Uși

buildtoolbar_improvement						- Crește nota pentru *R
buildtoolbar_improvement_windows				 (când dă în exterior)

buildplan_title					Selecție Tipuri de Pereți			
buildplan_message				Ești gata să-ți elaborezi planul?\n	Această acțiune nu poate fi anulată.\n\n	Toți pereții plănuiți vor fi construiți pe baza aceluiași tip de perete\n	Selecția tipurilor de pereți poate fi schimbată mai jos.
clearplan_title					Șterge Planuri
