# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
buildtoolbar_popup_obj_showerpillar	Si posiziona in mezzo a una sala docce, e poi si applica un soffione su ogni lato.


buildtoolbar_popup_obj_doorMat	Uno zerbino in gomma economica, utile per abbellire una porta.


buildtoolbar_popup_obj_guardPavilion	Posizionalo in un cortile o in un'area aperta, per permettere a guardie e guardie armate di sorvegliare i detenuti.\n	Schiera le guardie tramite il menu Schieramento.\n -Aumenta il livello di Soppressione in quell'area.\n -Le guardie sono riparate dal maltempo.
buildtoolbar_popup_obj_guardPavilionCorner	Posizionalo nell'angolo di un cortile o di un'area aperta, per permettere a guardie e guardie armate di sorvegliare i detenuti.\n	Schiera le guardie tramite il menu Schieramento.\n -Aumenta il livello di Soppressione in quell'area.\n -Le guardie sono riparate dal maltempo.

buildtoolbar_popup_obj_officeChair	Una sedia per permettere ai membri del personale di sedersi alla scrivania.




















buildtoolbar_popup_obj_visitorDoor	Una porta che consente l'accesso ai visitatori della prigione, senza bisogno di una guardia che la apra. Anche le guardie e il personale possono usare questa porta, ma non i detenuti.
buildtoolbar_popup_obj_fencegatestaff	Un cancello che si abbina bene ai Recinti e funziona come una porta.
buildtoolbar_popup_obj_fencegatestandard	Un cancello che si abbina bene ai Recinti e funziona come una porta.
buildtoolbar_popup_obj_fencegatevisitor	Un cancello che si abbina bene ai Recinti e funziona come una porta.












buildtoolbar_popup_obj_walllight	Una luce da bunker da posizionare sulle pareti.
buildtoolbar_popup_obj_securedoor	Una porta per le celle di isolamento, dotata di sportellino. Le guardie che consegnano il cibo possono inserire il vassoio nello sportellino senza dover entrare nella cella.


interfacedeployment_guards	Schiera guardie
buildtoolbar_deployment_Guards	Schiera le tue guardie nei vari settori della prigione.

interfacedeployment_Dogs	Schiera guardie cinofile
buildtoolbar_deployment_Dogs	Schiera le tue guardie cinofile nei vari settori della prigione.

interfacedeployment_ArmedGuards	Schiera guardie armate
buildtoolbar_deployment_ArmedGuards	Schiera le tue guardie armate nei vari settori della prigione.

interfacedeployment_patrols	Schiera guardie
buildtoolbar_deployment_Patrols	Schiera le tue guardie nelle varie pattuglie della prigione.

interfacedeployment_dogpatrols	Schiera guardie cinofile
buildtoolbar_deployment_DogPatrols	Schiera le tue guardie cinofile nelle varie pattuglie della prigione.

interfacedeployment_armedpatrols	Schiera guardie armate
buildtoolbar_deployment_ArmedPatrols	Schiera le tue guardie armate nelle varie pattuglie della prigione.

buildtoolbar_popup_help_Guards_1	Lo strumento Guardie ti consente di stazionare le tue guardie nelle varie zone. Una Guardia stazionata si sposterà in maniera casuale nella zona assegnata, dove svolgerà le mansioni tipiche di una Guardia, come aprire le porte.\n\n
buildtoolbar_popup_help_Guards_2	~Fai clic con il tasto sinistro del mouse per aumentare il numero di guardie cinofile schierate in una zona. Fai clic con il tasto destro del mouse per rimuovere una Guardia.\n\n
buildtoolbar_popup_help_Guards_3	^Suggerimenti
buildtoolbar_popup_help_Guards_4	- Se hai sbloccato la Microgestione, avrai accesso alla Programmazione degli schieramenti. Questa opzione ti consentirà di definire i turni di assegnazione delle Guardie in determinate aree. Per esempio, se vuoi schierare le Guardie solo nella Mensa durante la Sessione pasto, puoi fare clic su ogni slot della Programmazione che coincide con la tua Sessione pasto, quindi spostare l'indicatore orario in quello slot e fare clic sulla tua Mensa per assegnarvi le Guardie.
buildtoolbar_popup_help_Guards_5	- Hai a disposizione fino a 9 slot orari diversi per la Programmazione, oltre alla modalità predefinita Sempre attiva, per creare turni di schieramento complessi che soddisfino le necessità della tua prigione.
buildtoolbar_popup_help_Guards_6	- Se non selezioni manualmente uno slot orario quando assegni le Guardie cinofile, la Programmazione utilizzerà l'orario corrente; assicurati di aver selezionato l'orario corretto, quando modifichi uno Schieramento!

buildtoolbar_popup_help_Dogs_1	Lo strumento Guardie cinofile ti consente di stazionare le tue guardie cinofile nelle varie zone. Una Guardia stazionata si sposterà in maniera casuale nella zona assegnata, dove svolgerà le mansioni tipiche di una Guardia, come aprire le porte.\n\n
buildtoolbar_popup_help_Dogs_2	~Fai clic con il tasto sinistro del mouse per aumentare il numero di guardie cinofile schierate in una zona. Fai clic con il tasto destro del mouse per rimuovere una Guardia cinofila.\n\n
buildtoolbar_popup_help_Dogs_3	^Suggerimenti
buildtoolbar_popup_help_Dogs_4	- Se hai sbloccato la Microgestione, avrai accesso alla Programmazione degli schieramenti. Questa opzione ti consentirà di definire i turni di assegnazione delle Guardie cinofile in determinate aree. Per esempio, se vuoi schierare le Guardie cinofile solo nella Mensa durante la Sessione pasto, puoi fare clic su ogni slot della Programmazione che coincide con la tua Sessione pasto, quindi spostare l'indicatore orario in quello slot e fare clic sulla tua Mensa per assegnarvi le Guardie cinofile.
buildtoolbar_popup_help_Dogs_5	- Hai a disposizione fino a 9 slot orari diversi per la Programmazione, oltre alla modalità predefinita Sempre attiva, per creare turni di schieramento complessi che soddisfino le necessità della tua prigione.
buildtoolbar_popup_help_Dogs_6	- Se non selezioni manualmente uno slot orario quando assegni le Guardie cinofile, la Programmazione utilizzerà l'orario corrente; assicurati di aver selezionato l'orario corretto, quando modifichi uno Schieramento!

buildtoolbar_popup_help_ArmedGuards_1	Lo strumento Guardie armate ti consente di stazionare le tue guardie armate nelle varie zone. Una Guardia stazionata si sposterà in maniera casuale nella zona assegnata, dove svolgerà le mansioni tipiche di una Guardia, come aprire le porte.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Fai clic con il tasto sinistro del mouse per aumentare il numero di Guardie schierate in una zona. Fai clic con il tasto destro del mouse per rimuovere una Guardia.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Suggerimenti
buildtoolbar_popup_help_ArmedGuards_4	- Se hai sbloccato la Microgestione, avrai accesso alla Programmazione degli schieramenti. Questa opzione ti consentirà di definire i turni di assegnazione delle Guardie armate in determinate aree. Per esempio, se vuoi schierare le Guardie armate solo nella Mensa durante la Sessione pasto, puoi fare clic su ogni slot della Programmazione che coincide con la tua Sessione pasto, quindi spostare l'indicatore orario in quello slot e fare clic sulla tua Mensa per assegnarvi le Guardie armate.
buildtoolbar_popup_help_ArmedGuards_5	- Hai a disposizione fino a 9 slot orari diversi per la Programmazione, oltre alla modalità predefinita Sempre attiva, per creare turni di schieramento complessi che soddisfino le necessità della tua prigione.
buildtoolbar_popup_help_ArmedGuards_6	- Se non selezioni manualmente uno slot orario quando assegni le Guardie armate, la Programmazione utilizzerà l'orario corrente; assicurati di aver selezionato l'orario corretto, quando modifichi uno Schieramento!

interfacedeployment_PrioritizeArea	Aree prioritarie (*X)
buildtoolbar_deployment_PrioritizeGuard	Usa questa opzione per far sì che le guardie schierate diano la priorità a settori specifici della tua prigione. Se sei a corto di personale, le guardie cercheranno innanzitutto di coprire le aree prioritarie. Ci sono due tipi di priorità disponibili: "Alta" (>>) e "Molto alta" (>>>).

interfacedeployment_BluePatrol	Pattuglia blu
buildtoolbar_deployment_BluePatrol	Grazie ai colori puoi diversificare i percorsi di pattuglia. Puoi sovrapporli e scegliere quali guardie schierare. Fai clic e trascina per creare un percorso di pattuglia blu. Fai clic con il pulsante destro e trascina per annullare un percorso blu. Usa i pulsanti Schiera guardie per aggiungere guardie a una pattuglia.

interfacedeployment_MagentaPatrol	Pattuglia magenta
buildtoolbar_deployment_MagentaPatrol	Grazie ai colori puoi diversificare i percorsi di pattuglia. Puoi sovrapporli e scegliere quali guardie schierare. Fai clic e trascina per creare un percorso di pattuglia magenta. Fai clic con il pulsante destro e trascina per annullare un percorso magenta. Usa i pulsanti Schiera guardie per aggiungere guardie a una pattuglia.

interfacedeployment_PrioritizePatrol	Pattuglie prioritarie
buildtoolbar_deployment_PrioritizePatrol	Usa questa opzione per far sì che le guardie schierate diano la priorità a pattuglie specifiche della tua prigione. Se sei a corto di personale, le guardie cercheranno innanzitutto di coprire le pattuglie prioritarie. Ci sono due tipi di priorità disponibili: "Alta" (>>) e "Molto alta" (>>>).

buildtoolbar_popup_filter_title	Filtra lista
buiildtoolbar_popup_filter_toggle	Fai clic sul pulsante per attivare/disattivare
buildtoolbar_popup_filter_default	Predefinito
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	Posseduti
buildtoolbar_popup_filter_costhighlow	Costo (alto-basso)
buildtoolbar_popup_filter_costlowhigh	Costo (basso-alto)
buildtoolbar_popup_filter_indooroutdoor	Interno-esterno
buildtoolbar_popup_filter_outdoorindoor	Esterno-interno
buildtoolbar_popup_filter_quantity	Quantità posseduta
buildtoolbar_popup_filter_byroom	Per stanza






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	DOPPIO CLIC: sposta oggetto

double_click_add_door	Doppio clic con pulsante sinistro per aggiungere porte.

codex_option_bureaucracyresearched	Ricerca burocrazia
codex_tooltip_bureaucracyresearched	Inizia una nuova partita con l'albero della Burocrazia interamente ricercato.

codex_option_jungle	Lotto giungla
codex_tooltip_jungle	Genera un lotto di terra di partenza con una fitta giungla.

codex_option_snowy	Lotto neve
codex_tooltip_snowy	Genera un lotto di terra di partenza con una spessa coltre di neve.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Igiene

action_Stretching	Esercizio
action_PlayChess	Scacchi


plant_tree_location	Pianta albero in *X

report_intake_cat_SuperMax	Sicurezza massima +

interface_undo	Disfare

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	Impossibile salvare la prigione.
codex_changelog_next	Avanti >
codex_changelog_prev	< Indietro
codex_credits	Riconoscimenti

codex_options_screenshotmode	Modalità Screenshot
codex_tooltip_screenshotmode	In modalità Screenshot, tieni premuto il TASTO [*K] e premi [*E], per attivare/disattivare TUTTE le interfacce.
codex_sso_content_message	Hai creato un account Paradox.\n\nCome ringraziamento, abbiamo sbloccato nel gioco le nuove torri Padiglione guardie! Puoi trovarle nel menu Oggetti.
codex_options_borderless_windowed	Senza bordi
codex_options_monitor	Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Modalità visualizzazione
codex_options_borderless_fullscreen	Senza bordi schermo intero
codex_options_display_monitor	Monitor visualizzazione
codex_options_windowed_resolution	Risoluzione a finestre

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Parete (art déco)
material_blueWall	Parete elegante (strisce blu)
material_burgundyWall	Parete elegante (bordeaux)
material_greenWall	Parete elegante (verde)
material_orientalWall	Parete (orientale)
material_cushionedwall	Parete (imbottita)

material_sandstone	Arenaria
material_limestonefloor	Pietra calcarea
material_blueCarpet	Moquette (blu)
material_redCarpet	Moquette (rossa)
material_brownCarpet	Moquette (marrone)
material_paddedfloor	Imbottito
material_grassstones	Erba e pietre
material_grasscornerfloor	Angolo erboso
material_grasscornerfloor1	Angolo erboso
material_grasscornerfloor2	Angolo erboso
material_grasscornerfloor3	Angolo erboso
material_lunarfloor	Lunare

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Albero (spettrale)
object_cactustree	Albero (cactus)
object_sakuratree	Albero (ciliegio giapponese)
object_plantcactus	Pianta (cactus)
object_tyrestack	Pila di pneumatici
object_lamp	Luce (lampada)
object_bathroomSink	Lavandino del bagno
object_bathroomHandDryer	Asciugamano
object_chestOfDrawers	Cassettiera
object_woodenStool	Sgabello legno
object_woodenTable	Tavolo legno
object_bucket	Secchio
object_shortbookcase	Libreria (bassa)
object_outdoorTable	Tavolo per esterno
object_mooseHead	Testa d'alce
object_toiletSign	Cartello (bagni)
object_rightArrowSign	Cartello (freccia destra)
object_leftArrowSign	Cartello (freccia sinistra)
object_infirmarySign	Cartello (infermeria)
object_canteenSign	Cartello (mensa)
object_showerSign	Cartello (docce)
object_armourySign	Cartello (armeria)
object_jaildoorred	Porta prigione (rosse)
object_jaildoorgrey	Porta prigione (grigie)
object_jaildoororange	Porta prigione (arancioni)
object_jaildoorYellow	Porta prigione (gialle)
object_jaildoorlargered	Porta prigione grande (rosse)
object_jaildoorlargegrey	Porta prigione grande (grigie)
object_jaildoorlargeorange	Porta prigione grande (arancioni)
object_jaildoorlargeyellow	Porta prigione grande (gialle)
object_coatstand	Attaccapanni
object_dogbowl	Ciotola del cane
object_footbridge	Passerella
object_footbridgesteel	Passerella acciaio
object_footbridgeb	Passerella B
object_footbridgesteelb	Passerella acciaio B
object_windowclassy	Finestra elegante
object_windowclassyLarge	Finestra elegante (grande)
object_gravestone	Lapide
object_psychiatrist	Psichiatra
object_orderly	Inserviente
object_rorschachTest	Test di Rorschach
object_anatomyModel	Modello anatomico
object_flipboard	Lavagna a fogli mobili
object_medicineCabinetPsych	Armadio medicine
object_leatherchair	Poltrona in pelle
object_leatherSofa	Divano in pelle
object_parkbench	Panchina (parco)
object_fencegateguard	Cancello del recinto (guardia)
object_oaktable	Tavolo (rovere)
object_oakbench	Panca (rovere)
object_BoomBoxRoundHouse	Stereo

object_classic	Classico
object_dalmation	Dalmata
object_husky	Husky
object_companion	Compagno
object_cat	Gatto
object_direwoof	Meta-lupo

equipment_fountainPen	Stilografica
equipment_goldPocketWatch	Orologio da taschino oro
equipment_sedativeShot	Dose di sedativo (siringa)
equipment_sedativesyringe	Sedativo (siringa)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Costruisci pareti art déco per rievocare l'architettura degli anni '20 nella prigione.
buildtoolbar_popup_mat_blueWall	Costruisci pareti eleganti, per creare nuove aree o stanze per il personale.
buildtoolbar_popup_mat_burgundywall	Costruisci pareti eleganti, per creare nuove aree o stanze per il personale.
buildtoolbar_popup_mat_greenwall	Costruisci pareti eleganti, per creare nuove aree o stanze per il personale.
buildtoolbar_popup_mat_orientalwall	Costruisci pareti orientali per creare aree della prigione con un'atmosfera da Giappone antico.
buildtoolbar_popup_mat_cushionedwall	Costruisci pareti per creare nuove aree o stanze imbottite in pelle e dare un'aria di classe.
buildtoolbar_popup_mat_sandstone	Posa lastre di arenaria nelle aree esterne.
buildtoolbar_popup_mat_limestonefloor	Questo pavimento è di un color lime sbiadito.
buildtoolbar_popup_mat_blueCarpet	Posa una comoda moquette, perfetta per le aree del personale.
buildtoolbar_popup_mat_redCarpet	Posa una comoda moquette, perfetta per le aree del personale.
buildtoolbar_popup_mat_brownCarpet	Posa una comoda moquette, perfetta per le aree del personale.
buildtoolbar_popup_mat_paddedfloor	Si abbina alle pareti imbottite per creare una cella imbottita completa per i detenuti malati di mente.
buildtoolbar_popup_mat_grassstones	Area erbosa lastricata.
buildtoolbar_popup_mat_grassscornerfloor	Zolla erbosa d'angolo. Utile per gli angoli dei sentieri.
buildtoolbar_popup_mat_lunarfloor	Superficie rocciosa indurita, dall'aspetto interstellare.
buildtoolbar_popup_obj_spookytree	Un vecchio albero inquietante.
buildtoolbar_popup_obj_cactustree	Particolarmente appropriato sui terreni aridi.
buildtoolbar_popup_obj_sakuratree	Un bellissimo albero di ciliegio dai fiori rosa.
buildtoolbar_popup_obj_plant	Una gradevole pianta da appartamento.
buildtoolbar_popup_obj_plantcactus	Cactus in vaso per interni.
buildtoolbar_popup_obj_tyrestack	È come una piccola parete, che verrà aggirata da detenuti e staff.
buildtoolbar_popup_obj_lamp	Lampada decorata con stelo, perfetta per gli uffici e le aree dello staff.
buildtoolbar_popup_obj_bathroomSink	Un bagno igienico non è completo, senza.
buildtoolbar_popup_obj_bathroomHandDryer	Si abbina perfettamente al lavandino del bagno.
buildtoolbar_popup_obj_chestOfDrawers	Cassettiera in legno.
buildtoolbar_popup_obj_woodenStool	Si abbina perfettamente a un tavolo di legno.
buildtoolbar_popup_obj_woodenTable	Si abbina perfettamente a uno sgabello di legno.
buildtoolbar_popup_obj_bucket	È solo un secchio.
buildtoolbar_popup_obj_shortbookcase	Una libreria bassa.
buildtoolbar_popup_obj_outdoorTable	Così i detenuti potranno sedersi e mangiare all'aperto.
buildtoolbar_popup_obj_mooseHead	Una bellissima testa di alce rifinita a mano, montata su una targa.
buildtoolbar_popup_obj_toiletSign	Cartello a parete con il simbolo dei bagni.
buildtoolbar_popup_obj_rightArrowSign	Cartello a parete con una freccia rivolta a destra.
buildtoolbar_popup_obj_leftArrowSign	Cartello a parete con una freccia rivolta a sinistra.
buildtoolbar_popup_obj_infirmarySign	Cartello a parete con il simbolo dell'infermeria.
buildtoolbar_popup_obj_canteenSign	Cartello a parete con il simbolo della mensa.
buildtoolbar_popup_obj_showerSign	Cartello a parete con il simbolo delle docce.
buildtoolbar_popup_obj_armourySign	Cartello a parete con il simbolo dell'armeria.
buildtoolbar_popup_obj_jaildoorred	Porta della prigione colorata, per distinguere i blocchi di celle di massima sicurezza.
buildtoolbar_popup_obj_jaildoorgrey	Porta della prigione colorata, per distinguere i blocchi di celle di minima sicurezza.
buildtoolbar_popup_obj_jaildoororange	Porta della prigione colorata, per distinguere i blocchi di celle di sicurezza media.
buildtoolbar_popup_obj_jaildooryellow	Porta della prigione colorata, per distinguere i blocchi di celle di custodia cautelare.
buildtoolbar_popup_obj_jaildoorlargered	Grande porta della prigione colorata, per distinguere i blocchi di celle di massima sicurezza.
buildtoolbar_popup_obj_jaildoorlargegrey	Grande porta della prigione colorata, per distinguere i blocchi di celle di minima sicurezza.
buildtoolbar_popup_obj_jaildoorlargeorange	Grande porta della prigione colorata, per distinguere i blocchi di celle di sicurezza media.
buildtoolbar_popup_obj_jaildoorlargeYellow	Grande porta della prigione colorata, per distinguere i blocchi di celle di custodia cautelare.
buildtoolbar_popup_obj_coatstand	Un posto dove appendere cappotti e cappelli del personale.
buildtoolbar_popup_obj_dogbowl	Contiene acqua e cibo per cani da guardia stanchi.\nAumenta di poco la resistenza di un cane.
buildtoolbar_popup_obj_secretdoor	Una porta nascosta, camuffata da libreria, che si apre per far passare lo staff.
buildtoolbar_popup_obj_parkbench	Una panchina all'aperto.
buildtoolbar_popup_obj_fencegateguard	Un cancello che si abbina bene ai recinti e può essere aperto solo dalle guardie.
buildtoolbar_popup_obj_oaktable	Ci si mangia sopra.
buildtoolbar_popup_obj_oakbench	Ci si siede sopra. Si abbina bene al tavolo di rovere.

buildtoolbar_popup_obj_classic	Il classico cane da guardia, vecchio ma esperto.
buildtoolbar_popup_obj_dalmation	Prima viveva in una fattoria, ma ora lavora per sventare le evasioni.
buildtoolbar_popup_obj_husky	Una trappola mortale per un'evasione tra la neve.
buildtoolbar_popup_obj_companion	Il migliore amico di una guardia.
buildtoolbar_popup_obj_cat	Non a tutti piacciono cani.
buildtoolbar_popup_obj_direwoof	E chi si azzarda più a evadere?

buildtoolbar_popup_filter_mostused	Più usati
buildtoolbar_caters_safety	Si occupa dell'esigenza Sicurezza.

interfacedeployment_orderly	Schiera inservienti
buildtoolbar_deployment_orderly	Schiera i tuoi inservienti nei vari settori della prigione.

interfacedeployment_orderlypatrols	Schiera inservienti
buildtoolbar_deployment_orderlypatrols	Schiera i tuoi inservienti nelle varie pattuglie della prigione.

room_PaddedCell	Cella imbottita
room_PaddedHoldingCell	Cella custodia imbottita
room_PsychiatristOffice	Ufficio dello psichiatra

interfaceplanning_BuildPlan	Costruisci planimetrie
interfaceplanning_ClearPlan	Cancella planimetrie
interfaceplanning_Door	Porte

buildtoolbar_improvement	- Migliora il grado di: *R
buildtoolbar_improvement_windows	(se è rivolta all'esterno)

buildplan_title	Selezione tipo di parete
buildplan_message	Vuoi costruire la planimetria ora?\n	Questa azione non può essere annullata.\n\n	Tutte le pareti della planimetria saranno dello stesso tipo.\n	Qui sotto puoi selezionare il tipo di parete.
clearplan_title	Cancella planimetrie
clearplan_message	Vuoi davvero cancellare tutte le planimetrie?\n \n	Questa azione non può essere annullata.

d11_custom_planning	Pianificazione personalizzata

buildtoolbar_popup_planning	Pianifica la prigione in tutta tranquillità: gli operai non inizieranno a costruire finché non sarai pronto. Nel menu di pianificazione puoi scegliere di costruire tutte le strutture e le porte pianificate, cancellare le sezioni delle planimetrie o cancellare tutte le planimetrie e ricominciare da capo.

buildtoolbar_popup_help_planningDoor_1	Verrà usato il tipo di porta selezionato quando posizioni una porta nella planimetria.
buildtoolbar_popup_help_quickBuildWall_1	Verrà usato il tipo di parete selezionato nelle prossime costruzioni veloci.


buildtoolbar_popup_mat_blueclassywall	Costruisci pareti eleganti, per creare nuove aree o stanze per il personale.
buildtoolbar_popup_mat_burgundyclassywall	Costruisci pareti eleganti, per creare nuove aree o stanze per il personale.
buildtoolbar_popup_mat_greenclassywall	Costruisci pareti eleganti, per creare nuove aree o stanze per il personale.

buildtoolbar_popup_obj_windowclassy	L'esterno sembrerà molto meglio di quello che è in realtà.
buildtoolbar_popup_obj_windowclassyLarge	L'esterno sembrerà molto meglio di quello che è in realtà.
buildtoolbar_popup_obj_gravestone	Avrai una lapide per ogni decesso nella tua prigione.

buildtoolbar_popup_staff_psychiatrist	Un membro avanzato del personale che segue i detenuti malati di mente con terapia periodica.\nGli psichiatri organizzano sedute individuali periodiche per aiutare a calmare detenuti malati di mente, una volta che istituito un programma di consulenza psichiatrica nella prigione. \nSe abbiamo molti detenuti malati di mente, dovremo assumere più psichiatri per seguirli tutti. Assicurati che ciascuno di loro abbia il suo ufficio.

buildtoolbar_popup_staff_orderly	Personale medico, appositamente addestrato nella gestione dei criminali psichiatrici.
