# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							รายการบันทึกการเปลี่ยนแปลงทั้งหมด
object_palmtree									ต้นไม้ (ต้นปาล์ม)
object_plant									พื้ช

object_bush										พุ่มไม้

object_streetlamp								ไฟถนน

object_floodlight								ไฟ (แสงไฟกำลังไฟสูง)





		
		

object_bleachers								อัฒจันทร์
object_smallbench								ม้ายาว (เล็ก)
object_smalltable								โต๊ะ (เล็ก)
object_showerpillar								เสาฝักบัว


object_doorMat									ผ้าเช็ดเท้าหน้าประตู

object_GuardPavilion							ศาลายาม
object_GuardPavilionCorner						ศาลายาม (มุม)

object_OfficeChair								เก้าอี้ (ออฟฟิศ)




















object_visitorDoor								ประตูผู้มาเยือน
object_ironingBoardShort						กระดานรีดผ้า (เล็ก)
object_fencegatestaff							ประตูรั้ว (พนักงาน)
object_fencegatestandard						ประตูรั้ว (มาตรฐาน)
object_fencegatevisitor							ประตูรั้ว (ผู้มาเยือน)












object_walllight								ไฟผนัง
object_securedoor								ประตู (ปลอดภัย)
object_secretdoor								ประตู (ลับ)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					มันคือโคลน และมันฟรี
buildtoolbar_popup_mat_yutaniwall				สร้างกำแพงที่มีรูปร่างหน้าตาไฮเท็คบนรากฐาน เพื่อสร้างพื้นที่หรือห้องใหม่ เหมาะกับพื้นคาร์โกหรือโซลาโค

buildtoolbar_popup_mat_newbblockwall			สร้างกำแพงที่ทำจากบรีซบล็อคบนรากฐาน เพื่อสร้างพื้นที่หรือห้องใหม่
buildtoolbar_popup_mat_newbarredwall			สร้างกำแพงที่มีส่วนผนังกั้นบนรากฐาน เพื่อสร้างพื้นที่หรือห้องใหม่
buildtoolbar_popup_mat_newtiledwall				สร้างกำแพงที่ทำจากบรีซบล็อค เพื่อสร้างพื้นที่หรือห้องใหม่
buildtoolbar_popup_mat_newhedgewall				พุ่มไม้ที่สูงแต่ไ่มแข็งแรง เป็นของตกแต่งสวยงามมากกว่าจะเป็นกลไกป้องกันความปลอดภัยที่่มีประสิทธิภาพ









buildtoolbar_popup_mat_solacofloor				ให้ภาพลักษณ์ไฮเท็คกับพื้นห้องคุมขังของเรา ไปได้ดีกับกำแพงยูทานิ
buildtoolbar_popup_mat_gratefloor				ให้ภาพลักษณ์ไฮเท็คกับพื้นห้องคุมขังของเรา 
buildtoolbar_popup_mat_newcargofloor			ให้ภาพลักษณ์แบบผลิตตามสั่งกับพื้นห้องคุมขังของเรา 
buildtoolbar_popup_mat_newironfloor				ให้ภาพลักษณ์แบบผลิตตามสั่งกับพื้นห้องคุมขังของเรา 
buildtoolbar_popup_mat_newcheckeredfloor		มันน่าจะดูดีในครัวหรือโรงอาหารของคุณ
buildtoolbar_popup_mat_snow						มันเป็นเหมือนน้ำ เพียงแค่เย็นกว่าและสวยงามกว่า





buildtoolbar_popup_obj_snowyconifertree			จะดูเหมาะที่สุดบนผืนแผ่นดินที่ปกคลุมไปด้วยหิมะ


buildtoolbar_popup_obj_palmtree					โดยปกติจะงอกในดินแห้ง แต่ตอนนี้คุณสามารถ ตัดสินใจปลูกมันที่ไหนก็ได้ที่ต้องการ


buildtoolbar_popup_obj_bush						ให้การตกแต่งเล็กน้อยกับพื้นที่กลางแจ้ง

buildtoolbar_popup_obj_streetlamp				เพื่อส่องแสงสว่างถนนและทางเดิน

buildtoolbar_popup_obj_floodlight				ไฟกลาแจ้งสูงที่สามารถครอบคลุมพื้นที่ขนาดใหญ่เช่นสวนต่างๆ





	


buildtoolbar_popup_obj_bleachers				อัฒจันทร์ในสนามเรือนจำ สำหรับให้กลุ่มนักโทษนั่งและวางแผนเคลื่อนไหวต่อไป
buildtoolbar_popup_obj_smallbench				สำหรับนั่ง
buildtoolbar_popup_obj_smalltable				สำหรับนั่งกินข้าว
buildtoolbar_popup_obj_showerpillar				เพื่อวางรตำแหน่งตรงกลางห้องอาบน้ำ และติดตั้งหัวฝักบัวในแต่ละด้าน


buildtoolbar_popup_obj_doorMat					พรมเช็ดเท้ายางหน้าประตูถูกๆที่อาจดูดีข้างหน้าทางเข้าประตู


buildtoolbar_popup_obj_guardPavilion			วางในสนามหรือพื้นที่โล่งสำหรับให้ยามและยามติดอาวุธคอยเฝ้าระวังนักโทษของคุณ \n มอบหมายยามผ่านทางเมนูสั่งงาน \n -เพิ่มระดับการควบคุมในพื้นที่ \n – ให้พวกยามได้หลบจากสภาพอากาศ
buildtoolbar_popup_obj_guardPavilionCorner		วางในมุมต่างๆของสนามและพื้นที่โล่ง สำหรับให้ยามและยามติดอาวุธคอยเฝ้าระวังนักโทษของคุณ \n มอบหมายยามผ่านทางเมนูสั่งงาน \n -เพิ่มระดับการควบคุมในพื้นที่ \n – ให้พวกยามได้หลบจากสภาพอากาศ

buildtoolbar_popup_obj_officeChair				เก้าอี้สำหรับเจ้าหน้าที่ไว้นั่งรวมกันตรงกลางที่โต๊ะออฟฟิศ




















buildtoolbar_popup_obj_visitorDoor				ประตูที่ให้แขกผู้มาเยือนเรื่อนจำผ่านเข้ามา โดยที่ยามไม่ต้องเปิดประตูให้ ยามและเจ้าหน้าที่อาจใช้ประตูนี้ แต่ไม่ใช่สำหรับนักโทษ
buildtoolbar_popup_obj_ironingBoardShort		กระดานรีดผ้าแบบสั้น
buildtoolbar_popup_obj_fencegatestaff			ประตูรั้วที่ดูดีมากกับรั้วแบบต่างๆ  และใช้งานในแบบเดียวกับประตูทั่วไป
buildtoolbar_popup_obj_fencegatestandard		ประตูรั้วที่ดูดีมากกับรั้วแบบต่างๆ และใช้งานในแบบเดียวกับประตูทั่วไป
buildtoolbar_popup_obj_fencegatevisitor			ประตูรั้วที่ดูดีมากกับรั้วแบบต่างๆ และใช้งานในแบบเดียวกับประตูทั่วไป












buildtoolbar_popup_obj_walllight				ไฟแบบบังค์เกอร์สำหรับติดบนผนัง
buildtoolbar_popup_obj_securedoor				ประตูที่ออกแบบห้องคุมขังเดี่ยวที่มีช่องส่งอาหาร  ยามสามารถส่งถาดอาหารผ่านประตู โดยไม่ต้องเข้าไปข้างในห้องขัง


interfacedeployment_guards                      มอบหมายยาม
buildtoolbar_deployment_Guards			มอบหมายยามไปยังส่วนต่างๆของเรือนจำของคุณ
	
interfacedeployment_Dogs			มอบหมายผู้ดูแลสุนัข
buildtoolbar_deployment_Dogs			มอบหมายผู้ดูแลสุนัขไปยังส่วนต่างๆของเรือนจำของคุณ

interfacedeployment_ArmedGuards			มอบหมายยามติดอาวุธ
buildtoolbar_deployment_ArmedGuards		มอบหมายยามติดอาวุธไปยังส่วนต่างๆของเรือนจำของคุณ 

interfacedeployment_patrols                     มอบหมายยาม
buildtoolbar_deployment_Patrols			มอบหมายยามไปยังเส้นทางลาดตระเวนในเรือนจำของคุณ

interfacedeployment_dogpatrols                  มอบหมายผู้ดูแลสุนัข
buildtoolbar_deployment_DogPatrols		มอบหมายผู้ดูแลสุนัขไปยังเส้นทางลาดตระเวนในเรือนจำของคุณ

interfacedeployment_armedpatrols                มอบหมายยามติดอาวุธ
buildtoolbar_deployment_ArmedPatrols		มอบหมายยามติดอาวุธไปยังเส้นทางลาดระเวนในเรือนจำของคุณ

buildtoolbar_popup_help_Guards_1        เครื่องมือยามช่วยให้คุณวางตำแหน่งยามในโซนต่างๆ ยามที่ได้รับการวางตำแหน่งจะเคลื่่อนย้ายแบบสุ่้มไปรอบๆโซนที่ได้รับมอบหมาย และจะทำหน้าที่รักษาความปลอดภัยต่้างๆในพื้นที่ เช่นการเปิดประตู 
buildtoolbar_popup_help_Guards_2        ~คลิกซ้ายเพื่อเพิ่มจำนวนผู้ดูแลสุนัขที่สั่งลงปฏิบัติงานในพื้นที่หนึ่ง คลิกขวาเพื่อเอายามออกคนหนึ่ง \n\n
buildtoolbar_popup_help_Guards_3        ^เคล็ดลับ
buildtoolbar_popup_help_Guards_4        - หากคุณปลดล็อคการบริหารแบบจุลภาค คุณจะสามารถใช้เครื่องกำหนดเวลาการเคลื่อนกำลังพลได้ ซึ่งจะทำให้คุณสามารถสร้างตารางเวลาที่ผู้คุมจะได้รับมอบหมายให้ดูแลบางพื้นที่ ตัวอย่างเช่น หากคุณต้องการให้ผู้คุมอยู่ในโรงอาหารในระหว่างที่มีการควบคุมการรับประทานอาหาร คุณสามารถคลิกแต่ละบล็อคของเครื่องกำหนดเวลาที่สอดคล้องกับการควบคุมการรับประทานอาหารของคุณ แล้วเลื่อนตัวสไลด์เวลาเข้าไปในบล็อคนั้นแล้วคลิกที่โรงอาหารของคุณเพื่อมอบหมายผู้คุม
buildtoolbar_popup_help_Guards_5        - คุณมีถึง 7 บล็อคเวลาต่างๆที่มีให้จัดตารางเวลา บวกกับโหมดแอคทีฟตลอดเวลาเป็นโหมดตั้งต้น ซึ่งช่วยให้คุณสร้างรูปแบบการสั่งปฏิบัติการที่ซับซ้อนที่สอดคล้องกับความต้องการของเรือนจำของคุณ
buildtoolbar_popup_help_Guards_6        - หากคุณไม่เลือกบล็อคเวลาด้วยตัวเองเมื่อมอบหมายผู้ดูแลสุนัข ระบบจัดตารางเวลาจะใช้เวลาปัจจุบัน; ตรวจสอบให้แน่ใจว่าคุณเลือกเวลาที่ถูกต้องเมื่่อเปลี่่ยนการสั่งงาน!

buildtoolbar_popup_help_Dogs_1        เครื่องมือผู้ดูแลสุนัขให้คุณวางตำแหน่งผู้ดูแลสุนัขในโซน ยามที่ถูกวางตำแหน่งจะเคลื่่อนย้ายแบบสุ่้มไปรอบๆโซนที่ได้รับมอบหมาย และจะทำหน้าที่รักษาความปลอดภัยต่้างๆในพื้นที่ เช่นการเปิดประตู 
buildtoolbar_popup_help_Dogs_2        ~คลิกซ้ายเพื่อเพิ่มจำนวนผู้ดูแลสุนัขที่สั่งลงปฏิบัติงานในพื้นที่หนึ่ง คลิกขวาเพื่อเอาผู้ดูแลสุนัขออกคนหนึ่ง \n\n
buildtoolbar_popup_help_Dogs_3        ^เคล็ดลับ
buildtoolbar_popup_help_Dogs_4        - หากคุณปลดล็อคการบริหารแบบจุลภาค คุณจะสามารถใช้เครื่องกำหนดเวลาการเคลื่อนกำลังพลได้ ซึ่งจะทำให้คุณสามารถสร้างตารางเวลาที่ผู้ควบคุมสุนัขจะได้รับมอบหมายให้ดูแลบางพื้นที่ ตัวอย่างเช่น หากคุณต้องการให้ผู้ควบคุมสุนัขอยู่ในโรงอาหารในระหว่างที่มีการควบคุมการรับประทานอาหาร คุณสามารถคลิกแต่ละบล็อคของเครื่องกำหนดเวลาที่สอดคล้องกับการควบคุมการรับประทานอาหารของคุณ แล้วเลื่อนตัวสไลด์เวลาเข้าไปในบล็อคนั้นแล้วคลิกที่โรงอาหารของคุณเพื่อมอบหมายผู้ควบคุมสุนัข
buildtoolbar_popup_help_Dogs_5        - คุณมีถึง 7 บล็อคเวลาต่างๆที่มีให้จัดตารางเวลา บวกกับโหมดแอคทีฟตลอดเวลาเป็นโหมดตั้งต้น ซึ่งช่วยให้คุณสร้างรูปแบบการสั่งปฏิบัติการที่ซับซ้อนที่สอดคล้องกับความต้องการของเรือนจำของคุณ
buildtoolbar_popup_help_Dogs_6        - หากคุณไม่เลือกบล็อคเวลาด้วยตัวเองเมื่อมอบหมายผู้ดูแลสุนัข ระบบจัดตารางเวลาจะใช้เวลาปัจจุบัน; ตรวจสอบให้แน่ใจว่าคุณเลือกเวลาที่ถูกต้องเมื่่อเปลี่่ยนการสั่งงาน!

buildtoolbar_popup_help_ArmedGuards_1        เครื่องมือยามติดอาวุธให้คุณวางตำแหน่งผู้ยามติดอาวุธในโซน ยามที่ถูกวางตำแหน่งจะเคลื่่อนย้ายแบบสุ่้มไปรอบๆโซนที่ได้รับมอบหมาย และจะทำหน้าที่รักษาความปลอดภัยต่้างๆในพื้นที่ เช่นการเปิดประตู 
buildtoolbar_popup_help_ArmedGuards_2        ~คลิกซ้ายเพื่อเพิ่มจำนวนยามที่สั่งลงปฏิบัติงานในพื้นที่หนึ่ง คลิกขวาเพื่อเอาผู้ยามออกคนหนึ่ง \n\n
buildtoolbar_popup_help_ArmedGuards_3        ^เคล็ดลับ
buildtoolbar_popup_help_ArmedGuards_4        - หากคุณปลดล็อคการบริหารแบบจุลภาค คุณจะสามารถใช้เครื่องกำหนดเวลาการเคลื่อนกำลังพลได้ ซึ่งจะทำให้คุณสามารถสร้างตารางเวลาที่ผู้คุมติดอาวุธจะได้รับมอบหมายให้ดูแลบางพื้นที่ ตัวอย่างเช่น หากคุณต้องการให้ผู้คุมติดอาวุธอยู่ในโรงอาหารเท่านั้นในระหว่างที่มีการควบคุมการรับประทานอาหาร คุณสามารถคลิกแต่ละบล็อคของเครื่องกำหนดเวลาที่สอดคล้องกับการควบคุมการรับประทานอาหารของคุณ แล้วเลื่อนตัวสไลด์เวลาเข้าไปในบล็อคนั้นแล้วคลิกที่โรงอาหารของคุณเพื่อมอบหมายผู้คุมติดอาวุธ
buildtoolbar_popup_help_ArmedGuards_5        - คุณมีถึง 7 บล็อคเวลาต่างๆที่มีให้จัดตารางเวลา บวกกับโหมดแอคทีฟตลอดเวลาเป็นโหมดตั้งต้น ซึ่งช่วยให้คุณสร้างรูปแบบการสั่งปฏิบัติการที่ซับซ้อนที่สอดคล้องกับความต้องการของเรือนจำของคุณ
buildtoolbar_popup_help_ArmedGuards_6        - หากคุณไม่เลือกบล็อคเวลาด้วยตัวเองเมื่อมอบหมายยามติดอาวุธ ระบบจัดตารางเวลาจะใช้เวลาปัจจุบัน; ตรวจสอบให้แน่ใจว่าคุณเลือกเวลาที่ถูกต้องเมื่่อเปลี่่ยนการสั่งงาน!

interfacedeployment_PrioritizeArea			จัดลำดับความสัำคัญพื้นที่ (*X)
buildtoolbar_deployment_PrioritizeGuard			ใช้ตัวเลือกนี้เพื่อจัดลำดับความสำคัญยามที่มอบหมายให้ดูแลส่วนตา่งๆรอบๆเรือนจำของคุณ หากคุณขาดบุคลากร ยามจะพยายามดูแลพื้นที่ที่ให้ความสำคัญมากที่สุดของคุณก่อน มีสองระดับความสำคัญ; “สูง” (>>) และ “สูงมาก” (>>>)

interfacedeployment_BluePatrol				เส้นทางลาดตระเวนสีน้ำเงิน
buildtoolbar_deployment_BluePatrol			เส้นทางลาดตระเวนที่มีสีช่วยให้คุณสามารถมอบหมายพื้นที่ทับซ้อนกันและมอบหมายยามเฉพาะสำหรับเส้นทางนั้นๆ คลิกเพื่อลากและสร้างเส้นทางลาดตระเวนสีน้ำเงิน คลิกขวาเพื่อลากและลบเส้นทางลาดตระเวนสีน้ำเงิน ใช้ปุ่มมอบหมายยามเพื่อเพิ่มยามไปยังเส้นทางลาดตระเวน

interfacedeployment_MagentaPatrol			เส้นทางลาดตระเวนสีม่วง
buildtoolbar_deployment_MagentaPatrol			เส้นทางลาดตระเวนที่มีสีช่วยให้คุณสามารถมอบหมายพื้นที่ทับซ้อนกันและมอบหมายยามเฉพาะสำหรับเส้นทางนั้นๆ คลิกเพื่อลากและสร้างเส้นทางลาดตระเวนสีม่วง คลิกขวาเพื่อลากและลบเส้นทางลาดตระเวนสีม่วง ใช้ปุ่มมอบหมายยามเพื่อเพิ่มยามไปยังเส้นทางลาดตระเวน

interfacedeployment_PrioritizePatrol			จัดลำดับความสัำคัญเส้นทางลาดตระเวน
buildtoolbar_deployment_PrioritizePatrol		ใช้ตัวเลือกนี้เพื่อจัดลำดับความสำคัญยามที่มอบหมายให้ดูแลเส้นทางลาดตระเวนต่างๆรอบๆเรือนจำของคุณ หากคุณขาดบุคลากร ยามจะพยายามดูแลพื้นที่ที่ให้ความสำคัญมากที่สุดของคุณก่อน มีสองระดับความสำคัญ; “สูง” (>>) และ “สูงมาก” (>>>)

buildtoolbar_popup_filter_title                 ลิสต์ตัวกรอง
buiildtoolbar_popup_filter_toggle               คลิกปุ่มเพื่อเลือกสลับ
buildtoolbar_popup_filter_default               ค่าตั้งต้น
buildtoolbar_popup_filter_az                    A-Z
buildtoolbar_popup_filter_owned                 มีเจ้าของ
buildtoolbar_popup_filter_costhighlow           ต้นทุน (สูง-ต่ำ)
buildtoolbar_popup_filter_costlowhigh           ต้นทุน (ต่ำ-สูง)
buildtoolbar_popup_filter_indooroutdoor         ในร่ม-กลางแจ้ง
buildtoolbar_popup_filter_outdoorindoor         กลางแจ้ง-ในร่ม
buildtoolbar_popup_filter_quantity               ประมาณที่มีในครอบครอง
buildtoolbar_popup_filter_byroom                ตามห้อง






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							คลิกดับเบิ้ล:เคลื่อนย้ายวัตถุ

double_click_add_door							คลิกซ้ายดับเบิ้ลเพื่อเพิ่มประตู

codex_option_bureaucracyresearched				ได้มีการศึกษาระบบราชการแล้ว
codex_tooltip_bureaucracyresearched				เริ่มเกมใหม่โดยมีการศึกษาแผนผังระบบราชการทั้งหมดแล้ว

codex_option_jungle						ที่ดินป่าดงดิบ
codex_tooltip_jungle						สร้างบริเวณที่ดินเริ่มต้นที่มีความคล้ายป่ารกทึบ

codex_option_snowy						พื้นที่หิมะ
codex_tooltip_snowy						สร้างบริเวณที่ดินเริ่มต้นที่ปกคลุมไปด้วยหิมะ

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								การล้าง

action_Stretching								การออกกำลังกาย
action_PlayChess								การเล่นหมากรุก


plant_tree_location								ปลูกต้นไม้ใน *X

report_intake_cat_SuperMax							SuperMax

interface_undo							เลิกทำ

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               รักษาเรื่อนจำไว้ไม่สำเร็จ
codex_changelog_next                            ต่อไป >
codex_changelog_prev                            < ก่อนหน้า
codex_credits                                   เครดิต

codex_options_screenshotmode					โหมดจับภาพหน้าจอ
codex_tooltip_screenshotmode					ขณะอยู่ในโหมดจับภาพหน้าจอ กดปุ่ม [*K] ค้างไว้ และกด [*E] เพื่อเปิดปิด UI และ HUD
codex_sso_content_message						คุณได้ลงชื่อสมัครบัญชี Paradox แล้ว \n\n เพื่อเป็นการขอบคุณ หอคอยการ์ดพาวิลเลี่ยนใหม่ได้ถูกปลดล็อคในเกมแล้ว! หามันได้ในเมนูวัตถุ
codex_options_borderless_windowed               ไม่มีเขตแดน
codex_options_monitor                           จอแสดงผล


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	โหมดแสดงภาพ
codex_options_borderless_fullscreen		เต็มหน้าจอแบบไร้ขอบ
codex_options_display_monitor 			จอแสดงผล
codex_options_windowed_resolution               ความละเอียดของหน้าต่าง

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							กำแพง (อาร์ตเดโค)
material_blueWall								กำแพงแบบหรูหรา (ลายคาดสีฟ้า)
material_burgundyWall							กำแพงแบบหรูหรา (เบอร์กันดี)
material_greenWall								กำแพงแบบหรูหรา (สีเขียว)
material_orientalWall							กำแพง (ศิลปะตะวันออก)
material_cushionedwall							กำแพง (กันกระแทก)

material_sandstone								หินทราย 
material_limestonefloor							หินปูน 
material_blueCarpet								พรม (สีฟ้า)
material_redCarpet								พรม (สีแดง)
material_brownCarpet							พรม (สีน้ำตาล)
material_paddedfloor							กันกระแทก
material_grassstones							หญ้า และ หิน
material_grasscornerfloor						หญ้า
material_grasscornerfloor1						หญ้า
material_grasscornerfloor2						หญ้า
material_grasscornerfloor3						หญ้า
material_lunarfloor								ดวงจันทร์

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								ต้นไม้ (น่ากลัว)
object_cactustree								ต้นไม้ (กระบองเพชร)
object_sakuratree								ต้นไม้ (ซากุระ)
object_plantcactus								พืช (กระบองเพชร)
object_tyrestack								ล้อซ้อน
object_lamp										ไฟส่องสว่าง (ตะเกียง)
object_bathroomSink								อ่างล้างมือห้องน้ำ
object_bathroomHandDryer						ที่เป่าแห้งมือ
object_chestOfDrawers							ลิ้นชัก
object_woodenStool								เก้าอี้ไม้
object_woodenTable								โต๊ะไม้			
object_bucket									ถัง
object_shortbookcase							ตู้หนังสือ (เตี้ย)
object_outdoorTable								โต๊ะกลางแจ้ง
object_mooseHead								หัวกวางมูส
object_toiletSign								ป้าย (ห้องน้ำ)
object_rightArrowSign							ป้าย (ลูกศรขวา)
object_leftArrowSign							ป้าย (ลูกศรซ้าย)
object_infirmarySign							ป้าย (ห้องพยาลาล)
object_canteenSign								ป้าย (ห้องครัว)
object_showerSign								ป้าย (ห้องอาบน้ำ)
object_armourySign								ป้าย (คลังอาวุธ)
object_jaildoorred								ประตูเรือนจำ (แดง)
object_jaildoorgrey								ประตูเรือนจำ (เทา)
object_jaildoororange							ประตูเรือนจำ (ส้ม)
object_jaildoorYellow							ประตูเรือนจำ (เหลือง)
object_jaildoorlargered							ประตูเรือนจำขนาดใหญ่ (แดง)
object_jaildoorlargegrey						ประตูเรือนจำขนาดใหญ่ (เทา)
object_jaildoorlargeorange						ประตูเรือนจำขนาดใหญ่ (ส้ม)
object_jaildoorlargeyellow						ประตูเรือนจำขนาดใหญ่ (เหลือง)
object_coatstand								ที่แขวนเสื้อ
object_dogbowl									ชามอาหารสุนัข
object_footbridge                               สะพานลอย
object_footbridgesteel                          สะพานลอยข้างถนน
object_footbridgeb                              สะพานลอย B
object_footbridgesteelb                         สะพานลอยข้างถนน B
object_windowclassy								หน้าต่างหรูหรา
object_windowclassyLarge						หน้าต่างหรูหรา (ใหญ่)
object_gravestone								ป้ายสุสาน
object_psychiatrist								จิตแพทย์
object_orderly									เรียงตามลำดับ
object_rorschachTest							แบบทดสอบรอร์ชัค
object_anatomyModel								หุ่นจำลองกายวิภาค
object_flipboard								ฟลิปบอร์ด
object_medicineCabinetPsych						ตู้ยา
object_leatherchair								เก้าอี้หนัง
object_leatherSofa								โซฟาหนัง
object_parkbench								เก้าอี้ยาว (สวน)
object_fencegateguard							ประตูรั้ว (ของผู้คุม)
object_oaktable									โต๊ะ (โอ๊ค)
object_oakbench									เก้าอี้ยาว (โอ๊ค)
object_BoomBoxRoundHouse						วิทยุ

object_classic									คลาสสิค
object_dalmation								แดลเมเชียน
object_husky									ฮัสกี้
object_companion								เพื่อนคู่กาย
object_cat										แมว
object_direwoof									ไดร์วูล์ฟ

equipment_fountainPen							ปากกาหมึกซึม
equipment_goldPocketWatch						นาฬิกาพกสีทอง
equipment_sedativeShot							ยากล่อมประสาทแบบช็อต (เข็มฉีดยา)
equipment_sedativesyringe						ยากล่อมประสาท (เข็มฉีดยา)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				สร้างกำแพงอาร์ตเดโคเพื่อตกแต่งเรือนจำให้เหมือนสถาปัตยกรรมสมัยปี 1920
buildtoolbar_popup_mat_blueWall					สร้างกำแพงหรูหราที่ด้านบนของฐานรากเพื่อสร้างพื้นที่พนักงานและห้องใหม่ๆ
