
campaigncutscene_tooltip 				(คลิกเพื่อดำเนินเนื้อเรื่องในบทถัดไป)
adviser_food_troublesoon6				และเรื่องสุดท้าย เนื่องจากโรงอาหารของเราเสียหาย อาหารในกล่องของเราเลยเน่าเสีย ทิ้งกล่องพวกนั้นก่อนที่หนูหรือแมลงจะบุกเข้ามา

objective_food_deployguards				กำหนดตำแหน่งผู้คุม 10 คนประจำการรอบเรือนจำ
objective_food_deploypatrol				กำหนดตำแหน่งผู้คุม 2 คนประจำการที่ลานภายในอาคาร

objective_food_deployguards_description		หากต้องการกำหนดตำแหน่งผู้คุม ให้เปิดหน้าจอ "กระจายกำลัง" จากนั้นคลิกภายในส่วนของอาคารเพื่อกำหนด "สถานี" ผู้คุมจะถูกกำหนดให้กับสถานีที่สร้างขึ้นโดยอัตโนมัติ
objective_food_deploypatrol_description		เปิดหน้าจอ "กระจายกำลัง" จากนั้นเลือก "ลาดตระเวน" คลิกและลากเพื่อวาดเส้นทางการลาดตระเวน\n\nหากต้องการมอบหมายเส้นทางการลาดตระเวนให้ผู้คุม ให้คลิกอีกครั้งบนสี่เหลี่ยมใดก็ได้ในเส้นทางลาดตระเวน

objective_food_dumpfood 				ทิ้งอาหารที่เน่าเสีย
objective_food_dumpfood_description		อาหารเน่าเสียจะอยู่ที่ชั้นวางของทางตะวันออกเฉียงเหนือของเรือนจำ\n\nหากต้องการทิ้งไอเท็ม ให้คลิกที่ไอเท็ม จากนั้นคลิกที่ "ทิ้ง" ในเมนูป็อปอัป

adviser_food_doncantspeak1				....
adviser_food_doncantspeak2				โอย .... ...

adviser_food_doninfirmary0              พ่อกำลังจะพูดอะไรซักอย่าง
adviser_food_doninfirmary1				ไอ้พวกทุเรศ พวกแกตัวไหนที่เป็นคนทำเรื่องนี้?
adviser_food_doninfirmary2 				เราไม่ได้เป็นคนทำครับดอน ไฟไหม้คราวนี้เป็นอุบัติเหตุ
adviser_food_doninfirmary3 				หุบปากเน่าๆ ของแกแล้วฟังให้ดี พวกแกทั้งสองคน
adviser_food_doninfirmary4 				ถ้าชั้นรู้ว่าใครเป็นคนทำ ชั้นจะฆ่าทิ้งแกซะ!
adviser_food_doninfirmary5 				แต่เวลาของชั้นใกล้หมดแล้ว อีกเดี๋ยวชั้นก็คงต้องตายบนเตียงเน่าๆ นี่
adviser_food_doninfirmary6 				พวกเรายังมีธุรกิจของตระกูลที่ต้องทำ ตอนนี้เราไม่เหลืออะไรนอกจากชื่อปาแลร์โมแล้ว เพราะงั้นอย่าทำให้เสื่อมเสียเกียรติเด็ดขาด เข้าใจมั้ย?
adviser_food_doninfirmary7				ทราบแล้วครับพ่อ
adviser_food_donchat13					เราจะได้เห็นดีกัน นิโค่
adviser_food_donchat14					ระวังตัวไว้ให้ดี

adviser_food_founddrugs1				ไม่อยากเชื่อเลย
adviser_food_founddrugs2				คนของเรากำลังทิ้งของสดที่เน่าเสีย และพบว่ามีห่อยาเสพติดกับขวดเหล้าซ่อนอยู่ในกล่อง
adviser_food_founddrugs3				เราสงสัยมาซักระยะนึงแล้วว่าตระกูลปาแลร์โมลักลอบนำของเถื่อนเข้ามาในเรือนจำ แต่เรายังจับไม่ได้ว่าพวกเขาแอบเอาของเข้ามาด้วยวิธีไหน
adviser_food_founddrugs4 				เรื่องร้ายๆ นี่ชอบมาพร้อมกันจริงๆ

adviser_food_rebuild1                   เรายังมีงานต้องทำอีกมาก ตอนนี้งานสำคัญของเราคือการเปลี่ยนโรงครัวและโรงอาหาร
adviser_food_rebuild2                   ขั้นแรก เราจำเป็นต้องสร้างโรงครัวขึ้นมาใหม่ คุณจำเป็นต้องติดตั้งอุปกรณ์จำนวนมาก และจ้างคนครัวเข้ามา
adviser_food_rebuild3					เมื่อเสร็จแล้ว ให้สร้างโรงอาหารใหม่
adviser_food_rebuild4					เมื่อทำทุกอย่างเรียบร้อย คนครัวจะเริ่มเตรียมอาหารให้กับทุกคนในเรือนจำ
adviser_food_rebuild5                   ถ้าคุณไม่แน่ใจว่าจะต้องทำอะไร ให้ลองเน้นที่เป้าหมายในรายการสิ่งที่ต้องทำเพื่อดูคำใบ้

adviser_food_fightoutro1  				ยอดมาก ดูเหมือนว่าตระกูลปาแลร์โมกำลังขาดคน

adviser_food_sprinklerintro1 			เราน่าจะกำลังเผชิญกับปัญหาเรื่องลักลอบค้ายาเสพติดขั้นรุนแรง แต่เรายังไม่พร้อมจะรับมือในตอนนี้
adviser_food_sprinklerintro2 			ตอนนี้โรงครัวและโรงอาหารของเราพร้อมใช้งานแล้ว คนครัวของเราจะเริ่มเตรียมอาหารให้ทุกคน ซึ่งน่าจะช่วยให้อะไรๆ ดีขึ้น
adviser_food_sprinklers1                ผมกังวลใจจริงๆ เพราะนี่เป็นการจงใจวางเพลิงอย่างแน่นอน และเราจะต้องไม่ให้มันเกิดขึ้นอีก
adviser_food_sprinklers2 				ติดตั้งระบบฉีดน้ำดับเพลิงในครัวและโรงอาหารแห่งใหม่ และเชื่อมต่อระบบเข้ากับท่อน้ำหลัก

adviser_food_explainneeds1 				นักโทษทุกคนมีความต้องการของตนเอง ความต้องการเหล่านี้ส่งผลกระทบต่อพฤติกรรมของนักโทษโดยตรง ตอนนี้ทุกคนกำลังหิวจัด ก็เลยมีเสียงโวยวายอย่างที่คุณได้ยิน
adviser_food_explainneeds2 				อาหารเป็นหนึ่งในสิ่งที่นักโทษต้องการมากที่สุด ถ้าคุณไม่ใส่ใจอาจเกิดปัญหาร้ายแรงได้ การขาดอาหารเพียงไม่กี่มื้อก็อาจทำให้เกิดจลาจลในหมู่นักโทษได้
adviser_food_explainneeds3 				คุณสามารถตรวจสอบความต้องการของนักโทษทุกคนได้จาก "รายงานความต้องการ" ซึ่งสามารถเข้าถึงได้โดยเลือกไอคอน "รายงาน" ที่มุมขวาล่าง
adviser_food_explainneeds4				รายงานนี้จะแสดงความต้องการแต่ละหัวข้อของนักโทษทุกคนเอาไว้ สีแดงหมายความว่านักโทษจำนวนมากกำลังโกรธ เนื่องจากความต้องการในหัวข้อดังกล่าวไม่ได้รับการตอบสนอง
adviser_food_explainneeds5 				อย่างที่คุณเดาได้ ความต้องการในหัวข้อ "อาหาร" ของทุกคนเป็นสีแดง นอกจากนี้นักโทษเหล่านี้ยังเบื่อมาก (ความต้องการหัวข้อ "นันทนาการ") แถมเรือนจำก็ค่อนข้างสกปรก โดยสังเกตได้จากความต้องการในหัวข้อ "สภาพแวดล้อม" และ "เสื้อผ้า"
adviser_food_explainneeds6				ในฐานะสถาปนิกเรือนจำ คุณเลือกได้ว่าจะสนองความต้องการในหัวข้อใดก่อน  คุณสามารถติดตั้งโทรทัศน์ในห้องขังเพื่อไม่ให้นักโทษเบื่อ และจ้างภารโรงมาทำความสะอาดสถานที่ก็ได้
adviser_food_explainneeds7				หรือคุณจะเพิกเฉยต่อความต้องการของนักโทษ และใช้ความรุนแรงเพื่อควบคุมเรือนจำเพียงอย่างเดียวก็ได้
adviser_food_explainneeds8 				ผมปล่อยให้เป็นหน้าที่ของคุณก็แล้วกัน

objective_food_needs 					(เพิ่มเติม) มอบสิ่งที่นักโทษต้องการ
objective_food_handlefoodneed 			(เพิ่มเติม) ดูแลความต้องการด้านอาหารของนักโทษ
objective_food_handleboredomneed		(เพิ่มเติม) ดูแลความต้องการด้านนันทนาการของนักโทษ
objective_food_handleenvironmentneed	(เพิ่มเติม) ดูแลความต้องการด้านสภาพแวดล้อมของนักโทษ

objective_food_needs_description 					คุณสามารถดูความต้องการในภาพรวมของนักโทษทุกคนได้โดยคลิกที่ "รายงาน" (มุมขวาล่างของหน้าจอ) จากนั้นคลิกที่ "ความต้องการ"\nคุณยังสามารถเน้นที่ตัวนักโทษและดูความต้องการของพวกเขาได้\n\nนักโทษไม่เคยพอใจกับสิ่งที่ตนเองได้อยู่แล้ว และคุณจะต้องต่อสู้ในศึกนี้ตลอดไป
objective_food_handlefoodneed_description 			คนครัวของเราจะเตรียมอาหารให้ทุกคน และนักโทษทุกคนควรได้รับอาหารภายในช่วงเวลารับประทานอาหารมื้อต่อไป
objective_food_handleboredomneed_description 		การติดตั้งโทรทัศน์ในคุกของนักโทษแต่ละคนจะช่วยลดความเบื่อหน่ายได้อย่างมีประสิทธิภาพ หรือคุณสามารถสร้างห้องพักที่มีโทรทัศน์และโต๊ะพูลก็ได้เช่นกัน\n\nคุณยังสามารถวางโทรทัศน์ในห้องที่ใช้ร่วมกันเช่นโรงอาหารได้
objective_food_handleenvironmentneed_description 	จ้างภารโรงเอาไว้ จากนั้นเขาจะเริ่มทำความสะอาดสถานที่ต่างๆ

adviser_food_needssuccess1 				คุณแสดงความตั้งใจในการดูแลเอาใจใส่นักโทษได้อย่างดีเยี่ยม ทำได้ดีมาก
adviser_food_needssuccess2 				ตอนนี้คุณอาจสังเกตเห็นแล้วว่าเสื้อผ้าของนักโทษที่เหลือส่วนใหญ่เลอะเทอะไปหมด
adviser_food_needssuccess3 				ถ้าคุณต้องการดูแลในส่วนนี้ด้วย คุณจำเป็นต้องให้บริการซักรีดเพื่อจัดเตรียมเสื้อผ้าสะอาดให้นักโทษทุกคน
adviser_food_needssuccess4 				สร้างห้องซักรีดและจ้างภารโรงเพิ่มเพื่อเริ่มเตรียมเสื้อผ้าสะอาดให้นักโทษ

objective_food_laundry 					(เพิ่มเติม) ซักเสื้อผ้าให้สะอาด
objective_food_buildlaundry 			(เพิ่มเติม) สร้างห้องซักรีด
objective_food_hirejanitors             (เพิ่มเติม) จ้างภารโรงมากพอที่จะให้บริการซักรีด
objective_food_handleclothingneed 		(เพิ่มเติม) ดูแลความต้องการด้านเสื้อผ้าของนักโทษ

objective_food_buildkitchen             สร้างโรงครัว (ประมาณ 12 ตารางเมตร)
objective_food_buildkitchencookers      ติดตั้งเตาอย่างน้อย 4 ชุด
objective_food_buildkitchenfridges      ติดตั้งตู้เย็นอย่างน้อย 4 ตู้
objective_food_buildkitchensink         ติดตั้งอ่างล้างจานในครัว 1 อ่าง
objective_food_buildkitchenbin	 		วางถังขยะ 1 ถังในโรงครัว
objective_food_buildkitchenwatermains 	ต่ออ่างล้างจานเข้ากับท่อน้ำหลัก
objective_food_buildkitchenfloor 		(เพิ่มเติม) ปรับปรุงพื้นห้องครัว

objective_food_buildkitchen_description		คุณจะต้องสร้างฐานรากก่อน
objective_food_buildcanteen_description		คุณจะต้องสร้างฐานรากก่อน

objective_Food_HireChefs				จ้างคนครัวอย่างน้อย 8 คน
objective_food_CookMeals				(อัตโนมัติ) เตรียมอาหารให้กับนักโทษทุกคน

objective_food_buildcanteen             สร้างโรงอาหาร (ประมาณ 20 ตารางเมตร)
objective_food_buildservingtables       ติดตั้งโต๊ะเสิร์ฟอาหาร 2 ชุด
objective_food_buildcanteentables       ติดตั้งโต๊ะอย่างน้อย 6 ตัว
objective_food_buildcanteenchairs       ติดตั้งเก้าอี้ 2 ตัวล้อมโต๊ะแต่ละตัว
objective_food_buildcanteenbin	 		วางถังขยะ 1 ถังในโรงอาหาร
objective_food_buildcanteenfloor 		(เพิ่มเติม) ปรับปรุงพื้นโรงอาหาร


objective_food_buildsprinklers          ติดตั้งระบบฉีดน้ำดับเพลิงใหม่
objective_food_buildsprinklers1         ติดตั้งหัวฉีดน้ำดับเพลิงในโรงครัวสองสามชุด
objective_food_buildsprinklers2         ติดตั้งหัวฉีดน้ำดับเพลิงในโรงอาหารสองสามชุด
objective_food_connectwater             ต่อหัวฉีดน้ำดับเพลิงในโรงครัวเข้ากับท่อน้ำหลัก
objective_food_connectwater2			ต่อหัวฉีดน้ำดับเพลิงในโรงอาหารเข้ากับท่อน้ำหลัก
objective_food_feedprisoners            เตรียมอาหารมื้อค่ำ 1 มื้อให้เรียบร้อยโดยแจกจ่ายอาหารนักโทษให้ครบทุกคน

objective_food_buildkitchenwatermains_description   ท่อขนาดใหญ่ใช้สำหรับลำเลียงน้ำปริมาณมากด้วยแรงดันสูง ท่อขนาดเล็กใช้เชื่อมต่ออุปกรณ์ต่างๆ เข้ากับแหล่งน้ำ\n\nใช้มุมมอง "สาธารณูปโภค" เพื่อวางท่อขนาดใหญ่กับอาคารของคุณ จากนั้นต่อท่อขนาดเล็กจากท่อขนาดใหญ่ เพื่อนำไปหาอุปกรณ์ใกล้เคียงที่ต้องการน้ำ
objective_food_connectwater_description             ท่อขนาดใหญ่ใช้สำหรับลำเลียงน้ำปริมาณมากด้วยแรงดันสูง ท่อขนาดเล็กใช้เชื่อมต่ออุปกรณ์ต่างๆ เข้ากับแหล่งน้ำ\n\nใช้มุมมอง "สาธารณูปโภค" เพื่อวางท่อขนาดใหญ่กับอาคารของคุณ จากนั้นต่อท่อขนาดเล็กจากท่อขนาดใหญ่ เพื่อนำไปหาอุปกรณ์ใกล้เคียงที่ต้องการน้ำ
objective_food_connectwater2_description            ท่อขนาดใหญ่ใช้สำหรับลำเลียงน้ำปริมาณมากด้วยแรงดันสูง ท่อขนาดเล็กใช้เชื่อมต่ออุปกรณ์ต่างๆ เข้ากับแหล่งน้ำ\n\nใช้มุมมอง "สาธารณูปโภค" เพื่อวางท่อขนาดใหญ่กับอาคารของคุณ จากนั้นต่อท่อขนาดเล็กจากท่อขนาดใหญ่ เพื่อนำไปหาอุปกรณ์ใกล้เคียงที่ต้องการน้ำ

campaigncutscene_foodinfirmary			ศูนย์พยาบาล
campaigncutscene_foodfamily             ครอบครัว
campaigncutscene_foodfeud               ชำระแค้น
campaigncutscene_foodregret				สำนึก
campaigncutscene_foodsuccession 		สืบทอดตำแหน่ง

campaigncutscene_foodfamily_description		ตระกูลปาแลร์โมเคยทำธุรกิจยาเสพติดที่มีเครือข่ายครอบคลุมทั่วชายฝั่งตะวันออกของอเมริกา เรามารับฟังเรื่องราวของดอน ปาแลร์โม และครอบครัวของเขากัน

adviser_name_thedon                     ดอน ปาแลร์โม
adviser_name_thedonangry                ดอน ปาแลร์โม
adviser_name_nico                       นิโค่ ทาโมเรตตี้
adviser_name_nicoshower					นิโค่ ทาโมเรตตี้
adviser_name_nicosuited					นิโค่ ทาโมเรตตี้
adviser_name_sonny                      ซอนนี่ ปาแลร์โม
adviser_name_sonnysuited				ซอนนี่ ปาแลร์โม
adviser_name_sonnystrangled				ซอนนี่ ปาแลร์โม
adviser_name_anthonysuited				แอนโทนี่ ปาแลร์โม
adviser_name_wiggins					วิกกินส์
adviser_name_nicoinfirmary				นิโค่ ทาโมเรตตี้
adviser_name_vitalia					วิทาเลีย ปาแลร์โม

cutscene_foodfamily_palermo01			ดอน วิกเตอร์ ปาแลร์โม หัวหน้าตระกูลมาเฟียที่น่ากลัวที่สุดแห่งชายฝั่งตะวันออก
cutscene_foodfamily_palermo1			พวกปาแลร์โมหลบหนีการจับกุมของ FBI มาเป็นเวลาหลายสิบปีแล้ว
cutscene_foodfamily_palermo02			แอนโทนี่ ปาแลร์โม ลูกชายคนโตของดอนซึ่งเป็นทายาทตามธรรมเนียม เป็นผู้รับผิดชอบการปฏิบัติงานประจำวัน
cutscene_foodfamily_palermo03			นิโค่ ทาโมเรตตี้ ไม่ได้เป็นสมาชิกตามธรรมเนียม แต่ได้เข้ามาเป็นส่วนหนึ่งของแก๊งเนื่องจากแต่งงานกับวิทาเลีย ลูกสาวคนเดียวของดอน
cutscene_foodfamily_palermo04			และซอนนี่ ปาแลร์โม ลูกชายคนที่สองของดอน กากเดนสังคมตัวจริง อารมณ์ร้อนเหมือนหมาพิตบูลและฉลาดไม่ได้ครึ่งนึงด้วยซ้ำ

cutscene_foodfamily_palermo2 			อาณาจักรยาเสพติดของพวกเขามีอาณาเขตตั้งแต่เมนถึงฟลอริดา
cutscene_foodfamily_palermo3			จนกระทั่งแอนโทนี่ถูกจับได้ว่าเป็นชู้กับผู้หญิงคนหนึ่ง
cutscene_foodfamily_palermo3b           สามีของผู้หญิงคนนี้สืบทราบว่าทั้งคู่ลักลอบเป็นชู้กัน เขาโกรธแค้นเป็นอันมาก จึงยิงแอนโทนี่และภรรยาจนถึงแก่ความตาย
cutscene_foodfamily_palermo4			นับเป็นคราวเคราะห์ของตระกูล ตำรวจตรวจสอบที่เกิดเหตุและพบโคเคนยังไม่ได้บรรจุ 12 กิโลกรัมในกระเป๋าเป้ของแอนโทนี่
cutscene_foodfamily_palermo5			หลักฐานทั้งหมดเชื่อมโยงไปถึงตัวการใหญ่ได้ในทันที
cutscene_foodfamily_palermo6			เพียงชั่วข้ามคืน ทุกสิ่งที่ตระกูลปาแลร์โมสั่งสมมาพังทลายลงในพริบตา FBI มีหลักฐานทุกอย่างมากพอที่จะขังลืมทุกคนในแก๊งได้เลย
cutscene_foodfamily_palermo7			เหตุการณ์นี้ทำให้วิทาเลีย ลูกสาวของดอน เป็นสมาชิกในตระกูลคนเดียวที่ยังมีชีวิตอยู่และไม่ติดคุก
cutscene_foodfamily_palermo8			เราไม่รู้ข้อมูลเกี่ยวกับเธอมากนัก เท่าที่รู้ก็คือเธอถูกกีดกันไม่ให้ยุ่งกับธุรกิจทุกอย่างของครอบครัว
cutscene_foodfamily_palermo9 			แต่คนที่ส่งยาเสพติดเข้ามาจะต้องเป็นคนภายนอกอย่างแน่นอน

adviser_food_findalldrugs1				เราจัดการกับปัญหาเรื่องอาหารได้แล้ว  ตอนนี้พวกนักโทษคงพอใจขึ้นมากเพราะได้กินข้าวแล้ว

adviser_food_findalldrugs2				พนันได้เลยว่าปาแลร์โมต้องเป็นคนขายยาเสพติดให้กับพวกตัวแสบทุกคนในนี้แน่นอน
adviser_food_findalldrugs3				ผู้คุมเล่าให้ผมฟังว่านักโทษหลายคนมีอาการอยากยาหลังจากเกิดเหตุเพลิงไหม้
adviser_food_findalldrugs4				ผมต้องการให้คุณค้นตัวนักโทษทุกคนและค้นห้องขังทุกห้อง ผมมั่นใจว่าเราจะต้องเจอยาของปาแลร์โมทั่วเรือนจำแน่นอน

objective_food_findalldrugs					ค้นหายาเสพติดทั้งหมดในเรือนจำ
objective_food_findalldrugs_description 	ค้นห้องขังแต่ละห้องโดยคลิกที่นักโทษในห้องขัง แล้วคลิกที่ 'ค้นห้องขัง' หรือใช้ตัวเลือก "เช็คดาวน์" ในแถบเครื่องมือทางด้านล่างของหน้าจอ

objective_food_hiremoreguards 			(เพิ่มเติม) จ้างผู้คุมเพิ่มเพื่อเร่งความเร็วในการตรวจค้น

adviser_food_drugsfound1				ถ้ามองในแง่ดี งานของเราก็ไม่ได้ลำบากขึ้นซักเท่าไหร่ แต่นักโทษก็จะติดยาและติดเหล้ากันงอมแงม
adviser_food_drugsfound2				เราจำเป็นต้องช่วยคนพวกนี้  นี่เป็นวิธีเดียวที่จะควบคุมกิจกรรมของพวกเขาและรักษาพวกเขาให้หาย
adviser_food_drugsfound2b 				เริ่มโครงการบำบัดยาเสพติดในศูนย์พยาบาล แพทย์ของเราจะฉีดสารเคมีทดแทนเพื่อช่วยบรรเทาอาการอยากยาของผู้ป่วย
adviser_food_drugsfound3				สำหรับแอลกอฮอล์เราไม่มีสารเคมีทดแทน ดังนั้นผมขอแนะนำให้เริ่มการบำบัดแบบกลุ่ม
adviser_food_drugsfound4				คุณจะต้องสร้างห้องนั่งเล่นแห่งใหม่เพื่อจัดการบำบัดดังกล่าว
adviser_food_drugsfound5				หากต้องการเริ่มโครงการใหม่ ให้ไปที่ "รายงาน" ทางขวาล่างของหน้าจอ จากนั้นเลือก "โครงการ"

objective_food_drugtreatment			เริ่มโครงการบำบัดยาเสพติด
objective_food_cureaddictions			(เพิ่มเติม) เริ่มรักษานักโทษที่ติดยาเสพติด
objective_food_alcoholprogram			เริ่มโครงการบำบัดกลุ่มสำหรับผู้ติดแอลกอฮอล์
objective_Food_HelpAlcoholics			(เพิ่มเติม) เริ่มบำบัดผู้ติดแอลกอฮอล์ผ่านโครงการฟื้นฟู
objective_food_buildcommonroom 			สร้างห้องนั่งเล่น
objective_food_buildcommonroomchairs	สร้างที่ประชุมพร้อมเก้าอี้ 8 ตัว

objective_food_drugtreatment_description 	คลิกที่ "รายงาน" ทางด้านขวาล่างของหน้าจอ จากนั้นเลือกแท็บ "โครงการ" โครงการนี้ชื่อ "การรักษาอาการติดยาเสพติดด้วยวิธีการทางเภสัชศาสตร์" ซึ่งจะดำเนินการในศูนย์พยาบาล\n\nหมายเหตุ: คุณจะต้องกำหนดเวลาทำงานไว้อย่างน้อย 2 ชั่วโมงในตารางกิจกรรม เพื่อให้นักโทษสามารถเข้าร่วมโครงการได้
objective_food_alcoholprogram_description 	คลิกที่ "รายงาน" ทางด้านขวาล่างของหน้าจอ จากนั้นเลือกแท็บ "โครงการ" \n\nหมายเหตุ: คุณจะต้องกำหนดเวลาทำงานไว้อย่างน้อย 2 ชั่วโมงในตารางกิจกรรม เพื่อให้นักโทษสามารถเข้าร่วมโครงการได้

cutscene_food_feudintro1 				เกิดเรื่องแล้ว เราพบศพนักโทษในห้องอาบน้ำ
cutscene_food_feudintro2 				มีคนตายสองคน โชคดีที่เราติดกล้องวงจรปิดไว้
cutscene_food_feudintro3 				ถ้าคุณว่าง ให้คลิกที่รูปโพลารอยด์ในห้องอาบน้ำ จากนั้นเราจะมาดูกันว่าเกิดอะไรขึ้น

objective_food_triggerfightscene		เมื่อคุณพร้อมแล้ว คลิกที่รูปโพลารอยด์ในห้องอาบน้ำเพื่อดำเนินเนื้อเรื่องต่อ
objective_food_triggerfightscene_description 	ห้องอาบน้ำจะอยู่ทางตะวันตกเฉียงเหนือของเรือนจำ

cutscene_food_feud1b                    อยู่คนเดียวสินะ  เยี่ยมมาก
