# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
object_bleachers	Arquibancada
object_smallbench	Banco (Pequeno)
object_smalltable	Mesa (Pequena)
object_showerpillar	Chuveiro vertical


object_doorMat	Capacho

object_GuardPavilion	Pavilhão da guarda
object_GuardPavilionCorner	Pavilhão da guarda (Canto)

object_OfficeChair	Cadeira (Escritório)




















object_visitorDoor	Porta de visitante
object_ironingBoardShort	Tábua de passar (Pequena)
object_fencegatestaff	Cerca do portão (Funcionários)
object_fencegatestandard	Cerca do portão (Comum)
object_fencegatevisitor	Cerca do portão (Visitante)












object_walllight	Luz de parede
object_securedoor	Porta (Segura)
object_secretdoor	Porta (Secreta)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	É lama e é grátis!
buildtoolbar_popup_mat_yutaniwall	Construa paredes com uma aparência de alta tecnologia em fundações para criar novas áreas ou cômodos. Combina muito bem com o piso Cargo ou Solaco.

buildtoolbar_popup_mat_newbblockwall	Construa paredes de concreto vazado em fundações para criar novas áreas ou cômodos.
buildtoolbar_popup_mat_newbarredwall	Construa seções de parede gradeada sobre fundações para criar novas áreas ou cômodos.
buildtoolbar_popup_mat_newtiledwall	Construa paredes azulejadas sobre fundações para criar novas áreas ou cômodos.
buildtoolbar_popup_mat_newhedgewall	Cercas-vivas altas, mas frágeis. É mais uma decoração do que uma opção de segurança.









buildtoolbar_popup_mat_solacofloor	Dá aos pisos da prisão uma aparência de alta tecnologia. Combina muito bem com as paredes Yutani.
buildtoolbar_popup_mat_gratefloor	Dá aos pisos da prisão uma aparência de alta tecnologia.
buildtoolbar_popup_mat_newcargofloor	Dá aos pisos da prisão uma aparência personalizada.
buildtoolbar_popup_mat_newironfloor	Dá aos pisos da prisão uma aparência personalizada.
buildtoolbar_popup_mat_newcheckeredfloor	Provavelmente ficaria bem nas Cozinhas ou Cantinas.
buildtoolbar_popup_mat_snow	É como a água, só que mais fria e bonita.





buildtoolbar_popup_obj_snowyconifertree	É muito adequada para terrenos nevados.


buildtoolbar_popup_obj_palmtree	Normalmente brotam em terreno seco, mas agora você pode cultivá-las onde quiser.


buildtoolbar_popup_obj_bush	Dá às áreas externas um pouco de decoração.

buildtoolbar_popup_obj_streetlamp	Para iluminar estradas e caminhos.

buildtoolbar_popup_obj_floodlight	Uma iluminação externa alta que pode cobrir grandes áreas, como Pátios.








buildtoolbar_popup_obj_bleachers	Arquibancadas clássicas para grupos de detentos sentarem e pensar sobre seus próximos passos.
buildtoolbar_popup_obj_smallbench	Serve para sentar.
buildtoolbar_popup_obj_smalltable	Usada para apoiar comida.
buildtoolbar_popup_obj_showerpillar	Para posicionar no meio de uma sala de Chuveiro coletivo e, em seguida, conectar uma Cabeça de Chuveiro.


buildtoolbar_popup_obj_doorMat	Um capacho de borracha barato fica bem na frente das portas.


buildtoolbar_popup_obj_guardPavilion	Coloque em Pátios e abra áreas abertas para Guardas e Guardas Armados vigiarem seus detentos.\n	Atribua guardas no menu Alocação.\n -Aumenta o nível de Repressão na área.\n -Guardas são protegidos do clima.
buildtoolbar_popup_obj_guardPavilionCorner	Coloque nos cantos dos Pátios e áreas abertas para Guardas e Guardas Armados vigiarem seus detentos.\n	Atribua guardas no menu Alocação.\n -Aumenta o nível de Repressão na área.\n -Guardas são protegidos do clima.

buildtoolbar_popup_obj_officeChair	Uma cadeira para os funcionários se sentarem a uma mesa de escritório.




















buildtoolbar_popup_obj_visitorDoor	Uma porta que permite a entrada dos visitantes sem precisar de um guarda para abrir a porta. Guardas e funcionários também podem usar a porta, mas os detentos não.
buildtoolbar_popup_obj_ironingBoardShort	Uma tábua de passar menor.
buildtoolbar_popup_obj_fencegatestaff	Um Portão que combina bem com as Cercas e funciona da mesma maneira que uma porta.
buildtoolbar_popup_obj_fencegatestandard	Um Portão que combina bem com as Cercas e funciona da mesma maneira que uma porta.
buildtoolbar_popup_obj_fencegatevisitor	Um Portão que combina bem com as Cercas e funciona da mesma maneira que uma porta.












buildtoolbar_popup_obj_walllight	Uma luz estilo bunker para colocar nas paredes.
buildtoolbar_popup_obj_securedoor	Uma porta projetada para Solitárias com uma passagem para comida. Os guardas responsáveis por entregar as refeições podem passar a bandeja pela porta sem precisar entrar na cela.


interfacedeployment_guards	Atribuir Guardas
buildtoolbar_deployment_Guards	Atribua Guardas aos setores da prisão.

interfacedeployment_Dogs	Atribuir Adestradores
buildtoolbar_deployment_Dogs	Atribua Adestradores aos setores da prisão.

interfacedeployment_ArmedGuards	Atribuir Guardas Armados
buildtoolbar_deployment_ArmedGuards	Atribua Guardas armados aos setores da prisão.

interfacedeployment_patrols	Atribuir Guardas
buildtoolbar_deployment_Patrols	Atribua Guardas às Rotas de Ronda da prisão.

interfacedeployment_dogpatrols	Atribuir Adestradores
buildtoolbar_deployment_DogPatrols	Atribua Adestradores às Rotas de Ronda da prisão.

interfacedeployment_armedpatrols	Atribuir Guardas Armados
buildtoolbar_deployment_ArmedPatrols	Atribua Guardas Armados às Rotas de Ronda da prisão.

buildtoolbar_popup_help_Guards_1	A ferramenta Guardas permite que você posicione Guardas em zonas. Um guarda posicionado se movimenta aleatoriamente pela zona designada, e fará quaisquer tarefas de Guarda naquela área, tais como abrir portas.\n\n
buildtoolbar_popup_help_Guards_2	~Clique com o botão esquerdo para aumentar o número de Adestradores alocados a uma zona. Clique com o botão direito para remover um Guarda.\n\n
buildtoolbar_popup_help_Guards_3	^Dicas
buildtoolbar_popup_help_Guards_4	- Se você tiver Micromanagement desbloqueado, terá acesso ao Sistema de Posicionamento. Com isso você cria uma grade de horários de quando os guardas são designados para certas áreas. Por exemplo, se você só quer Guardas posicionados na Cantina durante a Rotina de alimentação, você pode clicar em cada bloco do Agendador alinhado com a sua Rotina de alimentação, e então mover o controle deslizante de tempo naquele bloco e clicar na Cantina para designar guardas.
buildtoolbar_popup_help_Guards_5	- Você tem até 9 blocos de tempo diferentes para Agendamento, além do modo padrão Sempre-ativo, que permite que você crie rotinas de alocação complexas de acordo com as necessidades da sua prisão.
buildtoolbar_popup_help_Guards_6	- Se você não selecionar manualmente um bloco de tempo ao atribuir Adestradores, o Agendador usará a hora atual; certifique-se de que selecionou a hora correta ao mudar sua Alocação!

buildtoolbar_popup_help_Dogs_1	A ferramenta Adestradores permite que você posicione Adestradores em zonas. Um guarda posicionado se movimenta aleatoriamente pela zona designada, e fará quaisquer tarefas de Guarda naquela área, tais como abrir portas.\n\n
buildtoolbar_popup_help_Dogs_2	~Clique com o botão esquerdo para aumentar o número de Adestradores alocados a uma zona. Clique com o botão direito para remover um Adestrador.\n\n
buildtoolbar_popup_help_Dogs_3	^Dicas
buildtoolbar_popup_help_Dogs_4	- Se você tiver Microgerenciamento desbloqueado, terá acesso ao Sistema de Posicionamento. Com isso você cria uma grade de horários de quando os Adestradores são designados para certas áreas. Por exemplo, se você só quer Guardas posicionados na Cantina durante a Rotina de alimentação, você pode clicar em cada bloco do Agendador alinhado com a sua Rotina de alimentação, e então mover o controle deslizante de tempo naquele bloco e clicar na Cantina para designar Adestradores.
buildtoolbar_popup_help_Dogs_5	- Você tem até 9 blocos de tempo diferentes para Agendamento, além do modo padrão Sempre-ativo, que permite que você crie rotinas de alocação complexas de acordo com as necessidades da sua prisão.
buildtoolbar_popup_help_Dogs_6	- Se você não selecionar manualmente um bloco de tempo ao atribuir Adestradores, o Agendador usará a hora atual; certifique-se de que selecionou a hora correta ao mudar sua Alocação!

buildtoolbar_popup_help_ArmedGuards_1	A ferramenta Guardas Armados permite que você posicione Guardas Armados em zonas. Um guarda posicionado se movimenta aleatoriamente pela zona designada, e fará quaisquer tarefas de Guarda naquela área, tais como abrir portas.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Clique com o botão esquerdo para aumentar o número de Guardas posicionados em uma zona. Clique com o botão direito para remover um Guarda.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Dicas
buildtoolbar_popup_help_ArmedGuards_4	- Se você tiver Microgerenciamento desbloqueado, terá acesso ao Sistema de Posicionamento. Com isso você cria uma grade de horários de quando os Guardas Armados são designados para certas áreas. Por exemplo, se você só quer Guardas Armados posicionados na Cantina durante a Rotina de alimentação, você pode clicar em cada bloco do Agendador alinhado com a sua Rotina de alimentação, e então mover o controle deslizante de tempo naquele bloco e clicar na Cantina para designar Guardas Armados.
buildtoolbar_popup_help_ArmedGuards_5	- Você tem até 9 blocos de tempo diferentes para Agendamento, além do modo padrão Sempre-ativo, que permite que você crie rotinas de alocação complexas de acordo com as necessidades da sua prisão.
buildtoolbar_popup_help_ArmedGuards_6	- Se você não selecionar manualmente um bloco de tempo ao atribuir Guardas Armados, o Agendador usará a hora atual; certifique-se de que selecionou a hora correta ao mudar sua Alocação!

interfacedeployment_PrioritizeArea	Priorizar área (*X)
buildtoolbar_deployment_PrioritizeGuard	Use esta opção para priorizar guardas atribuídos a setores específicos na sua prisão. Se você tiver poucos funcionários, os guardas tentarão cobrir primeiro as áreas priorizadas. Há dois níveis de prioridade disponíveis; "Alto" (>>) e "Muito alto" (>>>).

interfacedeployment_BluePatrol	Ronda azul
buildtoolbar_deployment_BluePatrol	As rotas de ronda coloridas permitem que você sobreponha as rondas e atribua guardas para cada uma. Clique e arraste para criar uma rota Azul. Clique com o botão direito e arraste para eliminar uma rota Azul. Use os botões Atribuir Guarda para adicionar guardas a uma rota de ronda.

interfacedeployment_MagentaPatrol	Ronda magenta
buildtoolbar_deployment_MagentaPatrol	As rotas de ronda coloridas permitem que você sobreponha as rondas e atribua guardas para cada uma. Clique e arraste para criar uma rota Magenta. Clique com o botão direito e arraste para eliminar uma rota Magenta. Use os botões Atribuir Guarda para adicionar guardas a uma rota de ronda.

interfacedeployment_PrioritizePatrol	Priorizar ronda
buildtoolbar_deployment_PrioritizePatrol	Use esta opção para priorizar guardas atribuídos a rondas específicas na sua prisão. Se você tiver poucos funcionários, os guardas tentarão cobrir primeiro as rotas priorizadas. Há dois níveis de prioridade disponíveis; "Alto" (>>) e "Muito alto" (>>>).

buildtoolbar_popup_filter_title	Filtrar lista
buiildtoolbar_popup_filter_toggle	Clique no botão para alternar
buildtoolbar_popup_filter_default	Padrão
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	Possui
buildtoolbar_popup_filter_costhighlow	Custo (Alto-Baixo)
buildtoolbar_popup_filter_costlowhigh	Custo (Baixo-Alto)
buildtoolbar_popup_filter_indooroutdoor	Interior-Exterior
buildtoolbar_popup_filter_outdoorindoor	Exterior-Interior
buildtoolbar_popup_filter_quantity	Quantidade em posse
buildtoolbar_popup_filter_byroom	Por cômodo






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	CLIQUE DUPLO: Mover objeto

double_click_add_door	Clique duas vezes com o botão esquerdo para adicionar portas.

codex_option_bureaucracyresearched	Burocracia pesquisada
codex_tooltip_bureaucracyresearched	Comece um novo jogo com a árvore de Burocracia totalmente pesquisada.

codex_option_jungle	Selva (Terreno)
codex_tooltip_jungle	Gere um terreno inicial que se assemelha a uma selva densa.

codex_option_snowy	Neve (Terreno)
codex_tooltip_snowy	Gere um terreno inicial coberto de neve.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Lavando

action_Stretching	Exercitando
action_PlayChess	Jogando xadrez


plant_tree_location	Plantar árvore em *X

report_intake_cat_SuperMax	SuperMax

interface_undo	Desfazer

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	Erro ao salvar a prisão.
codex_changelog_next	Próximo >
codex_changelog_prev	< Anterior
codex_credits	Créditos

codex_options_screenshotmode	Modo captura de tela
codex_tooltip_screenshotmode	Quando estiver no Modo Captura de Tela, segure a tecla [*K] e pressione [*E], para ligar/desligar toda a Interface do Usuário e painéis de jogo.
codex_sso_content_message	Você criou uma conta Paradox com sucesso.\n\nComo agradecimento, novas torres para o Pavilhão da Guarda foram desbloqueadas! Encontre-as no menu Objetos.
codex_options_borderless_windowed	Sem borda
codex_options_monitor	Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Modo de vídeo
codex_options_borderless_fullscreen	Tela inteira sem bordas
codex_options_display_monitor	Monitor de vídeo
codex_options_windowed_resolution	Resolução do modo janela

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Parede (art déco)
material_blueWall	Parede clássica (listras azuis)
material_burgundyWall	Parede clássica (vinho)
material_greenWall	Parede clássica (verde)
material_orientalWall	Parede (oriental)
material_cushionedwall	Parede (almofadada)

material_sandstone	Arenito
material_limestonefloor	Calcário
material_blueCarpet	Tapete (azul)
material_redCarpet	Tapete (vermelho)
material_brownCarpet	Tapete (castanho)
material_paddedfloor	Acolchoado
material_grassstones	Grama e pedras
material_grasscornerfloor	Canto com grama
material_grasscornerfloor1	Canto com grama
material_grasscornerfloor2	Canto com grama
material_grasscornerfloor3	Canto com grama
material_lunarfloor	Lunar

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Árvore (assustadora)
object_cactustree	Árvore (cacto)
object_sakuratree	Árvore (sakura)
object_plantcactus	Planta (cacto)
object_tyrestack	Pilha de Pneus
object_lamp	Luz (Lâmpada)
object_bathroomSink	Pia de banheiro
object_bathroomHandDryer	Secador de mãos
object_chestOfDrawers	Cômoda
object_woodenStool	Banco de madeira
object_woodenTable	Mesa de madeira
object_bucket	Balde
object_shortbookcase	Estante (curta)
object_outdoorTable	Mesa exterior
object_mooseHead	Cabeça de alce
object_toiletSign	Placa (sanitários)
object_rightArrowSign	Placa (seta para a direita)
object_leftArrowSign	Placa (seta para a esquerda)
object_infirmarySign	Placa (enfermaria)
object_canteenSign	Placa (refeitório)
object_showerSign	Placa (chuveiros)
object_armourySign	Placa (arsenal)
object_jaildoorred	Porta da prisão (vermelhas)
object_jaildoorgrey	Porta da prisão (cinzas)
object_jaildoororange	Porta da prisão (laranja)
object_jaildoorYellow	Porta da prisão (amarelas)
object_jaildoorlargered	Grande porta da prisão (vermelhas)
object_jaildoorlargegrey	Grande porta da prisão (cinzas)
object_jaildoorlargeorange	Grande porta da prisão (laranjas)
object_jaildoorlargeyellow	Grande porta da prisão (amarelas)
object_coatstand	Mancebo
object_dogbowl	Tigela de cachorro
object_footbridge	Passarela
object_footbridgesteel	Passarela de aço
object_footbridgeb	Passarela B
object_footbridgesteelb	Passarela de aço B
object_windowclassy	Janela elegante
object_windowclassyLarge	Janela elegante (grande)
object_gravestone	Lápide
object_psychiatrist	Psiquiatra
object_orderly	Enfermeiro
object_rorschachTest	Teste de Rorschach
object_anatomyModel	Modelo de Anatomia
object_flipboard	Cavalete flipchart
object_medicineCabinetPsych	Armário de remédios
object_leatherchair	Cadeira de couro
object_leatherSofa	Sofá de couro
object_parkbench	Banco (parque)
object_fencegateguard	Portão da cerca (guardas)
object_oaktable	Mesa (carvalho)
object_oakbench	Bancada (carvalho)
object_BoomBoxRoundHouse	Caixa de som

object_classic	Clássico
object_dalmation	Dálmata
object_husky	Husky
object_companion	Companheiro
object_cat	Gato
object_direwoof	Lobo gigante

equipment_fountainPen	Caneta-tinteiro
equipment_goldPocketWatch	Relógio de bolso de ouro
equipment_sedativeShot	Seringa sedativa
equipment_sedativesyringe	Sedativo (seringa)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Construa paredes em estilo art déco para criar um visual arquitetônico da década de 1920 para a prisão.
buildtoolbar_popup_mat_blueWall	Construa paredes clássicas sobre as fundações para criar novos aposentos ou áreas de funcionários.
buildtoolbar_popup_mat_burgundywall	Construa paredes clássicas sobre as fundações para criar novos aposentos ou áreas de funcionários.
buildtoolbar_popup_mat_greenwall	Construa paredes clássicas sobre as fundações para criar novos aposentos ou áreas de funcionários.
buildtoolbar_popup_mat_orientalwall	Construa paredes orientais para criar áreas na prisão com uma atmosfera japonesa antiga.
buildtoolbar_popup_mat_cushionedwall	Construa divisões de parede em cima das fundações, para criar novas áreas ou aposentos com um aspecto de couro sofisticado.
buildtoolbar_popup_mat_sandstone	Coloque lajotas de arenito em áreas ao ar livre.
buildtoolbar_popup_mat_limestonefloor	O chão é tem uma cor verde-limão desbotada.
buildtoolbar_popup_mat_blueCarpet	Coloque um tapete confortável. Perfeito para áreas de funcionários.
buildtoolbar_popup_mat_redCarpet	Coloque um tapete confortável. Perfeito para áreas de funcionários.
buildtoolbar_popup_mat_brownCarpet	Coloque um tapete confortável. Perfeito para áreas de funcionários.
buildtoolbar_popup_mat_paddedfloor	Combina com as paredes acolchoadas para criar uma cela completamente almofadada para os detentos criminosos psicóticos.
buildtoolbar_popup_mat_grassstones	Uma área com grama e lajotas.
buildtoolbar_popup_mat_grassscornerfloor	Um canto com grama e sujeira. Útil para percursos angulares.
buildtoolbar_popup_mat_lunarfloor	Uma superfície rochosa endurecida de aspeto interestelar.
buildtoolbar_popup_obj_spookytree	Uma árvore velha e misteriosa.
buildtoolbar_popup_obj_cactustree	Parece mais apropriado em terra firme.
buildtoolbar_popup_obj_sakuratree	Uma bela cerejeira com flores rosas.
buildtoolbar_popup_obj_plant	Uma planta doméstica agradável.
buildtoolbar_popup_obj_plantcactus	Um cacto em vaso para ambientes internos.
buildtoolbar_popup_obj_tyrestack	Funciona como uma mureta em volta da qual os prisioneiros e os funcionários circulam.
buildtoolbar_popup_obj_lamp	Uma luminária de chão ornamentada, perfeita para consultórios e áreas de funcionários.
buildtoolbar_popup_obj_bathroomSink	Nenhum banheiro higiênico fica completo sem uma
buildtoolbar_popup_obj_bathroomHandDryer	Fica perfeito com uma pia de banheiro
buildtoolbar_popup_obj_chestOfDrawers	Uma cômoda de madeira.
buildtoolbar_popup_obj_woodenStool	Ficaria ótimo com uma mesa de madeira.
buildtoolbar_popup_obj_woodenTable	Ficaria ótima com um banco de madeira.
buildtoolbar_popup_obj_bucket	Um balde simples.
buildtoolbar_popup_obj_shortbookcase	Uma estante de livros menor.
buildtoolbar_popup_obj_outdoorTable	Para os prisioneiros se sentarem e comerem ao ar livre.
buildtoolbar_popup_obj_mooseHead	Uma linda cabeça de alce com acabamento manual sobre uma placa.
buildtoolbar_popup_obj_toiletSign	Uma placa de parede com um símbolo de sanitários sobre ela.
buildtoolbar_popup_obj_rightArrowSign	Uma placa de parede com uma seta apontando para a direita.
buildtoolbar_popup_obj_leftArrowSign	Uma placa de parede com uma seta apontando para a esquerda.
buildtoolbar_popup_obj_infirmarySign	Uma placa de parede com um símbolo de enfermaria sobre ela.
buildtoolbar_popup_obj_canteenSign	Uma placa de parede com um símbolo de refeitório sobre ela.
buildtoolbar_popup_obj_showerSign	Uma placa de parede com um símbolo de chuveiro sobre ela.
buildtoolbar_popup_obj_armourySign	Uma placa de parede com um símbolo de arsenal sobre ela.
buildtoolbar_popup_obj_jaildoorred	Uma porta de prisão colorida para ajudar a marcar os blocos de celas da Segurança Máxima.
buildtoolbar_popup_obj_jaildoorgrey	Uma porta de prisão colorida para ajudar a marcar os blocos das celas de Baixa Segurança.
buildtoolbar_popup_obj_jaildoororange	Uma porta de prisão colorida para ajudar a marcar os blocos das celas de Segurança Média.
buildtoolbar_popup_obj_jaildooryellow	Uma porta de prisão colorida para ajudar a marcar os blocos das celas de Prisão Preventiva.
buildtoolbar_popup_obj_jaildoorlargered	Uma grande porta de prisão colorida para ajudar a marcar os blocos de celas da Segurança Máxima.
buildtoolbar_popup_obj_jaildoorlargegrey	Uma grande porta de prisão colorida para ajudar a marcar os blocos das celas de Baixa Segurança.
buildtoolbar_popup_obj_jaildoorlargeorange	Uma grande porta de prisão colorida para ajudar a marcar os blocos das celas de Segurança Média.
buildtoolbar_popup_obj_jaildoorlargeYellow	Uma grande porta de prisão colorida para ajudar a marcar os blocos das celas de Prisão Preventiva.
buildtoolbar_popup_obj_coatstand	Um móvel para deixar os casacos e chapéus dos funcionários.
buildtoolbar_popup_obj_dogbowl	Guarda água e comida para os cães de guarda cansados.\nAumenta a resistência de um cachorro em uma pequena quantidade.
buildtoolbar_popup_obj_secretdoor	Uma porta escondida disfarçada de estante que se abre para deixar passar os funcionários.
buildtoolbar_popup_obj_parkbench	Um banco de pátio ao ar livre.
buildtoolbar_popup_obj_fencegateguard	Um portão que fica ótimo com cercas, que só os guardas podem abrir.
buildtoolbar_popup_obj_oaktable	Para comer em cima dela.
buildtoolbar_popup_obj_oakbench	Para se sentar. Combina muito bem com a mesa de carvalho.

buildtoolbar_popup_obj_classic	O cão de guarda original; velho, mas experiente.
buildtoolbar_popup_obj_dalmation	Originalmente vivia em uma fazenda, mas agora trabalha na prevenção de fugas.
buildtoolbar_popup_obj_husky	Uma armadilha mortal para um fugitivo que sai pela neve.
buildtoolbar_popup_obj_companion	O melhor amigo do guarda
buildtoolbar_popup_obj_cat	Nem todo mundo gosta tanto de cachorros.
buildtoolbar_popup_obj_direwoof	Quem é que ousaria tentar fugir?

buildtoolbar_popup_filter_mostused	Mais usado
buildtoolbar_caters_safety	Atende às necessidades da Segurança.

interfacedeployment_orderly	Atribuir enfermeiros
buildtoolbar_deployment_orderly	Atribua um enfermeiro aos setores da sua prisão.

interfacedeployment_orderlypatrols	Atribuir enfermeiros
buildtoolbar_deployment_orderlypatrols	Atribua enfermeiros às rotas de patrulha dentro da prisão.

room_PaddedCell	Cela acolchoada
room_PaddedHoldingCell	Cela de espera acolchoada
room_PsychiatristOffice	Consultório psiquiátrico

interfaceplanning_BuildPlan	Construir projetos
interfaceplanning_ClearPlan	Limpar projetos
interfaceplanning_Door	Portas

buildtoolbar_improvement	- Aprimora o grau para *R.
buildtoolbar_improvement_windows	(se estiver de frente para o exterior)

buildplan_title	Escolha do tipo de parede
buildplan_message	Tudo pronto para construir seu projeto?\n	Esta ação não pode ser desfeita.\n\n	Todas as paredes planejadas serão construídas com o mesmo tipo de parede.\n	A escolha do tipo de parede pode ser alterada abaixo.
clearplan_title	Limpar projetos
clearplan_message	Você tem certeza de que quer limpar todos os projetos desenhados?\n \n\n	Esta ação não pode ser desfeita.

d11_custom_planning	Planejamento personalizado

buildtoolbar_popup_planning	Planeje sua prisão sem medo que os trabalhadores façam alguma coisa até você ter realmente definido. O menu de Planejamento permite que você escolha construir todas as estruturas e portas planejadas, apagar setores dos seus plantas, ou limpar todo o projeto e recomeçar.

buildtoolbar_popup_help_planningDoor_1	O tipo de porta selecionado será usado quando você colocar uma porta no projeto.
buildtoolbar_popup_help_quickBuildWall_1	O tipo de parede selecionado será utilizado na construção de sua(s) próxima(s) Construção(ões) Rápida(s)


buildtoolbar_popup_mat_blueclassywall	Construa paredes clássicas sobre as fundações para criar novos aposentos ou áreas de funcionários.
buildtoolbar_popup_mat_burgundyclassywall	Construa paredes clássicas sobre as fundações para criar novos aposentos ou áreas de funcionários.
buildtoolbar_popup_mat_greenclassywall	Construa paredes clássicas sobre as fundações para criar novos aposentos ou áreas de funcionários.

buildtoolbar_popup_obj_windowclassy	Faz o exterior ter uma aparência muito melhor do que a realidade.
buildtoolbar_popup_obj_windowclassyLarge	Faz o exterior ter uma aparência muito melhor do que a realidade.
buildtoolbar_popup_obj_gravestone	Sempre que ocorre uma morte na sua prisão, você recebe uma lápide.

buildtoolbar_popup_staff_psychiatrist	Funcionário de grau hierárquico elevado que presta consultas regulares aos nossos detentos criminosos psicóticos.\nOs psiquiatras realizam sessões individuais periódicas para ajudar a acalmar os nossos detentos criminosos psicóticos, assim que houver um programa de consulta psiquiátrica em vigor na prisão.\nSe tivermos muitos prisioneiros criminosos psicóticos, será necessário contratar alguns psiquiatras para ajudar. Tenha também um consultório.

buildtoolbar_popup_staff_orderly	Pessoal médico especialmente treinado para lidar com criminosos psicóticos.
buildtoolbar_popup_obj_leatherchair	Combina com o sofá de couro. Perfeito para os funcionários sentarem, mas, sem sombra de dúvida, bom demais para os prisioneiros.

