# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Alle ændringer
codex_tooltip_snowy						Generér et startområde, der er dækket af sne.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Vasker

action_Stretching								Træner
action_PlayChess								Spiller skak


plant_tree_location								Plante træ på *X

report_intake_cat_SuperMax							SuperMaks

interface_undo							baglæns

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Det lykkedes ikke at redde fængslet.
codex_changelog_next                            Næste >
codex_changelog_prev                            < Forrige
codex_credits                                   Rulletekster

codex_options_screenshotmode					Skærmbillede-tilstand
codex_tooltip_screenshotmode					I skærmbillede-tilstand kan du  holde [*K] nede og så trykke på [*E] for at slå ALLE skærmmenuer og brugerflader til eller fra.
codex_sso_content_message						Du har skrevet dig op til en Paradox-konto.\n\nSom tak er nye vagtpavillon-tårne blevet låst op i spillet. Find dem i menuen "Genstande".
codex_options_borderless_windowed               Uden ramme
codex_options_monitor                           Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Skærmindstilling 
codex_options_borderless_fullscreen		Uden ramme, fuld skærm
codex_options_display_monitor 			Skærm 
codex_options_windowed_resolution               Vinduesopløsning

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Væg (Art Deco)
material_blueWall								Stilet væg (Blå striber)
material_burgundyWall							Stilet væg (Bordeaux)
material_greenWall								Stilet væg (Grøn)
material_orientalWall							Væg (Orientalsk)
material_cushionedwall							Væg (Puder)

material_sandstone								Sandsten 
material_limestonefloor							Kalksten 
material_blueCarpet								Tæppe (Blåt)
material_redCarpet								Tæppe (Rødt)
material_brownCarpet							Tæppe (Brunt)
material_paddedfloor							Polstret
material_grassstones							Græs og sten
material_grasscornerfloor						Græshjørne
material_grasscornerfloor1						Græshjørne
material_grasscornerfloor2						Græshjørne
material_grasscornerfloor3						Græshjørne
material_lunarfloor								Måne

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Træ (Uhyggeligt)
object_cactustree								Træ (Kaktus)
object_sakuratree								Træ (Sakura)
object_plantcactus								Plante (Kaktus)
object_tyrestack								Dækstak
object_lamp										Lys (Lampe)
object_bathroomSink								Badeværelsesvask
object_bathroomHandDryer						Håndtørrer
object_chestOfDrawers							Kommode
object_woodenStool								Træskammel
object_woodenTable								Træbord			
object_bucket									Spand
object_shortbookcase							Bogreol (Kort)
object_outdoorTable								Udendørsbord
object_mooseHead								Elghoved
object_toiletSign								Skilt (Toiletter)
object_rightArrowSign							Skilt (Pil mod højre)
object_leftArrowSign							Skilt (Pil mod venstre)
object_infirmarySign							Skilt (Infirmeri)
object_canteenSign								Skilt (Kantine)
object_showerSign								Skilt (Bade)
object_armourySign								Skilt (Arsenal)
object_jaildoorred								Fængselsdør (Røde)
object_jaildoorgrey								Fængselsdør (Grå)
object_jaildoororange							Fængselsdør (Orange)
object_jaildoorYellow							Fængselsdør (Gule)
object_jaildoorlargered							Stor fængselsdør (Røde)
object_jaildoorlargegrey						Stor fængselsdør (Grå)
object_jaildoorlargeorange						Stor fængselsdør (Orange)
object_jaildoorlargeyellow						Stor fængselsdør (Gule)
object_coatstand								Stumtjener
object_dogbowl									Madskål
object_footbridge                               Gangbro
object_footbridgesteel                          Stålgangbro
object_footbridgeb                              Gangbro B
object_footbridgesteelb                         Stålgangbro B
object_windowclassy								Stilet vindue
object_windowclassyLarge						Stilet vindue (Stort)
object_gravestone								Gravsten
object_psychiatrist								Psykiater
object_orderly									Portør
object_rorschachTest							Rorshach-test
object_anatomyModel								Anatomimodel
object_flipboard								Vendetavle
object_medicineCabinetPsych						Medicinskab
object_leatherchair								Læderstol
object_leatherSofa								Lædersofa
object_parkbench								Bænk (Park)
object_fencegateguard							Hegnsport (Vagter)
object_oaktable									Bord (Eg)
object_oakbench									Bænk (Eg)
object_BoomBoxRoundHouse                        Ghettoblaster

object_classic									Klassisk
object_dalmation								Dalmatiner
object_husky									Husky
object_companion								Ledsager
object_cat										Kat
object_direwoof									Stor ulvehund

equipment_fountainPen							Fyldepen
equipment_goldPocketWatch						Guldlommeur
equipment_sedativeShot							Bedøvelse (Kanyle)
equipment_sedativesyringe						Bedøvelse (Kanyle)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Byg Art Deco-vægge for at give fængslet et præg af 1920'er-arkitektur.
buildtoolbar_popup_mat_blueWall					Byg stilede vægge oven på fundamenter for at lave nye områder til de ansatte eller rum.
buildtoolbar_popup_mat_burgundywall				Byg stilede vægge oven på fundamenter for at lave nye områder til de ansatte eller rum.
buildtoolbar_popup_mat_greenwall				Byg stilede vægge oven på fundamenter for at lave nye områder til de ansatte eller rum.
buildtoolbar_popup_mat_orientalwall				Byg orientalske vægge for at skabe områder med japansk stemning i fængslet.
buildtoolbar_popup_mat_cushionedwall			Byg vægsektioner oven på fundamenter for at lave nye områder eller rum, der udstråler rigdom.
buildtoolbar_popup_mat_sandstone				Læg sandsten i udendørsområder.
buildtoolbar_popup_mat_limestonefloor			Gulvet har samme farve som falmede limefrugter.
buildtoolbar_popup_mat_blueCarpet				Rul et blødt tæppe ud. Perfekt til de ansattes områder.
buildtoolbar_popup_mat_redCarpet				Rul et blødt tæppe ud. Perfekt til de ansattes områder.
buildtoolbar_popup_mat_brownCarpet				Rul et blødt tæppe ud. Perfekt til de ansattes områder.
buildtoolbar_popup_mat_paddedfloor				Matcher de polstrede vægge og skaber en fuldkommen polstret celle til sindssyge indsatte.
buildtoolbar_popup_mat_grassstones				Et græsdækket område med sandstensfliser.
buildtoolbar_popup_mat_grassscornerfloor		Et græshjørne med jord. Nyttigt til vinklede stier.
buildtoolbar_popup_mat_lunarfloor				En hård stenoverflade med et interstellart udseende.
buildtoolbar_popup_obj_spookytree				Et mærkeligt gammelt træ.
buildtoolbar_popup_obj_cactustree				Ville passe bedst til tør grund.
buildtoolbar_popup_obj_sakuratree				Et smukt kirsebærtræ med lyserøde blomster.
buildtoolbar_popup_obj_plant					En fin husplante.
buildtoolbar_popup_obj_plantcactus				En indendørskaktus i potte.
buildtoolbar_popup_obj_tyrestack				Fungerer som en lille væg, indsatte og ansatte kan gå rundt om.
buildtoolbar_popup_obj_lamp						En flot standerlampe, perfekte til kontorer og områder til de ansatte.
buildtoolbar_popup_obj_bathroomSink				Bør være en fast del af ethvert hygiejnisk badeværelse
buildtoolbar_popup_obj_bathroomHandDryer		Går perfekt sammen med badeværelsesvasken
buildtoolbar_popup_obj_chestOfDrawers			En trækommode med skuffer.
buildtoolbar_popup_obj_woodenStool				Ville gå godt sammen med et træbord.
buildtoolbar_popup_obj_woodenTable				Ville gå godt sammen med en træskammel	
buildtoolbar_popup_obj_bucket					Bare en spand
buildtoolbar_popup_obj_shortbookcase			En kortere hylde til bøger.
buildtoolbar_popup_obj_outdoorTable				Som indsatte kan sidde og stå ved udenfor.
buildtoolbar_popup_obj_mooseHead				Et smukt håndforarbejdet elghoved på en platte.
buildtoolbar_popup_obj_toiletSign				Et vægskilt med et toilet-symbol på.
buildtoolbar_popup_obj_rightArrowSign			Et vægskilt med en pil, der peger mod højre.
buildtoolbar_popup_obj_leftArrowSign			Et vægskilt med en pil, der peger mod venstre.
buildtoolbar_popup_obj_infirmarySign			Et vægskilt med et infirmeri-symbol på.
buildtoolbar_popup_obj_canteenSign				Et vægskilt med et kantine-symbol på.
buildtoolbar_popup_obj_showerSign				Et vægskilt med et bade-symbol på.
buildtoolbar_popup_obj_armourySign				Et vægskilt med et arsenal-symbol på.
buildtoolbar_popup_obj_jaildoorred				En farvet fængselsdør til maksimalt sikrede cellefløje.
buildtoolbar_popup_obj_jaildoorgrey				En farvet fængselsdør til minimalt sikrede cellefløje.
buildtoolbar_popup_obj_jaildoororange			En farvet fængselsdør til mellemsikrede cellefløje.
buildtoolbar_popup_obj_jaildooryellow			En farvet fængselsdør til beskyttelses-cellefløje.
buildtoolbar_popup_obj_jaildoorlargered			En stor farvet fængselsdør til maksimalt sikrede cellefløje.
buildtoolbar_popup_obj_jaildoorlargegrey		En stor farvet fængselsdør til minimalt sikrede cellefløje.
buildtoolbar_popup_obj_jaildoorlargeorange		En stor farvet fængselsdør til mellemsikrede cellefløje.
buildtoolbar_popup_obj_jaildoorlargeYellow		En stor farvet fængselsdør til beskyttelses-cellefløje.
buildtoolbar_popup_obj_coatstand				Til at hænge ansattes tøj og hatte på.
buildtoolbar_popup_obj_dogbowl					Indeholder vand og mad til trætte vagthunde.\nForøger en hunds udholdenhed en smule.
buildtoolbar_popup_obj_secretdoor				En dør skjult bag en bogreol, som kan åbne og lukke ansatte ind.
buildtoolbar_popup_obj_parkbench				An udendørs parkbænk.
buildtoolbar_popup_obj_fencegateguard			En port, der ser godt ud sammen med hegn, og som kun vagter kan åbne.
buildtoolbar_popup_obj_oaktable					Til at spise ved.
buildtoolbar_popup_obj_oakbench					Til at sidde på. Står godt til egebordet.

buildtoolbar_popup_obj_classic					Den oprindelige vagthund, som er gammel, men erfaren.
buildtoolbar_popup_obj_dalmation				Boede oprindeligt på en gård, men arbejder nu med flugtforhindring.
buildtoolbar_popup_obj_husky					En dødbringende fælde for undvegne fanger, der bevæger sig gennem sne.
buildtoolbar_popup_obj_companion				En vagts bedste ven
buildtoolbar_popup_obj_cat						Det er ikke alle, der elsker hunde.
buildtoolbar_popup_obj_direwoof					Hvem ville dog forsøge at flygte herfra?

buildtoolbar_popup_filter_mostused				Mest brugt
buildtoolbar_caters_safety						Lever op til sikkerhedsbehovet.

interfacedeployment_orderly						Tildel portører
buildtoolbar_deployment_orderly					Tildel portør til sektorerne i dit fængsel.

interfacedeployment_orderlypatrols				Tildel portører
buildtoolbar_deployment_orderlypatrols			Tildel portører til patruljeruterne i dit fængsel.

room_PaddedCell                                Polstret celle
room_PaddedHoldingCell                         Polstret forvaringscelle
room_PsychiatristOffice							Psykiaters kontor

interfaceplanning_BuildPlan			Byg planer
interfaceplanning_ClearPlan			Fjern planer
interfaceplanning_Door				Dør

buildtoolbar_improvement						- Forbedrer kvalitet på en *R
buildtoolbar_improvement_windows				 (Når den vender udad)

buildplan_title					Valg af vægtype			
buildplan_message				Er du klar til at bygge din plan?\n	Du vil ikke kunne fortryde denne handling.\n\n	Alle planlagte vægge vil blive bygget med samme vægtype.\n	Du kan ændre på dit valg af vægtype herunder.
clearplan_title					Fjern planer
clearplan_message				Er du sikker på, at du gerne vil fjerne alle de tegnede planer?\n \n	Du ville ikke kunne fortryde denne handling.

d11_custom_planning 				Specialplanlægning

buildtoolbar_popup_planning			Planlæg dit fængsel uden at bekymre dig om, at dine arbejdere skal lave noget, før du er klar. Planlægningsmenuen lader dig vælge at bygge alle planlagte bygninger og døre, slette dele af dine planer eller fjerne hele planen og starte forfra.

buildtoolbar_popup_help_planningDoor_1		Den valgte dørtype vil blive brugt, når du placerer en dør i din plan.
buildtoolbar_popup_help_quickBuildWall_1	Den valgte vægtype vil blive brugt, næste gang du bygger hurtigt.


buildtoolbar_popup_mat_blueclassywall			Byg stilede vægge oven på fundamenter for at lave nye områder eller rum til de ansatte.
buildtoolbar_popup_mat_burgundyclassywall		Byg stilede vægge oven på fundamenter for at lave nye områder eller rum til de ansatte.
buildtoolbar_popup_mat_greenclassywall			Byg stilede vægge oven på fundamenter for at lave nye områder eller rum til de ansatte.

buildtoolbar_popup_obj_windowclassy				Gør fængslet langt flotte at se på udefra, end det rent faktisk er.
buildtoolbar_popup_obj_windowclassyLarge		Gør fængslet langt flotte at se på udefra, end det rent faktisk er.
buildtoolbar_popup_obj_gravestone				Du modtager en gravsten for hvert eneste dødsfald i dit fængsel.

buildtoolbar_popup_staff_psychiatrist			Et avanceret medlem af din fængselsstab, der med jævne mellemrum fører samtaler med sindssyge indsatte.\nPsykiatere holder regelmæssige møder med sindssyge fanger for at få dem til at slappe af, når vi har startet et psykiatrisk konsultationsprogram i fængslet. \nHvis vi har mange sindssyge fanger, bør vi ansætte flere psykiatere, så vi kan tage os af dem alle sammen. Sørg også for, at de får hver deres kontor.

buildtoolbar_popup_staff_orderly				Lægestab, som er specialtrænet i håndtering af sindssyge.
buildtoolbar_popup_obj_leatherchair				Matcher lædersofaen. Perfekt for ansatte at sidde på og helt klart alt for fin til dine indsatte.

buildtoolbar_popup_obj_rorschachTest		    Tilføj en rorshach-test til psykiaterens kontor for at forbedre psykiaterens behandling af sindssyge indsatte.
buildtoolbar_popup_obj_anatomyModel				Tilføj en anatomimodel til psykiaterens kontor for at forbedre psykiaterens behandling af sindssyge indsatte.
buildtoolbar_popup_obj_flipboard				Tilføj en vendetavle med et hjernediagram til psykiaterens kontor for at forbedre psykiaterens behandling af sindssyge indsatte.
buildtoolbar_popup_obj_medicineCabinetPsych		Tilføj et medicinskab til psykiaterens kontor for at forbedre psykiaterens behandling af sindssyge indsatte.
