
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Ny
interfaceclone_cancel                           Afbryd Hurtig byg
interfaceclone_clone                            Klon

interfacetopbar_todo							Tjekliste
interfacetopbar_balance							Saldo *B
interfacetopbar_budget							Pengestrøm *C
interfacetopbar_income							Indtægter *I
interfacetopbar_expenses						Udgifter *C
interfacetopbar_day								DAG *D

interfacetopbar_title_balance					Saldo
interfacetopbar_title_budget					Daglig pengestrøm
interfacetopbar_title_cctv						Overvågningskamera
interfacetopbar_title_day						Dag
interfacetopbar_title_prisoners					Indsatte
interfacetopbar_title_guards					Vagter
interfacetopbar_title_tension                   Farer
interfacetopbar_title_weathericon               Vejr

interfacetopbar_tooltip_balance					Antallet af penge du har i banken.\n\nTryk for at søge om flere penge vha. tilskudslisten.
interfacetopbar_tooltip_budget					Antallet af penge du modtager hver dag, baseret på dine aktuelle udgifter og indtægter.\n\nTryk for at tilgå en detaljeret finansoversigt over dine indtægter og udgifter.
interfacetopbar_tooltip_cctv					Antallet af overvågningskameraer og skærme du ejer.
interfacetopbar_tooltip_day						Hvor længe du har drevet dit fængsel.
interfacetopbar_tooltip_prisoners				Antallet af indsatte i øjeblikket, og hvor mange der er plads til i dit fængsel.
interfacetopbar_tooltip_guards					Antallet af vagter der er tilgængelige til at arbejde i dit fængsel.
interfacetopbar_tooltip_tension                 Det overordnede fareniveau i dit fængsel, ifølge din sikkerhedschef.
interfacetopbar_tooltip_weathericon             Vejret og temperaturen lige nu.

interfacetopbar_tooltip_recenttransactions      Nylige transaktioner

interfacetopbar_tooltip_gametime                Sammenlagt spilletid: *X timer, *Y minutter, *Z sekunder

interfacetopbar_tooltip_totalguards             *X samlet antal vagter
interfacetopbar_tooltip_guardincapacitated      *X uarbejdsdygtige
interfacetopbar_tooltip_guardstationed          *X tildelt post
interfacetopbar_tooltip_guardpatrolling         *X på patrulje
interfacetopbar_tooltip_guardavailable          *X tilgængelige
interfacetopbar_tooltip_guardresting            *X hviler
interfacetopbar_tooltip_guardonbreak            *X har pause
interfacetopbar_tooltip_guardwantsabreak        (*X har brug for pause)
interfacetopbar_tooltip_guardactive             (*X reagerer på hændelser)
interfacetopbar_tooltip_guarddoingjob           *X udfører arbejde
interfacetopbar_tooltip_idle                    (*X er ledige)
interfacetopbar_tooltip_guardsstriking          *X STREJKER

interfacetopbar_tooltip_regularguards			Der er *X almindelige vagter
interfacetopbar_tooltip_armedguards             Der er *X bevæbnede vagter
interfacetopbar_tooltip_dogs                    Der er *X hundeførere
interfacetopbar_tooltip_snipers					Der er *X snigskytter

interfacetopbar_unlimitedfunds                  UENDELIGE PENGE
interfacetopbar_cheatsenabled					OMVEJE AKTIVERET

interfacetopbar_budget_moneyin					Penge ind: *M$ /dag
interfacetopbar_budget_moneyout					Penge ud: *M$ /dag
interfacetopbar_budget_cantgonegative           Du kan ikke have en negativ pengestrøm (dvs. større udgifter end indtægter) før du ansætter en revisor til at tage sig af finanserne.

interfacetopbar_prisoners_types					Der er i øjeblikket *X indsatte:
interfacetopbar_prisoners_capacity              Maksimale forsvarlige kapacitet: *X
interfacetopbar_prisonercells_shared            Kapacitet - delte celler: *X
interfacetopbar_prisonercells_unlocked          Kapacitet - ulåste områder: *X
interfacetopbar_prisonercells_minseconly        Kapacitet - minimum: *X
interfacetopbar_prisonercells_medseconly        Kapacitet - medium: *X
interfacetopbar_prisonercells_maxseconly        Kapacitet - maksimum: *X
interfacetopbar_prisonercells_protectedonly     Kapacitet - beskyttet: *X
interfacetopbar_prisonercells_supermaxonly      Kapacitet - SuperMaks: *X
interfacetopbar_prisonercells_deathrowonly      Kapacitet - dødsgangen: *X
interfacetopbar_prisonercells_staffonly         Ej tilgængelige: *X
interfacetopbar_prisoners_nocells               *X indsatte kan ikke tildeles en celle
interfacetopbar_prisonercells_parents           Forældrekapacitet: *X

interfacetopbar_cctv_current					Der er i øjeblikket *C kameraer
interfacetopbar_cctv_cap						Plads til *C kameraer

interfacetopbar_tension_currentlevel            Fareniveauet ligger på *X
interfacetopbar_tension_currentlevellow         Lav
interfacetopbar_tension_currentlevelmedium      Mellem
interfacetopbar_tension_currentlevelhigh        Høj
interfacetopbar_tension_increasing              og er på vej op
interfacetopbar_tension_decreasing              og er på vej ned
interfacetopbar_tension_description             FAKTORER:
interfacetopbar_tension_happyprisoners          - *X indsatte siger de bliver behandlet godt
interfacetopbar_tension_unhappyprisoners        + *X indsatte har alvorlige klager
interfacetopbar_tension_lockedupprisoners       + *X indsatte er lænket i deres celler eller sidder i isolation
interfacetopbar_tension_riotingprisoners        + *X indsatte laver oprør
interfacetopbar_tension_wellfedprisoners        - *X indsatte er mætte
interfacetopbar_tension_suppressedprisoners     = *X indsatte er underkuede (føjelige)
interfacetopbar_tension_activeriotguards        + *X fra uropatruljen er på stedet
interfacetopbar_tension_activearmedguards       + *X bevæbnede vagter er på vagt
interfacetopbar_tension_recentdeaths            + *X mennesker er blevet dræbt for nylig
interfacetopbar_tension_recentsearches          + *X indsatte er blevet visiteret unødigt for nylig
interfacetopbar_tension_angrygangmembers        + *X BANDEMEDLEMMER ER RASENDE (lederen bliver straffet)
interfacetopbar_tension_recentpunishments       = (AFSKRÆKKENDE) *X straffe er blevet uddelt for nylig
interfacetopbar_tension_recentcalmed            - *X er blevet beroliget for nylig
interfacetopbar_tension_staffmorale_low			+ Moralen blandt medarbejderne er lav
interfacetopbar_tension_staffmorale_high		- Moralen blandt medarbejderne er høj
interfacetopbar_tension_staffonstrike           + Dine medarbejdere strejker
interfacetopbar_tension_dangerzone				+ FAREZONE!

interfacetopbar_staffmorale_title				MEDARBEJDERMORAL
interfacetopbar_staffmorale_happystaff			+ *X medarbejdere er glade for deres arbejde
interfacetopbar_staffmorale_unhappystaff		- *X medarbejdere har alvorlige klager
interfacetopbar_staffmorale_injuredstaff		- *X medarbejdere er kvæstede
interfacetopbar_staffmorale_staffdeaths			- *X medarbejdere er døde i tjenesten
interfacetopbar_staffmorale_staffpayverygood	+ Medarbejdere er utrolig vellønnede
interfacetopbar_staffmorale_staffpaygood		+ Medarbejdere er vellønnede
interfacetopbar_staffmorale_staffpaybad 		- Medarbejdere får ikke nok i løn

interfacecontrol_mainmenu                       Hovedmenu (Esc)
interfacecontrol_mainmenu_tooltip               Vælg i hovedmenuen (Ny/Indlæs/Gem/Afslut osv.)
interfacecontrol_todo                           Tjekliste
interfacecontrol_todo_tooltip                   Vælg i tjeklisten
interfacecontrol_research                       Bureaukrati
interfacecontrol_research_tooltip               Åben bureaukratiskærmen, hvor du kan vælge administratorer til at åbne op for nye genstande, ansatte og faciliteter.
interfacecontrol_grading                        Fængselsbedømmelse
interfacecontrol_grading_tooltip                Åben fængselsbedømmelsesskærmen, der viser dig den samlede bedømmelse af hvor succesfuld du har været.

interface_confirmlandbuy                        Er du sikker på du vil købe dette stykke jord for $*X?
interface_loadconfirm                           Er du sikker på du vil indlæse denne bane? Al fremskridt der ikke er gemt vil gå tabt.
interface_saveconfirm                           Er du sikker på du vil gemme med dette filnavn? Eksisterende data vil blive overskrevet.

interface_landbuylabel                          *Xm x *Ym. Samlet areal *A kvadratmeter. *C

interface_action_dismantle                      Fjern
interface_action_dump                           Smid
interface_action_repair                         Reparér
interface_action_medicalbay                     Sygeafdeling
interface_action_search                         Gennemsøg
interface_action_searchcell                     Gennemsøg celle
interface_action_searchcellblock                Gennemsøg celleafsnit
interface_action_searchtoilets                  Gennemsøg toiletter
interface_action_sack                           Fyr
interface_action_dooropen                       Åbn dør
interface_action_doormodenormal                 Tilstand for dør: Normal
interface_action_doormodelockedshut             Lås lukket
interface_action_doormodelockedopen             Lås åben
interface_action_switchon                       Tænd
interface_action_switchoff                      Sluk
interface_action_sellobject                     Sælg genstand
interface_action_dismiss                        Giv fri
interface_action_connect                        Forbind
interface_action_clearconnections               Ryd forbindelser
interface_action_servoopen                      Åben ved aktivering
interface_action_servoclose                     Luk ved aktivering
interface_action_follow                         Følg
interface_action_rapsheet                       Vis Straffeattest

interface_contents_container                    Indhold: *X
interface_contents_stack                        Indhold: *X x *Y

interface_skip                                  SKIP

interface_error_riotmove                        Kan ikke få adgang: Oprør

interface_foundationsinprogress                 Fundamenter under udførelse
riot_underway                                   OPRØR UNDERVEJS
riot_status_prisoners                           *X indsatte gør oprør
shakedown_underway                              RAZZIA UDFØRES
shakedown_found                                 Fundet:

gameover_caption                                Tryk på ESC for at fortsætte

sector_jobs_max                                 Maks. jobs *X
sector_jobs_qualified                           Kvalificerede indsatte: *X
sector_jobs_required                            (Påkrævet: *X)
sector_noaccess                                 INGEN ADGANG
sector_insecure                                 USIKKER


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title					Hardware kompatibilitetstest
hardware_compat_message					Med din tilladelse, vil vi gerne indsamle følgende data om din computers hardware.\n\nDenne information er fuldstændig anonym og hjælper os med at understøtte Prison Architect på så mange forskellige typer hardware som muligt.\n\nMange tak!
hardware_compat_accept					Acceptér
hardware_compat_decline					Afslå

connectionmenu_connect                  Forbind
connectionmenu_disconnect               Afbryd
connectionmenu_clear                    Ryd
connectionmenu_done                     Færdig


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title                      Build
buildtoolbar_reports                    Rapporter
buildtoolbar_bangup                     Returnér til celler
buildtoolbar_lockdown                   Nedlåsning
buildtoolbar_shakedown                  Razzia
buildtoolbar_weaponsfree                Skyd frit

buildtoolbar_tooltip_reports			Åben "Rapporter"-vinduet for at se information vedrørende dine indsatte, ansatte, indtægter, tilskud m.m.
buildtoolbar_tooltip_bangup				Send alle (villige) indsatte tilbage til deres celler. De indsatte bliver meget vrede, hvis de er låst inde i for lang tid.
buildtoolbar_tooltip_lockdown			Låser alle døre i fængslet med det samme.
buildtoolbar_tooltip_shakedown          Beordr en øjeblikkelig gennemsøgning af alle celler. Det tager noget tid og det bringer de indsattes pis i kog.
buildtoolbar_tooltip_weaponsfree        Giv dine bevæbnede vagter lov til at dræbe. Snigskytter vil ikke længere affyre varselsskud, inden de skyder på mål.
buildtoolbar_tooltip_nostrike           Ikke tilgængeligt under medarbejderstrejker.

buildtoolbar_cost						Pris: *C$
buildtoolbar_cost_sqrft					Pris: *C$ /kv
buildtoolbar_wages						Lønninger: $*W per dag
buildtoolbar_upkeep						Vedligeholdelse: $*W om dagen
buildtoolbar_outdoor					Kun udendørs
buildtoolbar_indoor						Kun indendørs
buildtoolbar_walk_speed					Ganghastighed: *S
buildtoolbar_walk_speed_slow			Langsom
buildtoolbar_walk_speed_norm			Normal
buildtoolbar_walk_speed_fast			Hurtig
buildtoolbar_locked                     LÅST
buildtoolbar_locked_research			LÅST (Du mangler *B)
buildtoolbar_locked_administrator		LÅST (*B påkræves)
buildtoolbar_room						Rum

buildtoolbar_electrical                 - Elektrisk
buildtoolbar_highpower                  - Høj strømstyrke
buildtoolbar_water                      - Kræver forbindelse til vand
buildtoolbar_wired                      - Tilsluttet (forbindes til andre tilsluttede genstande)
buildtoolbar_modcontent                 - Brugergenereret indhold

buildtoolbar_popup_foundations			Byg/nedriv bygninger for at indrette dit fængsel.
buildtoolbar_popup_construction			Forskellige typer vægge og gulve.
buildtoolbar_popup_planning				Planlæg dit fængsel uden at bekymre dig om at dine arbejdere kommer i vejen.
buildtoolbar_popup_designation			Afmærk områder af dit fængsel til bestemte funktioner.
buildtoolbar_popup_objects				Placér brugbare genstande rundt omkring i dit fængsel.
buildtoolbar_popup_overlays				Identificér svagheder i dit fængsels indretning.
buildtoolbar_popup_utilities			Vandrør og elektriske systemer.
buildtoolbar_popup_staff				Ansæt de nødvendige folk for at holde dit fængsel kørende.
buildtoolbar_popup_deployment			Tildel områder af dit fængsel til de ansatte.
buildtoolbar_popup_logistics            Tildel arbejde til indsatte rundt omkring i fængslet. Du kan også selv kontrollere arbejdsopgaver i kantinen og vaskeriet.
buildtoolbar_popup_research				Lås op for nye muligheder til dit fængsel.
buildtoolbar_popup_emergencies			Ring efter nødhjælp, hvis det begynder at spidse til.
buildtoolbar_popup_clone				Kopiér og indsæt dine eksisterende bygninger.
buildtoolbar_popup_properties			Lær noget nyt lort
buildtoolbar_popup_contraband           Viser hvor kontrabande kommer fra, og alle typer kontrabande der er fundet for nylig i dit fængsel. Viser også dine hemmelige stikkere og deres oplysninger.
buildtoolbar_popup_grading              Se din samlede fængselsbedømmelse på 4 nøgleparametre - Afstraffelse, Rehabilitering, Sikkerhed og Helbred. Viser også tilbagefaldsraten for dit fængsel.
buildtoolbar_popup_prefabs              Klip og kopi eksisterende dele af dit fængsel eller placer forudbestemte rum.
buildtoolbar_popup_room_cell			Hvor dine indsatte bor.
buildtoolbar_popup_room_holdingcell		Et værelse hvor dine nye rekrutter skal opholde sig, indtil der er en celle klar til dem.
buildtoolbar_popup_room_solitary		En isoleret indespærring til de værste af de værste.
buildtoolbar_popup_room_dormitory       En varierende rumstørrelse til at huse flere indsatte. Desto større sovesal, desto flere indsatte kan den huse.
buildtoolbar_popup_room_familycell      Hvor dine indsatte bor, hvis de har små børn.
buildtoolbar_popup_room_sharedcell      En flerpersonerscelle. Kan huse op til otte indsatte.
buildtoolbar_popup_room_canteen			Hvor dine indsatte drikker deres eftermiddagste.
buildtoolbar_popup_room_kitchen			Et område hvor dine kokke tilbereder mad til de indsatte.
buildtoolbar_popup_room_shower			Bruges til at holde dine indsatte skinnende rene og fri for lus.
buildtoolbar_popup_room_yard			Lad dine indsatte se solen et par timer om dagen, snigskytterne skal nok holde øje med dem.
buildtoolbar_popup_room_storage			Område der bruges til at opbevare alt hvad dine ansatte kunne få brug for.
buildtoolbar_popup_room_deliveries		Hvor dine varer, materialer og indsatte bliver afleveret.
buildtoolbar_popup_room_garbage			Hvor dit affald afhentes.
buildtoolbar_popup_room_execution		Hvor indsatte bliver sendt hen for at dø.
buildtoolbar_popup_room_workshop		Hvor indsatte bliver sendt hen for at dø af kedsomhed, mens de laver nummerplader.
buildtoolbar_popup_room_security		Kontorer til dine vagter.
buildtoolbar_popup_room_office			Et område hvor dine administrative medarbejdere kan arbejde.
buildtoolbar_popup_room_medicalward		Et område hvor din lægestab kan arbejde.
buildtoolbar_popup_room_morgue			Stedet hvor døde indsatte og ansatte sendes hen.
buildtoolbar_popup_room_commonroom		Stedet hvor de indsatte har lidt fritid og kan slappe af.
buildtoolbar_popup_room_kennel          Hvor dine hunde bor.
buildtoolbar_popup_room_chapel          Hvad sker der når et bureaukratisk udvalg går sammen om at løse de indsattes religiøse behov? De opfinder et "Multi-religiøst bederum". Men vi kalder det bare kapellet.
buildtoolbar_popup_room_paroleroom      Dine indsatte kan blive prøveløsladt når de har afsonet 50% og 75% af deres straf. Deres skæbne bliver afgjort i dette lokale af fængselsinspektøren og den øverstbefalende vagt.\n\nBemærk: Øget sikkerhed anbefales. Indsatte er før blevet meget oprevet, når deres prøveløsladelse er blevet afvist.
buildtoolbar_popup_room_library         Dit fængsel får tilsendt kassevis af kasserede og brugte bøger fra hele landet. Brug de indsatte til at få sat bøgerne på de rigtige hylder.
buildtoolbar_popup_room_intake          Stedet dine indsatte først føres hen når de ankommer.
buildtoolbar_popup_room_nursery         Fællesrum for indsatte med små børn.
buildtoolbar_popup_room_shop            Butikkerne giver dine indsatte et sted at bruge deres hårdt tjente penge til at tilfredsstille deres luksusbehov. Kan også hjælpe med hygiejne, mad og rekreation. Du vil modtage penge fra hvert salg samt en daglig provision for alle solgte varer.

buildtoolbar_popup_obj_bed				Ikke for blød, ikke for hård, men lige tilpas. Eller, den er faktisk virkelig hård og alt for lille.
buildtoolbar_popup_obj_toilet			En basal menneskerettighed, hvis du lytter til hvad tosserne siger.
buildtoolbar_popup_obj_table			Passer perfekt sammen med en stol.
buildtoolbar_popup_obj_chair			Passer godt sammen med et bord.
buildtoolbar_popup_obj_bench			Til at sidde på.
buildtoolbar_popup_obj_electricchair	Leverer 2000V retfærdighed.
buildtoolbar_popup_obj_jaildoor			Holder dine indsatte hvor de hører hjemme.
buildtoolbar_popup_obj_jaildoorlarge	Holder mange af dine indsatte hvor de hører hjemme.
buildtoolbar_popup_obj_door				En simpel dør.
buildtoolbar_popup_obj_solitarydoor		En virkelig solid dør, der afholder selv de stærkeste indsatte fra at flygte.
buildtoolbar_popup_obj_staffdoor		En låst dør der kan åbnes af alle typer ansatte, bare ikke vagter.
buildtoolbar_popup_obj_window			Til at skimte solen igennem.
buildtoolbar_popup_obj_windowlarge		Til at skimte meget af solen igennem.
buildtoolbar_popup_obj_tree				At bekæmpe global opvarmning er vores allesammens ansvar.
buildtoolbar_popup_obj_light			Sørg for dine indsatte er synlige hele døgnet.
buildtoolbar_popup_obj_cooker			Varm mad giver dine indsatte en luksuriøs oplevelse.
buildtoolbar_popup_obj_fridge			Sørger for dine madvarer ikke bliver fordærvede.
buildtoolbar_popup_obj_bin				Ryddelighed er vigtigt, især hvis du vil undgå kontrabande.
buildtoolbar_popup_obj_sink				Alle medarbejdere skal vaske hænder. Vil virke hurtigere, hvis forbundet til varmt vand.
buildtoolbar_popup_obj_servingtable		Servér mad til dine indsatte.
buildtoolbar_popup_obj_officedesk		Dine ansatte har brug for at skrive mange ting ned. Giv dem et lækkert skrivebord at gøre det på.
buildtoolbar_popup_obj_filingcabinet	Dine ansatte har brug for at holde styr på de ting de skriver ned.
buildtoolbar_popup_obj_morgueslab		Sørg for de døde kan hvile i fred før de flyttes.
buildtoolbar_popup_obj_drain			Fjerner vand fra gulvet.
buildtoolbar_popup_obj_sprinkler	Sprøjter automatisk med vand i tilfælde af brand.
buildtoolbar_popup_obj_metaldetector	Find kontrabande på indsatte der går igennem disse. Det kræver en vagt i nærheden for at få fat i kontrabanden.
buildtoolbar_popup_obj_weightsbench		Tillad dine indsatte at motionere, så bliver de glade.
buildtoolbar_popup_obj_tv				Pacificer de indsatte med sindslammende middelmådighed. Kræver et sted, hvor indsatte kan sidde foran fjernsynet.
buildtoolbar_popup_obj_largetv			Lad en masse af de indsatte opleve at miste hjerneceller sammen. Kræver et sted, hvor indsatte kan sidde foran fjernsynet.
buildtoolbar_popup_obj_pooltable		Giv de indsatte et afbræk fra det monotone fængselsliv vha. et slag pool.
buildtoolbar_popup_obj_dismantleobject	Fjern en genstand fra dit fængsel.
buildtoolbar_popup_obj_altar            Sender dine bønner direkte til din foretrukne religiøse frelser.
buildtoolbar_popup_obj_pews             Siddepladser til de troende. Lavet af det hårdeste træ og uden polstring.
buildtoolbar_popup_obj_prayermat        Beskyt dine indsatte mod det beskidte gulv mens de beder.
buildtoolbar_popup_obj_guardtower       Et tårn hvorfra dine snigskytter (hyret separat) kan overvåge dit fængsel.

buildtoolbar_popup_staff_guard			Bruges til at holde indsatte i skak og væk fra ballade.
buildtoolbar_popup_staff_armedguard     Bevæbnet med et haglgevær, så indsatte tænker sig om en ekstra gang før de går til angreb.\n\nBemærk: Hver bevæbnet vagt har brug for sit eget skab i våbenlageret.
buildtoolbar_popup_staff_doctor			Helbreder automatisk alle sårede i nærheden, ligegyldig om det er vagter eller indsatte.
buildtoolbar_popup_staff_cook			Tilbereder mad til dine indsatte.
buildtoolbar_popup_staff_gardener		Holder dit fængsels udendørsareal pænt og rent.
buildtoolbar_popup_staff_janitor		Sørger for der er pænt og rent indenfor. Kan også hjælpe med vasketøjet.

buildtoolbar_popup_uts_powerstation		Producerer strøm der skal bruges i dit fængsel.
buildtoolbar_popup_uts_capacitor		Øger mængden af strøm der produceres, når den er placeret ved siden af et elværk.
buildtoolbar_popup_uts_electricalcable	Fordeler strøm rundt i dit fængsel.
buildtoolbar_popup_uts_powerswitch		Slår strøm til eller fra, for de kabler der er forbundet til den.\n\nHøjreklik for at slå til eller fra.
buildtoolbar_popup_uts_waterpumpstation	Forsyner dig med vand til dit fængsel.
buildtoolbar_popup_uts_pipevalve		Slår vand til eller fra, for de rør der er forbundet til den.
buildtoolbar_popup_uts_pipelarge		Fordeler en stor mængde vand, under højt tryk, rundt i fængslet. Røret er stort nok til at man kan kravle sig igennem en halv kilometer lort og ud i friheden.\n\nBemærk: Bruges normalt ikke til vaske, brusehoveder og lign. - trykket er for højt. Brug de små rør i stedet.
buildtoolbar_popup_uts_pipesmall		Bruges til at forbinde genstande som toiletter, brusere, vaske og lign. til dit netværk af store vandrør. Trykket er meget lavt, så det er begrænset hvor lange rørene kan være, før trykket bliver for lavt.
