# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Все изменения
object_secretdoor	Дверь (потайная)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	Это грязь. Она бесплатна!
buildtoolbar_popup_mat_yutaniwall	Стройте на фундаментах крутые и технологичные стены, чтобы создавать новые помещения и комнаты. Отлично сочетаются с грузовыми дверями и солако.

buildtoolbar_popup_mat_newbblockwall	Стройте на фундаментах стены из шлакоблоков, чтобы создавать новые помещения и комнаты.
buildtoolbar_popup_mat_newbarredwall	Стройте на фундаментах стены-решетки, чтобы создавать новые помещения и комнаты.
buildtoolbar_popup_mat_newtiledwall	Стройте на фундаментах стены с плиткой, чтобы создавать новые помещения и комнаты.
buildtoolbar_popup_mat_newhedgewall	Высокие, но ненадежные ограды. Украсят колонию, но вряд ли остановят преступника.









buildtoolbar_popup_mat_solacofloor	Хай-тек на полу отдельно взятой тюрьмы. Прекрасно сочетаются со стенами Ютани.
buildtoolbar_popup_mat_gratefloor	Хай-тек на полу отдельно взятой тюрьмы.
buildtoolbar_popup_mat_newcargofloor	Изготовленные на заказ тюремные полы.
buildtoolbar_popup_mat_newironfloor	Изготовленные на заказ тюремные полы.
buildtoolbar_popup_mat_newcheckeredfloor	Будет отлично смотреться на кухне или в столовой.
buildtoolbar_popup_mat_snow	Напоминает воду, только холоднее и симпатичнее.





buildtoolbar_popup_obj_snowyconifertree	Будет уместно смотреться на занесенной снегом земле.


buildtoolbar_popup_obj_palmtree	Обычно пальмы растут в засушливых местах, но вы можете посадить их где хотите.


buildtoolbar_popup_obj_bush	Немного украсьте уличную территорию.

buildtoolbar_popup_obj_streetlamp	Освещает дорожки и тропинки.

buildtoolbar_popup_obj_floodlight	Высокий уличный фонарь для освещения больших участков — например, дворов.








buildtoolbar_popup_obj_bleachers	Классические трибуны для тюремных дворов, на которых сокамерники могут обсуждать свою нелегкую судьбу.
buildtoolbar_popup_obj_smallbench	На такой можно посидеть.
buildtoolbar_popup_obj_smalltable	За таким можно перекусить.
buildtoolbar_popup_obj_showerpillar	Разместите в центре душевой и прикрепите к каждой стороне по насадке для душа.


buildtoolbar_popup_obj_doorMat	Дешевый резиновый коврик, который украсит вход в помещение.


buildtoolbar_popup_obj_guardPavilion	Ставьте будки во дворах и на открытых территориях, чтобы охранники и вооруженные охранники могли приглядывать за заключенными.\n	Закрепляйте охранников за будками через меню «Расстановка».\n— Повышает уровень давления на территории.\n— Защищает охрану от непогоды.
buildtoolbar_popup_obj_guardPavilionCorner	Ставьте будки в углах дворов и открытых территорий, чтобы охранники и вооруженные охранники могли приглядывать за заключенными.\n	Закрепляйте охранников за будками через меню «Расстановка».\n— Повышает уровень давления на территории.\n— Защищает охрану от непогоды.

buildtoolbar_popup_obj_officeChair	Стул для того, чтобы сотрудники тюрьмы могли работать за офисным столом в самом центре.




















buildtoolbar_popup_obj_visitorDoor	Дверь, через которую посетители смогут попадать в тюрьму без необходимости тревожить охрану. Также этой дверью могут пользоваться охранники и персонал, но не заключенные.
buildtoolbar_popup_obj_ironingBoardShort	Гладильная доска поменьше.
buildtoolbar_popup_obj_fencegatestaff	Ворота, которые отлично сочетаются с оградами и работают так же, как двери.
buildtoolbar_popup_obj_fencegatestandard	Ворота, которые отлично сочетаются с оградами и работают так же, как двери.
buildtoolbar_popup_obj_fencegatevisitor	Ворота, которые отлично сочетаются с оградами и работают так же, как двери.












buildtoolbar_popup_obj_walllight	Лампочка словно из бункера, которая крепится на стене.
buildtoolbar_popup_obj_securedoor	Дверь для карцеров с окошком для еды. Охранники могут передать заключенному обед, не открывая дверь и не заходя в камеру.


interfacedeployment_guards	Назначить охрану
buildtoolbar_deployment_Guards	Назначить охрану для разных секторов тюрьмы.

interfacedeployment_Dogs	Назначить кинологов
buildtoolbar_deployment_Dogs	Назначить кинологов для разных секторов тюрьмы.

interfacedeployment_ArmedGuards	Назначить вооруженную охрану
buildtoolbar_deployment_ArmedGuards	Назначить вооруженную охрану для разных секторов тюрьмы.

interfacedeployment_patrols	Назначить охрану
buildtoolbar_deployment_Patrols	Задать маршруты патрулирования тюрьмы для охраны.

interfacedeployment_dogpatrols	Назначить кинологов
buildtoolbar_deployment_DogPatrols	Задать маршруты патрулирования тюрьмы для кинологов.

interfacedeployment_armedpatrols	Назначить вооруженную охрану
buildtoolbar_deployment_ArmedPatrols	Задать маршруты патрулирования тюрьмы для вооруженной охраны.

buildtoolbar_popup_help_Guards_1	Инструмент «Охранники» позволяет помещать охранников на посты в зонах. Охранник, базирующийся на своем посту, будет обходить назначенную ему зону в случайном порядке, а также выполнять все свои функции в этой зоне, например, открывать двери.\n\n
buildtoolbar_popup_help_Guards_2	~Щелкните левой кнопкой мыши, чтобы увеличить количество кинологов, расставляемых в зоне. Щелкните правой кнопкой мыши, чтобы удалить охранника.\n\n
buildtoolbar_popup_help_Guards_3	^Подсказки
buildtoolbar_popup_help_Guards_4	- Если разблокирована функция «Микроменеджмент», у вас есть доступ к планировщику расстановки. Он позволяет создавать расписание назначения охранников на определенные участки. Например, если вы хотите, чтобы охранники присутствовали в столовой только во время приема пищи, щелкните в планировщике на блоке, который соответствует времени приема пищи, затем поместите ползунок с временем на этот блок и щелкните на столовой, чтобы назначить охранников.
buildtoolbar_popup_help_Guards_5	— У вас есть до 9 разных временных блоков для составления графика, плюс установленный по умолчанию режим «Всегда активный». Это позволяет составлять сложные схемы распределения персонала в соответствии с потребностями тюрьмы.
buildtoolbar_popup_help_Guards_6	— Если вы сами вручную не выберете временной блок при назначении кинологов, планировщик использует текущее время. Не забывайте выбирать правильное время при распределении персонала!

buildtoolbar_popup_help_Dogs_1	Инструмент «Кинологи» позволяет помещать охранников на посты в зонах. Охранник, базирующийся на своем посту, будет обходить назначенную ему зону в случайном порядке, а также выполнять все свои функции в этой зоне, например, открывать двери.\n\n
buildtoolbar_popup_help_Dogs_2	~Щелкните левой кнопкой мыши, чтобы увеличить количество кинологов, расставляемых в зоне. Щелкните правой кнопкой мыши, чтобы удалить кинолога.\n\n
buildtoolbar_popup_help_Dogs_3	^Подсказки
buildtoolbar_popup_help_Dogs_4	- Если разблокирована функция «Микроменеджмент», у вас есть доступ к планировщику расстановки. Он позволяет создавать расписание назначения кинологов на определенные участки. Например, если вы хотите, чтобы кинологи присутствовали в столовой только во время приема пищи, щелкните в планировщике на блоке, который соответствует времени приема пищи, затем поместите ползунок с временем на этот блок и щелкните на столовой, чтобы назначить кинологов.
buildtoolbar_popup_help_Dogs_5	— У вас есть до 9 разных временных блоков для составления графика, плюс установленный по умолчанию режим «Всегда активный». Это позволяет составлять сложные схемы распределения персонала в соответствии с потребностями тюрьмы.
buildtoolbar_popup_help_Dogs_6	— Если вы сами вручную не выберете временной блок при назначении кинологов, планировщик использует текущее время. Не забывайте выбирать правильное время при распределении персонала!

buildtoolbar_popup_help_ArmedGuards_1	Инструмент «Вооруженные охранники» позволяет помещать вооруженных охранников на посты в зонах. Охранник, базирующийся на своем посту, будет обходить назначенную ему зону в случайном порядке, а также выполнять все свои функции в этой зоне, например, открывать двери.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Щелкните левой кнопкой мыши, чтобы увеличить количество охранников, расставляемых в зоне. Щелкните правой кнопкой мыши, чтобы удалить охранника.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Подсказки
buildtoolbar_popup_help_ArmedGuards_4	- Если разблокирована функция «Микроменеджмент», у вас есть доступ к планировщику расстановки. Он позволяет создавать расписание назначения вооруженных охранников на определенные участки. Например, если вы хотите, чтобы вооруженные охранники присутствовали в столовой только во время приема пищи, щелкните в планировщике на блоке, который соответствует времени приема пищи, затем поместите ползунок с временем на этот блок и щелкните на столовой, чтобы назначить вооруженных охранников.
buildtoolbar_popup_help_ArmedGuards_5	— У вас есть до 9 разных временных блоков для составления графика, плюс установленный по умолчанию режим «Всегда активный». Это позволяет составлять сложные схемы распределения персонала в соответствии с потребностями тюрьмы.
buildtoolbar_popup_help_ArmedGuards_6	— Если вы сами вручную не выберите временной блок при назначении вооруженных охранников, планировщик использует текущее время. Не забывайте выбирать правильное время при распределении персонала!

interfacedeployment_PrioritizeArea	Приоритет области (*X)
buildtoolbar_deployment_PrioritizeGuard	Используйте этот инструмент, чтобы назначить приоритет конкретным секторам вашей тюрьмы для назначенных охранников. Если у вас недостаток кадров, охрана сначала будет обходить приоритетные области. Доступны два варианта приоритета — «Высокий» (>>) и «Очень высокий» (>>>).

interfacedeployment_BluePatrol	Синий маршрут
buildtoolbar_deployment_BluePatrol	Окрашенные маршруты патрулирования могут пересекаться и дают вам возможность распределять охранников. Щелкните и потяните курсор для создания синего маршрута. Щелкните правой кнопкой мыши для стирания синего маршрута. Для закрепления охранников за маршрутом используйте кнопки «Назначить охрану».

interfacedeployment_MagentaPatrol	Пурпурный маршрут
buildtoolbar_deployment_MagentaPatrol	Окрашенные маршруты патрулирования могут пересекаться и дают вам возможность распределять охранников. Щелкните и потяните курсор для создания пурпурного маршрута. Щелкните правой кнопкой мыши для стирания пурпурного маршрута. Для закрепления охранников за маршрутом используйте кнопки «Назначить охрану».

interfacedeployment_PrioritizePatrol	Приоритет патрулирования
buildtoolbar_deployment_PrioritizePatrol	Используйте этот инструмент, чтобы назначить приоритет конкретным маршрутам патрулирования для назначенных охранников вашей тюрьмы. Если у вас недостаток кадров, охрана сначала будет проходить по приоритетным маршрутам патрулирования. Доступны два варианта приоритета — «Высокий» (>>) и «Очень высокий» (>>>).

buildtoolbar_popup_filter_title	Фильтр
buiildtoolbar_popup_filter_toggle	Нажмите на кнопку для включения
buildtoolbar_popup_filter_default	По умолчанию
buildtoolbar_popup_filter_az	По алфавиту
buildtoolbar_popup_filter_owned	В наличии
buildtoolbar_popup_filter_costhighlow	По убыванию цены
buildtoolbar_popup_filter_costlowhigh	По возрастанию цены
buildtoolbar_popup_filter_indooroutdoor	Помещение/улица
buildtoolbar_popup_filter_outdoorindoor	Улица/помещение
buildtoolbar_popup_filter_quantity	Есть в наличии
buildtoolbar_popup_filter_byroom	По комнатам






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	ДВОЙНОЙ ЩЕЛЧОК: перемещение объекта

double_click_add_door	Двойной щелчок ЛКМ — добавить дверь.

codex_option_bureaucracyresearched	Бюрократия на старте
codex_tooltip_bureaucracyresearched	Начать новую игру с полностью исследованной бюрократией.

codex_option_jungle	Закон джунглей
codex_tooltip_jungle	Начальный участок земли напоминает густые джунгли.

codex_option_snowy	Снежный плен
codex_tooltip_snowy	Начальный участок земли покрыт снегом.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Моется

action_Stretching	Упражняется
action_PlayChess	Играет в шахматы


plant_tree_location	Посадить дерево: *X

report_intake_cat_SuperMax	Сверхстрогий режим

interface_undo	Отменить

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	При сохранении тюрьмы произошла ошибка.
codex_changelog_next	Далее >
codex_changelog_prev	< Назад
codex_credits	Благодарность

codex_options_screenshotmode	Фоторежим
codex_tooltip_screenshotmode	В фоторежиме удерживайте клавишу [*K] и нажмите [*E], чтобы включать и выключать отображение всех элементов интерфейса.
codex_sso_content_message	Вы успешно вошли в учетную запись Paradox.\n\nВ качестве благодарности вам стали доступны новые будки-башни для охраны! Вы можете найти их в меню объектов.
codex_options_borderless_windowed	Без рамок
codex_options_monitor	Монитор


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Режим отображения
codex_options_borderless_fullscreen	Полный экран без рамок
codex_options_display_monitor	Монитор для отображения
codex_options_windowed_resolution	Разрешение в оконном режиме

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Стена (ар-деко)
material_blueWall	Стена изящная (синие полоски)
material_burgundyWall	Стена изящная (бордовая)
material_greenWall	Стена изящная (зеленая)
material_orientalWall	Стена (восточная)
material_cushionedwall	Стена (мягкая)

material_sandstone	Песчаник
material_limestonefloor	Известняк
material_blueCarpet	Ковер (синий)
material_redCarpet	Ковер (красный)
material_brownCarpet	Ковер (коричневый)
material_paddedfloor	Маты
material_grassstones	Трава и камни
material_grasscornerfloor	Трава (угол)
material_grasscornerfloor1	Трава (угол)
material_grasscornerfloor2	Трава (угол)
material_grasscornerfloor3	Трава (угол)
material_lunarfloor	Лунная поверхность

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Дерево (страшное)
object_cactustree	Дерево (кактус)
object_sakuratree	Дерево (сакура)
object_plantcactus	Растение (кактус)
object_tyrestack	Куча шин
object_lamp	Освещение (лампа)
object_bathroomSink	Раковина для ванной комнаты
object_bathroomHandDryer	Сушилка для рук
object_chestOfDrawers	Комод
object_woodenStool	Деревянный табурет
object_woodenTable	Деревянный стол
object_bucket	Ведро
object_shortbookcase	Книжная полка (небольшая)
object_outdoorTable	Уличный стол
object_mooseHead	Голова лося
object_toiletSign	Указатель (туалеты)
object_rightArrowSign	Указатель (стрелка вправо)
object_leftArrowSign	Указатель (стрелка влево)
object_infirmarySign	Указатель (лазарет)
object_canteenSign	Указатель (столовая)
object_showerSign	Указатель (душевые)
object_armourySign	Указатель (оружейная комната)
object_jaildoorred	Решетчатая дверь (красные)
object_jaildoorgrey	Решетчатая дверь (серые)
object_jaildoororange	Решетчатая дверь (оранжевые)
object_jaildoorYellow	Решетчатая дверь (желтые)
object_jaildoorlargered	Большая решетчатая дверь (красные)
object_jaildoorlargegrey	Большая решетчатая дверь (серые)
object_jaildoorlargeorange	Большая решетчатая дверь (оранжевые)
object_jaildoorlargeyellow	Большая решетчатая дверь (желтые)
object_coatstand	Вешалка для одежды
object_dogbowl	Собачья миска
object_footbridge	Пешеходный мост
object_footbridgesteel	Стальной пешеходный мост
object_footbridgeb	Пешеходный мост B
object_footbridgesteelb	Стальной пешеходный мост B
object_windowclassy	Окно изящное
object_windowclassyLarge	Окно изящное (большое)
object_gravestone	Надгробная плита
object_psychiatrist	Психиатр
object_orderly	Санитар
object_rorschachTest	Тест Роршаха
object_anatomyModel	Наглядное пособие
object_flipboard	Доска
object_medicineCabinetPsych	Шкафчик с лекарствами
object_leatherchair	Кожаное кресло
object_leatherSofa	Кожаная кушетка
object_parkbench	Лавка (парк)
object_fencegateguard	Калитка (для охраны)
object_oaktable	Стол (дуб)
object_oakbench	Лавка (дуб)
object_BoomBoxRoundHouse	Бумбокс

object_classic	Классика
object_dalmation	Далматинец
object_husky	Хаски
object_companion	Компаньон
object_cat	Кошка
object_direwoof	Лютоволк

equipment_fountainPen	Перьевая ручка
equipment_goldPocketWatch	Золотые карманные часы
equipment_sedativeShot	Укол с успокоительным (шприц)
equipment_sedativesyringe	Успокоительное (шприц)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Стройте стены в стиле ар-деко, чтобы создать в тюрьме атмосферу 1920-х годов.
buildtoolbar_popup_mat_blueWall	Стройте на фундаментах изящные стены, чтобы создавать новые комнаты и помещения для персонала.
buildtoolbar_popup_mat_burgundywall	Стройте на фундаментах изящные стены, чтобы создавать новые комнаты и помещения для персонала.
buildtoolbar_popup_mat_greenwall	Стройте на фундаментах изящные стены, чтобы создавать новые комнаты и помещения для персонала.
buildtoolbar_popup_mat_orientalwall	Стройте стены в восточном стиле, чтобы создать в тюрьме атмосферу средневековой Японии.
buildtoolbar_popup_mat_cushionedwall	Стройте на фундаментах стены, чтобы создавать новые помещения и комнаты, выглядящие дорого и богато.
buildtoolbar_popup_mat_sandstone	Кладите на улице плиты из песчаника.
buildtoolbar_popup_mat_limestonefloor	Напольное покрытие цвета вялого лайма.
buildtoolbar_popup_mat_blueCarpet	Сделайте пол мягким и приятным. Идеально подходит для комнат персонала.
buildtoolbar_popup_mat_redCarpet	Сделайте пол мягким и приятным. Идеально подходит для комнат персонала.
buildtoolbar_popup_mat_brownCarpet	Сделайте пол мягким и приятным. Идеально подходит для комнат персонала.
buildtoolbar_popup_mat_paddedfloor	Отлично сочетается с мягкими стенами и прекрасно подходит для содержания невменяемых заключенных.
buildtoolbar_popup_mat_grassstones	Брусчатка, поросшая травой.
buildtoolbar_popup_mat_grassscornerfloor	Поросшая травой грунтовая тропинка с поворотом.
buildtoolbar_popup_mat_lunarfloor	Каменистое покрытие, которое выглядит просто космически.
buildtoolbar_popup_obj_spookytree	Старое жутковатое дерево.
buildtoolbar_popup_obj_cactustree	Будет уместно смотреться на сухой земле.
buildtoolbar_popup_obj_sakuratree	Прекрасное вишневое дерево с розовыми цветами.
buildtoolbar_popup_obj_plant	Очаровательное домашнее растение.
buildtoolbar_popup_obj_plantcactus	Кактус в горшке, идеально подходящий для помещений.
buildtoolbar_popup_obj_tyrestack	Выполняет роль небольшой преграды, которую будут обходить и заключенные, и персонал.
buildtoolbar_popup_obj_lamp	Изящный напольный светильник, хорошо впишется в кабинеты и комнаты для персонала.
buildtoolbar_popup_obj_bathroomSink	Незаменимая вещь для ванной комнаты.
buildtoolbar_popup_obj_bathroomHandDryer	Этой штуке самое место рядом с раковиной.
buildtoolbar_popup_obj_chestOfDrawers	Деревянный комод.
buildtoolbar_popup_obj_woodenStool	Отлично сочетается с деревянным столом.
buildtoolbar_popup_obj_woodenTable	Отлично сочетается с деревянным табуретом
buildtoolbar_popup_obj_bucket	Обыкновенное ведро.
buildtoolbar_popup_obj_shortbookcase	Небольшая полка для книг.
buildtoolbar_popup_obj_outdoorTable	Стол, за которым заключенные могут сидеть на улице и есть.
buildtoolbar_popup_obj_mooseHead	Красивая голова лося, которую можно повесить на стену.
buildtoolbar_popup_obj_toiletSign	Настенный указатель со значком «Туалеты».
buildtoolbar_popup_obj_rightArrowSign	Настенный указатель со стрелкой, показывающей вправо.
buildtoolbar_popup_obj_leftArrowSign	Настенный указатель со стрелкой, показывающей влево.
buildtoolbar_popup_obj_infirmarySign	Настенный указатель со значком «Лазарет».
buildtoolbar_popup_obj_canteenSign	Настенный указатель со значком «Столовая».
buildtoolbar_popup_obj_showerSign	Настенный указатель со значком «Душевые».
buildtoolbar_popup_obj_armourySign	Настенный указатель со значком «Оружейная комната».
buildtoolbar_popup_obj_jaildoorred	Раскрашенная решетчатая дверь, с помощью которой можно выделить камеры строгого режима.
buildtoolbar_popup_obj_jaildoorgrey	Раскрашенная решетчатая дверь, с помощью которой можно выделить камеры более свободного режима.
buildtoolbar_popup_obj_jaildoororange	Раскрашенная решетчатая дверь, с помощью которой можно выделить камеры общего (среднего) режима.
buildtoolbar_popup_obj_jaildooryellow	Раскрашенная решетчатая дверь, с помощью которой можно выделить камеры режима защитной изоляции.
buildtoolbar_popup_obj_jaildoorlargered	Большая раскрашенная решетчатая дверь, с помощью которой можно выделить камеры строгого режима.
buildtoolbar_popup_obj_jaildoorlargegrey	Большая раскрашенная решетчатая дверь, с помощью которой можно выделить камеры более свободного режима.
buildtoolbar_popup_obj_jaildoorlargeorange	Большая раскрашенная решетчатая дверь, с помощью которой можно выделить камеры общего (среднего) режима.
buildtoolbar_popup_obj_jaildoorlargeYellow	Большая раскрашенная решетчатая дверь, с помощью которой можно выделить камеры режима защитной изоляции.
buildtoolbar_popup_obj_coatstand	Сюда можно повесить пальто, плащи и шляпы.
buildtoolbar_popup_obj_dogbowl	Сюда наливают воду и насыпают корм для уставших сторожевых псов.\nНемного повышает выносливость собак.
buildtoolbar_popup_obj_secretdoor	Потайная дверь для персонала, замаскированная под сдвижной книжный шкаф.
buildtoolbar_popup_obj_parkbench	Лавочка для уличного парка.
buildtoolbar_popup_obj_fencegateguard	Ворота, которые отлично сочетаются с оградами, а открыть их могут только охранники.
buildtoolbar_popup_obj_oaktable	За таким можно перекусить.
buildtoolbar_popup_obj_oakbench	На такой можно посидеть. Отлично сочетается с дубовым столом.

buildtoolbar_popup_obj_classic	Настоящий сторожевой пес. Он уже не молод, но очень опытен.
buildtoolbar_popup_obj_dalmation	Раньше этот пес жил на ферме, но сейчас сторожит заключенных.
buildtoolbar_popup_obj_husky	Этот пес догонит беглеца даже в снежной пустоши.
buildtoolbar_popup_obj_companion	Лучший друг охранника.
buildtoolbar_popup_obj_cat	Не всем нравятся собаки.
buildtoolbar_popup_obj_direwoof	Ну что, кто теперь рискнет сбежать?

buildtoolbar_popup_filter_mostused	Часто используемое
buildtoolbar_caters_safety	Обеспечивает безопасность.

interfacedeployment_orderly	Назначить санитаров
buildtoolbar_deployment_orderly	Закрепить санитаров за секторами тюрьмы.

interfacedeployment_orderlypatrols	Назначить санитаров
buildtoolbar_deployment_orderlypatrols	Закрепить за санитарами маршруты патрулирования.

room_PaddedCell	Камера с мягкими стенами
room_PaddedHoldingCell	Общая камера с мягкими стенами
room_PsychiatristOffice	Кабинет психиатра

interfaceplanning_BuildPlan	Создать планы
interfaceplanning_ClearPlan	Очистить планы
interfaceplanning_Door	Двери

buildtoolbar_improvement	— Повышает оценку *R
buildtoolbar_improvement_windows	(если направлено наружу)

buildplan_title	Выбор типа стены
buildplan_message	Вы готовы создать собственный план?\n	Это действие нельзя отменить.\n\n	Все стены в плане будут стенами одного типа.\n	Тип стен можно изменить ниже.
clearplan_title	Очистить планы
clearplan_message	Вы точно хотите очистить все планы?\n \n	Это действие нельзя отменить.

d11_custom_planning	Собственная планировка

buildtoolbar_popup_planning	Планировка тюрьмы возможна до начала строительства. Строители возьмутся за дело только по вашей команде. В меню планирования вы можете отдать команду построить все здания и двери по плану, стереть участок плана или очистить его полностью, чтобы начать сначала.

buildtoolbar_popup_help_planningDoor_1	Разместив на плане дверь, вы получите дверь выбранного типа.
buildtoolbar_popup_help_quickBuildWall_1	При работе в режиме быстрого строительства будет использован выбранный тип стены.


buildtoolbar_popup_mat_blueclassywall	Стройте на фундаментах изящные стены, чтобы создавать новые комнаты и помещения для персонала.
buildtoolbar_popup_mat_burgundyclassywall	Стройте на фундаментах изящные стены, чтобы создавать новые комнаты и помещения для персонала.
buildtoolbar_popup_mat_greenclassywall	Стройте на фундаментах изящные стены, чтобы создавать новые комнаты и помещения для персонала.
