# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Hele endringsloggen
buildtoolbar_popup_obj_guardPavilion			Settes i fangegårder og åpne områder, sånn at vakter og bevæpnede vakter kan passe på fangene.\n	Tildel vakter via Utplasseringsmenyen.\n -Øker nivået på Undertrykkelse i det området.\n -Vaktene er beskyttet mot været.
buildtoolbar_popup_obj_guardPavilionCorner		Settes i fangegårdenes hjørner og åpne områder, sånn at vakter og bevæpnede vakter kan passe på fangene.\n	Tildel vakter via Utplasseringsmenyen.\n -Øker nivået på Undertrykkelse i det området.\n -Vaktene er beskyttet mot været.

buildtoolbar_popup_obj_officeChair				En stol medarbeiderne kan bruke til å sitte på midten av kontorpulten.




















buildtoolbar_popup_obj_visitorDoor				En dør fengselets besøkende kan gå gjennom, uten at en vakt åpner den. Vakter og medarbeidere kan også bruke døren, men ikke fanger.
buildtoolbar_popup_obj_ironingBoardShort		Et kortere strykebrett.
buildtoolbar_popup_obj_fencegatestaff			En port som ser flott ut med gjerder, og som fungerer akkurat som en dør.
buildtoolbar_popup_obj_fencegatestandard		En port som ser flott ut med gjerder, og som fungerer akkurat som en dør.
buildtoolbar_popup_obj_fencegatevisitor			En port som ser flott ut med gjerder, og som fungerer akkurat som en dør.












buildtoolbar_popup_obj_walllight				Et lys i bunkerstil som kan settes på vegger.
buildtoolbar_popup_obj_securedoor				En dør laget for isolatceller som inneholder en matklaff. Vakter som leverer mat kan levere brettet gjennom døren, uten å måtte gå inn i cellen.


interfacedeployment_guards                      Sett ut vakter
buildtoolbar_deployment_Guards			Sett ut vakter til sektorene i fengselet ditt.
	
interfacedeployment_Dogs			Sett ut hundeførere
buildtoolbar_deployment_Dogs			Sett ut hundeførere til sektorene i fengselet ditt.

interfacedeployment_ArmedGuards			Sett ut bevæpnede vakter
buildtoolbar_deployment_ArmedGuards		Sett ut bevæpnede vakter til sektorer i fengselet ditt.

interfacedeployment_patrols                     Sett ut vakter
buildtoolbar_deployment_Patrols			Sett ut vakter til patruljerutene i fengselet ditt.

interfacedeployment_dogpatrols                  Sett ut hundeførere
buildtoolbar_deployment_DogPatrols		Sett ut hundeførere til patruljerutene i fengselet ditt.

interfacedeployment_armedpatrols                Sett ut bevæpnede vakter
buildtoolbar_deployment_ArmedPatrols		Sett bevæpnede vakter ut til patruljerutene i fengselet ditt.

buildtoolbar_popup_help_Guards_1        Med Vaktverktøyet kan du utplassere vakter i soner. En utplassert vakt beveger seg tilfeldig rundt i sonen sin, og utfører alle vaktoppgavene i det området, som å åpne dører.\n\n
buildtoolbar_popup_help_Guards_2        ~Venstreklikk for å øke antallet hundeførere som er utplassert i en sone. Høyreklikk for å fjerne en vakt.\n\n
buildtoolbar_popup_help_Guards_3        ^Tips
buildtoolbar_popup_help_Guards_4        - If you have Micromanagement unlocked, you will have access to the Deployment Scheduler. This lets you create a timetable of when Guards are assigned to certain areas. For example, If you only wanted Guards deployed in the Canteen during the Eat regime, you could click each block of the Scheduler that lines up with your Eat regime, then move the time slider into that block and click your Canteen to assign Guards.
buildtoolbar_popup_help_Guards_5        - Du har opptil 7 forskjellige tidsblokker tilgjengelige for planlegging, pluss standardmoduset «Alltid-aktiv», sånn at du kan lage kompliserte utplasseringsrutiner som passer med behovene til fengselet ditt. 
buildtoolbar_popup_help_Guards_6        - Hvis du ikke manuelt velger en tidsblokk når du utplasserer hundeførere kommer «Planleggeren» til å bruke den nåværende tiden. Se til at du har den riktige tiden når du endrer utplasseringen din!

buildtoolbar_popup_help_Dogs_1        Med hundeførerverktøyet kan du utplassere hundeførere i soner.  En utplassert vakt beveger seg tilfeldig rundt i sonen sin, og utfører alle vaktoppgavene i det området, som å åpne dører.\n\n
buildtoolbar_popup_help_Dogs_2        ~Venstreklikk for å øke antallet hundeførere som er utplassert i en sone. Høyreklikk for å fjerne en hundefører.\n\n
buildtoolbar_popup_help_Dogs_3        ^Tips
buildtoolbar_popup_help_Dogs_4        - If you have Micromanagement unlocked, you will have access to the Deployment Scheduler. This lets you create a timetable of when Dog Handlers are assigned to certain areas. For example, If you only wanted Dog Handlers deployed in the Canteen during the Eat regime, you could click each block of the Scheduler that lines up with your Eat regime, then move the time slider into that block and click your Canteen to assign Dog Handlers.
buildtoolbar_popup_help_Dogs_5        - Du har opptil 7 forskjellige tidsblokker tilgjengelige for planlegging, pluss standardmoduset «Alltid-aktiv», sånn at du kan lage kompliserte utplasseringsrutiner som passer med behovene til fengselet ditt. 
buildtoolbar_popup_help_Dogs_6        - Hvis du ikke manuelt velger en tidsblokk når du utplasserer hundeførere kommer «Planleggeren» til å bruke den nåværende tiden. Se til at du har den riktige tiden når du endrer utplasseringen din!

buildtoolbar_popup_help_ArmedGuards_1        Med bevæpnede vakter-verktøyet kan du utplassere bevæpnede vakter i soner. En utplassert vakt beveger seg tilfeldig rundt i sonen sin, og utfører alle vaktoppgavene i det området, som å åpne dører.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Venstreklikk for å øke antallet vakter som er utplassert i en sone. Høyreklikk for å fjerne en vakt.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Tips
buildtoolbar_popup_help_ArmedGuards_4        - If you have Micromanagement unlocked, you will have access to the Deployment Scheduler. This lets you create a timetable of when armed Guards are assigned to certain areas. For example, If you only wanted armed Guards deployed in the Canteen during the Eat regime, you could click each block of the Scheduler that lines up with your Eat regime, then move the time slider into that block and click your Canteen to assign armed Guards.
buildtoolbar_popup_help_ArmedGuards_5        - Du har opptil 7 forskjellige tidsblokker tilgjengelige for planlegging, pluss standardmoduset «Alltid-aktiv», sånn at du kan lage kompliserte utplasseringsrutiner som passer med behovene til fengselet ditt. 
buildtoolbar_popup_help_ArmedGuards_6        - Hvis du ikke manuelt velger en tidsblokk når du utplasserer bevæpnede vakter kommer «Planleggeren» til å bruke den nåværende tiden. Se til at du har den riktige tiden når du endrer utplasseringen din!

interfacedeployment_PrioritizeArea			Prioriteringsområdet (*X)
buildtoolbar_deployment_PrioritizeGuard			Bruk dette alternativet for å prioritere at vaktene som er satt ut dekker bestemte sektorer rundt fengselet ditt. Hvis få folk er på jobb, kan vaktene prøve å dekke de prioriterte områdene først. To prioriteringer er tilgjengelige: «Høy» (>>) og «Veldig høy» (>>>).

interfacedeployment_BluePatrol				Blå patrulje
buildtoolbar_deployment_BluePatrol			De fargede patruljerutene gjør at du kan overlappe og tildele dem adskilte vakter. Klikk og dra for å lage en blå patruljerute. Høyreklikk og dra for å nullstille en blå patruljerute. Bruk «Sett ut vakter»-knappen for å legge vakter til en patruljerute.

interfacedeployment_MagentaPatrol			Magenta-patruljen
buildtoolbar_deployment_MagentaPatrol			De fargede patruljerutene gjør at du kan overlappe og tildele dem adskilte vakter. Klikk og dra for å lage en Magenta-patruljerute. Høyreklikk og dra for å nullstille en Magenta-patruljerute. Bruk «Sett ut vakter»-knappen for å legge vakter til en patruljerute.

interfacedeployment_PrioritizePatrol			Prioritert patrulje
buildtoolbar_deployment_PrioritizePatrol		Bruk dette alternativet hvis du vil at vaktene du har satt ut skal prioritere å dekke bestemte patruljer rundt fengselet ditt. Hvis få folk er på jobb, kan vaktene prøve å dekke de prioriterte patruljeområdene først. To prioriteringer er tilgjengelige: «Høy» (>>) og «Veldig høy» (>>>).

buildtoolbar_popup_filter_title                 Filtrer listen
buiildtoolbar_popup_filter_toggle               Klikk på knappen for å bla
buildtoolbar_popup_filter_default               Standard
buildtoolbar_popup_filter_az                    A–Å
buildtoolbar_popup_filter_owned                 Eid
buildtoolbar_popup_filter_costhighlow           Pris (høy–lav)
buildtoolbar_popup_filter_costlowhigh           Pris (lav–høy)
buildtoolbar_popup_filter_indooroutdoor         Innendørs–Utendørs
buildtoolbar_popup_filter_outdoorindoor         Utendørs–Innendørs
buildtoolbar_popup_filter_quantity               Antall eid
buildtoolbar_popup_filter_byroom                Etter rom






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							DOBBELTKLIKK: Flytt gjenstanden

double_click_add_door							Venstreklikk to ganger for å legge til dører.

codex_option_bureaucracyresearched				Byråkratiet er forsket på
codex_tooltip_bureaucracyresearched				Start et nytt spill med hele byråkratitreet ditt ferdigforsket.

codex_option_jungle						Jungeltomt
codex_tooltip_jungle						Lag en starttomt av land som ligner på en tett jungel.

codex_option_snowy						Snødekket tomt
codex_tooltip_snowy						Lag en starttomt av land som er dekket med snø.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Vasking

action_Stretching								Trening
action_PlayChess								Spiller sjakk


plant_tree_location								Plant treet om *X

report_intake_cat_SuperMax							SuperMax

interface_undo							Angre

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Kunne ikke lagre fengselet.
codex_changelog_next                            Neste >
codex_changelog_prev                            < Forrige
codex_credits                                   Medvirkende

codex_options_screenshotmode					Skjermdumpmodus
codex_tooltip_screenshotmode					Når du er i skjermdumpmodus skal du holde inne [*K]-TASTEN og trykke på [*E] for å slå ALL UI og HUD av/på.
codex_sso_content_message						Du har opprettet en Paradox-konto.\n\nSom takk har vi valgt å låse opp vaktpaviljongtårnene i spillet! Du finner dem i Gjenstandsmenyen.
codex_options_borderless_windowed               Grenseløs
codex_options_monitor                           Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Visningsmodus 
codex_options_borderless_fullscreen		Grenseløs fullskjerm
codex_options_display_monitor 			Vis monitoren 
codex_options_windowed_resolution               Vindusmodusoppløsning

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Vegg (art deco)
material_blueWall								Elegant vegg (blåstripet)
material_burgundyWall							Elegant vegg (vinrød)
material_greenWall								Elegant vegg (grønn)
material_orientalWall							Vegg (orientalsk)
material_cushionedwall							Vegg (polstret)

material_sandstone								Sandstein 
material_limestonefloor							Kalkstein 
material_blueCarpet								Teppe (blått)
material_redCarpet								Teppe (rødt)
material_brownCarpet							Teppe (brunt)
material_paddedfloor							Polstret
material_grassstones							Gress og steiner
material_grasscornerfloor						Gresshjørne
material_grasscornerfloor1						Gresshjørne
material_grasscornerfloor2						Gresshjørne
material_grasscornerfloor3						Gresshjørne
material_lunarfloor								Måne

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Tre (nifst)
object_cactustree								Tre (kaktus)
object_sakuratree								Tre (kirsebær)
object_plantcactus								Plante (kaktus)
object_tyrestack								Dekkstabel
object_lamp										Lys (lampe)
object_bathroomSink								Baderomsvask
object_bathroomHandDryer						Håndtørker
object_chestOfDrawers							Kommode
object_woodenStool								Treskammel
object_woodenTable								Trebord			
object_bucket									Bøtte
object_shortbookcase							Bokhylle (kort)
object_outdoorTable								Utebord
object_mooseHead								Elghode
object_toiletSign								Skilt (toaletter)
object_rightArrowSign							Skilt (høyrepil)
object_leftArrowSign							Skilt (venstrepil)
object_infirmarySign							Skilt (sykestue)
object_canteenSign								Skilt (matsal)
object_showerSign								Skilt (dusj)
object_armourySign								Skilt (våpenlager)
object_jaildoorred								Fengselsdør (rød)
object_jaildoorgrey								Fengselsdør (grås)
object_jaildoororange							Fengselsdør (oransje)
object_jaildoorYellow							Fengselsdør (gul)
object_jaildoorlargered							Stor fengselsdør (rød)
object_jaildoorlargegrey						Stor fengselsdør (grå)
object_jaildoorlargeorange						Stor fengselsdør (oransje)
object_jaildoorlargeyellow						Stor fengselsdør (gul)
object_coatstand								Stumtjener
object_dogbowl									Hundeskål
object_footbridge                               Gangbro
object_footbridgesteel                          Gangbro av stål
object_footbridgeb                              Gangbro B
object_footbridgesteelb                         Gangbro av stål B
object_windowclassy								Elegant vindu
object_windowclassyLarge						Elegant vindu (stort)
object_gravestone								Gravstøtte
object_psychiatrist								Psykiater
object_orderly									Sykepasser
object_rorschachTest							Rorschachtest
object_anatomyModel								Anatomimodell
object_flipboard								Arktavle
object_medicineCabinetPsych						Medisinskap
object_leatherchair								Skinnstol
object_leatherSofa								Skinnsofa
object_parkbench								Benk (park)
object_fencegateguard							Grind (vakter)
object_oaktable									Bord (eik)
object_oakbench									Benk (eik)
object_BoomBoxRoundHouse						Stereo

object_classic									Klassisk
object_dalmation								Dalmatiner
object_husky									Husky
object_companion								Selskapshund
object_cat										Katt
object_direwoof									Skrekkhund

equipment_fountainPen							Fyllepenn
equipment_goldPocketWatch						Lommeur i gull
equipment_sedativeShot							Beroligende middel (sprøyte)
equipment_sedativesyringe						Beroligende (sprøyte)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Bygg art deco-vegger for å gi fengselet et preg av 1920-tallets arkitektur.
buildtoolbar_popup_mat_blueWall					Bygg elegante vegger oppå grunnmurer for å skape nye personalområder eller -rom.
buildtoolbar_popup_mat_burgundywall				Bygg elegante vegger oppå grunnmurer for å skape nye personalområder eller -rom.
buildtoolbar_popup_mat_greenwall				Bygg elegante vegger oppå grunnmurer for å skape nye personalområder eller -rom.
buildtoolbar_popup_mat_orientalwall				Bytt orientalske vegger for å lage områder i fengselet med et gammelt japansk preg.
buildtoolbar_popup_mat_cushionedwall			Bygg veggseksjoner oppå grunnmurer for å skape nye områder eller rom med en luksuriøs skinnstil.
buildtoolbar_popup_mat_sandstone				Legg ned sandsteinsheller i uteområdene.
buildtoolbar_popup_mat_limestonefloor			Gulvets farge minner om falmede limefrukter.
buildtoolbar_popup_mat_blueCarpet				Legg et mykt teppe på gulvet. Perfekt for personalområder.
buildtoolbar_popup_mat_redCarpet				Legg et mykt teppe på gulvet. Perfekt for personalområder.
buildtoolbar_popup_mat_brownCarpet				Legg et mykt teppe på gulvet. Perfekt for personalområder.
buildtoolbar_popup_mat_paddedfloor				Sammen med de polstrede veggene gir dette en fullstendig polstret celle for psykisk syke innsatte.
buildtoolbar_popup_mat_grassstones				En gressflekk med heller.
buildtoolbar_popup_mat_grassscornerfloor		Et gresshjørne med jord. Passer bra til vinklede gangstier.
buildtoolbar_popup_mat_lunarfloor				En steinete overflate med verdensrompreg.
buildtoolbar_popup_obj_spookytree				Et nifst gammelt tre.
buildtoolbar_popup_obj_cactustree				Passer best på tørt land.
buildtoolbar_popup_obj_sakuratree				Et vakkert kirsebærtre med rosa knopper.
buildtoolbar_popup_obj_plant					En fin potteplante.
buildtoolbar_popup_obj_plantcactus				En kaktus i blomsterpotte.
buildtoolbar_popup_obj_tyrestack				Fungerer som en liten vegg som innsatte og ansatte går rundt.
buildtoolbar_popup_obj_lamp						En pen stålampe som er perfekt for kontorer og personalområder.
buildtoolbar_popup_obj_bathroomSink				Obligatorisk på alle hygieniske bad.
buildtoolbar_popup_obj_bathroomHandDryer		Passer perfekt til baderomsvasken.
buildtoolbar_popup_obj_chestOfDrawers			En kommode av tre.
buildtoolbar_popup_obj_woodenStool				Passer godt til et trebord.
buildtoolbar_popup_obj_woodenTable				Passer godt til en treskammel.	
buildtoolbar_popup_obj_bucket					Bare en bøtte.
buildtoolbar_popup_obj_shortbookcase			En liten bokhylle.
buildtoolbar_popup_obj_outdoorTable				Her kan de innsatte sitte og spise utendørs.
buildtoolbar_popup_obj_mooseHead				Et vakkert, håndbearbeidet elghode på en plakett.
buildtoolbar_popup_obj_toiletSign				Et veggskilt med et toalettsymbol.
buildtoolbar_popup_obj_rightArrowSign			Et veggskilt med en pil som peker mot høyre.
buildtoolbar_popup_obj_leftArrowSign			Et veggskilt med en pil som peker mot venstre.
buildtoolbar_popup_obj_infirmarySign			Et veggskilt med et sykestuesymbol.
buildtoolbar_popup_obj_canteenSign				Et veggskilt med et matsalsymbol.
buildtoolbar_popup_obj_showerSign				Et veggskilt med et dusjsymbol.
buildtoolbar_popup_obj_armourySign				Et veggskilt med et våpenlagersymbol.
buildtoolbar_popup_obj_jaildoorred				En farget fengselsdør for høysikkerhetsavdelingen.
buildtoolbar_popup_obj_jaildoorgrey				En farget fengselsdør for lavsikkerhetsavdelingen.
buildtoolbar_popup_obj_jaildoororange			En farget fengselsdør for middelssikkerhetsavdelingen.
buildtoolbar_popup_obj_jaildooryellow			En farget fengselsdør for forvaringsavdelingen.
buildtoolbar_popup_obj_jaildoorlargered			En stor, farget fengselsdør for høysikkerhetsavdelingen.
buildtoolbar_popup_obj_jaildoorlargegrey		En stor, farget fengselsdør for lavsikkerhetsavdelingen.
buildtoolbar_popup_obj_jaildoorlargeorange		En stor, farget fengselsdør for middelssikkerhetsavdelingen.
buildtoolbar_popup_obj_jaildoorlargeYellow		En stor, farget fengselsdør for forvaringsavdelingen.
buildtoolbar_popup_obj_coatstand				Et sted hvor ansatte kan henge fra seg jakker og hatter.
buildtoolbar_popup_obj_dogbowl					For vann og mat til slitne vakthunder.\nGir en liten økning av en hunds utholdenhet.
buildtoolbar_popup_obj_secretdoor				En skjult dør forkledd som en bokhylle. Glir opp for å slippe ansatte inn.
buildtoolbar_popup_obj_parkbench				En parkbenk for bruk utendørs.
buildtoolbar_popup_obj_fencegateguard			En grind som passer godt i gjerder. Kan bare åpnes av vakter.
buildtoolbar_popup_obj_oaktable					For å spise ved.
buildtoolbar_popup_obj_oakbench					For å sitte på. Passer utmerket til eikebordet.

buildtoolbar_popup_obj_classic					Den originale vakthunden. Gammel, men erfaren.
buildtoolbar_popup_obj_dalmation				Pleide å leve på en gård, men jobber nå i sikkerhetstjenesten.
buildtoolbar_popup_obj_husky					En livsfarlig felle for innsatte som forsøker å flykte gjennom snøen.
buildtoolbar_popup_obj_companion				Vaktens beste venn.
buildtoolbar_popup_obj_cat						Ikke alle foretrekker hunder.
buildtoolbar_popup_obj_direwoof					Ethvert fluktforsøk vil være fånyttes.

buildtoolbar_popup_filter_mostused				Mest brukt
buildtoolbar_caters_safety						Bidrar til økt sikkerhet.

interfacedeployment_orderly						Tilordne sykepassere
buildtoolbar_deployment_orderly					Tilordne sykepassere til de ulike avdelingene i fengselet.

interfacedeployment_orderlypatrols				Tilordne sykepassere
buildtoolbar_deployment_orderlypatrols			Tilordne sykepassere til patruljerutene i fengselet.

room_PaddedCell                                Polstret celle
room_PaddedHoldingCell                         Polstret varetektscelle
room_PsychiatristOffice							Psykiaterkontor

interfaceplanning_BuildPlan			Realiser plantegning
interfaceplanning_ClearPlan			Visk ut plantegning
interfaceplanning_Door				Dører

buildtoolbar_improvement						– Forbedrer kvaliteten på en *R
buildtoolbar_improvement_windows				 (når vendt mot utsiden)

buildplan_title					Valg av veggtype			
buildplan_message				Er du klar for å realisere plantegningen?\n	Denne handlingen kan ikke gjøres om.\n\n	Alle planlagte vegger vil bli bygget i samme veggtype.\n	Du kan endre veggtype under.
clearplan_title					Visk ut plantegning
clearplan_message				Er du sikker på at du vil slette alle plantegningene?\n \n	Denne handlingen kan ikke gjøres om.

d11_custom_planning 				Fri planlegging

buildtoolbar_popup_planning			Planlegg fengselet ditt uten å være redd for at arbeiderne dine skal gjøre noe før du er klar. I planleggingsmenyen kan du velge å bygge alle planlagte strukturer og dører, angre deler av plantegningen, eller slette hele plantegningen og begynne på nytt.

buildtoolbar_popup_help_planningDoor_1		Den valgte dørtypen vil bli brukt når du plasserer dører på tegningen.
buildtoolbar_popup_help_quickBuildWall_1	Den valgte veggtypen vil bli brukt neste gang du bruker Hurtigbygging.


buildtoolbar_popup_mat_blueclassywall			Bygg elegante vegger oppå grunnmurer for å skape nye personalområder eller -rom.
buildtoolbar_popup_mat_burgundyclassywall		Bygg elegante vegger oppå grunnmurer for å skape nye personalområder eller -rom.
buildtoolbar_popup_mat_greenclassywall			Bygg elegante vegger oppå grunnmurer for å skape nye personalområder eller -rom.

buildtoolbar_popup_obj_windowclassy				Får fasaden til å se bedre ut enn den egentlig er.
buildtoolbar_popup_obj_windowclassyLarge		Får fasaden til å se bedre ut enn den egentlig er.
buildtoolbar_popup_obj_gravestone				Du får en gravstøtte hver gang noen dør i fengselet.

buildtoolbar_popup_staff_psychiatrist			En høyt utdannet ansatt som gir psykisk syke innsatte regelmessig oppfølging.\nNår det er opprettet et psykiatrisk konsultasjonsprogram i fengselet, vil psykiatere regelmessig treffe psykisk syke innsatte for å holde dem rolige. \nHvis vi har mange innsatte som trenger psykisk hjelp, bør vi ansette flere psykiatere. Du må også sørge for at alle har sitt eget kontor.

buildtoolbar_popup_staff_orderly				Helsepersonell som har spesialopplæring i behandling av psykisk syke.
buildtoolbar_popup_obj_leatherchair				Passer til skinnsofaen. Perfekt for ansatte å sitte på, og altfor fin for de innsatte.

buildtoolbar_popup_obj_rorschachTest		    Hvis du handler inn en rorschachtest til psykiaterkontoret, vil psykiateren kunne tilby bedre behandling av psykisk syke innsatte.
buildtoolbar_popup_obj_anatomyModel				Hvis du handler inn en anatomimodell til psykiaterkontoret, vil psykiateren kunne tilby bedre behandling av psykisk syke innsatte.
buildtoolbar_popup_obj_flipboard				Hvis du handler inn en arktavle med et hjernekart til psykiaterkontoret, vil psykiateren kunne tilby bedre behandling av psykisk syke innsatte.
buildtoolbar_popup_obj_medicineCabinetPsych		Hvis du handler inn et medisinskap til psykiaterkontoret, vil psykiateren kunne tilby bedre behandling av psykisk syke innsatte.
