# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
object_visitorDoor	Puerta de visitante
object_ironingBoardShort	Tabla de planchar (pequeña)
object_fencegatestaff	Cancela (personal)
object_fencegatestandard	Cancela (estándar)
object_fencegatevisitor	Cancela (visitante)












object_walllight	Luz de pared
object_securedoor	Puerta (segura)
object_secretdoor	Puerta (secreta)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	¡Es barro y es gratis!
buildtoolbar_popup_mat_yutaniwall	Construye paredes futuristas sobre los cimientos para crear nuevas zonas y salas. Va muy bien con los suelos Cargo y Solaco.

buildtoolbar_popup_mat_newbblockwall	Construye paredes de bloques de hormigón sobre los cimientos para crear nuevas zonas y salas.
buildtoolbar_popup_mat_newbarredwall	Construye secciones de pared con barrotes sobre los cimientos para crear nuevas zonas o salas.
buildtoolbar_popup_mat_newtiledwall	Construye paredes de baldosa sobre los cimientos para crear nuevas zonas o salas.
buildtoolbar_popup_mat_newhedgewall	Setos altos aunque débiles. Queda bonito, pero no es muy seguro.









buildtoolbar_popup_mat_solacofloor	Dale a nuestros suelos un aspecto futurista. Va muy bien con las paredes Yutani.
buildtoolbar_popup_mat_gratefloor	Dale a nuestra prisión un aspecto futurista.
buildtoolbar_popup_mat_newcargofloor	Personaliza el aspecto de los suelos de nuestra prisión.
buildtoolbar_popup_mat_newironfloor	Personaliza el aspecto de los suelos de nuestra prisión.
buildtoolbar_popup_mat_newcheckeredfloor	Seguro que quedan genial en nuestras cocinas y comedores.
buildtoolbar_popup_mat_snow	Es como el agua, solo que da más frío y queda mejor.





buildtoolbar_popup_obj_snowyconifertree	Quedaría mejor sobre la nieve.


buildtoolbar_popup_obj_palmtree	Suelen crecer en terrenos secos, pero puedes decidir dónde quieres que vayan.


buildtoolbar_popup_obj_bush	Le da un toque bonito a los exteriores.

buildtoolbar_popup_obj_streetlamp	Para iluminar carreteras y vías.

buildtoolbar_popup_obj_floodlight	Iluminación de exterior con altura para cubrir zonas grandes como los patios.








buildtoolbar_popup_obj_bleachers	Gradas típicas de los patios de prisión para que se sienten los reclusos a pensar un rato.
buildtoolbar_popup_obj_smallbench	Para sentarse.
buildtoolbar_popup_obj_smalltable	Para comer.
buildtoolbar_popup_obj_showerpillar	Se puede colocar en el centro de una sala de duchas y añadir una alcachofa a cada lado.


buildtoolbar_popup_obj_doorMat	Un felpudo de goma que quedaría bien en las puertas.


buildtoolbar_popup_obj_guardPavilion	Colócalas en los patios y zonas abiertas para que los guardias vigilen a los prisioneros.\n	Asígnale guardias en el menú de despliegue.\n -Aumenta el nivel de Represión en esa zona.\n -Los guardias están protegidos de las inclemencias del clima.
buildtoolbar_popup_obj_guardPavilionCorner	Colócalas en las esquinas de patios y zonas abiertas para que los guardias vigilen a los prisioneros.\n	Asígnale guardias en el menú de despliegue.\n -Aumenta el nivel de Represión en esa zona.\n -Los guardias están protegidos de las inclemencias del clima.

buildtoolbar_popup_obj_officeChair	Una silla para que el personal se siente adecuadamente frente a un escritorio de oficina.




















buildtoolbar_popup_obj_visitorDoor	Una puerta que permite acceder a los visitantes de la prisión sin que tenga que abrirles un guardia. Los guardias y el personal también pueden usarla, pero no los prisioneros.
buildtoolbar_popup_obj_ironingBoardShort	Una tabla de planchar más corta.
buildtoolbar_popup_obj_fencegatestaff	Una cancela que queda genial en las verjas y funciona como una puerta normal.
buildtoolbar_popup_obj_fencegatestandard	Una cancela que queda genial en las verjas y funciona como una puerta normal.
buildtoolbar_popup_obj_fencegatevisitor	Una cancela que queda genial en las verjas y funciona como una puerta normal.












buildtoolbar_popup_obj_walllight	Una luz estilo búnker para las paredes.
buildtoolbar_popup_obj_securedoor	Una puerta para las celdas de aislamiento que tiene una abertura para que los guardias encargados de llevar la comida puedan pasar la bandeja sin tener que entrar.


interfacedeployment_guards	Asigna guardias
buildtoolbar_deployment_Guards	Asigna guardias a los sectores de la prisión.

interfacedeployment_Dogs	Asigna adistradores de perros
buildtoolbar_deployment_Dogs	Asigna adistradores de perros a los sectores de la prisión.

interfacedeployment_ArmedGuards	Asigna guardias armados
buildtoolbar_deployment_ArmedGuards	Asigna guardias armados a los sectores de la prisión.

interfacedeployment_patrols	Asigna guardias
buildtoolbar_deployment_Patrols	Asigna guardias para patruyar las rutas de la prisión.

interfacedeployment_dogpatrols	Asigna adiestradores de perros
buildtoolbar_deployment_DogPatrols	Asigna adiestradores de perros para patruyar las rutas de la prisión.

interfacedeployment_armedpatrols	Asigna guardias armados
buildtoolbar_deployment_ArmedPatrols	Asigna guardias armados para patruyar las rutas de la prisión.

buildtoolbar_popup_help_Guards_1	La herramienta de guardias te permite estacionar guardias en zonas. Un guardia estacionado se desplazará al azar por la zona que tenga asignada realizando en ella cualquiera de sus tareas, como abrir puertas.\n\n
buildtoolbar_popup_help_Guards_2	~Haz clic con el botón izquierdo del ratón para aumentar el número de adiestradores desplegados en una zona. Haz clic con el botón derecho para retirar a un guardia.\n\n
buildtoolbar_popup_help_Guards_3	^Consejos
buildtoolbar_popup_help_Guards_4	- Si has desbloqueado la microgestión, podrás acceder al programador de despliegues. Te permitirá crear un horario de asignación de zonas determinadas a los guardias. Por ejemplo, si quieres que los guardias estén desplegados en el comedor solo durante el régimen de comidas, puedes hacer clic en cada uno de los bloques del programador que estén alineados con dicho régimen, y luego desplazar el deslizador temporal dentro del bloque y hacer clic en el comedor para asignarle guardias.
buildtoolbar_popup_help_Guards_5	- Tienes hasta 9 bloques temporales distintos disponibles para programar, además del modo siempre activo predefinido, lo que te permite generar rutinas de despliegue complejas que se ajusten a las necesidades de tu prisión.
buildtoolbar_popup_help_Guards_6	- Si no seleccionas manualmente un bloque temporal al asignar adiestradores, el programador utilizará la hora actual; ¡asegúrate de haber seleccionado la hora correcta al cambiar tus despliegues!

buildtoolbar_popup_help_Dogs_1	La herramienta de adiestradores de perros te permite estacionar adiestradores en zonas. Un guardia estacionado se desplazará al azar por la zona que tenga asignada realizando en ella cualquiera de sus tareas, como abrir puertas.\n\n
buildtoolbar_popup_help_Dogs_2	~Haz clic con el botón izquierdo del ratón para aumentar el número de adiestradores desplegados en una zona. Haz clic con el botón derecho para retirar a un adiestrador.\n\n
buildtoolbar_popup_help_Dogs_3	^Consejos
buildtoolbar_popup_help_Dogs_4	- Si has desbloqueado la microgestión, podrás acceder al programador de despliegues. Te permitirá crear un horario de asignación de zonas determinadas a los guardias con perro. Por ejemplo, si quieres que los guardias con perro estén desplegados en el comedor solo durante el régimen de comidas, puedes hacer clic en cada uno de los bloques del programador que estén alineados con dicho régimen, y luego desplazar el deslizador temporal dentro del bloque y hacer clic en el comedor para asignarle guardias con perro.
buildtoolbar_popup_help_Dogs_5	- Tienes hasta 9 bloques temporales distintos disponibles para programar, además del modo siempre activo predefinido, lo que te permite generar rutinas de despliegue complejas que se ajusten a las necesidades de tu prisión.
buildtoolbar_popup_help_Dogs_6	- Si no seleccionas manualmente un bloque temporal al asignar adiestradores, el programador utilizará la hora actual; ¡asegúrate de haber seleccionado la hora correcta al cambiar tus despliegues!

buildtoolbar_popup_help_ArmedGuards_1	La herramienta de guardias armados te permite estacionar guardias armados en zonas. Un guardia estacionado se desplazará al azar por la zona que tenga asignada realizando en ella cualquiera de sus tareas, como abrir puertas.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Haz clic con el botón izquierdo del ratón para aumentar el número de guardias desplegados en una zona. Haz clic con el botón derecho para retirar a un guardia.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Consejos
buildtoolbar_popup_help_ArmedGuards_4	- Si has desbloqueado la microgestión, podrás acceder al programador de despliegues. Te permitirá crear un horario de asignación de zonas determinadas a los guardias armados. Por ejemplo, si quieres que los guardias armados estén desplegados en el comedor solo durante el régimen de comidas, puedes hacer clic en cada uno de los bloques del programador que estén alineados con dicho régimen, y luego desplazar el deslizador temporal dentro del bloque y hacer clic en el comedor para asignarle guardias armados.
buildtoolbar_popup_help_ArmedGuards_5	- Tienes hasta 9 bloques temporales distintos disponibles para programar, además del modo siempre activo predefinido, lo que te permite generar rutinas de despliegue complejas que se ajusten a las necesidades de tu prisión.
buildtoolbar_popup_help_ArmedGuards_6	- Si no seleccionas manualmente un bloque temporal al asignar guardias armados, el programador utilizará la hora actual; ¡asegúrate de haber seleccionado la hora correcta al cambiar tus despliegues!

interfacedeployment_PrioritizeArea	Priorizar zona (*X)
buildtoolbar_deployment_PrioritizeGuard	Usa esta opción para priorizar guardias asignados que cubran zonas concretas en tu prisión. Si andas corto de personal, los guardias intentarán cubrir primero las zonas prioritarias. Hay dos tipos de prioridades: "Alta" (>>) y "Muy alta" (>>>).

interfacedeployment_BluePatrol	Patrulla azul
buildtoolbar_deployment_BluePatrol	Las rutas de patrulla coloreadas te permiten solapar y asignarles guardias. Haz clic y arrastra para crear una ruta de patrulla azul. Haz clic derecho y arrastra para quitar una ruta. Utiliza el botón "asignar guardia" para añadir guardias a la patrulla.

interfacedeployment_MagentaPatrol	Patrulla magenta
buildtoolbar_deployment_MagentaPatrol	Las rutas de patrulla coloreadas te permiten solapar y asignarles guardias. Haz clic y arrastra para crear una ruta de patrulla magenta. Haz clic derecho y arrastra para quitar una ruta. Utiliza el botón "asignar guardia" para añadir guardias a la patrulla.

interfacedeployment_PrioritizePatrol	Priorizar patrulla
buildtoolbar_deployment_PrioritizePatrol	Usa esta opción para priorizar guardias asignados que cubran patrullas concretas en tu prisión. Si andas corto de personal, los guardias intentarán cubrir primero las patrullas prioritarias. Hay dos tipos de prioridades: "Alta" (>>) y "Muy alta" (>>>).

buildtoolbar_popup_filter_title	Filtrar lista
buiildtoolbar_popup_filter_toggle	Haz clic para alternar
buildtoolbar_popup_filter_default	Por defecto
buildtoolbar_popup_filter_az	De A a Z
buildtoolbar_popup_filter_owned	En posesión
buildtoolbar_popup_filter_costhighlow	Coste (de mayor a menor)
buildtoolbar_popup_filter_costlowhigh	Coste (de menor a mayor)
buildtoolbar_popup_filter_indooroutdoor	De interior-De exterior
buildtoolbar_popup_filter_outdoorindoor	De exterior-De interior
buildtoolbar_popup_filter_quantity	Cantidad que tienes
buildtoolbar_popup_filter_byroom	Por sala






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	DOBLE CLIC: Mover objeto

double_click_add_door	Haz doble click izquierdo para añadir puertas.

codex_option_bureaucracyresearched	Burocracia investigada
codex_tooltip_bureaucracyresearched	Inicia una partida con el árbol de investigación de burocracia completado.

codex_option_jungle	Parcela de jungla
codex_tooltip_jungle	Genera una parcela de terreno inicial que parezca una jungla.

codex_option_snowy	Parcela nevada
codex_tooltip_snowy	Genera una parcela de terreno inicial cubierta de nieve.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Lavando

action_Stretching	Haciendo ejercicio
action_PlayChess	Jugando al ajedrez


plant_tree_location	Plantar árbol en *X

report_intake_cat_SuperMax	Super máx seguridad

interface_undo	Deshacer

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	Fallo al guardar prisión.
codex_changelog_next	Siguiente >
codex_changelog_prev	< Anterior
codex_credits	Créditos

codex_options_screenshotmode	Modo captura de pantalla
codex_tooltip_screenshotmode	En el modo de captura de pantalla, mantén la TECLA [*K] y presiona [*E], para mostrar/ocultar la interfaz y el HUD.
codex_sso_content_message	Te has registrado con éxito en Paradox.\n\nComo agradecimiento, ¡se han desbloqueado nuevas torres de caseta de vigilancia! Búscalas en el menú de objetos.
codex_options_borderless_windowed	Sin marcos
codex_options_monitor	Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Modo de visualización
codex_options_borderless_fullscreen	Pantalla completa sin marcos
codex_options_display_monitor	Monitor de visualización
codex_options_windowed_resolution	Resolución de pantalla

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Pared (art decó)
material_blueWall	Pared elegante (rayas azules)
material_burgundyWall	Pared elegante (bermellona)
material_greenWall	Pared elegante (verde)
material_orientalWall	Pared (oriental)
material_cushionedwall	Pared (acolchada)

material_sandstone	Arenisca
material_limestonefloor	Caliza
material_blueCarpet	Alfombra (azul)
material_redCarpet	Alfombra (roja)
material_brownCarpet	Alfombra (marrón)
material_paddedfloor	Acolchado
material_grassstones	Césped y piedras
material_grasscornerfloor	Esquina de césped
material_grasscornerfloor1	Esquina de césped
material_grasscornerfloor2	Esquina de césped
material_grasscornerfloor3	Esquina de césped
material_lunarfloor	Lunar

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Árbol (tétrico)
object_cactustree	Árbol (cactus)
object_sakuratree	Árbol (sakura)
object_plantcactus	Planta (cactus)
object_tyrestack	Pila de neumáticos
object_lamp	Luz (lámpara)
object_bathroomSink	Lavabo de baño
object_bathroomHandDryer	Secador de manos
object_chestOfDrawers	Cajones
object_woodenStool	Taburete de madera
object_woodenTable	Mesa de madera
object_bucket	Cubo
object_shortbookcase	Estantería (corta)
object_outdoorTable	Mesa de exterior
object_mooseHead	Cabeza de alce
object_toiletSign	Cartel (aseos)
object_rightArrowSign	Cartel (flecha derecha)
object_leftArrowSign	Cartel (flecha izquierda)
object_infirmarySign	Cartel (enfermería)
object_canteenSign	Cartel (comedor)
object_showerSign	Cartel (duchas)
object_armourySign	Cartel (armería)
object_jaildoorred	Puerta de la cárcel (rojas)
object_jaildoorgrey	Puerta de la cárcel (grises)
object_jaildoororange	Puerta de la cárcel (naranjas)
object_jaildoorYellow	Puerta de la cárcel (amarillas)
object_jaildoorlargered	Gran puerta de la cárcel (rojas)
object_jaildoorlargegrey	Gran puerta de la cárcel (grises)
object_jaildoorlargeorange	Gran puerta de la cárcel (naranjas)
object_jaildoorlargeyellow	Gran puerta de la cárcel (amarillas)
object_coatstand	Perchero
object_dogbowl	Cuenco para perro
object_footbridge	Pasarela
object_footbridgesteel	Pasarela de acero
object_footbridgeb	Pasarela B
object_footbridgesteelb	Pasarela de acero B
object_windowclassy	Ventana elegante
object_windowclassyLarge	Ventana elegante (grande)
object_gravestone	Lápida
object_psychiatrist	Psiquiatra
object_orderly	Ordenanza
object_rorschachTest	Test de Rorschach
object_anatomyModel	Modelo anatómico
object_flipboard	Rotafolio
object_medicineCabinetPsych	Armario de medicina
object_leatherchair	Silla de cuero
object_leatherSofa	Sofá de cuero
object_parkbench	Banco (de parque)
object_fencegateguard	Cancela (de guardia)
object_oaktable	Mesa (roble)
object_oakbench	Banco (roble)
object_BoomBoxRoundHouse	Radiocasete

object_classic	Clásico
object_dalmation	Dálmata
object_husky	Husky
object_companion	Compañero
object_cat	Gato
object_direwoof	Guauguau terrible

equipment_fountainPen	Estilográfico
equipment_goldPocketWatch	Reloj de oro
equipment_sedativeShot	Chute sedante (jeringuilla)
equipment_sedativesyringe	Sedante (jeringuilla)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Construye paredes art decó para darle un aspecto arquitectónico de los años 20 a tu prisión.
buildtoolbar_popup_mat_blueWall	Construye paredes elegantes sobre los cimientos para crear nuevas zonas para personal o salas.
buildtoolbar_popup_mat_burgundywall	Construye paredes elegantes sobre los cimientos para crear nuevas zonas para personal o salas.
buildtoolbar_popup_mat_greenwall	Construye paredes elegantes sobre los cimientos para crear nuevas zonas para personal o salas.
buildtoolbar_popup_mat_orientalwall	Construye paredes orientales para crear zonas de la prisión con aspecto japonés antiguo.
buildtoolbar_popup_mat_cushionedwall	Construye secciones de pared sobre los cimientos para crear nuevas zonas o salas de aspecto más rico decoradas con cuero.
buildtoolbar_popup_mat_sandstone	Coloca losas de arenisca en las zonas de exteriores.
buildtoolbar_popup_mat_limestonefloor	El suelo tiene un color característico similar a la cal.
buildtoolbar_popup_mat_blueCarpet	Coloca una alfombra mullida. Perfecta para las zonas de personal.
buildtoolbar_popup_mat_redCarpet	Coloca una alfombra mullida. Perfecta para las zonas de personal.
buildtoolbar_popup_mat_brownCarpet	Coloca una alfombra mullida. Perfecta para las zonas de personal.
buildtoolbar_popup_mat_paddedfloor	Combínalo con las paredes acolchadas para crear una celda acolchada para presos con problemas mentales.
buildtoolbar_popup_mat_grassstones	Una zona con césped y adoquines.
buildtoolbar_popup_mat_grassscornerfloor	Una esquina de césped con tierra. Útiles para caminos angulares.
buildtoolbar_popup_mat_lunarfloor	Una superficie de roca endurecida y aspecto estelar.
buildtoolbar_popup_obj_spookytree	Un viejo árbol de aspecto tétrico.
buildtoolbar_popup_obj_cactustree	Quedaría mejor en terreno seco.
buildtoolbar_popup_obj_sakuratree	Un precioso cerezo con flores rosas.
buildtoolbar_popup_obj_plant	Una agradable planta doméstica.
buildtoolbar_popup_obj_plantcactus	Un cactus en maceta para interior.
buildtoolbar_popup_obj_tyrestack	Sirve como una pequeña barrera que los presos y el personal rodean.
buildtoolbar_popup_obj_lamp	Una lámpara de pie ornamental perfecta para oficinas y zonas de personal.
buildtoolbar_popup_obj_bathroomSink	Para un cuarto de baño completo necesitas uno.
buildtoolbar_popup_obj_bathroomHandDryer	Combina bien con el lavabo del baño.
buildtoolbar_popup_obj_chestOfDrawers	Un mueble de madera con cajones.
buildtoolbar_popup_obj_woodenStool	Queda muy bien con una mesa de madera.
buildtoolbar_popup_obj_woodenTable	Queda muy bien con un taburete de madera.
buildtoolbar_popup_obj_bucket	Es un cubo.
buildtoolbar_popup_obj_shortbookcase	Una estantería corta para poner libros.
buildtoolbar_popup_obj_outdoorTable	Para que los prisioneros se sienten a comer en el exterior.
buildtoolbar_popup_obj_mooseHead	Una cabeza de alce decorada a mano con placa y todo.
buildtoolbar_popup_obj_toiletSign	Un cartel de pared para indicar el aseo.
buildtoolbar_popup_obj_rightArrowSign	Un cartel de pared con una flecha hacia la derecha.
buildtoolbar_popup_obj_leftArrowSign	Un cartel de pared con una flecha hacia la izquierda.
buildtoolbar_popup_obj_infirmarySign	Un cartel de pared para indicar la enfermería.
buildtoolbar_popup_obj_canteenSign	Un cartel de pared para indicar el comedor.
buildtoolbar_popup_obj_showerSign	Un cartel de pared para indicar las duchas.
buildtoolbar_popup_obj_armourySign	Un cartel de pared para indicar la armería.
buildtoolbar_popup_obj_jaildoorred	Una puerta de cárcel con colores para etiquetar las secciones de máxima seguridad.
buildtoolbar_popup_obj_jaildoorgrey	Una puerta de cárcel con colores para etiquetar las secciones de baja seguridad.
buildtoolbar_popup_obj_jaildoororange	Una puerta de cárcel con colores para etiquetar las secciones de media seguridad.
buildtoolbar_popup_obj_jaildooryellow	Una puerta de cárcel con colores para etiquetar las secciones de custodia protectora.
buildtoolbar_popup_obj_jaildoorlargered	Una gran puerta de cárcel con colores para etiquetar las secciones de máxima seguridad.
buildtoolbar_popup_obj_jaildoorlargegrey	Una gran puerta de cárcel con colores para etiquetar las secciones de baja seguridad.
buildtoolbar_popup_obj_jaildoorlargeorange	Una gran puerta de cárcel con colores para etiquetar las secciones de media seguridad.
buildtoolbar_popup_obj_jaildoorlargeYellow	Una gran puerta de cárcel con colores para etiquetar las secciones de custodia protectora.
buildtoolbar_popup_obj_coatstand	Un lugar para dejar los abrigos y gorros del personal.
buildtoolbar_popup_obj_dogbowl	Para poner agua y comida para los perros cansados.\nAumenta la resistencia de un perro un poco.
buildtoolbar_popup_obj_secretdoor	Una puerta oculta tras una estantería para que pase el personal.
buildtoolbar_popup_obj_parkbench	Un banco de parque para exteriores.
buildtoolbar_popup_obj_fencegateguard	Una cancela que queda genial en las verjas y solo pueden abrir los guardias.
buildtoolbar_popup_obj_oaktable	Para comer.
buildtoolbar_popup_obj_oakbench	Para sentarse. Hace juego con la mesa de roble.

buildtoolbar_popup_obj_classic	El perro guardián por antonomasia, tradicional pero experimentado.
buildtoolbar_popup_obj_dalmation	Solía vivir en una granja, pero ahora evita las fugas.
buildtoolbar_popup_obj_husky	Un peligro mortal para un fugitivo que intente escapar por la nieve.
buildtoolbar_popup_obj_companion	El mejor amigo de un guardia.
buildtoolbar_popup_obj_cat	No todo el mundo es amigo de los perros.
buildtoolbar_popup_obj_direwoof	¿A quién se le ocurre intentar escapar?

buildtoolbar_popup_filter_mostused	Más usado
buildtoolbar_caters_safety	Atiende a la necesidad de seguridad.

interfacedeployment_orderly	Asigna ordenanzas
buildtoolbar_deployment_orderly	Asigna ordenanzas a los sectores de la prisión.

interfacedeployment_orderlypatrols	Asigna ordenanzas
buildtoolbar_deployment_orderlypatrols	Asigna ordenanzas para patrullar las rutas de la prisión.

room_PaddedCell	Celda acolchada
room_PaddedHoldingCell	Celda provisional acolchada
room_PsychiatristOffice	Oficina del psiquiatra

interfaceplanning_BuildPlan	Planos de construcción
interfaceplanning_ClearPlan	Despejar planos
interfaceplanning_Door	Puertas

buildtoolbar_improvement	- Mejora el grado de *R
buildtoolbar_improvement_windows	(si está de cara al exterior)

buildplan_title	Selección de tipo de pared
buildplan_message	¿Está listo el plan para la construcción?\n	Esta acción es irreversible.\n\n	Se construirán todas las paredes con el mismo tipo de material.\n	Puedes cambiar el tipo de pared abajo.
clearplan_title	Despejar planos
clearplan_message	¿Seguro que quieres despejar los planos dibujados?\n \n	Esta acción es irreversible.

d11_custom_planning	Planos a medida

buildtoolbar_popup_planning	Planifica tu prisión sin miedo a que tus obreros actúen antes de que termines. El menú de planificación te permite construir todas las estructuras y las puertas, borrar parte de tus planos o despejar los planos y empezar desde cero.

buildtoolbar_popup_help_planningDoor_1	Se usará el tipo de puerta elegido cuando coloques una puerta en tus planos.
buildtoolbar_popup_help_quickBuildWall_1	Se usará el tipo de pared seleccionado en tu siguiente construcción rápida.


buildtoolbar_popup_mat_blueclassywall	Construye paredes elegantes sobre los cimientos para crear nuevas zonas para personal o salas.
buildtoolbar_popup_mat_burgundyclassywall	Construye paredes elegantes sobre los cimientos para crear nuevas zonas para personal o salas.
buildtoolbar_popup_mat_greenclassywall	Construye paredes elegantes sobre los cimientos para crear nuevas zonas para personal o salas.

buildtoolbar_popup_obj_windowclassy	Hace que el exterior quede mejor de lo que está en realidad.
buildtoolbar_popup_obj_windowclassyLarge	Hace que el exterior quede mejor de lo que está en realidad.
buildtoolbar_popup_obj_gravestone	Recibirás una lápida por cada persona que muera en tu prisión.

buildtoolbar_popup_staff_psychiatrist	Un miembro de personal avanzado que proporciona consultas regulares a los reclusos con problemas mentales.\nLos psiquiatras proporcionan sesiones individuales para tranquilizar a los prisioneros con problemas mentales una vez preparemos un plan de consultas psiquiátricas en la prisión. \nSi muchos de los presos tienen problemas mentales, deberíamos contratar a varios psiquiatras para atenderlos a todos. Cada uno necesitará oficina propia.

buildtoolbar_popup_staff_orderly	Personal médico especializado en atender a personas con problemas mentales.
buildtoolbar_popup_obj_leatherchair	Hace juego con el sofá de cuero. Perfecta para el personal, probablemente sea demasiado agradable para los reclusos.

buildtoolbar_popup_obj_rorschachTest	Añadir un test de Roschach a la oficina del psiquiatra mejora el tratamiento que da a los presos con problemas mentales.
buildtoolbar_popup_obj_anatomyModel	Añadir un modelo anatómico a la oficina del psiquiatra mejora el tratamiento que da a los presos con problemas mentales.
buildtoolbar_popup_obj_flipboard	Añadir un rotafolio con un mapa del cerebro a la oficina del psiquiatra mejora el tratamiento que da a los presos con problemas mentales.
buildtoolbar_popup_obj_medicineCabinetPsych	Añadir un armario de medicina a la oficina del psiquiatra mejora el tratamiento que da a los presos con problemas mentales.
buildtoolbar_popup_obj_leatherchair	Hace juego con el sofá de cuero. Perfecta para el personal, probablemente sea demasiado agradable para los reclusos.
buildtoolbar_popup_obj_leatherSofa	Añadir un sofá de cuero tradicional a la oficina del psiquiatra mejora el tratamiento que da a los presos con problemas mentales.

