# June27th Update									
									
# =============================================================================									
# Codex									
# =============================================================================									
									
codex_viewchangelog							Registo de alterações completo		
mm_updatenotes_04								Os objetos existentes têm agora todas as suas rotações, com novos efeitos para orientações em falta.	
mm_updatenotes_05								Novo botão "Resposta dos Guardas" que ordena aos guardas próximos que se desloquem para uma localização, em vez de os jogadores precisarem de contratar guardas adicionais para lidar com os incidentes. 	
mm_updatenotes_06								Novo botão "Pesquisar Túneis" que ordena aos guardas que procurem túneis em todas as casas de banho.  	
mm_updatenotes_07								A opção adicional "Salas Rápidas" foi adicionada ao menu "Construção Rápida", para uma construção de salas mais rápida e fácil.	
mm_updatenotes_08								Seguir prisioneiros e funcionários é agora mais fácil, bastando um duplo clique neles.	
mm_updatenotes_09								Chegou a habilidade de mover e recolocar objetos! Seleciona e faz duplo clique num objeto.	
mm_updatenotes_10								Esperamos que gostes de jogar com estas novas melhorias!	




############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Lama
material_yutaniwall								Muro (Yutani)










material_solacofloor							Solaco 
material_gratefloor								Grelha

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Árvore (Conífera com Neve)


object_palmtree									Árvore (Palmeira)
object_plant									Planta

object_bush										Arbusto

object_streetlamp								Candeeiro de Rua

object_floodlight								Luz (Holofote)





		
		

object_bleachers								Bancadas
object_smallbench								Banco (Pequeno)
object_smalltable								Mesa (Pequena)
object_showerpillar								Pilar de Chuveiro


object_doorMat									Capacho

object_GuardPavilion							Pavilhão dos Guardas
object_GuardPavilionCorner						Pavilhão dos Guardas (Canto)

object_OfficeChair								Cadeira (Escritório)




















object_visitorDoor								Porta de Visitantes
object_ironingBoardShort						Tábua de passar (Pequena)
object_fencegatestaff							Portão (Funcionários)
object_fencegatestandard						Portão (Normal)
object_fencegatevisitor							Portão (Visitantes)












object_walllight								Luz de Parede
object_securedoor								Porta (Segurança)
object_secretdoor								Porta (Secreta)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					É lama e é grátis!
buildtoolbar_popup_mat_yutaniwall				Constrói paredes com um aspeto hi-tech sobre as fundações para criar novas áreas ou divisões. Excelente com o chão Cargo ou Solaco.

buildtoolbar_popup_mat_newbblockwall			Constrói paredes com blocos de cimento sobre as fundações para criar novas áreas ou divisões.
buildtoolbar_popup_mat_newbarredwall			Constrói secções de paredes com grades sobre as fundações para criar novas áreas ou divisões.
buildtoolbar_popup_mat_newtiledwall				Constrói paredes com azulejo sobre as fundações para criar novas áreas ou divisões.
buildtoolbar_popup_mat_newhedgewall				Sebes altas mas fracas. Uma opção mais estética do que de alta segurança.









buildtoolbar_popup_mat_solacofloor				Dá um aspeto hi-tech ao chão da prisão. Fica excelente com paredes Yutani.
buildtoolbar_popup_mat_gratefloor				Dá um aspeto hi-tech ao chão da prisão.
buildtoolbar_popup_mat_newcargofloor			Dá um aspeto personalizado ao chão da prisão.
buildtoolbar_popup_mat_newironfloor				Dá um aspeto personalizado ao chão da prisão.
buildtoolbar_popup_mat_newcheckeredfloor		Isto provavelmente ficaria bem na tua Cozinha ou Cantina.
buildtoolbar_popup_mat_snow						É como água, só que mais fria e bonita.





buildtoolbar_popup_obj_snowyconifertree			Fica melhor em terreno nevado.


buildtoolbar_popup_obj_palmtree					Normalmente cresce em terreno seco, mas agora podes decidir colocar onde quiseres.


buildtoolbar_popup_obj_bush						Dá alguma beleza a áreas exteriores.

buildtoolbar_popup_obj_streetlamp				Para iluminar estradas e caminhos.

buildtoolbar_popup_obj_floodlight				Uma luz de exterior alta que pode cobrir áreas grandes como um Pátio.





	


buildtoolbar_popup_obj_bleachers				Bancadas clássicas de pátio onde os reclusos se podem sentar e decidir o que vão fazer.
buildtoolbar_popup_obj_smallbench				Onde sentar.
buildtoolbar_popup_obj_smalltable				Onde comer.
buildtoolbar_popup_obj_showerpillar				Para posicionar no meio de uma divisão com chuveiros e depois colocar um chuveiro de cada lado.


buildtoolbar_popup_obj_doorMat					Um capacho de borracha barato que pode ficar bem em frente a portas de entrada.


buildtoolbar_popup_obj_guardPavilion			Coloca no Pátio e em áreas abertas para os guardas e guardas armados vigiarem os prisioneiros.\n	Designa guardas através do menu Ação.\n -Aumenta o nível de Repressão nessa zona.\n -Guardas ficam abrigados das condições meteorológicas.
buildtoolbar_popup_obj_guardPavilionCorner		Coloca nos cantos do Pátio e em áreas abertas para os guardas e guardas armados vigiarem os prisioneiros.\n	Designa guardas através do menu Ação.\n -Aumenta o nível de Repressão nessa zona.\n -Guardas ficam abrigados das condições meteorológicas.

buildtoolbar_popup_obj_officeChair				Uma cadeira para os funcionários se sentarem centralmente a uma mesa de escritório.




















buildtoolbar_popup_obj_visitorDoor				Uma porta que permite a passagem dos visitantes da prisão sem necessidade de um guarda abrir a porta. Os guardas e os funcionários também podem usar a porta, mas os prisioneiros não.
buildtoolbar_popup_obj_ironingBoardShort		Uma tábua de passar mais pequena.
buildtoolbar_popup_obj_fencegatestaff			Um portão gradeado que funciona da mesma forma que uma porta.
buildtoolbar_popup_obj_fencegatestandard		Um portão gradeado que funciona da mesma forma que uma porta.
buildtoolbar_popup_obj_fencegatevisitor			Um portão gradeado que funciona da mesma forma que uma porta.












buildtoolbar_popup_obj_walllight				Uma luz estilo bunker para colocar nas paredes.
buildtoolbar_popup_obj_securedoor				Uma porta desenhada para Solitárias que inclui aba para comida. Os guardas que entregam a comida podem passar o tabuleiro pela porta sem terem de entrar na cela.


interfacedeployment_guards                      Designa guardas
buildtoolbar_deployment_Guards			Designa guardas aos setores da prisão.
	
interfacedeployment_Dogs			Designa treinadores de cães
buildtoolbar_deployment_Dogs			Designa treinadores de cães aos setores da prisão.

interfacedeployment_ArmedGuards			Designa guardas armados
buildtoolbar_deployment_ArmedGuards		Designa guardas armados aos setores da prisão.

interfacedeployment_patrols                     Designa guardas
buildtoolbar_deployment_Patrols			Designa guardas às rotas de patrulha da prisão.

interfacedeployment_dogpatrols                  Designa treinadores de cães
buildtoolbar_deployment_DogPatrols		Designa treinadores de cães às rotas de patrulha da prisão.

interfacedeployment_armedpatrols                Designa guardas armados
buildtoolbar_deployment_ArmedPatrols		Designa guardas armados às rotas de patrulha da prisão.

buildtoolbar_popup_help_Guards_1        A ferramenta de Guardas permite-te colocar Guardas nas zonas. Um guarda destacado move-se aleatoriamente pela zona que lhe foi atribuída e irá realizar quaisquer tarefas de Guarda nessa área, como a abertura de portas.\n\n
buildtoolbar_popup_help_Guards_2        ~Clica no botão esquerdo do rato para aumentares o número de Treinadores de cães destacados para uma zona. Clica no botão direito do rato para removeres um Guarda.\n\n
buildtoolbar_popup_help_Guards_3        ^Dicas
buildtoolbar_popup_help_Guards_4        - Se a Microgestão estiver desbloqueada, terás acesso ao Planeador de Destacamentos. Desta forma, podes criar um horário do destacamento dos guardas para determinadas áreas. Por exemplo, se só quiseres Guardas destacados na Cantina durante o regime de Alimentação, podes clicar em cada bloco do Planeador que se alinha com o teu regime de Alimentação e, em seguida, desloca a barra de deslizamento de tempo para esse bloco e clica na Cantina, para destacar os guardas.
buildtoolbar_popup_help_Guards_5        - Tens até 7 blocos de tempo diferentes disponíveis para Planeamento, além do modo predefinido Sempre Ativo, o que te permite criar rotinas de destacamento complexas que correspondem às necessidades da tua prisão. 
buildtoolbar_popup_help_Guards_6        - Se não selecionares manualmente um bloco de tempo ao atribuir Treinadores de cães, o Planeador utiliza o tempo atual; certifica-te de que está selecionado o tempo correto quando trocares o Destacamento!

buildtoolbar_popup_help_Dogs_1        A ferramenta de Treinadores de cães permite-te colocar Treinadores de cães nas zonas. Um guarda destacado move-se aleatoriamente pela zona que lhe foi atribuída e irá realizar quaisquer tarefas de Guarda nessa área, como a abertura de portas.\n\n
buildtoolbar_popup_help_Dogs_2        ~Clica no botão esquerdo do rato para aumentares o número de Treinadores de cães destacados para uma zona. Clica no botão direito do rato para removeres um Treinador de cão.\n\n
buildtoolbar_popup_help_Dogs_3        ^Dicas
buildtoolbar_popup_help_Dogs_4        - Se a Microgestão estiver desbloqueada, terás acesso ao Planeador de Destacamentos. Desta forma, podes criar um horário do destacamento dos treinadores de cães para determinadas áreas. Por exemplo, se só quiseres treinadores de cães destacados na Cantina durante o regime de Alimentação, podes clicar em cada bloco do Planeador que se alinha com o teu regime de Alimentação e, em seguida, desloca a barra de deslizamento de tempo para esse bloco e clica na Cantina, para destacar os treinadores de cães.
buildtoolbar_popup_help_Dogs_5        - Tens até 7 blocos de tempo diferentes disponíveis para Planeamento, além do modo predefinido Sempre Ativo, o que te permite criar rotinas de destacamento complexas que correspondem às necessidades da tua prisão. 
buildtoolbar_popup_help_Dogs_6        - Se não selecionares manualmente um bloco de tempo ao atribuir Treinadores de cães, o Planeador utiliza o tempo atual; certifica-te de que está selecionado o tempo correto quando trocares o Destacamento!

buildtoolbar_popup_help_ArmedGuards_1        A ferramenta de Guardas Armados permite-te colocar Guardas Armados nas zonas. Um guarda destacado move-se aleatoriamente pela zona que lhe foi atribuída e irá realizar quaisquer tarefas de Guarda nessa área, como a abertura de portas.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Clica no botão esquerdo do rato para aumentares o número de Guardas destacados para uma zona. Clica no botão direito do rato para removeres um Guarda.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Dicas
buildtoolbar_popup_help_ArmedGuards_4        - Se a Microgestão estiver desbloqueada, terás acesso ao Planeador de Destacamentos. Desta forma, podes criar um horário do destacamento dos guardas armados para determinadas áreas. Por exemplo, se só quiseres guardas armados destacados na Cantina durante o regime de Alimentação, podes clicar em cada bloco do Planeador que se alinha com o teu regime de Alimentação e, em seguida, desloca a barra de deslizamento de tempo para esse bloco e clica na Cantina, para destacar os guardas armados.
buildtoolbar_popup_help_ArmedGuards_5        - Tens até 7 blocos de tempo diferentes disponíveis para Planeamento, além do modo predefinido Sempre Ativo, o que te permite criar rotinas de destacamento complexas que correspondem às necessidades da tua prisão. 
buildtoolbar_popup_help_ArmedGuards_6        - Se não selecionares manualmente um bloco de tempo ao atribuir Guardas Armados, o Planeador utiliza o tempo atual; certifica-te de que está selecionado o tempo correto quando trocares o Destacamento!

interfacedeployment_PrioritizeArea			Dar Prioridade a Área (*X)
buildtoolbar_deployment_PrioritizeGuard			Usa esta opção para que guardas designados priorizem a cobertura de setores específicos em torno da prisão. Se tiveres pouco pessoal, os guardas vão tentar cobrir primeiro as tuas áreas prioritárias. Duas prioridades estão disponíveis: "Elevada" (>>) e "Muito Elevada" (>>>).

interfacedeployment_BluePatrol				Patrulha Azul
buildtoolbar_deployment_BluePatrol			As rotas de patrulha coloridas permitem-te sobrepor e atribuir guardas separados a cada uma. Clica e arrasta pra criar uma rota de patrulha Azul. Clica no botão direito e arrasta para limpar uma rota de patrulha Azul. Usa os botões Designar Guardas para adicionar guardas a uma rota de patrulha.

interfacedeployment_MagentaPatrol			Patrulha Magenta
buildtoolbar_deployment_MagentaPatrol			As rotas de patrulha coloridas permitem-te sobrepor e atribuir guardas separados a cada uma. Clica e arrasta pra criar uma rota de patrulha Magenta. Clica no botão direito e arrasta para limpar uma rota de patrulha Magenta. Usa os botões Designar Guardas para adicionar guardas a uma rota de patrulha.

interfacedeployment_PrioritizePatrol			Prioridade a Patrulha
buildtoolbar_deployment_PrioritizePatrol		Usa esta opção para que guardas designados priorizem a cobertura de patrulhas específicas em torno da prisão. Se tiveres pouco pessoal, os guardas vão tentar cobrir primeiro as tuas rotas de patrulha prioritárias. Duas prioridades estão disponíveis: "Elevada" (>>) e "Muito Elevada" (>>>).

buildtoolbar_popup_filter_title                 Lista de Filtros
buiildtoolbar_popup_filter_toggle               Clica no botão para mudar
buildtoolbar_popup_filter_default               Padrão
buildtoolbar_popup_filter_az                    A-Z
buildtoolbar_popup_filter_owned                 Teu
buildtoolbar_popup_filter_costhighlow           Custo (Alto-Baixo)
buildtoolbar_popup_filter_costlowhigh           Custo (Baixo-Alto)
buildtoolbar_popup_filter_indooroutdoor         Interior-Exterior
buildtoolbar_popup_filter_outdoorindoor         Exterior-Interior
buildtoolbar_popup_filter_quantity               Quantidade que tens
buildtoolbar_popup_filter_byroom                Por Setor






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							DUPLO CLIQUE: Mover Objeto

double_click_add_door							Clica duas vezes no botão esquerdo do rato para adicionar portas.

codex_option_bureaucracyresearched				Burocracia Investigada
codex_tooltip_bureaucracyresearched				Inicia um novo jogo com toda a árvore de Burocracia investigada.

codex_option_jungle						Terreno de Selva
codex_tooltip_jungle						Gera um terreno inicial que se assemelha a uma selva densa.

codex_option_snowy						Terreno de Neve
codex_tooltip_snowy						Gera um terreno inicial coberto de neve.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								A lavar

action_Stretching								A exercitar
action_PlayChess								A jogar xadrez


plant_tree_location								Planta Árvore em *X

report_intake_cat_SuperMax							SuperMax

interface_undo							Desfazer

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Falha ao guardar a prisão.
codex_changelog_next                            Seguinte >
codex_changelog_prev                            < Anterior
codex_credits                                   Créditos

codex_options_screenshotmode					Modo Captura de Ecrã
codex_tooltip_screenshotmode					Durante o Modo Captura de Ecrã, mantém premida a TECLA [*K] e prime [*E], para ativar/desativar TODA A UI e HUD.
codex_sso_content_message						Inscreveste-te com sucesso numa Conta Paradox.\n\nComo agradecimento, estão desbloqueadas no jogo novas torres do Pavilhão dos Guardas! Encontra-as no menu Objetos.
codex_options_borderless_windowed               Sem Margem
codex_options_monitor                           Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Modo de Exibição 
codex_options_borderless_fullscreen		Ecrã completo sem margem
codex_options_display_monitor 			Monitor de exibição 
codex_options_windowed_resolution               Resolução em Modo Janela

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Parede (Art Deco)
material_blueWall								Parede Elegante (Riscas azuis)
material_burgundyWall							Parede Elegante (Bordô)
material_greenWall								Parede Elegante (Verde)
material_orientalWall							Parede (Oriental)
material_cushionedwall							Parede (Almofadada)

material_sandstone								Grés 
material_limestonefloor							Calcário 
material_blueCarpet								Alcatifa (Azul)
material_redCarpet								Alcatifa (Vermelha)
material_brownCarpet							Alcatifa (Castanha)
material_paddedfloor							Almofadado
material_grassstones							Relva e pedras
material_grasscornerfloor						Canto relvado
material_grasscornerfloor1						Canto relvado
material_grasscornerfloor2						Canto relvado
material_grasscornerfloor3						Canto relvado
material_lunarfloor								Lunar

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Árvore (Assustadora)
object_cactustree								Árvore (Cato)
object_sakuratree								Árvore (Sakura)
object_plantcactus								Planta (Cato)
object_tyrestack								Pilha de pneus
object_lamp										Luz (Candeeiro)
object_bathroomSink								Lavatório
object_bathroomHandDryer						Secador de mãos
object_chestOfDrawers							Cómoda
object_woodenStool								Banco de madeira
object_woodenTable								Mesa de madeira			
object_bucket									Balde
object_shortbookcase							Estante (Baixa)
object_outdoorTable								Mesa de exterior
object_mooseHead								Cabeça de alce
object_toiletSign								Placa (Casa de banho)
object_rightArrowSign							Placa (Seta para a direita)
object_leftArrowSign							Placa (Seta para a esquerda)
object_infirmarySign							Placa (Enfermaria)
object_canteenSign								Placa (Cantina)
object_showerSign								Placa (Duches)
object_armourySign								Placa (Arsenal)
object_jaildoorred								Porta de barra (vermelhas)
object_jaildoorgrey								Porta de barra (cinzentas)
object_jaildoororange							Porta de barra (laranja)
object_jaildoorYellow							Porta de barra (amarelas)
object_jaildoorlargered							Porta de barra grande (vermelhas)
object_jaildoorlargegrey						Porta de barra grande (cinzentas)
object_jaildoorlargeorange						Porta de barra grande (laranja)
object_jaildoorlargeyellow						Porta de barra grande (amarelas)
object_coatstand								Cabide
object_dogbowl									Tigela de cão
object_footbridge                               Ponte pedonal
object_footbridgesteel                          Ponte pedonal de aço
object_footbridgeb                              Ponte pedonal B
object_footbridgesteelb                         Ponte pedonal de aço B
object_windowclassy								Janela elegante
object_windowclassyLarge						Janela elegante (Grande)
object_gravestone								Lápide
object_psychiatrist								Psiquiatra
object_orderly									Auxiliar
object_rorschachTest							Teste de Rorschach
object_anatomyModel								Modelo anatómico
object_flipboard								Quadro
object_medicineCabinetPsych						Armário de medicamentos
object_leatherchair								Cadeira de couro
object_leatherSofa								Sofá em couro
object_parkbench								Banco (Parque)
object_fencegateguard							Portão (Guardas)
object_oaktable									Mesa (Carvalho)
object_oakbench									Banco (Carvalho)
object_BoomBoxRoundHouse						Caixa de som

object_classic									Clássico
object_dalmation								Dálmata
object_husky									Husky
object_companion								Cão de companhia
object_cat										Gato
object_direwoof									Lobo pré-histórico

equipment_fountainPen							Caneta de tinta permanente
equipment_goldPocketWatch						Relógio de bolso em ouro
equipment_sedativeShot							Injeção de sedativo (Seringa)
equipment_sedativesyringe						Sedativo (Seringa)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Constrói paredes Art Deco para dar à prisão um visual arquitetónico da década de 1920.
buildtoolbar_popup_mat_blueWall					Constrói paredes elegantes sobre as fundações para criar novas áreas ou divisões para o pessoal.
buildtoolbar_popup_mat_burgundywall				Constrói paredes elegantes sobre as fundações para criar novas áreas ou divisões para o pessoal.
buildtoolbar_popup_mat_greenwall				Constrói paredes elegantes sobre as fundações para criar novas áreas ou divisões para o pessoal.
buildtoolbar_popup_mat_orientalwall				Constrói paredes orientais para criar áreas na prisão com um toque japonês antigo.
buildtoolbar_popup_mat_cushionedwall			Constrói secções de paredes sobre as fundações para criar novas áreas ou divisões com um aspeto luxuoso, em pele.
buildtoolbar_popup_mat_sandstone				Assenta lajes de grés nas zonas exteriores.
buildtoolbar_popup_mat_limestonefloor			O chão parece rocha calcária gasta.
buildtoolbar_popup_mat_blueCarpet				Coloca uma alcatifa confortável. Ideal para uma zona de funcionários.
buildtoolbar_popup_mat_redCarpet				Coloca uma alcatifa confortável. Ideal para uma zona de funcionários.
buildtoolbar_popup_mat_brownCarpet				Coloca uma alcatifa confortável. Ideal para uma zona de funcionários.
buildtoolbar_popup_mat_paddedfloor				Combina com as paredes almofadadas para criar uma célula totalmente almofadada para reclusos criminalmente loucos.
buildtoolbar_popup_mat_grassstones				Uma área relvada com lajes.
buildtoolbar_popup_mat_grassscornerfloor		Um canto relvado com terra. Útil para caminhos inclinados.
buildtoolbar_popup_mat_lunarfloor				Uma superfície rochosa com aspeto interestelar.
buildtoolbar_popup_obj_spookytree				Uma velha árvore sinistra.
buildtoolbar_popup_obj_cactustree				Fica melhor em terreno seco.
buildtoolbar_popup_obj_sakuratree				Uma linda cerejeira-do-japão em flor.
buildtoolbar_popup_obj_plant					Uma agradável planta caseira.
buildtoolbar_popup_obj_plantcactus				Um cato envasado para interior.
buildtoolbar_popup_obj_tyrestack				Serve como pequeno muro que os prisioneiros e os funcionários contornam.
buildtoolbar_popup_obj_lamp						Um candeeiro ornamental, perfeito para escritórios e zonas de funcionários.
buildtoolbar_popup_obj_bathroomSink				Nenhuma casa de banho com higiene dispensa um.
buildtoolbar_popup_obj_bathroomHandDryer		Fica perfeito com o lavatório.
buildtoolbar_popup_obj_chestOfDrawers			Uma cómoda de madeira.
buildtoolbar_popup_obj_woodenStool				Fica perfeito com uma mesa de madeira.
buildtoolbar_popup_obj_woodenTable				Fica perfeita com um banco de madeira	
buildtoolbar_popup_obj_bucket					Só um balde.
buildtoolbar_popup_obj_shortbookcase			Uma estante mais baixa para arrumar livros.
buildtoolbar_popup_obj_outdoorTable				Para os prisioneiros se sentarem a comer no exterior.
buildtoolbar_popup_obj_mooseHead				Uma linda cabeça de alce numa placa.
buildtoolbar_popup_obj_toiletSign				Uma placa com um símbolo de casa de banho.
buildtoolbar_popup_obj_rightArrowSign			Uma placa com uma seta para a direita.
buildtoolbar_popup_obj_leftArrowSign			Uma placa com uma seta para a esquerda.
buildtoolbar_popup_obj_infirmarySign			Uma placa com um símbolo de enfermaria.
buildtoolbar_popup_obj_canteenSign				Uma placa com um símbolo de cantina.
buildtoolbar_popup_obj_showerSign				Uma placa com um símbolo de duches.
buildtoolbar_popup_obj_armourySign				Uma placa com um símbolo de arsenal.
buildtoolbar_popup_obj_jaildoorred				Uma porta de barra colorida para ajudar a identificar blocos de Segurança Máxima.
buildtoolbar_popup_obj_jaildoorgrey				Uma porta de barra colorida para ajudar a identificar blocos de Segurança Mínima.
buildtoolbar_popup_obj_jaildoororange			Uma porta de barra colorida para ajudar a identificar blocos de Segurança Média.
buildtoolbar_popup_obj_jaildooryellow			Uma porta de barra colorida para ajudar a identificar blocos de Prisão Preventiva.
buildtoolbar_popup_obj_jaildoorlargered			Uma porta de barra grande colorida para ajudar a identificar blocos de Segurança Máxima.
buildtoolbar_popup_obj_jaildoorlargegrey		Uma porta de barra grande colorida para ajudar a identificar blocos de Segurança Mínima.
buildtoolbar_popup_obj_jaildoorlargeorange		Uma porta de barra grande colorida para ajudar a identificar blocos de Segurança Média.
buildtoolbar_popup_obj_jaildoorlargeYellow		Uma porta de barra grande colorida para ajudar a identificar blocos de Prisão Preventiva.
buildtoolbar_popup_obj_coatstand				Local onde ficam pendurados os casacos e chapéus dos funcionários.
buildtoolbar_popup_obj_dogbowl					Onde se coloca a água e a comida dos cães de guarda cansados.\nAumenta ligeiramente o vigor do cão.
buildtoolbar_popup_obj_secretdoor				Uma porta oculta disfarçada de estante, que desliza para permitir a passagem dos funcionários.
buildtoolbar_popup_obj_parkbench				Um banco de exterior.
buildtoolbar_popup_obj_fencegateguard			Um portão gradeado que só os guardas podem abrir.
buildtoolbar_popup_obj_oaktable					Onde comer.
buildtoolbar_popup_obj_oakbench					Onde sentar. Fica bem com a mesa de carvalho.

buildtoolbar_popup_obj_classic					O cão de guarda original, velho mas experiente.
buildtoolbar_popup_obj_dalmation				Costumava viver numa quinta, mas agora trabalha na prevenção de fugas.
buildtoolbar_popup_obj_husky					Uma armadilha mortal para um fugitivo que se mova na neve.
buildtoolbar_popup_obj_companion				O melhor amigo de um guarda.
buildtoolbar_popup_obj_cat						Nem toda a gente gosta de cães.
buildtoolbar_popup_obj_direwoof					Quem se atreveria sequer a fugir?

buildtoolbar_popup_filter_mostused				Mais usado
buildtoolbar_caters_safety						Trata da necessidade de segurança.

interfacedeployment_orderly						Designa auxiliares
buildtoolbar_deployment_orderly					Designa auxiliares para os setores da prisão.

interfacedeployment_orderlypatrols				Designa auxiliares
buildtoolbar_deployment_orderlypatrols			Designa auxiliares para as rotas de patrulha da prisão.

room_PaddedCell                                Cela almofadada
room_PaddedHoldingCell                         Cela temporária almofadada
room_PsychiatristOffice							Gabinete de psiquiatria

interfaceplanning_BuildPlan			Construir planos
interfaceplanning_ClearPlan			Limpar planos
interfaceplanning_Door				Portas

buildtoolbar_improvement						- Melhora a classificação de *R
buildtoolbar_improvement_windows				 (quando de frente para o exterior)

buildplan_title					Seleção do tipo de parede			
buildplan_message				Estás a postos para construir o teu plano?\n	Esta ação não pode ser anulada.\n\n	Todas as paredes planeadas serão construídas com o mesmo tipo de parede.\n	Podes alterar o tipo de parede abaixo.
clearplan_title					Limpar planos
clearplan_message				Queres mesmo limpar todos os planos desenhados?\n \n	Esta ação não pode ser anulada.

d11_custom_planning 				Planeamento personalizado

buildtoolbar_popup_planning			Planeia a prisão sem medo dos operários realmente construírem, até estares a postos. O Menu de Planeamento permite-te optar entre: construir todas as estruturas e portas planeadas; eliminar secções dos planos; ou limpar todo o plano e recomeçar.

buildtoolbar_popup_help_planningDoor_1		O tipo de porta escolhido será usado quando colocares uma porta no teu plano.
buildtoolbar_popup_help_quickBuildWall_1	O tipo de parede escolhido será usado na próxima Construção Rápida


buildtoolbar_popup_mat_blueclassywall			Constrói paredes elegantes sobre as fundações para criar novas áreas ou divisões para o pessoal.
buildtoolbar_popup_mat_burgundyclassywall		Constrói paredes elegantes sobre as fundações para criar novas áreas ou divisões para o pessoal.
buildtoolbar_popup_mat_greenclassywall			Constrói paredes elegantes sobre as fundações para criar novas áreas ou divisões para o pessoal.

buildtoolbar_popup_obj_windowclassy				Torna o exterior muito mais bonito do que realmente é.
buildtoolbar_popup_obj_windowclassyLarge		Torna o exterior muito mais bonito do que realmente é.
buildtoolbar_popup_obj_gravestone				É fornecida uma lápide por cada morte que ocorra na prisão.

buildtoolbar_popup_staff_psychiatrist			Funcionário especializado que consulta regularmente os reclusos criminalmente loucos.\nQuando a prisão tem em vigor um programa de consultas psiquiátricas, os psiquiatras efetuam sessões individuais regulares para ajudar a acalmar os prisioneiros criminalmente loucos. \nSe houver muitos prisioneiros criminalmente loucos, é preciso contratar alguns psiquiatras para dar apoio a todos. Cada um deles precisa de um gabinete.

buildtoolbar_popup_staff_orderly				Funcionários médicos, treinados para lidar com os criminalmente loucos.
