# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	전체 변경 로그
buildtoolbar_popup_obj_snowyconifertree	눈 덮인 땅에 가장 잘 어울릴 겁니다.


buildtoolbar_popup_obj_palmtree	원래는 건조한 땅에서 자라지만, 이젠 원하는 곳이라면 어디에서는 자라게 만들 수 있습니다.


buildtoolbar_popup_obj_bush	실외 구역에 약간의 장식을 더합니다.

buildtoolbar_popup_obj_streetlamp	도로와 통로에 불을 밝힙니다.

buildtoolbar_popup_obj_floodlight	운동장 같은 넓은 구역을 밝힐 수 있는 높은 실외 조명.








buildtoolbar_popup_obj_bleachers	여러 명의 재소자들이 함께 앉아 대화를 나눌 수 있는 전형적인 교도소 운동장 야외 관람석.
buildtoolbar_popup_obj_smallbench	앉을 수 있는 곳.
buildtoolbar_popup_obj_smalltable	음식을 먹을 수 있는 곳.
buildtoolbar_popup_obj_showerpillar	샤워실 중간에 배치하고 양쪽 끝에 샤워기를 연갈하세요.


buildtoolbar_popup_obj_doorMat	출입구 앞에 두면 보기 좋은 싸구려 고무 도어 매트.


buildtoolbar_popup_obj_guardPavilion	운동장과 넓은 구역에 설치하면 교도관과 무장교도관이 죄수들을 감시할 수 있습니다.\n배치 메뉴를 통해 교도관을 배치하세요.\n -해당 구역의 진압 레벨 상승.\n -교도관들이 날씨의 영향을 피할 수 있습니다.
buildtoolbar_popup_obj_guardPavilionCorner	운동장과 넓은 구역의 모서리에 설치하면 교도관과 무장교도관이 죄수들을 감시할 수 있습니다.\n배치 메뉴를 통해 교도관을 배치하세요.\n -해당 구역의 진압 레벨 상승.\n -교도관들이 날씨의 영향을 피할 수 있습니다.

buildtoolbar_popup_obj_officeChair	직원이 앉을 수 있는 사무실 책상 의자.




















buildtoolbar_popup_obj_visitorDoor	교도관이 열 필요 없이 교도소 면회객들이 바로 통과하는 문. 교도관과 직원도 이 문을 사용하지만, 죄수들은 이용하지 않습니다.
buildtoolbar_popup_obj_ironingBoardShort	짧은 다리미판입니다.
buildtoolbar_popup_obj_fencegatestaff	울타리와 잘 어울리는 출입구. 문과 같은 기능을 수행합니다.
buildtoolbar_popup_obj_fencegatestandard	울타리와 잘 어울리는 출입구. 문과 같은 기능을 수행합니다.
buildtoolbar_popup_obj_fencegatevisitor	울타리와 잘 어울리는 출입구. 문과 같은 기능을 수행합니다.












buildtoolbar_popup_obj_walllight	벽에 설치하는 벙커 스타일 조명.
buildtoolbar_popup_obj_securedoor	독방을 위해 디자인된 문으로 식판 배식구가 달려있습니다. 음식을 전달하는 교도관은 방 안에 들어가지 않고 문을 통해 식판을 독방 안에 넣을 수 있습니다.


interfacedeployment_guards	교도관 배정
buildtoolbar_deployment_Guards	교도소의 특정 구역에 교도관을 배정합니다.

interfacedeployment_Dogs	경비견 조련사 배정
buildtoolbar_deployment_Dogs	교도소의 특정 구역에 경비견 조련사를 배정합니다.

interfacedeployment_ArmedGuards	무장교도관 배정
buildtoolbar_deployment_ArmedGuards	교도소의 특정 구역에 무장교도관을 배정합니다.

interfacedeployment_patrols	교도관 배정
buildtoolbar_deployment_Patrols	교도소의 순찰 경로에 교도관을 배정합니다.

interfacedeployment_dogpatrols	경비견 조련사 배정
buildtoolbar_deployment_DogPatrols	교도소의 순찰 경로에 경비견 조련사를 배정합니다.

interfacedeployment_armedpatrols	무장교도관 배정
buildtoolbar_deployment_ArmedPatrols	교도소의 순찰 경로에 무장교도관을 배정합니다.

buildtoolbar_popup_help_Guards_1	교도관 도구로 교도관을 구역에 배치할 수 있습니다. 배치된 교도관은 배정 받은 구역을 랜덤으로 순찰하며 해당 구역에 관련하여 문을 여는 등의 교도관이 수행해야 하는 작업을 수행합니다.\n\n
buildtoolbar_popup_help_Guards_2	~왼쪽 클릭하면 한 구역에 배치되는 경비견 조련사의 수가 늘어납니다. 오른쪽 클릭하면 교도관이 제거됩니다.\n\n
buildtoolbar_popup_help_Guards_3	^팁
buildtoolbar_popup_help_Guards_4	- 마이크로매니지먼트가 잠금해제되었다면 배치 스케줄러에 접근할 수 있습니다. 이를 통해 특정 구역에 교도관이 배정되는 시간에 대한 시간표를 짤 수 있습니다. 예를 들어, 식사 시간에만 교도관이 구내 식당에 배정되기를 원할 경우 식사 시간에 해당되는 스케줄러 블록을 클릭한 뒤 시간 슬라이더를 그 블록으로 옮기고 구내 식당을 클릭해서 교도관을 배정하면 됩니다.
buildtoolbar_popup_help_Guards_5	- 스케줄링을 통해 사용 가능한 최대 9가지의 다른 시간 블록과 기본 설정인 상시 활동 모드를 이용해 교도소의 필요에 따른 복잡한 배정 스케줄을 짤 수 있습니다.
buildtoolbar_popup_help_Guards_6	- 경비견 조련사를 배치할 때 시간 블록을 수동으로 지정하지 않을 경우, 스케줄러는 현재 시간을 사용하게 됩니다. 배정 스케줄을 바꿀 때 올바른 시간을 선택하도록 하세요!

buildtoolbar_popup_help_Dogs_1	경비견 조련사 도구로 경비견 조련사을 구역에 배치할 수 있습니다. 배치된 경비견 조련사는 배정 받은 구역을 랜덤으로 순찰하며 해당 구역에 관련하여 문을 여는 등의 경비견 조련사가 수행해야 하는 작업을 수행합니다.\n\n
buildtoolbar_popup_help_Dogs_2	~왼쪽 클릭하면 한 구역에 배치되는 경비견 조련사의 수가 늘어납니다. 오른쪽 클릭하면 교도관이 제거됩니다.\n\n
buildtoolbar_popup_help_Dogs_3	^팁
buildtoolbar_popup_help_Dogs_4	- 마이크로매니지먼트가 잠금해제되었다면 배치 스케줄러에 접근할 수 있습니다. 이를 통해 특정 구역에 경비견 조련사가 배정되는 시간에 대한 시간표를 짤 수 있습니다. 예를 들어, 식사 시간에만 경비견 조련사가 구내 식당에 배정되기를 원할 경우 식사 시간에 해당되는 스케줄러 블록을 클릭한 뒤 시간 슬라이더를 그 블록으로 옮기고 구내 식당을 클릭해서 경비견 조련사를 배정하면 됩니다.
buildtoolbar_popup_help_Dogs_5	- 스케줄링을 통해 사용 가능한 최대 9가지의 다른 시간 블록과 기본 설정인 상시 활동 모드를 이용해 교도소의 필요에 따른 복잡한 배정 스케줄을 짤 수 있습니다.
buildtoolbar_popup_help_Dogs_6	- 경비견 조련사를 배치할 때 시간 블록을 수동으로 지정하지 않을 경우, 스케줄러는 현재 시간을 사용하게 됩니다. 배정 스케줄을 바꿀 때 올바른 시간을 선택하도록 하세요!

buildtoolbar_popup_help_ArmedGuards_1	무장교도관 도구로 무장교도관을 구역에 배치할 수 있습니다. 배치된 교도관은 배정 받은 구역을 랜덤으로 순찰하며 해당 구역에 관련하여 문을 여는 등의 교도관이 수행해야 하는 작업을 수행합니다.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~왼쪽 클릭하면 한 구역에 배치되는 교도관의 수가 늘어납니다. 오른쪽 클릭하면 교도관이 제거됩니다.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^팁
buildtoolbar_popup_help_ArmedGuards_4	- 마이크로매니지먼트가 잠금해제되었다면 배치 스케줄러에 접근할 수 있습니다. 이를 통해 특정 구역에 무장교도관이 배정되는 시간에 대한 시간표를 짤 수 있습니다. 예를 들어, 식사 시간에만 무장교도관이 구내 식당에 배정되기를 원할 경우 식사 시간에 해당되는 스케줄러 블록을 클릭한 뒤 시간 슬라이더를 그 블록으로 옮기고 구내 식당을 클릭해서 무장교도관을 배정하면 됩니다.
buildtoolbar_popup_help_ArmedGuards_5	- 스케줄링을 통해 사용 가능한 최대 9가지의 다른 시간 블록과 기본 설정인 상시 활동 모드를 이용해 교도소의 필요에 따른 복잡한 배정 스케줄을 짤 수 있습니다.
buildtoolbar_popup_help_ArmedGuards_6	- 무장교도관을 배치할 때 시간 블록을 수동으로 지정하지 않을 경우, 스케줄러는 현재 시간을 사용하게 됩니다. 배정 스케줄을 바꿀 때 올바른 시간을 선택하도록 하세요!

interfacedeployment_PrioritizeArea	구역 우선순위 (*X)
buildtoolbar_deployment_PrioritizeGuard	이 옵션을 통해 배정된 교도관이 교도소 내의 특정 구역을 담당하도록 설정하세요. 인원이 부족한 경우, 교도관은 우선순위 구역으로 먼저 이동합니다. 우선순위에는 "높음"(>>) 및 "매우 높음"(>>>)의 두 가지 단계가 있습니다.

interfacedeployment_BluePatrol	파란색 순찰
buildtoolbar_deployment_BluePatrol	색깔 순찰 경로를 통해 다른 교도관들의 순찰 경로가 겹치도록 만들 수 있습니다. 클릭하고 드래그해서 파란색 순찰 경로를 만드세요. 오른쪽 마우스 버튼을 클릭하고 드래그해서 파란색 순찰 경로를 지우세요. 교도관 배정 버튼을 사용해서 순찰 경로에 교도관을 추가하세요.

interfacedeployment_MagentaPatrol	자주색 순찰
buildtoolbar_deployment_MagentaPatrol	색깔 순찰 경로를 통해 다른 교도관들의 순찰 경로가 겹치도록 만들 수 있습니다. 클릭하고 드래그해서 자주색 순찰 경로를 만드세요. 오른쪽 마우스 버튼을 클릭하고 드래그해서 자주색 순찰 경로를 지우세요. 교도관 배정 버튼을 사용해서 순찰 경로에 교도관을 추가하세요.

interfacedeployment_PrioritizePatrol	순찰 우선순위
buildtoolbar_deployment_PrioritizePatrol	이 옵션을 통해 배정된 교도관이 교도소 내의 특정 순찰 구역을 담당하도록 설정하세요. 인원이 부족한 경우, 교도관은 우선순위 순찰 구역으로 먼저 이동합니다. 우선순위에는 "높음"(>>) 및 "매우 높음"(>>>)의 두 가지 단계가 있습니다.

buildtoolbar_popup_filter_title	필터 목록
buiildtoolbar_popup_filter_toggle	버튼을 클릭해서 토글하기
buildtoolbar_popup_filter_default	기본 설정
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	보유
buildtoolbar_popup_filter_costhighlow	비용 (높음-낮음)
buildtoolbar_popup_filter_costlowhigh	비용 (낮음-높음)
buildtoolbar_popup_filter_indooroutdoor	실내-실외
buildtoolbar_popup_filter_outdoorindoor	실외-실내
buildtoolbar_popup_filter_quantity	보유 수
buildtoolbar_popup_filter_byroom	방






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	더블클릭: 물품 이동

double_click_add_door	왼쪽 마우스 버튼을 더블클릭해서 문을 추가하세요.

codex_option_bureaucracyresearched	업무결재시스템 연구 완료
codex_tooltip_bureaucracyresearched	전체 업무결재시스템 트리를 완전히 연구한 채로 새 게임을 시작하세요.

codex_option_jungle	정글 토지
codex_tooltip_jungle	울창한 정글 형태의 땅을 시작 토지로 생성하세요.

codex_option_snowy	설원 토지
codex_tooltip_snowy	눈 덮인 땅을 시작 토지로 생성하세요.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	빨래하기

action_Stretching	운동하기
action_PlayChess	체스하기


plant_tree_location	*X에 나무 심기

report_intake_cat_SuperMax	초고위험

interface_undo	실행 취소

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	교도소 저장 실패.
codex_changelog_next	다음 >
codex_changelog_prev	< 이전
codex_credits	크레딧

codex_options_screenshotmode	스크린샷 모드
codex_tooltip_screenshotmode	스크린샷 모드에서 [*K] 키를 길게 누르고 [*E]를 눌러서 모든 UI 및 HUD를 끄거나 켜세요.
codex_sso_content_message	Paradox 계정을 성공적으로 등록했습니다.\n\n감사의 뜻으로 게임 내에서 새로운 경비탑을 준비했습니다! 물품 메뉴에서 확인하세요.
codex_options_borderless_windowed	테두리 없음
codex_options_monitor	모니터


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	디스플레이 모드
codex_options_borderless_fullscreen	테두리 없는 전체 화면
codex_options_display_monitor	모니터 표시
codex_options_windowed_resolution	창 모드 해상도

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	벽(아트 데코)
material_blueWall	고급 벽(푸른 줄무늬)
material_burgundyWall	고급 벽(버건디)
material_greenWall	고급 벽(녹색)
material_orientalWall	벽(동양)
material_cushionedwall	벽(쿠션)

material_sandstone	사암
material_limestonefloor	석회암
material_blueCarpet	양탄자(파란색)
material_redCarpet	양탄자(붉은색)
material_brownCarpet	양탄자(갈색)
material_paddedfloor	쿠션 있음
material_grassstones	잔디와 돌
material_grasscornerfloor	잔디 모서리
material_grasscornerfloor1	잔디 모서리
material_grasscornerfloor2	잔디 모서리
material_grasscornerfloor3	잔디 모서리
material_lunarfloor	달

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	나무(앙상함)
object_cactustree	나무(선인장)
object_sakuratree	나무(벚꽃)
object_plantcactus	식물(선인장)
object_tyrestack	타이어 더미
object_lamp	빛(램프)
object_bathroomSink	세면대
object_bathroomHandDryer	손 건조기
object_chestOfDrawers	서랍장
object_woodenStool	나무 의자
object_woodenTable	나무 탁자
object_bucket	양동이
object_shortbookcase	책장(낮음)
object_outdoorTable	야외 탁자
object_mooseHead	무스 머리
object_toiletSign	표지판(화장실)
object_rightArrowSign	표지판(오른쪽 화살표)
object_leftArrowSign	표지판(왼쪽 화살표)
object_infirmarySign	표지판(진료소)
object_canteenSign	표지판(구내 식당)
object_showerSign	표지판(샤워실)
object_armourySign	표지판(무기고)
object_jaildoorred	철창문(붉은색)
object_jaildoorgrey	철창문(회색)
object_jaildoororange	철창문(주황색)
object_jaildoorYellow	철창문(노란색)
object_jaildoorlargered	대형 철창문(붉은색)
object_jaildoorlargegrey	대형 철창문(회색)
object_jaildoorlargeorange	대형 철창문(주황색)
object_jaildoorlargeyellow	대형 철창문(노란색)
object_coatstand	외투 걸이
object_dogbowl	개밥그릇
object_footbridge	보도교
object_footbridgesteel	철제 보도교
object_footbridgeb	보도교 B
object_footbridgesteelb	철제 보도교 B
object_windowclassy	고급 창
object_windowclassyLarge	고급 창(대형)
object_gravestone	묘비
object_psychiatrist	정신과 의사
object_orderly	의무병
object_rorschachTest	로르샤흐 테스트
object_anatomyModel	해부학 모형
object_flipboard	안내판
object_medicineCabinetPsych	약장
object_leatherchair	가죽 의자
object_leatherSofa	가죽 소파
object_parkbench	벤치(공원)
object_fencegateguard	철조망 입구(교도관용)
object_oaktable	탁자(오크)
object_oakbench	의자(오크)
object_BoomBoxRoundHouse	카세트라디오

object_classic	클래식
object_dalmation	달마시안
object_husky	허스키
object_companion	반려동물
object_cat	고양이
object_direwoof	다이어울프

equipment_fountainPen	만년필
equipment_goldPocketWatch	금 회중시계
equipment_sedativeShot	진정제 주사(주사기)
equipment_sedativesyringe	진정제(주사기)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	아트 데코 벽을 건설하여 감옥에 1920년대의 건축 분위기를 만드세요.
buildtoolbar_popup_mat_blueWall	토대에 고급 벽을 건설하여 새로운 직원용 공간이나 방을 만드세요.
buildtoolbar_popup_mat_burgundywall	토대에 고급 벽을 건설하여 새로운 직원용 공간이나 방을 만드세요.
buildtoolbar_popup_mat_greenwall	토대에 고급 벽을 건설하여 새로운 직원용 공간이나 방을 만드세요.
buildtoolbar_popup_mat_orientalwall	동양 벽을 건설하여 감옥에 옛날 일본 분위기가 풍기는 공간을 만드세요.
buildtoolbar_popup_mat_cushionedwall	토대에 벽 공간을 건설하여 가죽을 사용해 부유한 분위기가 나는 새로운 공간이나 방을 만드세요.
buildtoolbar_popup_mat_sandstone	실외 공간에 사암 판을 설치하세요.
buildtoolbar_popup_mat_limestonefloor	바닥은 빛바랜 석회암의 색입니다.
buildtoolbar_popup_mat_blueCarpet	편안한 양탄자를 설치하세요. 직원용 공간에 딱 맞습니다.
buildtoolbar_popup_mat_redCarpet	편안한 양탄자를 설치하세요. 직원용 공간에 딱 맞습니다.
buildtoolbar_popup_mat_brownCarpet	편안한 양탄자를 설치하세요. 직원용 공간에 딱 맞습니다.
buildtoolbar_popup_mat_paddedfloor	쿠션이 들어간 벽을 조합해 정신 이상 재소자를 위한 쿠션 감방을 완성하세요.
buildtoolbar_popup_mat_grassstones	판석이 있는 잔디 공간입니다.
buildtoolbar_popup_mat_grassscornerfloor	흙이 있는 잔디 모서리입니다. 구부러진 출입로에 사용하세요.
buildtoolbar_popup_mat_lunarfloor	우주 공간을 표현한 단단한 돌 표면입니다.
buildtoolbar_popup_obj_spookytree	으스스한 고목입니다.
buildtoolbar_popup_obj_cactustree	건조한 땅에 아주 잘 어울릴 것입니다.
buildtoolbar_popup_obj_sakuratree	분홍색 꽃이 피어 있는 아름다운 벚나무입니다.
buildtoolbar_popup_obj_plant	아름다운 정원수입니다.
buildtoolbar_popup_obj_plantcactus	실내용 선인장 화분입니다.
buildtoolbar_popup_obj_tyrestack	수감자와 직원이 주변을 걸을 수 있는 작은 벽 역할을 합니다.
buildtoolbar_popup_obj_lamp	장식이 화려한 스탠딩 램프로 사무실이나 직원용 공간에 적합합니다.
buildtoolbar_popup_obj_bathroomSink	위생적인 화장실에 빼놓을 수 없습니다.
buildtoolbar_popup_obj_bathroomHandDryer	욕실 세면대로 사용하면 좋습니다.
buildtoolbar_popup_obj_chestOfDrawers	나무로 만든 서랍장입니다.
buildtoolbar_popup_obj_woodenStool	나무 탁자와 잘 어울릴 것입니다.
buildtoolbar_popup_obj_woodenTable	나무 의자와 잘 어울릴 것입니다.
buildtoolbar_popup_obj_bucket	평범한 양동이입니다.
buildtoolbar_popup_obj_shortbookcase	높이가 낮은 책꽂이입니다.
buildtoolbar_popup_obj_outdoorTable	죄수들이 실외에서 앉거나 식사할 수 있습니다.
buildtoolbar_popup_obj_mooseHead	손으로 아름답게 마무리한 명판에 걸린 무스 머리입니다.
buildtoolbar_popup_obj_toiletSign	화장실 표시가 있는 벽 표지판입니다.
buildtoolbar_popup_obj_rightArrowSign	오른쪽을 가리키는 화살표가 있는 벽 표지판입니다.
buildtoolbar_popup_obj_leftArrowSign	왼쪽을 가리키는 화살표가 있는 벽 표지판입니다.
buildtoolbar_popup_obj_infirmarySign	진료소 표시가 있는 벽 표지판입니다.
buildtoolbar_popup_obj_canteenSign	구내 식당 표시가 있는 벽 표지판입니다.
buildtoolbar_popup_obj_showerSign	샤워실 표시가 있는 벽 표지판입니다.
buildtoolbar_popup_obj_armourySign	무기고 표시가 있는 벽 표지판입니다.
buildtoolbar_popup_obj_jaildoorred	보안 수준이 가장 높은 감옥 블록을 표시할 수 있도록 색이 있는 철창문입니다.
buildtoolbar_popup_obj_jaildoorgrey	보안 수준이 낮은 감옥 블록을 표시할 수 있도록 색이 있는 철창문입니다.
buildtoolbar_popup_obj_jaildoororange	보안 수준이 중간인 감옥 블록을 표시할 수 있도록 색이 있는 철창문입니다.
buildtoolbar_popup_obj_jaildooryellow	보호 감호 중인 감옥 블록을 표시할 수 있도록 색이 있는 철창문입니다.
buildtoolbar_popup_obj_jaildoorlargered	보안 수준이 가장 높은 감옥 블록을 표시할 수 있도록 색이 있는 대형 철창문입니다.
buildtoolbar_popup_obj_jaildoorlargegrey	보안 수준이 낮은 감옥 블록을 표시할 수 있도록 색이 있는 대형 철창문입니다.
buildtoolbar_popup_obj_jaildoorlargeorange	보안 수준이 중간인 감옥 블록을 표시할 수 있도록 색이 있는 대형 철창문입니다.
buildtoolbar_popup_obj_jaildoorlargeYellow	보호 감호 중인 감옥 블록을 표시할 수 있도록 색이 있는 대형 철창문입니다.
buildtoolbar_popup_obj_coatstand	직원의 외투와 모자를 걸 수 있습니다.
buildtoolbar_popup_obj_dogbowl	지친 경비견의 물과 밥을 줄 수 있습니다.\n적은 양으로도 개의 스태미너를 증가시킬 수 있습니다.
buildtoolbar_popup_obj_secretdoor	직원이 드나들 수 있도록 밀어서 여는 책장 모양의 숨겨진 문입니다.
buildtoolbar_popup_obj_parkbench	실외 공원용 벤치입니다.
buildtoolbar_popup_obj_fencegateguard	철조망과 함께 설치하기 좋은 문으로 교도관만 열 수 있습니다.
buildtoolbar_popup_obj_oaktable	식사를 할 수 있습니다.
buildtoolbar_popup_obj_oakbench	앉을 수 있습니다. 오크 탁자와 잘 어울립니다.

buildtoolbar_popup_obj_classic	전통적인 경비견입니다. 나이는 많지만 경험이 풍부합니다.
buildtoolbar_popup_obj_dalmation	본래 농장을 지켰지만 이제는 탈옥을 막아줍니다.
buildtoolbar_popup_obj_husky	눈밭을 통과해 탈옥하려는 탈옥자를 잡는 무시무시한 덫입니다.
buildtoolbar_popup_obj_companion	교도관에게는 최고의 친구입니다.
buildtoolbar_popup_obj_cat	모든 사람이 개를 좋아하는 것은 아닙니다.
buildtoolbar_popup_obj_direwoof	감히 탈옥 시도를 할 수 있을까요?

buildtoolbar_popup_filter_mostused	자주 사용됨
buildtoolbar_caters_safety	안전을 위해 욕구를 채워줘야 합니다.

interfacedeployment_orderly	의무병 배치
buildtoolbar_deployment_orderly	감옥의 구역에 의무병을 배치합니다.

interfacedeployment_orderlypatrols	의무병 배치
buildtoolbar_deployment_orderlypatrols	감옥의 순찰 경로에 의무병을 배치합니다.

room_PaddedCell	쿠션이 있는 감방
room_PaddedHoldingCell	쿠션이 있는 유치장
room_PsychiatristOffice	정신과 사무실

interfaceplanning_BuildPlan	계획 건설
interfaceplanning_ClearPlan	계획 제거
interfaceplanning_Door	문

buildtoolbar_improvement	- *R의 등급 상향
buildtoolbar_improvement_windows	(외부를 향할 때)

buildplan_title	벽 유형 선택
buildplan_message	건설할 준비가 되었습니까?\n	이 작업은 취소할 수 없습니다.\n\n	건설 계획 내의 벽은 동일한 벽 유형이어야 합니다.\n	아래에서 선택한 벽 유형을 변경할 수 있습니다.
clearplan_title	계획 제거
clearplan_message	작성한 모든 계획을 정말 제거합니까?\n \n	이 작업은 취소할 수 없습니다.

d11_custom_planning	커스텀 계획

buildtoolbar_popup_planning	인부들이 무슨 일을 할지 고민하지 말고 먼저 계획을 세웁니다. 계획 메뉴에서 건설할 모든 구조물과 문을 선택하고, 계획의 일부 구역을 삭제하거나 전체 계획을 제거하고 다시 시작할 수 있습니다.

buildtoolbar_popup_help_planningDoor_1	계획에서 문을 배치하면 선택한 문 유형을 사용합니다.
