# June27th Update
# =============================================================================

# Codex
# =============================================================================

codex_viewchangelog	Pełny Dziennik Zmian
object_footbridge	Kładka
object_footbridgesteel	Stalowa kładka
object_footbridgeb	Kładka B
object_footbridgesteelb	Stalowa kładka B
object_windowclassy	Luksusowe okno
object_windowclassyLarge	Luksusowe okno (duże)
object_gravestone	Nagrobek
object_psychiatrist	Psychiatra
object_orderly	Sanitariusz
object_rorschachTest	Test Rorschacha
object_anatomyModel	Model budowy anatomicznej
object_flipboard	Tablica
object_medicineCabinetPsych	Szafka z lekami
object_leatherchair	Skórzane krzesło
object_leatherSofa	Skórzana kanapa
object_parkbench	Ławka (park)
object_fencegateguard	Brama ogrodzeniowa (strażnicza)
object_oaktable	Stół (dąb)
object_oakbench	Ławka (dąb)
object_BoomBoxRoundHouse	Magnetofon

object_classic	Klasyczny
object_dalmation	Dalmatyńczyk
object_husky	Husky
object_companion	Towarzysz
object_cat	Kot
object_direwoof	Kościogryz

equipment_fountainPen	Pióro wieczne
equipment_goldPocketWatch	Złoty zegarek kieszonkowy
equipment_sedativeShot	Zastrzyk uspokajający (strzykawka)
equipment_sedativesyringe	Środek uspokajający (strzykawka)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Buduj ściany w stylu Art Deco, aby nadać więzieniu architektoniczny wygląd z lat 20-tych.
buildtoolbar_popup_mat_blueWall	Buduj luksusowe ściany na fundamentach, aby tworzyć nowe obszary dla personelu lub pomieszczenia.
buildtoolbar_popup_mat_burgundywall	Buduj luksusowe ściany na fundamentach, aby tworzyć nowe obszary dla personelu lub pomieszczenia.
buildtoolbar_popup_mat_greenwall	Buduj luksusowe ściany na fundamentach, aby tworzyć nowe obszary dla personelu lub pomieszczenia.
buildtoolbar_popup_mat_orientalwall	Buduj orientalne ściany, aby tworzyć obszary w więzieniu o starodawnym japońskim charakterze.
buildtoolbar_popup_mat_cushionedwall	Buduj sekcje ścienne na fundamentach, aby tworzyć nowe obszary lub pomieszczenia o bogatym skórzanym motywie.
buildtoolbar_popup_mat_sandstone	Połóż płyty z piaskowca na terenach zewnętrznych.
buildtoolbar_popup_mat_limestonefloor	Podłoga jest w kolorze przytłumionej limonki.
buildtoolbar_popup_mat_blueCarpet	Połóż wygodny dywan. Idealny do pomieszczeń dla personelu.
buildtoolbar_popup_mat_redCarpet	Połóż wygodny dywan. Idealny do pomieszczeń dla personelu.
buildtoolbar_popup_mat_brownCarpet	Połóż wygodny dywan. Idealny do pomieszczeń dla personelu.
buildtoolbar_popup_mat_paddedfloor	Pasuje do wyściełanych ścian, tworząc miękką celę dla chorych psychicznie przestępców.
buildtoolbar_popup_mat_grassstones	Porośnięty trawą teren z kamieniem brukowym.
buildtoolbar_popup_mat_grassscornerfloor	Trawiasty narożnik z ziemią. Użyteczny przy krętych ścieżkach.
buildtoolbar_popup_mat_lunarfloor	Utwardzona, kamienista powierzchnia o wyglądzie nie z tej ziemi.
buildtoolbar_popup_obj_spookytree	Upiorne stare drzewo.
buildtoolbar_popup_obj_cactustree	Najlepiej prezentuje się na jałowej ziemi.
buildtoolbar_popup_obj_sakuratree	Piękne drzewo wiśniowe z różowym kwieciem.
buildtoolbar_popup_obj_plant	Przyjemna roślina domowa.
buildtoolbar_popup_obj_plantcactus	Domowy kaktus w doniczce.
buildtoolbar_popup_obj_tyrestack	Stanowi niewielką przeszkodę, wokół której spacerują więźniowie i pracownicy.
buildtoolbar_popup_obj_lamp	Ozdobna lampa stojąca, idealna do biur i pomieszczeń pracowniczych.
buildtoolbar_popup_obj_bathroomSink	Bez niej nie ma mowy o higienicznej łazience
buildtoolbar_popup_obj_bathroomHandDryer	Idealnie pasuje do łazienkowej umywalki
buildtoolbar_popup_obj_chestOfDrawers	Drewniana komoda z szufladami.
buildtoolbar_popup_obj_woodenStool	Świetnie pasuje do drewnianego stołu.
buildtoolbar_popup_obj_woodenTable	Idealnie pasuje do drewnianego stołka
buildtoolbar_popup_obj_bucket	Zwykłe wiadro
buildtoolbar_popup_obj_shortbookcase	Niewielka półka na książki.
buildtoolbar_popup_obj_outdoorTable	Więźniowie mogą przy nim usiąść i zjeść posiłek na zewnątrz.
buildtoolbar_popup_obj_mooseHead	Piękna, ręcznie wykończona głowa łosia przytwierdzona do deski.
buildtoolbar_popup_obj_toiletSign	Znak ścienny z symbolem toalety.
buildtoolbar_popup_obj_rightArrowSign	Znak ścienny ze strzałką skierowaną w prawo.
buildtoolbar_popup_obj_leftArrowSign	Znak ścienny ze strzałką skierowaną w lewo.
buildtoolbar_popup_obj_infirmarySign	Znak ścienny z symbolem ambulatorium.
buildtoolbar_popup_obj_canteenSign	Znak ścienny z symbolem stołówki.
buildtoolbar_popup_obj_showerSign	Znak ścienny z symbolem łazienki.
buildtoolbar_popup_obj_armourySign	Znak ścienny z symbolem zbrojowni.
buildtoolbar_popup_obj_jaildoorred	Kolorowe drzwi więzienne, dzięki którym można oznaczyć bloki więzienne o wysokim rygorze.
buildtoolbar_popup_obj_jaildoorgrey	Kolorowe drzwi więzienne, dzięki którym można oznaczyć bloki więzienne o niskim rygorze.
buildtoolbar_popup_obj_jaildoororange	Kolorowe drzwi więzienne, dzięki którym można oznaczyć bloki więzienne o średnim rygorze.
buildtoolbar_popup_obj_jaildooryellow	Kolorowe drzwi więzienne, dzięki którym można oznaczyć sekcje ochrony.
buildtoolbar_popup_obj_jaildoorlargered	Duże kolorowe drzwi więzienne, dzięki którym można oznaczyć bloki więzienne o wysokim rygorze.
buildtoolbar_popup_obj_jaildoorlargegrey	Duże kolorowe drzwi więzienne, dzięki którym można oznaczyć bloki więzienne o niskim rygorze.
buildtoolbar_popup_obj_jaildoorlargeorange	Duże kolorowe drzwi więzienne, dzięki którym można oznaczyć bloki więzienne o średnim rygorze.
buildtoolbar_popup_obj_jaildoorlargeYellow	Duże kolorowe drzwi więzienne, dzięki którym można oznaczyć sekcje ochrony.
buildtoolbar_popup_obj_coatstand	Miejsce, w którym personel zostawia płaszcze i kapelusze.
buildtoolbar_popup_obj_dogbowl	Pojemnik na wodę i jedzenie dla zmęczonych psów stróżujących.\nNieznacznie zwiększa psią wytrzymałość.
buildtoolbar_popup_obj_secretdoor	Ukryte drzwi udające regał na książki, stanowiące tajne przejście dla personelu.
buildtoolbar_popup_obj_parkbench	Zewnętrzna ławka parkowa.
buildtoolbar_popup_obj_fencegateguard	Brama świetnie współgrająca z siatką, którą mogą otworzyć wyłącznie strażnicy.
buildtoolbar_popup_obj_oaktable	Można przy nim jeść.
buildtoolbar_popup_obj_oakbench	Można na nim siedzieć. Świetnie współgra z dębowym stołem.

buildtoolbar_popup_obj_classic	Oryginalny pies stróżujący. Stary, ale doświadczony.
buildtoolbar_popup_obj_dalmation	Początkowo żył na wsi, ale teraz zajmuje się zapobieganiem ucieczkom.
buildtoolbar_popup_obj_husky	Zabójcza pułapka na poruszającego się po śniegu uciekiniera.
buildtoolbar_popup_obj_companion	Najlepszy przyjaciel strażnika
buildtoolbar_popup_obj_cat	Nie każdy lubi psy.
buildtoolbar_popup_obj_direwoof	Dlaczego ktoś miałby w ogóle próbować uciec?

buildtoolbar_popup_filter_mostused	Najczęściej używane
buildtoolbar_caters_safety	Odpowiada na potrzeby bezpieczeństwa.

interfacedeployment_orderly	Przydziel sanitariuszy
buildtoolbar_deployment_orderly	Przydziel sanitariusza do więziennych sektorów.

interfacedeployment_orderlypatrols	Przydziel sanitariuszy
buildtoolbar_deployment_orderlypatrols	Przydziel sanitariuszy do więziennych patroli.

room_PaddedCell	Wyściełana cela
