# June 27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Пълен списък с промени
buildtoolbar_popup_obj_jaildoorlargered			Изгледът за състоянието на килията ви показва заети килии (червени) и незаети (зелени).
buildtoolbar_popup_obj_jaildoorlargegrey		Голяма цветна врата на затвора, която ще ви помогне да маркирате блоковете с ниска сигурност.
buildtoolbar_popup_obj_jaildoorlargeorange		Голяма цветна врата на затвора, която ви помога да маркирате блокове със средна сигурност.
buildtoolbar_popup_obj_jaildoorlargeYellow		Голяма цветна врата на затвора, която ще ви помогне да поставите етикетите на вашите подсигурени килии.
buildtoolbar_popup_obj_coatstand				Място за палтата и шапките на персонала.
buildtoolbar_popup_obj_dogbowl					Държи вода и храна за уморени кучета пазачи.\nПовишава издръжливостта на кучето.
buildtoolbar_popup_obj_secretdoor				Скрита врата, която изглежда като рафт с книги и се отваря за служители.
buildtoolbar_popup_obj_parkbench				Външна пейка.
buildtoolbar_popup_obj_fencegateguard			Порта, която изглежда страхотно с огради, която само пазачи могат да отварят.
buildtoolbar_popup_obj_oaktable					За ядене.
buildtoolbar_popup_obj_oakbench					За седене. Върви добре с дъбовата маса.

buildtoolbar_popup_obj_classic					Оригиналното куче пазач, старо, но опитно.
buildtoolbar_popup_obj_dalmation				Първоначално е живял на ферма, но сега работи в предотвратяване на бягства.
buildtoolbar_popup_obj_husky					Смъртоносен капан за бягащи които се движят през сняг.
buildtoolbar_popup_obj_companion				Най-добрият приятел на пазача
buildtoolbar_popup_obj_cat						Не всеки харесва кучета.
buildtoolbar_popup_obj_direwoof					Кой дори би се опитал да избяга?

buildtoolbar_popup_filter_mostused				Най-използван
buildtoolbar_caters_safety						Обслужва нуждата за безопасност.

interfacedeployment_orderly						Задай Санитари
buildtoolbar_deployment_orderly					Задайте санитари в различни сектори на затвора.

interfacedeployment_orderlypatrols				Задай Санитари
buildtoolbar_deployment_orderlypatrols			Задайте санитари към патролните маршрути във вашия затвор.

room_PaddedCell                                Омекотена Килия
room_PaddedHoldingCell                         Омекотена Задържателна Килия
room_PsychiatristOffice							Офис на психиатър

interfaceplanning_BuildPlan			Изчисти Планове
interfaceplanning_ClearPlan			Изчисти Планове
interfaceplanning_Door				Врати

buildtoolbar_improvement						- Подобрява степента за *R
buildtoolbar_improvement_windows				 (когато е външно обърнато)

buildplan_title					Избор на Вид Стена			
buildplan_message				Готови ли сте да изградите своя план?\n	Това действие не може да бъде отменено.\n\n	Всички планирани стени ще бъдат изградени със същия тип.\n	Изборът на тип стена може да бъде променен по-долу.
clearplan_title					Изчисти Планове
clearplan_message				Сигурни ли сте, че искате да изчистите всички съставени планове?\n \n	Това действие не може да бъде отменено.

d11_custom_planning 				Планиране

buildtoolbar_popup_planning			Планирайте затвора спокойно, без да се притеснявате за работниците. Менюто планиране ви позволява да построите всичките помещения и врати, да изтриете части от плана или целия план и да започнете от начало.

buildtoolbar_popup_help_planningDoor_1		Избраният тип врата ще бъде използван когато поставите врата върху плана.
buildtoolbar_popup_help_quickBuildWall_1	Избраният тип стена ще бъде използван при изграждането на следващите ви бързи строежи.


buildtoolbar_popup_mat_blueclassywall			Изградете стилни стени върху основите, за да създадете нови зони за персонал или стаи.
buildtoolbar_popup_mat_burgundyclassywall		Изградете стилни стени върху основите, за да създадете нови зони за персонал или стаи.
buildtoolbar_popup_mat_greenclassywall			Изградете стилни стени върху основите, за да създадете нови зони за персонал или стаи.

buildtoolbar_popup_obj_windowclassy				Кара света навън да изглежда по-добър отколкото всъщност е.
buildtoolbar_popup_obj_windowclassyLarge		Кара света навън да изглежда по-добър отколкото всъщност е.
buildtoolbar_popup_obj_gravestone				За всяка смърт във вашия затвор е предоставена надгробна плоча.

buildtoolbar_popup_staff_psychiatrist			Висш член на персонала, който дава редовни консултации на нашите душевноболни затворници.\nПсихиатрите предлагат единични консултации, които успокояват затворниците, когато имаме програма за консултации в затвора. \nАко имаме много душевноболни затворници, би било разумно да наемем няколко психиатри за тях. Подсигурете офис за всеки психиатър.

buildtoolbar_popup_staff_orderly				Медицински персонал, специализирани в справянето с душевноболни.
buildtoolbar_popup_obj_leatherchair				Съответства на кожения диван. Идеален за персонал, но е прекалено приятен за затворници.

buildtoolbar_popup_obj_rorschachTest		    Добавянето на Rorschach тест към кабинета на психиатъра ще подобри лечението на душевноболните затворници.
buildtoolbar_popup_obj_anatomyModel				Добавянето на анатомичен модел към кабинета на психиатъра ще подобри лечението на душевноболните затворници.
buildtoolbar_popup_obj_flipboard				Добавянето на флипборд с диаграма на мозъка към кабинета на психиатъра ще подобри лечението на душевноболните затворници.
buildtoolbar_popup_obj_medicineCabinetPsych		Добавянето на аптечка към кабинета на психиатъра ще подобри лечението на душевноболните затворници.
buildtoolbar_popup_obj_leatherchair				Съответства на кожения диван. Идеален за персонал, но е прекалено приятен за затворници.
buildtoolbar_popup_obj_leatherSofa				Добавянето на класически кожен диван към кабинета на психиатъра ще подобри лечението на душевноболните затворници.

buildtoolbar_deployment_insaneseczone			В този сектор се допускат само душевноболни затворници.

failuremessage_maximumcountreachedgeneric		Максимално Количество Поставени

buildtoolbar_popup_locked_PsychiatricConsultation				Отключва се след *B повече психиатрични сесии.
buildtoobar_PsychConItemImproveInfo 			- Подобрява степента на офиса на психиатъра.
