# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Täysi muutoslogi
buildtoolbar_deployment_DogPatrols		Määrää koirayksikköjä vankilasi partiointireiteille.

interfacedeployment_armedpatrols                Määrää aseistettuja vartijoita
buildtoolbar_deployment_ArmedPatrols		Määrää aseistettuja vartioita vankilasi partiointireiteille.

buildtoolbar_popup_help_Guards_1        Vartijat-työkalun avulla voit määrätä vartijoita eri alueille. Alueelle määrätty vartija liikkuu alueella sattumanvaraisesti ja vastaa alueen vartija-tehtävistä, kuten esimerkiksi ovien avaamisesta.\n\n
buildtoolbar_popup_help_Guards_2        ~Vasen-klikkaa lisätäksesi alueelle määrättyjä koirapartioita. Oikea-klikkaa poistaaksesi vartija.\n\n
buildtoolbar_popup_help_Guards_3        ^^Vinkkejä
buildtoolbar_popup_help_Guards_4        - Avattuasi mikrotason hallintaominaisuuden näet työtehtävien aikataulutoiminnon. Sen avulla voit luoda aikataulun tietyille alueille sijoitettaville vartijoille. Jos esimerkiksi haluat määrätä vartijoita ruokalaan vain ruokailujen ajaksi, voit napsauttaa kutakin aikataulutoiminnon ruokailuun sijoittuvaa lohkoa, säätää lohkon aikavalitsinta ja määrätä vartijoita napsauttamalla ruokalaa.
buildtoolbar_popup_help_Guards_5        - Aikataulutoiminnossa käytössäsi on jopa 7 eri aikalohkoa sekä aina aktiivinen oletustila. Niiden avulla voit luoda monimutkaisia työtehtävien osoitusmalleja, jotka vastaavat vankilasi tarpeita. 
buildtoolbar_popup_help_Guards_6        - Jos et manuaalisesti valitse aikalohkoa koirapartioita määrätessäsi, aikataulutoiminto käyttää nykyistä aikaa; varmista, että olet valinnut oikean ajan osoittaessasi työtehtäviä!

buildtoolbar_popup_help_Dogs_1        Koirapartio-työkalun avulla voit määrätä koirapartioita alueille. Alueelle määrätty vartija liikkuu alueella sattumanvaraisesti ja vastaa alueen vartija-tehtävistä, kuten esimerkiksi ovien avaamisesta.\n\n
buildtoolbar_popup_help_Dogs_2        ~Vasen-klikkaa lisätäksesi alueelle määrättyjä koirapartioita. Oikea-klikkaa poistaaksesi koirapartio.\n\n
buildtoolbar_popup_help_Dogs_3        ^Vinkkejä
buildtoolbar_popup_help_Dogs_4        - Avattuasi mikrotason hallintaominaisuuden näet työtehtävien aikataulutoiminnon. Sen avulla voit luoda aikataulun tietyille alueille sijoitettaville koirapartioille. Jos esimerkiksi haluat määrätä koirapartioita ruokalaan vain ruokailujen ajaksi, voit napsauttaa kutakin aikataulutoiminnon ruokailuun sijoittuvaa lohkoa, säätää lohkon aikavalitsinta ja määrätä koirapartion napsauttamalla ruokalaa.
buildtoolbar_popup_help_Dogs_5        - Aikataulutoiminnossa käytössäsi on jopa 7 eri aikalohkoa sekä aina aktiivinen oletustila. Niiden avulla voit luoda monimutkaisia työtehtävien osoitusmalleja, jotka vastaavat vankilasi tarpeita. 
buildtoolbar_popup_help_Dogs_6        - Jos et manuaalisesti valitse aikalohkoa koirapartioita määrätessäsi, aikataulutoiminto käyttää nykyistä aikaa; varmista, että olet valinnut oikean ajan osoittaessasi työtehtäviä!

buildtoolbar_popup_help_ArmedGuards_1        Aseistetut vartijat-työkalun avulla voit määrätä aseistettuja vartijoita eri alueille. Alueelle määrätty vartija liikkuu alueella sattumanvaraisesti ja vastaa alueen vartija-tehtävistä, kuten esimerkiksi ovien avaamisesta.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~Vasen-klikkaa lisätäksesi alueelle määrättyjä vartioita. Oikea-klikkaa poistaaksesi vartija.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Vinkkejä
buildtoolbar_popup_help_ArmedGuards_4        - Avattuasi mikrotason hallintaominaisuuden näet työtehtävien aikataulutoiminnon. Sen avulla voit luoda aikataulun tietyille alueille sijoitettaville aseistetuille vartijoille. Jos esimerkiksi haluat määrätä aseistettuja vartijoita ruokalaan vain ruokailujen ajaksi, voit napsauttaa kutakin aikataulutoiminnon ruokailuun sijoittuvaa lohkoa, säätää lohkon aikavalitsinta ja määrätä aseistettuja vartijoita napsauttamalla ruokalaa.
buildtoolbar_popup_help_ArmedGuards_5        - Aikataulutoiminnossa käytössäsi on jopa 7 eri aikalohkoa sekä aina aktiivinen oletustila. Niiden avulla voit luoda monimutkaisia työtehtävien osoitusmalleja, jotka vastaavat vankilasi tarpeita. 
buildtoolbar_popup_help_ArmedGuards_6        - Jos et manuaalisesti valitse aikalohkoa aseistettuja vartijoita määrätessäsi, aikataulutoiminto käyttää nykyistä aikaa; varmista, että olet valinnut oikean ajan osoittaessasi työtehtäviä!

interfacedeployment_PrioritizeArea			Priorisoi alue (*X)
buildtoolbar_deployment_PrioritizeGuard			Käytä tätä vaihtoehtoa jos haluat priorisoida mitä vankilasi alueita vartijat tarkkailevat. Jos sinulla on työvoimapula, vartijat yrittävät hoitaa priorisoidut alueet ensimmäisenä. Priorisointitasoja on kaksi; ”Korkea” (>>) ja ”Erittäin korkea” (>>>).

interfacedeployment_BluePatrol				Sininen partio
buildtoolbar_deployment_BluePatrol			Värilliset partiointireitit mahdollistavat reittien päällekkäisyyden ja eri vartioiden määräämisen eri reiteille. Klikkaa ja raahaa luodaksesi partiointireitti Siniselle partiolle. Oikea-klikkaa ja raahaa poistaaksesi Sinisen partion partiointireitti. Käytä Määrää vartijoita -painiketta lisätäksesi vartijoita partiointireitille.

interfacedeployment_MagentaPatrol			Purppurainen partio
buildtoolbar_deployment_MagentaPatrol			Värilliset partiointireitit mahdollistavat reittien päällekkäisyyden ja eri vartioiden määräämisen eri reiteille. Klikkaa ja raahaa luodaksesi partiointireitti Purppuraiselle partiolle. Oikea-klikkaa ja raahaa poistaaksesi Purppuraisen partion partiointireitti. Käytä Määrää vartijoita -painiketta lisätäksesi vartijoita partiointireitille.

interfacedeployment_PrioritizePatrol			Priorisoi partiointia
buildtoolbar_deployment_PrioritizePatrol		Käytä tätä vaihtoehtoa jos haluat priorisoida mitä vankilasi partiointireittejä vartijat partioivat. Jos sinulla on työvoimapula, vartijat yrittävät hoitaa priorisoidut partiointireitit ensimmäisenä. Priorisointitasoja on kaksi; ”Korkea” (>>) ja ”Erittäin korkea” (>>>).

buildtoolbar_popup_filter_title                 Suodatinlista
buiildtoolbar_popup_filter_toggle               Klikkaa nappulaa kierrätääksesi vaihtoehtoja
buildtoolbar_popup_filter_default               Perusnäkymä
buildtoolbar_popup_filter_az                    A-Ö
buildtoolbar_popup_filter_owned                 Omistettu
buildtoolbar_popup_filter_costhighlow           Hinta (Kalliista halpaan)
buildtoolbar_popup_filter_costlowhigh           Hinta (Halvasta kalliiseen)
buildtoolbar_popup_filter_indooroutdoor         Sisätila - ulkotila
buildtoolbar_popup_filter_outdoorindoor         Ulkotila - sisätila
buildtoolbar_popup_filter_quantity               Omistettu määrä
buildtoolbar_popup_filter_byroom                Huoneen perusteella






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							TUPLAKLIKKAA: Siirrä esine

double_click_add_door							Vasen-klikkaa kahdesti lisätäksesi ovia.

codex_option_bureaucracyresearched				Byrokratia tutkittu
codex_tooltip_bureaucracyresearched				Aloita uusi peli Byrokratia-taitopuu kokonaan tutkittuna.

codex_option_jungle						Viidakkoalue
codex_tooltip_jungle						Luo aloitusalue joka muistuttaa tiheää viidakkoa.

codex_option_snowy						Luminen alue
codex_tooltip_snowy						Luo aloitusalue joka on lumen peitossa.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Peseminen

action_Stretching								Kuntoilu
action_PlayChess								Shakin pelaaminen


plant_tree_location								Istuta puu kohtaan *X

report_intake_cat_SuperMax							SuperMax

interface_undo							kumoa

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               Vankilan tallentaminen ei onnistunut.
codex_changelog_next                            Seuraava >
codex_changelog_prev                            < Edellinen
codex_credits                                   Lopputekstit

codex_options_screenshotmode					Kuvakaappaustila
codex_tooltip_screenshotmode					Kuvankaappaustilassa pidä [*K] -näppäintä pohjassa ja paina [*E] näyttääksesi/piilottaaksesi KAIKKI käyttöliittymän ja heijastusnäytön valikot.
codex_sso_content_message						Paradox-tilin luonti onnistui.\n\nKiitoksesi olet saanut uusia Vartijapaviljonkitorneja! Löydät ne Esineet-valikosta.
codex_options_borderless_windowed               Reunaton
codex_options_monitor                           Monitori


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Näyttötila 
codex_options_borderless_fullscreen		Reunaton kokonäytön tila
codex_options_display_monitor 			Näyttömonitori 
codex_options_windowed_resolution               Ikkuna-resoluutio

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Seinä (art deco)
material_blueWall								Tyylikäs seinä (siniraita)
material_burgundyWall							Tyylikäs seinä (burgundinvärinen)
material_greenWall								Tyylikäs seinä (vihreä)
material_orientalWall							Seinä (itämainen)
material_cushionedwall							Seinä (pehmustettu)

material_sandstone								Hiekkakivi 
material_limestonefloor							Kalkkikivi 
material_blueCarpet								Matto (sininen)
material_redCarpet								Matto (punainen)
material_brownCarpet							Matto (ruskea)
material_paddedfloor							Pehmustettu
material_grassstones							Ruohoa ja kiveä
material_grasscornerfloor						Ruohokulma
material_grasscornerfloor1						Ruohokulma
material_grasscornerfloor2						Ruohokulma
material_grasscornerfloor3						Ruohokulma
material_lunarfloor								Kuu

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Puu (kammottava)
object_cactustree								Puu (kaktus)
object_sakuratree								Puu (kirsikankukka)
object_plantcactus								Kasvi (kaktus)
object_tyrestack								Rengaskasa
object_lamp										Valo (lamppu)
object_bathroomSink								Kylpyhuoneen pesuallas
object_bathroomHandDryer						Käsienkuivain
object_chestOfDrawers							Lipasto
object_woodenStool								Puujakkara
object_woodenTable								Puupöytä			
object_bucket									Ämpäri
object_shortbookcase							Kirjahylly (lyhyt)
object_outdoorTable								Ulkopöytä
object_mooseHead								Hirvenpää
object_toiletSign								Kyltti (vessat)
object_rightArrowSign							Kyltti (nuoli oikealle)
object_leftArrowSign							Kyltti (nuoli vasemmalle)
object_infirmarySign							Kyltti (sairastupa)
object_canteenSign								Kyltti (ruokala)
object_showerSign								Kyltti (suihkut)
object_armourySign								Kyltti (asevarasto)
object_jaildoorred								Vankilan ovi (punaiset)
object_jaildoorgrey								Vankilan ovi (harmaat)
object_jaildoororange							Vankilan ovi (oranssit)
object_jaildoorYellow							Vankilan ovi (keltaiset)
object_jaildoorlargered							Suuri vankilan ovi (punaiset)
object_jaildoorlargegrey						Suuri vankilan ovi (harmaat)
object_jaildoorlargeorange						Suuri vankilan ovi (oranssit)
object_jaildoorlargeyellow						Suuri vankilan ovi (keltaiset)
object_coatstand								Naulakko
object_dogbowl									Koirankuppi
object_footbridge                               Kävelysilta
object_footbridgesteel                          Teräksinen kävelysilta
object_footbridgeb                              Kävelysilta B
object_footbridgesteelb                         Teräksinen kävelysilta B
object_windowclassy								Tyylikäs ikkuna
object_windowclassyLarge						Tyylikäs ikkuna (suuri)
object_gravestone								Hautakivi
object_psychiatrist								Psykiatri
object_orderly									Sairaala-apulainen
object_rorschachTest							Musteläikkätesti 
object_anatomyModel								Anatomianukke
object_flipboard								Kirjoitustaulu
object_medicineCabinetPsych						Lääkekaappi
object_leatherchair								Nahkatuoli
object_leatherSofa								Nahkasohva
object_parkbench								Penkki (puisto)
object_fencegateguard							Aitaportti (vartijan)
object_oaktable									Pöytä (tammi)
object_oakbench									Penkki (tammi)
object_BoomBoxRoundHouse						Boombox

object_classic									Klassikko
object_dalmation								Dalmatialainen
object_husky									Husky
object_companion								Kumppani
object_cat										Kissa
object_direwoof									Direwoof

equipment_fountainPen							Täytekynä
equipment_goldPocketWatch						Kultainen taskukello
equipment_sedativeShot							Rauhoittava annos (ruisku)
equipment_sedativesyringe						Rauhoittava (ruisku)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Rakenna art deco -seinä antaaksesi 20-luvun arkkitehtuurillisen ilmeen vankilallesi.
buildtoolbar_popup_mat_blueWall					Rakenna tyylikäs seinä perustusten päälle luodaksesi uusia henkilöstöalueita tai -huoneita.
buildtoolbar_popup_mat_burgundywall				Rakenna tyylikäs seinä perustusten päälle luodaksesi uusia henkilöstöalueita tai -huoneita.
buildtoolbar_popup_mat_greenwall				Rakenna tyylikäs seinä perustusten päälle luodaksesi uusia henkilöstöalueita tai -huoneita.
buildtoolbar_popup_mat_orientalwall				Rakenna itämainen seinä luodaksesi vankilaan alueita, joissa on muinaisen Japanin tunnelma.
buildtoolbar_popup_mat_cushionedwall			Rakenna seinäosioita perustusten päälle luodaksesi uusia alueita tai huoneita, joissa on rikkaan nahkainen ilme.
buildtoolbar_popup_mat_sandstone				Aseta hiekkakivilaattoja ulkotiloihin.
buildtoolbar_popup_mat_limestonefloor			Lattia on kuluneen kalkin värinen.
buildtoolbar_popup_mat_blueCarpet				Aseta mukava matto. Sopii täydellisesti henkilöstöalueille.
buildtoolbar_popup_mat_redCarpet				Aseta mukava matto. Sopii täydellisesti henkilöstöalueille.
buildtoolbar_popup_mat_brownCarpet				Aseta mukava matto. Sopii täydellisesti henkilöstöalueille.
buildtoolbar_popup_mat_paddedfloor				Yhdistä pehmustetut seinät ja luo pehmustettu selli mielisairaille vangeille.
buildtoolbar_popup_mat_grassstones				Nurmialue kivilaatoilla.
buildtoolbar_popup_mat_grassscornerfloor		Ruohokulma mullalla. Sopii hyvin kulmallisten polkujen luomiseen.
buildtoolbar_popup_mat_lunarfloor				Kovan kivinen pinta avaruudellisella ilmeellä.
buildtoolbar_popup_obj_spookytree				Aavemainen, vanha puu.
buildtoolbar_popup_obj_cactustree				Sopisi erinomaisesti kuivalle maalle.
buildtoolbar_popup_obj_sakuratree				Kaunis kirsikkapuu vaaleanpunaisilla kukilla.
buildtoolbar_popup_obj_plant					Miellyttävä kotikasvi.
buildtoolbar_popup_obj_plantcactus				Ruukkukaktus sisätiloihin.
buildtoolbar_popup_obj_tyrestack				Toimii pienenä seinänä, jonka vangit ja henkilökunta kiertää.
buildtoolbar_popup_obj_lamp						Koristeltu jalkalamppu, sopii täydellisesti toimistoihin ja henkilöstöalueille.
buildtoolbar_popup_obj_bathroomSink				Yksikään hygieeninen kylpyhuone ei ole täydellinen ilman sitä.
buildtoolbar_popup_obj_bathroomHandDryer		Sopii täydellisesti kylpyhuoneen pesualtaan kanssa.
buildtoolbar_popup_obj_chestOfDrawers			Puinen lipasto.
buildtoolbar_popup_obj_woodenStool				Sopisi täydellisesti puupöydän kanssa.
buildtoolbar_popup_obj_woodenTable				Sopisi oikein hyvin puujakkaran kanssa.	
buildtoolbar_popup_obj_bucket					Yksinkertainen ämpäri.
buildtoolbar_popup_obj_shortbookcase			Lyhyempi hylly kirjoille.
buildtoolbar_popup_obj_outdoorTable				Vangit voivat istua ja syödä sillä ulkona ollessaan.
buildtoolbar_popup_obj_mooseHead				Kaunis ja käsin viimeistelty hirvenpää laatalla.
buildtoolbar_popup_obj_toiletSign				Seinäkyltti, jossa on vessojen symboli.
buildtoolbar_popup_obj_rightArrowSign			Seinäkyltti, jossa on oikealle osoittava nuoli.
buildtoolbar_popup_obj_leftArrowSign			Seinäkyltti, jossa on vasemmalle osoittava nuoli.
buildtoolbar_popup_obj_infirmarySign			Seinäkyltti, jossa on sairastuvan symboli.
buildtoolbar_popup_obj_canteenSign				Seinäkyltti, jossa on ruokalan symboli.
buildtoolbar_popup_obj_showerSign				Seinäkyltti, jossa on suihkun symboli.
buildtoolbar_popup_obj_armourySign				Seinäkyltti, jossa on asevaraston symboli.
buildtoolbar_popup_obj_jaildoorred				Värillinen vankilan ovi, joka auttaa huippuvartioitujen selliosastojen merkitsemisessä.
buildtoolbar_popup_obj_jaildoorgrey				Värillinen vankilan ovi, joka auttaa minimivartioitujen selliosastojen merkitsemisessä.
buildtoolbar_popup_obj_jaildoororange			Värillinen vankilan ovi, joka auttaa normaalivartioitujen selliosastojen merkitsemisessä.
buildtoolbar_popup_obj_jaildooryellow			Värillinen vankilan ovi, joka auttaa säilöönoton selliosastojen merkitsemisessä.
buildtoolbar_popup_obj_jaildoorlargered			Suuri ja värillinen vankilan ovi, joka auttaa huippuvartioitujen selliosastojen merkitsemisessä.
buildtoolbar_popup_obj_jaildoorlargegrey		Suuri ja värillinen vankilan ovi, joka auttaa minimivartioitujen selliosastojen merkitsemisessä.
buildtoolbar_popup_obj_jaildoorlargeorange		Suuri ja värillinen vankilan ovi, joka auttaa normaalivartioitujen selliosastojen merkitsemisessä.
buildtoolbar_popup_obj_jaildoorlargeYellow		Suuri ja värillinen vankilan ovi, joka auttaa säilöönoton selliosastojen merkitsemisessä.
buildtoolbar_popup_obj_coatstand				Henkilökunnan takkien ja hattujen pitopaikka.
buildtoolbar_popup_obj_dogbowl					Säilyttää vettä ja ruokaa väsyneille vartiokoirille.\nLisää hieman koiran kestävyyttä.
buildtoolbar_popup_obj_secretdoor				Salaovi kirjahyllyksi naamioituna, joka liukuu auki päästäen henkilökunnan läpi.
buildtoolbar_popup_obj_parkbench				Puistonpenkki ulkotiloihin.
buildtoolbar_popup_obj_fencegateguard			Portti sopii hienosti aitoihin, ja vain vartijat voivat avata sen.
buildtoolbar_popup_obj_oaktable					Syömistä varten.
buildtoolbar_popup_obj_oakbench					Istumista varten. Sopii hienosti tammesta tehdyn pöydän kanssa.

buildtoolbar_popup_obj_classic					Alkuperäinen vartiokoira, vanha mutta kokenut.
buildtoolbar_popup_obj_dalmation				Asui alunperäin maatilalla, mutta työskentelee nyt pakojen eston parissa.
buildtoolbar_popup_obj_husky					Kuolettava ansa lumessa liikkuville karkureille.
buildtoolbar_popup_obj_companion				Vartijan paras ystävä.
buildtoolbar_popup_obj_cat						Eivät kaikki ole koiraihmisiä.
buildtoolbar_popup_obj_direwoof					Kuka nyt edes haluaisi paeta?

buildtoolbar_popup_filter_mostused				Eniten käytetty
buildtoolbar_caters_safety						Vastaa turvatarpeisiin.

interfacedeployment_orderly						Sijoita sairaala-apulaiset
buildtoolbar_deployment_orderly					Sijoita sairaala-apulaisia vankilasi eri alueille.

interfacedeployment_orderlypatrols				Määritä sairaala-apulaiset
buildtoolbar_deployment_orderlypatrols			Määritä sairaala-apulaisia partioreiteille vankilassasi.

room_PaddedCell                                Pehmustettu selli
