# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Tejes változáslista
mm_updatenotes_02								Teljesítménybeli javítások, hogy csökkenjen a betöltési idõ.
mm_updatenotes_03								Több felbérelhetõ mûvezetõ a nagyobb börtönökhöz, ahol a mûvezetõk programokat is tanítanak.
mm_updatenotes_04								A meglévõ tárgyak most teljesen elforgathatók, új sprite-okkal a hiányzó irányokhoz.
mm_updatenotes_05								Új 'Õr reakciója' gomb, amely egy adott helyre parancsolja a közelben lévõ meglévõ õröket ahelyett, hogy a játékosnak új õröket kellene felbérelnie az incidensek kezelésére. 
mm_updatenotes_06								Új 'Alagút keresés' gomb, amely parancsba adja az õröknek, hogy minden WC mögött keressenek rejtett szökési alagutakat.  
mm_updatenotes_07								Újabb Gyors helyiségekkel bõvült a Gyosr építés menü, hogy gyorsabb és egyszerûbb legyen a helyiségek kialakítása.
mm_updatenotes_08								A rabok és a személyzet követése sokkal egyszerûbbé vált: csak kétszer rájuk kell kattintani.
mm_updatenotes_09								Íme, itt a tárgyak mozgatásának és áthelyezésének lehetõsége! Válaszd ki és kétszer kattints a tárgyra.
mm_updatenotes_10								Reméljük, élvezetesebb lesz a játék ezekkel az új fejlesztésekkel!

############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Sár
material_yutaniwall								Fal (Yutani)










material_solacofloor							Nostromo 
material_gratefloor								Rács

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Fa (havas fenyő)


object_palmtree									Fa (pálmafa)
object_plant									Növény

object_bush										Bokor

object_streetlamp								Utcai lámpa

object_floodlight								Lámpa (reflektor)





		
		

object_bleachers								Lelátók
object_smallbench								Pad (kicsi)
object_smalltable								Asztal (kicsi)
object_showerpillar								Zuhanyoszlop


object_doorMat									Lábtörlő

object_GuardPavilion							Őrpavilon
object_GuardPavilionCorner						Őrpavilon (sarok)

object_OfficeChair								Szék (irodai)




















object_visitorDoor								Látogatói ajtó
object_ironingBoardShort						Vasalódeszka (kicsi)
object_fencegatestaff							Rácsos kapu (személyzeti)
object_fencegatestandard						Rácsos kapu (szabványos)
object_fencegatevisitor							Rácsos kapu (látogatói)












object_walllight								Fali lámpa
object_securedoor								Ajtó (biztonságos)
object_secretdoor								Ajtó (titkos)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					Döngölt padló, ingyen van!
buildtoolbar_popup_mat_yutaniwall				Építs hi-tech jellegű falat az alapokra, alakíts ki új területeket és szobákat. Ez a megjelenés remekül mutat a lemezpadlóval vagy a Nostromo-padlóval.

buildtoolbar_popup_mat_newbblockwall			Építs öntött beton falat az alapokra, alakíts ki új területeket és szobákat.
buildtoolbar_popup_mat_newbarredwall			Építs rácsos falszakaszokat az alapokra, alakíts ki új területeket és szobákat.
buildtoolbar_popup_mat_newtiledwall				Építs csempézett falat az alapokra, alakíts ki új területeket és szobákat.
buildtoolbar_popup_mat_newhedgewall				Magas, de csenevész sövényfal. Inkább nyújt kellemes látványt, mint komoly védelmet.









buildtoolbar_popup_mat_solacofloor				Biztosíts hi-tech megjelenést a börtönszinteknek. Remekül mutat a Yutani fallal.
buildtoolbar_popup_mat_gratefloor				Biztosíts hi-tech megjelenést a börtönszinteknek.
buildtoolbar_popup_mat_newcargofloor			Biztosíts előre gyártott megjelenést a börtönszinteknek.
buildtoolbar_popup_mat_newironfloor				Biztosíts előre gyártott megjelenést a börtönszinteknek.
buildtoolbar_popup_mat_newcheckeredfloor		Kétség kívül jól nézne ki a konyhákban és kantinokban.
buildtoolbar_popup_mat_snow						Akár a víz, csak pár fokkal hidegebb... és szebb.





buildtoolbar_popup_obj_snowyconifertree			Havas tájakra illik a leginkább.


buildtoolbar_popup_obj_palmtree					Általános esetben tengerparton nőnek, de oda is ültethetsz belőlük, ahová csak kívánsz.


buildtoolbar_popup_obj_bush						Feldobja kissé a külső tereket.

buildtoolbar_popup_obj_streetlamp				Megvilágítja az utakat.

buildtoolbar_popup_obj_floodlight				A magas kültéri lámpákkal nagyobb területek, például udvarok is bevilágíthatók.





	


buildtoolbar_popup_obj_bleachers				Klasszikus börtönudvari lelátók, amin üldögélve megtervezhetik az őrizetesek, hogy mihez kezdjenek.
buildtoolbar_popup_obj_smallbench				Le lehet rá ülni.
buildtoolbar_popup_obj_smalltable				Lehet rajta enni.
buildtoolbar_popup_obj_showerpillar				Érdemes a zuhanyzók közepére helyezni, majd zuhanyrózsa szerelhető minden oldalukra.


buildtoolbar_popup_obj_doorMat					Olcsó gumis lábtörlő, esetleg jó lehet az ajtók elé.


buildtoolbar_popup_obj_guardPavilion			Helyezd el udvarok és nagy nyílt területek mentén, hogy az őrök és a fegyveres őrök innen figyelhessék az őrizeteseket.\n	Az őrök beosztása a Bevetés menüből kezelhető.\n -Növeli a felügyelet mértékét az adott területen.\n -Védi az őröket az időjárástól.
buildtoolbar_popup_obj_guardPavilionCorner		Helyezd el udvarok és nagy nyílt területek sarkaiba, hogy az őrök és a fegyveres őrök innen figyelhessék az őrizeteseket.\n	Az őrök beosztása a Bevetés menüből kezelhető.\n -Növeli a felügyelet mértékét az adott területen.\n -Védi az őröket az időjárástól.

buildtoolbar_popup_obj_officeChair				Szék a személyzeti dolgozók számára, hogy kényelmesen üljenek az íróasztalnál.




















buildtoolbar_popup_obj_visitorDoor				Ezen az ajtón önállóan is átkelhetnek a börtönlátogatók, nem kell azt egy őrnek kinyitnia. Az őrök és a személyzet tagjai szintén használhatják az ajtót, azonban az őrizetesek nem léphetnek át rajta.
buildtoolbar_popup_obj_ironingBoardShort		Rövidke vasalódeszka.
buildtoolbar_popup_obj_fencegatestaff			Ez a kapu kiválóan illik a kerítéshez, egyébként ugyanúgy működik, mint az ajtók.
buildtoolbar_popup_obj_fencegatestandard		Ez a kapu kiválóan illik a kerítéshez, egyébként ugyanúgy működik, mint az ajtók.
buildtoolbar_popup_obj_fencegatevisitor			Ez a kapu kiválóan illik a kerítéshez, egyébként ugyanúgy működik, mint az ajtók.












buildtoolbar_popup_obj_walllight				Bunkerek hangulatát idéző fényforrás a falakra.
buildtoolbar_popup_obj_securedoor				Magánzárkákhoz tervezett ajtó, ételbeadó nyílással. Az őrök tálcán is beadhatják az ételt, így maguknak nem kell belépniük a cellába.


interfacedeployment_guards                      Őrök beosztása
buildtoolbar_deployment_Guards			Rendelj őröket a börtönöd szektoraiba.
	
interfacedeployment_Dogs			Kutyás őrök beosztása
buildtoolbar_deployment_Dogs			Rendelj kutyás őröket a börtönöd szektoraiba.

interfacedeployment_ArmedGuards			Fegyveres őrök beosztása
buildtoolbar_deployment_ArmedGuards		Rendelj fegyveres őröket a börtönöd szektoraiba.

interfacedeployment_patrols                     Őrök beosztása
buildtoolbar_deployment_Patrols			Rendelj őröket a börtönöd őrjárati útvonalaira.

interfacedeployment_dogpatrols                  Kutyás őrök beosztása
buildtoolbar_deployment_DogPatrols		Rendelj kutyás őröket a börtönöd őrjárati útvonalaira.

interfacedeployment_armedpatrols                Fegyveres őrök beosztása
buildtoolbar_deployment_ArmedPatrols		Rendelj fegyveres őröket a börtönöd őrjárati útvonalaira.

buildtoolbar_popup_help_Guards_1        Az Őrök eszközzel állomásoztathatsz őröket a zónákban. Az ott állomásozó őr véletlenszerűen körbejárja a hozzárendelt zónát, és az adott területen elvégzi az őrfeladatokat, például ajtókat nyit ki.\n\n
buildtoolbar_popup_help_Guards_2        ~ Bal kattintással növelheted a területre beosztott kutyás őrök számát. Jobb kattintással tudsz eltávolítani egy őrt.\n\n
buildtoolbar_popup_help_Guards_3        ^Tippek
buildtoolbar_popup_help_Guards_4        - Ha a mikromenedzsment engedélyezve van, úgy hozzáférhetsz a szolgálati beosztáshoz. Ezzel ütemezheted be, hogy az őrök mikor legyenek bizonyos területeken. Ha például étkezési időre őröket szeretnél a menzára, úgy kattints az Ütemezőnek az étkezési időhöz tartozó blokkjaira, majd mozgasd az időcsúszkát az adott blokkra, és kattints a menzára az őrök beosztásához.
buildtoolbar_popup_help_Guards_5        - A 7 különböző időblokk és az alapértelmezett Mindig aktív mód ütemezésével a börtön igényeinek megfelelő, összetett bevetési rutinok hozhatók létre. 
buildtoolbar_popup_help_Guards_6        - Ha a kutyás őrök beosztásakor nem kézzel választod ki az adott időblokkot, úgy az ütemező az aktuális időt fogja használni. A beosztás megváltoztatásakor figyelj a helyes idő kiválasztására!

buildtoolbar_popup_help_Dogs_1        A Kutyás őrök eszközzel állomásoztathatsz kutyás őröket a zónákban. Az ott állomásozó őr véletlenszerűen körbejárja a hozzárendelt zónát, és az adott területen elvégzi az őrfeladatokat, például ajtókat nyit ki.\n\n
buildtoolbar_popup_help_Dogs_2        ~ Bal kattintással növelheted a területre beosztott kutyás őrök számát. Jobb kattintással tudsz eltávolítani egy kutyás őrt.\n\n
buildtoolbar_popup_help_Dogs_3        ^Tippek
buildtoolbar_popup_help_Dogs_4        - Ha a mikromenedzsment engedélyezve van, úgy hozzáférhetsz a szolgálati beosztáshoz. Ezzel ütemezheted be, hogy a kutyás őrök mikor legyenek bizonyos területeken. Ha például étkezési időben kutyás őröket szeretnél a menzára, úgy kattints az Ütemezőnek az étkezési időhöz tartozó blokkjaira, majd mozgasd az időcsúszkát az adott blokkra, és kattints a menzára a kutyás őrök beosztásához.
buildtoolbar_popup_help_Dogs_5        - A 7 különböző időblokk és az alapértelmezett Mindig aktív mód ütemezésével a börtön igényeinek megfelelő, összetett bevetési rutinok hozhatók létre. 
buildtoolbar_popup_help_Dogs_6        - Ha a kutyás őrök beosztásakor nem kézzel választod ki az adott időblokkot, úgy az ütemező az aktuális időt fogja használni. A beosztás megváltoztatásakor figyelj a helyes idő kiválasztására!

buildtoolbar_popup_help_ArmedGuards_1        A Fegyveres őrök eszközzel állomásoztathatsz fegyveres őröket a zónákban. Az ott állomásozó őr véletlenszerűen körbejárja a hozzárendelt zónát, és az adott területen elvégzi az őrfeladatokat, például ajtókat nyit ki.\n\n
buildtoolbar_popup_help_ArmedGuards_2        ~ Bal kattintással növelheted a területre beosztott őrök számát. Jobb kattintással tudsz eltávolítani egy őrt.\n\n
buildtoolbar_popup_help_ArmedGuards_3        ^Tippek
buildtoolbar_popup_help_ArmedGuards_4        - Ha a mikromenedzsment engedélyezve van, úgy hozzáférhetsz a szolgálati beosztáshoz. Ezzel ütemezheted be, hogy a fegyveres őrök mikor legyenek bizonyos területeken. Ha például étkezési időben fegyveres őröket szeretnél a menzára, úgy kattints az Ütemezőnek az étkezési időhöz tartozó blokkjaira, majd mozgasd az időcsúszkát az adott blokkra, és kattints a menzára a fegyveres őrök beosztásához.
buildtoolbar_popup_help_ArmedGuards_5        - A 7 különböző időblokk és az alapértelmezett Mindig aktív mód ütemezésével a börtön igényeinek megfelelő, összetett bevetési rutinok hozhatók létre. 
buildtoolbar_popup_help_ArmedGuards_6        - Ha a fegyveres őrök beosztásakor nem kézzel választod ki az adott időblokkot, úgy az ütemező az aktuális időt fogja használni. A beosztás megváltoztatásakor figyelj a helyes idő kiválasztására!

interfacedeployment_PrioritizeArea			Terület prioritizálása (*X)
buildtoolbar_deployment_PrioritizeGuard			Ezzel a beállítással prioritizálni lehet a beosztott őrök számára bizonyos szektorok védelmét a börtönben. Ha nem elégséges a személyzet létszáma, akkor az őrök elsősorban a prioritizált területeket védik. Kétféle prioritás állítható be: „Magas” (>>) és „Nagyon magas” (>>>).

interfacedeployment_BluePatrol				Kék őrjárat
buildtoolbar_deployment_BluePatrol			A színkóddal jelölt őrjárati útvonalak át is fedhetik egymást, és egymástól függetlenül rendelhetők hozzájuk az őrök. Kattints, majd húzd az egeret a kék őrjárati útvonal kialakításához. A kék útvonal törléséhez kattints a jobb egérgombbal, majd húzd az egeret. Az útvonalhoz az Őrök beosztása gombbal rendelhetők hozzá az őrök.

interfacedeployment_MagentaPatrol			Magenta őrjárat
buildtoolbar_deployment_MagentaPatrol			A színkóddal jelölt őrjárati útvonalak át is fedhetik egymást, és egymástól függetlenül rendelhetők hozzájuk az őrök. Kattints, majd húzd az egeret a magenta őrjárati útvonal kialakításához. A magenta útvonal törléséhez kattints a jobb egérgombbal, majd húzd az egeret. Az útvonalhoz az Őrök beosztása gombbal rendelhetők hozzá az őrök.

interfacedeployment_PrioritizePatrol			Őrjárat prioritizálása
buildtoolbar_deployment_PrioritizePatrol		Ezzel a beállítással prioritizálni lehet a beosztott őrök számára bizonyos őrjárati útvonalak védelmét a börtönben. Ha nem elégséges a személyzet létszáma, akkor az őrök elsősorban a prioritizált őrjárati útvonalakat védik. Kétféle prioritás állítható be: „Magas” (>>) és „Nagyon magas” (>>>).

buildtoolbar_popup_filter_title                 Szűrők listája
buiildtoolbar_popup_filter_toggle               Kattints a gombra a váltáshoz
buildtoolbar_popup_filter_default               Alapértelmezett
buildtoolbar_popup_filter_az                    A-Z
buildtoolbar_popup_filter_owned                 Megtalálható
buildtoolbar_popup_filter_costhighlow           Ár (magas-alacsony)
buildtoolbar_popup_filter_costlowhigh           Ár (alacsony-magas)
buildtoolbar_popup_filter_indooroutdoor         Beltér-kültér
buildtoolbar_popup_filter_outdoorindoor         Kültér-beltér
buildtoolbar_popup_filter_quantity               Darabszám
buildtoolbar_popup_filter_byroom                Szobák szerint






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item							DUPLA KATTINTÁS: Tárgy mozgatása

double_click_add_door							Ajtó kialakításához kattints duplán a bal egérgombbal.

codex_option_bureaucracyresearched				Bürokrácia ismerete
codex_tooltip_bureaucracyresearched				Új játék indítása a Bürokrácia fejlesztési fa teljes ismeretével.

codex_option_jungle						Esőerdős terület
codex_tooltip_jungle						Sűrű esőerdei kezdőterület létrehozása.

codex_option_snowy						Hófödte terület
codex_tooltip_snowy						Vastag hóval borított kezdőterület létrehozása.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall								Mos

action_Stretching								Edz
action_PlayChess								Sakkozik


plant_tree_location								Faültetés ide: *X

report_intake_cat_SuperMax							SzuperMax

interface_undo							visszavonás

# =============================================================================
# Codex
# =============================================================================

codex_save_failed                               A börtön mentése meghiúsult.
codex_changelog_next                            Következő >
codex_changelog_prev                            < Előző
codex_credits                                   Stáblista

codex_options_screenshotmode					Fényképező mód
codex_tooltip_screenshotmode					Fényképező módban [*K] gombot nyomva tartva ha [*E] gombot nyomsz, akkor be- és kikapcsolható minden felületi elem és a HUD megjelenítése.
codex_sso_content_message						Sikeresen létrehoztad a Paradox-fiókot!\n\nKöszönetképpen feloldottuk neked az új őrpavilonokat a játékban! Mostantól elérhetők az Objektumok menüben.
codex_options_borderless_windowed               Keret nélkül
codex_options_monitor                           Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode              	Megjelenítési mód 
codex_options_borderless_fullscreen		Teljes képernyőn keret nélkül
codex_options_display_monitor 			Megjelenítő monitor 
codex_options_windowed_resolution               Ablak felbontása

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall							Fal (art déco)
material_blueWall								Esztétikus fal (kék csíkos)
material_burgundyWall							Esztétikus fal (burgundi)
material_greenWall								Esztétikus fal (zöld)
material_orientalWall							Fal (keleti)
material_cushionedwall							Fal (párnázott)

material_sandstone								Homokkő 
material_limestonefloor							Mészkő 
material_blueCarpet								Szőnyeg (kék)
material_redCarpet								Szőnyeg (vörös)
material_brownCarpet							Szőnyeg (barna)
material_paddedfloor							Párnázott
material_grassstones							Gyep és kő
material_grasscornerfloor						Gyepsarok
material_grasscornerfloor1						Gyepsarok
material_grasscornerfloor2						Gyepsarok
material_grasscornerfloor3						Gyepsarok
material_lunarfloor								Holdbéli

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree								Fa (rémséges)
object_cactustree								Fa (kaktusz)
object_sakuratree								Fa (sakura)
object_plantcactus								Növény (kaktusz)
object_tyrestack								Gumifal
object_lamp										Lámpa (állólámpa)
object_bathroomSink								Csaptelep
object_bathroomHandDryer						Kézszárító
object_chestOfDrawers							Fiókos szekrény
object_woodenStool								Fasámli
object_woodenTable								Faasztal			
object_bucket									Vödör
object_shortbookcase							Könyvespolc (alacsony)
object_outdoorTable								Kültéri asztal
object_mooseHead								Rénszarvasfej
object_toiletSign								Jelzőtábla (mosdók)
object_rightArrowSign							Jelzőtábla (jobbra nyíl)
object_leftArrowSign							Jelzőtábla (balra nyíl)
object_infirmarySign							Jelzőtábla (gyengélkedő)
object_canteenSign								Jelzőtábla (étkező)
object_showerSign								Jelzőtábla (zuhanyozó)
object_armourySign								Jelzőtábla (fegyvertár)
object_jaildoorred								Börtönajtó (vörös)
object_jaildoorgrey								Börtönajtó (szürke)
object_jaildoororange							Börtönajtó (narancs)
object_jaildoorYellow							Börtönajtó (sárga)
object_jaildoorlargered							Nagy börtönajtó (vörös)
object_jaildoorlargegrey						Nagy börtönajtó (szürke)
object_jaildoorlargeorange						Nagy börtönajtó (narancs)
object_jaildoorlargeyellow						Nagy börtönajtó (sárga)
object_coatstand								Ruhafogas
object_dogbowl									Kutyatál
object_footbridge                               Gyaloghíd
object_footbridgesteel                          Acél gyaloghíd
object_footbridgeb                              Gyaloghíd B
object_footbridgesteelb                         Acél gyaloghíd B
object_windowclassy								Esztétikus ablak
object_windowclassyLarge						Esztétikus ablak (nagy)
object_gravestone								Sírkő
object_psychiatrist								Pszichiáter
object_orderly									Szolgálatos
object_rorschachTest							Rorschach-teszt
object_anatomyModel								Anatómiai modell
object_flipboard								Írótábla
object_medicineCabinetPsych						Orvosi szekrény
object_leatherchair								Bőrfotel
object_leatherSofa								Bőrkanapé
object_parkbench								Pad (park)
object_fencegateguard							Rácsos kapu (őröknek)
object_oaktable									Asztal (tölgy)
object_oakbench									Pad (tölgy)
object_BoomBoxRoundHouse						Magnó

object_classic									Klasszikus
object_dalmation								Dalmata
object_husky									Husky
object_companion								Társ
object_cat										Macska
object_direwoof									Farkaskutya

equipment_fountainPen							Töltőtoll
equipment_goldPocketWatch						Arany zsebóra
equipment_sedativeShot							Nyugtatóadag (fecskendő)
equipment_sedativesyringe						Nyugtató (fecskendő)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall				Építsd a falaidat art déco stílusban, megidézve az 1920-as évek építészetét a börtönben.
buildtoolbar_popup_mat_blueWall					Építs esztétikus falat az alapokra, alakíts ki új területeket és szobákat a személyzetnek.
buildtoolbar_popup_mat_burgundywall				Építs esztétikus falat az alapokra, alakíts ki új területeket és szobákat a személyzetnek.
buildtoolbar_popup_mat_greenwall				Építs esztétikus falat az alapokra, alakíts ki új területeket és szobákat a személyzetnek.
buildtoolbar_popup_mat_orientalwall				Építs keleti stílusú falakat, megidézve a középkori Japán szellemét a börtön egyes részein.
buildtoolbar_popup_mat_cushionedwall			Építs falszakaszokat az alapokra, alakíts ki új területeket és ízléses szobákat drága bőrborítással.
buildtoolbar_popup_mat_sandstone				Borítsd homokkő járólapokkal a kültéri területeket.
buildtoolbar_popup_mat_limestonefloor			Borítsd a padlót fakó hatású mészkővel.
buildtoolbar_popup_mat_blueCarpet				Borítsd a padlót puha szőnyeggel. Kiváló választás a személyzeti területekre.
buildtoolbar_popup_mat_redCarpet				Borítsd a padlót puha szőnyeggel. Kiváló választás a személyzeti területekre.
buildtoolbar_popup_mat_brownCarpet				Borítsd a padlót puha szőnyeggel. Kiváló választás a személyzeti területekre.
buildtoolbar_popup_mat_paddedfloor				A párnázott falakkal együtt használva gumiszobát építhetsz a közveszélyes őrült raboknak.
buildtoolbar_popup_mat_grassstones				Füves terület, kövekkel kirakva.
buildtoolbar_popup_mat_grassscornerfloor		Füves sarok és föld. Utak kialakításához használható.
buildtoolbar_popup_mat_lunarfloor				Kemény kőfelület, amely holdbéli tájat imitál.
buildtoolbar_popup_obj_spookytree				Borzongató hatású fa.
buildtoolbar_popup_obj_cactustree				Száraz tájakra illik a leginkább.
buildtoolbar_popup_obj_sakuratree				Szépséges cseresznyefa, rózsaszínű virágbimbókkal.
buildtoolbar_popup_obj_plant					Kellemes hatású szobanövény.
buildtoolbar_popup_obj_plantcactus				Beltéri cserepes kaktusz.
buildtoolbar_popup_obj_tyrestack				Alacsony falként funkcionál, amelyet egyaránt megkerülnek a rabok és a személyzet tagjai.
buildtoolbar_popup_obj_lamp						Díszes állólámpa, amely kiválóan illik irodákba és a személyzeti területekre.
buildtoolbar_popup_obj_bathroomSink				Nélkülük nincs higiénia a mosdókban.
buildtoolbar_popup_obj_bathroomHandDryer		Elengedhetetlen a csaptelepek mellé.
buildtoolbar_popup_obj_chestOfDrawers			Fából készült fiókos szekrény.
buildtoolbar_popup_obj_woodenStool				Remekül illik a faasztalhoz.
buildtoolbar_popup_obj_woodenTable				Remekül illik hozzá a fasámli.	
buildtoolbar_popup_obj_bucket					Hétköznapi vödör.
buildtoolbar_popup_obj_shortbookcase			Alacsony könyvespolc.
buildtoolbar_popup_obj_outdoorTable				Hogy a szabadban is le tudjanak ülni evéshez a rabok.
buildtoolbar_popup_obj_mooseHead				Gyönyörű állapotban kikészített rénszarvasfej, hátlappal.
buildtoolbar_popup_obj_toiletSign				Fali jelzőtábla a mosdók szimbólumával.
buildtoolbar_popup_obj_rightArrowSign			Fali jelzőtábla jobbra mutató nyíllal.
buildtoolbar_popup_obj_leftArrowSign			Fali jelzőtábla balra mutató nyíllal.
buildtoolbar_popup_obj_infirmarySign			Fali jelzőtábla a gyengélkedő szimbólumával.
buildtoolbar_popup_obj_canteenSign				Fali jelzőtábla az étkező szimbólumával.
buildtoolbar_popup_obj_showerSign				Fali jelzőtábla a zuhanyozó szimbólumával.
buildtoolbar_popup_obj_armourySign				Fali jelzőtábla a fegyvertár szimbólumával.
buildtoolbar_popup_obj_jaildoorred				Színesre festett börtönajtó, amely maximum biztonságú cellablokkot jelöl.
buildtoolbar_popup_obj_jaildoorgrey				Színesre festett börtönajtó, amely alacsony biztonságú cellablokkot jelöl.
buildtoolbar_popup_obj_jaildoororange			Színesre festett börtönajtó, amely közepes biztonságú cellablokkot jelöl.
buildtoolbar_popup_obj_jaildooryellow			Színesre festett börtönajtó, amely védőőrizetű cellablokkot jelöl.
buildtoolbar_popup_obj_jaildoorlargered			Színesre festett nagy börtönajtó, amely maximum biztonságú cellablokkot jelöl.
buildtoolbar_popup_obj_jaildoorlargegrey		Színesre festett nagy börtönajtó, amely alacsony biztonságú cellablokkot jelöl.
buildtoolbar_popup_obj_jaildoorlargeorange		Színesre festett nagy börtönajtó, amely közepes biztonságú cellablokkot jelöl.
buildtoolbar_popup_obj_jaildoorlargeYellow		Színesre festett nagy börtönajtó, amely védőőrizetű cellablokkot jelöl.
buildtoolbar_popup_obj_coatstand				Ráakaszthatják a kabátjukat és kalapjukat a személyzet tagjai.
buildtoolbar_popup_obj_dogbowl					Ebből ehetnek és ihatnak a megfáradt őrkutyák.\nKis mértékben megnöveli a kutyák állóképességét.
buildtoolbar_popup_obj_secretdoor				Könyvespolcnak álcázott rejtett ajtó, amely oldalra csúszva utat nyit a személyzet tagjainak.
buildtoolbar_popup_obj_parkbench				Parkokat idéző kültéri pad.
buildtoolbar_popup_obj_fencegateguard			Ez a kapu kiválóan illik a kerítéshez, és csak őrök nyithatják ki.
buildtoolbar_popup_obj_oaktable					Lehet rajta enni.
buildtoolbar_popup_obj_oakbench					Lehet rajta ülni. Remekül illik a tölgyfa asztalhoz.

buildtoolbar_popup_obj_classic					Igazi őrkutya: öreg és tapasztalt.
buildtoolbar_popup_obj_dalmation				Eredetileg egy farmon élt, de most a rendvédelemben szolgál.
buildtoolbar_popup_obj_husky					Halálos ellensége a havas tájakon menekülő szökevényeknek.
buildtoolbar_popup_obj_companion				Az őrök legjobb barátja.
buildtoolbar_popup_obj_cat						Nem csak kutyás emberek vannak.
buildtoolbar_popup_obj_direwoof					Ki merne egyáltalán a szökésre gondolni?

buildtoolbar_popup_filter_mostused				Legtöbbször használt
buildtoolbar_caters_safety						Gondoskodik a biztonsági követelményekről.

interfacedeployment_orderly						Szolgálatosok beosztása
buildtoolbar_deployment_orderly					Rendelj szolgálatosokat a börtönöd szektoraiba.

interfacedeployment_orderlypatrols				Szolgálatosok beosztása
buildtoolbar_deployment_orderlypatrols			Rendelj szolgálatosok a börtönöd őrjárati útvonalaira.

room_PaddedCell                                Párnázott cella
room_PaddedHoldingCell                         Párnázott gyűjtőcella
room_PsychiatristOffice							Pszichiátriai rendelő

interfaceplanning_BuildPlan			Tervek megépítése
interfaceplanning_ClearPlan			Tervek törlése
interfaceplanning_Door				Ajtók

buildtoolbar_improvement						 – *R szintjét növeli
buildtoolbar_improvement_windows				 (ha kifelé néz)

buildplan_title					Faltípus kiválasztása			
buildplan_message				Készen állsz a terv megépítésére?\n	Ez a művelet nem vonható vissza.\n\n	A tervezett falak mind ugyanabból a faltípusból épülnek fel.\n	A kiválasztott faltípus az alábbiakban változtatható meg.
clearplan_title					Tervek törlése
clearplan_message				Biztosan törölni szeretnél minden megrajzolt tervet?\n \n	Ez a művelet nem vonható vissza.

d11_custom_planning 				Egyéni tervezés

