# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	変更履歴
buildtoolbar_popup_obj_visitorDoor	看守がドアを開けてやらなくても、受刑者への面会人が通り抜けることができるドア。看守とスタッフもドアを使用できますが、受刑者は使用できない。
buildtoolbar_popup_obj_ironingBoardShort	短いアイロン台。
buildtoolbar_popup_obj_fencegatestaff	フェンス付きで見栄えが良く、ドアと同じように機能するゲート。
buildtoolbar_popup_obj_fencegatestandard	フェンス付きで見栄えが良く、ドアと同じように機能するゲート。
buildtoolbar_popup_obj_fencegatevisitor	フェンス付きで見栄えが良く、ドアと同じように機能するゲート。












buildtoolbar_popup_obj_walllight	壁に配置する掩蔽壕スタイルのライト。
buildtoolbar_popup_obj_securedoor	フードフラップを備えた隔離独房用に設計されたドア。食料を配達する看守は、独房に入る必要なく、ドアを介してトレイを受け渡せる。


interfacedeployment_guards	看守配置
buildtoolbar_deployment_Guards	刑務所内のエリアに看守を配置する。

interfacedeployment_Dogs	警察犬訓練士配置
buildtoolbar_deployment_Dogs	刑務所内のエリアに警察犬訓練士を配置する。

interfacedeployment_ArmedGuards	武装警備員配置
buildtoolbar_deployment_ArmedGuards	刑務所内のエリアに武装警備員を配置する。

interfacedeployment_patrols	看守配置
buildtoolbar_deployment_Patrols	刑務所内の巡回ルートに看守を配置する。

interfacedeployment_dogpatrols	警察犬訓練士配置
buildtoolbar_deployment_DogPatrols	刑務所内の巡回ルートに警察犬訓練士を配置する。

interfacedeployment_armedpatrols	武装警備員配置
buildtoolbar_deployment_ArmedPatrols	刑務所内の巡回ルートに武装警備員を配置する。

buildtoolbar_popup_help_Guards_1	「看守」ツールを使うとゾーン内に看守を配置できる。配置された看守は、担当ゾーンをランダムに動き周り、ドアを開けるなどの看守の仕事をそのエリア内で行う。\n\n
buildtoolbar_popup_help_Guards_2	~左クリック：ゾーン内に配置する警察犬訓練士の人数を増やす。右クリック：看守を取り除く。\n\n
buildtoolbar_popup_help_Guards_3	^ヒント
buildtoolbar_popup_help_Guards_4	- 「マイクロマネジメント」をアンロックすると、「配置スケジューラー」にアクセスできるようになる。これを用いて、看守を一定のエリアに配置する時間割を作成することができる。例えば食事の時間だけ食堂に看守を置きたい場合、食事の時間に対応するブロックをスケジューラーでクリックし、次いでタイムスライダーをそのブロックに動かし、看守を食堂に配置する。
buildtoolbar_popup_help_Guards_5	- スケジュールを組むためには最大9つの異なるタイムブロックが利用可能である。これに「常に」アクティブにするモードを加えて、刑務所内のニーズに合わせた複雑な配置のルーチンを作ることができる。
buildtoolbar_popup_help_Guards_6	- 警察犬訓練士を配置するときに時間ブロックを手動で選択しないと、スケジューラーは現在の時間を使う。配置を変更するときは正しい時間を選択するように気をつけよう！

buildtoolbar_popup_help_Dogs_1	「警察犬訓練士」ツールを使うと、ゾーン内に警察犬訓練士を配置できます。配置された看守は、担当ゾーンをランダムに動き周り、ドアを開けるなどの看守の仕事をそのエリア内で行う。\n\n
buildtoolbar_popup_help_Dogs_2	~左クリック：ゾーン内に配置する警察犬訓練士の人数を増やす。右クリック：警察犬訓練士を取り除く。\n\n
buildtoolbar_popup_help_Dogs_3	^ヒント
buildtoolbar_popup_help_Dogs_4	- 「マイクロマネジメント」をアンロックすると、「配置スケジューラー」にアクセスできるようになる。これを用いて、警察犬訓練士を一定のエリアに配置する時間割を作成することができる。例えば食事の時間だけ食堂に警察犬訓練士を置きたい場合、食事の時間に対応するブロックをスケジューラーでクリックし、次いでタイムスライダーをそのブロックに動かし、警察犬訓練士を食堂に配置する。
buildtoolbar_popup_help_Dogs_5	- スケジュールを組むためには最大9つの異なるタイムブロックが利用可能である。これに「常に」アクティブにするモードを加えて、刑務所内のニーズに合わせた複雑な配置のルーチンを作ることができる。
buildtoolbar_popup_help_Dogs_6	- 警察犬訓練士を配置するときに時間ブロックを手動で選択しないと、スケジューラーは現在の時間を使う。配置を変更するときは正しい時間を選択するように気をつけよう！

buildtoolbar_popup_help_ArmedGuards_1	「武装警備員」ツールを使うとゾーン内に武装警備員を配置できる。配置された看守は、担当ゾーンをランダムに動き周り、ドアを開けるなどの看守の仕事をそのエリア内で行う。\n\n
buildtoolbar_popup_help_ArmedGuards_2	~左クリック：ゾーン内に配置する看守の人数を増やす。右クリック：看守を取り除く。\n\n
buildtoolbar_popup_help_ArmedGuards_3	^ヒント
buildtoolbar_popup_help_ArmedGuards_4	- 「マイクロマネジメント」をアンロックすると、「配置スケジューラー」にアクセスできるようになる。これを用いて、武装警備員を一定のエリアに配置する時間割を作成することができる。例えば食事の時間だけ食堂に武装警備員を置きたい場合、食事の時間に対応するブロックをスケジューラーでクリックし、次いでタイムスライダーをそのブロックに動かし、武装警備員を食堂に配置する。
buildtoolbar_popup_help_ArmedGuards_5	- スケジュールを組むためには最大9つの異なるタイムブロックが利用可能である。これに「常に」アクティブにするモードを加えて、刑務所内のニーズに合わせた複雑な配置のルーチンを作ることができる。
buildtoolbar_popup_help_ArmedGuards_6	- 武装警備員を配置するときに時間ブロックを手動で選択しないと、スケジューラーは現在の時間を使う。配置を変更するときは正しい時間を選択するように気をつけよう！

interfacedeployment_PrioritizeArea	エリアの優先順位付け (*X)
buildtoolbar_deployment_PrioritizeGuard	このオプションを使用すると、割り当てられた看守に、優先順位に基づいて、刑務所周辺の特定のエリアをカバーさせることができる。人数が不足している場合、看守は優先順位の高いエリアからカバーしようとする。優先順位は 「高」（>>）および「最高」（>>>）の2段階で設定できる。

interfacedeployment_BluePatrol	巡回ルート・青
buildtoolbar_deployment_BluePatrol	巡回ルートの色分けを使用すると、個別の看守をオーバーラップさせて割り当てることができる。クリックしてドラッグし、巡回ルート・青を作成してみよう。右クリックしてドラッグすると、巡回ルート・青を消去できる。「看守配置」ボタンを使用すると、巡回ルートに看守を追加できる。

interfacedeployment_MagentaPatrol	巡回ルート・紫
buildtoolbar_deployment_MagentaPatrol	巡回ルートの色分けを使用すると、個別の看守をオーバーラップさせて割り当てることができる。クリックしてドラッグし、巡回ルート・紫を作成してみよう。右クリックしてドラッグすると、巡回ルート・紫を消去できる。「看守配置」ボタンを使用すると、巡回ルートに看守を追加できる。

interfacedeployment_PrioritizePatrol	巡回ルートの優先順位付け
buildtoolbar_deployment_PrioritizePatrol	このオプションを使用すると、割り当てられた看守に、優先順位に基づいて、刑務所周辺の特定の巡回ルートをカバーさせることができる。人数が不足している場合、看守は優先順位の高い巡回ルートからカバーしようとする。優先順位は2段階で設定できる。 「高」（>>）および「最高」（>>>）。

buildtoolbar_popup_filter_title	フィルターリスト
buiildtoolbar_popup_filter_toggle	ボタンをクリックして切り替え
buildtoolbar_popup_filter_default	デフォルト
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	所持
buildtoolbar_popup_filter_costhighlow	コスト（高->低）
buildtoolbar_popup_filter_costlowhigh	コスト（低->高）
buildtoolbar_popup_filter_indooroutdoor	屋内-屋外
buildtoolbar_popup_filter_outdoorindoor	屋外-屋内
buildtoolbar_popup_filter_quantity	所持数
buildtoolbar_popup_filter_byroom	部屋ごと






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	ダブルクリック：オブジェクトを移動

double_click_add_door	左ダブルクリックでドアを追加できる。

codex_option_bureaucracyresearched	役所仕事リサーチ済み
codex_tooltip_bureaucracyresearched	役所仕事ツリーがすべてリサーチ済みの状態で新規ゲームを開始する。

codex_option_jungle	ジャングル区画
codex_tooltip_jungle	密集したジャングルのような土地を初期区画として生成する。

codex_option_snowy	積雪区画
codex_tooltip_snowy	雪に覆われた土地を初期区画として生成する。

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	選択中

action_Stretching	運動中
action_PlayChess	チェスをプレイ中


plant_tree_location	*Xに木を植える

report_intake_cat_SuperMax	超厳重警備

interface_undo	元に戻す

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	刑務所を救えなかった。
codex_changelog_next	次へ >
codex_changelog_prev	< 前へ
codex_credits	クレジット

codex_options_screenshotmode	スクリーンショットモード
codex_tooltip_screenshotmode	スクリーンショットモードで[*K]キーを押しながら[*E]を押すと、すべてのUIとHUDのオン/オフを切り替えられる。
codex_sso_content_message	Paradoxアカウントに正常にサインアップしました。\n\n感謝の印として、ゲーム内で新しい看守駐在塔がアンロックされています！「オブジェクト」メニューでご確認ください。
codex_options_borderless_windowed	ボーダーレス
codex_options_monitor	モニター


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	表示モード
codex_options_borderless_fullscreen	ボーダーレスフルスクリーン
codex_options_display_monitor	表示モニター
codex_options_windowed_resolution	ウィンドウ解像度

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	壁（アールデコ）
material_blueWall	最高級の壁（ブルーストライプ）
material_burgundyWall	最高級の壁（ブルゴーニュ）
material_greenWall	最高級の壁（グリーン）
material_orientalWall	壁（オリエンタル）
material_cushionedwall	壁（クッション張り）

material_sandstone	砂岩
material_limestonefloor	石灰岩
material_blueCarpet	カーペット（青）
material_redCarpet	カーペット（赤）
material_brownCarpet	カーペット（ブラウン）
material_paddedfloor	パッド入り
material_grassstones	草と石
material_grasscornerfloor	グラスコーナー
material_grasscornerfloor1	グラスコーナー
material_grasscornerfloor2	グラスコーナー
material_grasscornerfloor3	グラスコーナー
material_lunarfloor	ルナ

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	木（不気味）
object_cactustree	木（サボテン）
object_sakuratree	木（サクラ）
object_plantcactus	植物（サボテン）
object_tyrestack	タイヤの山
object_lamp	ライト（ランプ）
object_bathroomSink	バスルームの排水口
object_bathroomHandDryer	ハンドドライヤー
object_chestOfDrawers	引き出し
object_woodenStool	木製スツール
object_woodenTable	木製テーブル
object_bucket	バケツ
object_shortbookcase	本棚（短）
object_outdoorTable	アウトドアテーブル
object_mooseHead	ヘラジカの頭
object_toiletSign	看板（トイレ）
object_rightArrowSign	看板（右矢印）
object_leftArrowSign	看板（左矢印）
object_infirmarySign	看板（診療所）
object_canteenSign	看板（食堂）
object_showerSign	看板（シャワー）
object_armourySign	看板（武器庫）
object_jaildoorred	監獄の扉（赤の）
object_jaildoorgrey	監獄の扉（グレー）
object_jaildoororange	監獄の扉（オレンジ）
object_jaildoorYellow	監獄の扉（黄色の）
object_jaildoorlargered	監獄の大扉（赤の）
object_jaildoorlargegrey	監獄の大扉（グレー）
object_jaildoorlargeorange	監獄の大扉（オレンジ）
object_jaildoorlargeyellow	監獄の大扉（黄色の）
object_coatstand	コートかけ
object_dogbowl	ドッグボウル
object_footbridge	歩道橋
object_footbridgesteel	スチールの歩道橋
object_footbridgeb	歩道橋B
object_footbridgesteelb	スチールの歩道橋B
object_windowclassy	最高級の窓
object_windowclassyLarge	最高級の窓（大）
object_gravestone	墓石
object_psychiatrist	精神科医
object_orderly	病棟用務員
object_rorschachTest	ロールシャッハテスト
object_anatomyModel	人体模型
object_flipboard	フリップボード
object_medicineCabinetPsych	薬箱
object_leatherchair	革張りの椅子
object_leatherSofa	革張りのソファ
object_parkbench	ベンチ（公園）
object_fencegateguard	フェンスゲート（ガード）
object_oaktable	テーブル（オーク材）
object_oakbench	ベンチ（オーク材）
object_BoomBoxRoundHouse	ラジカセ

object_classic	クラシック
object_dalmation	ダルメシアン
object_husky	ハスキー
object_companion	コンパニオン
object_cat	ネコ
object_direwoof	ダイアーウルフ

equipment_fountainPen	万年筆
equipment_goldPocketWatch	金の懐中時計
equipment_sedativeShot	鎮静剤のショット（注射器）
equipment_sedativesyringe	鎮静剤（注射器）

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	アールデコの壁を構築して、1920年代の刑務所の建築外観を作成できる。
buildtoolbar_popup_mat_blueWall	基部の上に最高級の壁を構築して、新しいスタッフ用のエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_burgundywall	基部の上に最高級の壁を構築して、新しいスタッフ用のエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_greenwall	基部の上に最高級の壁を構築して、新しいスタッフ用のエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_orientalwall	オリエンタルな壁を構築して、刑務所に古代の日本のような雰囲気を醸し出すことができる。
buildtoolbar_popup_mat_cushionedwall	基礎の上に壁セクションを構築して、リッチな革張りの外観を持つ新しいエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_sandstone	屋外エリアに砂岩スラブを設置する。
buildtoolbar_popup_mat_limestonefloor	色あせたライムの色のフロア。
buildtoolbar_popup_mat_blueCarpet	快適なカーペットを床に設置する。スタッフエリアに最適。
buildtoolbar_popup_mat_redCarpet	快適なカーペットを床に設置する。スタッフエリアに最適。
buildtoolbar_popup_mat_brownCarpet	快適なカーペットを床に設置する。スタッフエリアに最適。
buildtoolbar_popup_mat_paddedfloor	パッド入りの壁に合わせて、触法精神障害者向けの、完全なパッド入り独房を作ることができる。
buildtoolbar_popup_mat_grassstones	板石を置いた芝生のエリア。
buildtoolbar_popup_mat_grassscornerfloor	泥と草のコーナー。斜めの通路に役立つ。
buildtoolbar_popup_mat_lunarfloor	宇宙的な外観を持つ、硬化した岩の表面。
buildtoolbar_popup_obj_spookytree	不気味な古い木。
buildtoolbar_popup_obj_cactustree	乾燥した土地に似つかわしい。
buildtoolbar_popup_obj_sakuratree	ピンクの花が咲く美しい桜の木。
buildtoolbar_popup_obj_plant	快適な観賞用植栽。
buildtoolbar_popup_obj_plantcactus	屋内の鉢植えのサボテン。
buildtoolbar_popup_obj_tyrestack	囚人とスタッフが周りを歩き回る小さな壁として機能する。
buildtoolbar_popup_obj_lamp	オフィスやスタッフエリアに最適な立派なランプ。
buildtoolbar_popup_obj_bathroomSink	これなしに衛生的なバスルームは完成しない
buildtoolbar_popup_obj_bathroomHandDryer	バスルームの排水口にぴったり
buildtoolbar_popup_obj_chestOfDrawers	木製の引き出し。
buildtoolbar_popup_obj_woodenStool	木製のテーブルとマッチする。
buildtoolbar_popup_obj_woodenTable	木製のスツールとマッチする。
buildtoolbar_popup_obj_bucket	ただのバケツ
buildtoolbar_popup_obj_shortbookcase	本を収める短めの棚。
buildtoolbar_popup_obj_outdoorTable	囚人が屋外で座って食事をできるようにする。
buildtoolbar_popup_obj_mooseHead	飾り板にあしらわれた美しく手作りの仕事で仕上げられたヘラジカの頭の剥製。
buildtoolbar_popup_obj_toiletSign	トイレのシンボルが描かれた壁のサイン。
buildtoolbar_popup_obj_rightArrowSign	右向きの矢印が付いた壁のサイン。
buildtoolbar_popup_obj_leftArrowSign	左向きの矢印が付いた壁のサイン。
buildtoolbar_popup_obj_infirmarySign	診療所のシンボルが描かれた壁のサイン。
buildtoolbar_popup_obj_canteenSign	食堂のシンボルが描かれた壁のサイン。
buildtoolbar_popup_obj_showerSign	シャワーシンボルが表示された壁のサイン。
buildtoolbar_popup_obj_armourySign	武器庫のシンボルが描かれた壁のサイン。
buildtoolbar_popup_obj_jaildoorred	最高セキュリティ独房ブロックのラベリングに役立つ色付きの監獄の扉。
buildtoolbar_popup_obj_jaildoorgrey	低セキュリティ独房ブロックのラベリングに役立つ色付きの監獄の扉。
buildtoolbar_popup_obj_jaildoororange	中セキュリティ独房ブロックのラベリングに役立つ色付きの監獄の扉。
buildtoolbar_popup_obj_jaildooryellow	保護拘置独房ブロックのラベリングに役立つ色付きの監獄の扉。
buildtoolbar_popup_obj_jaildoorlargered	最高セキュリティ独房ブロックのラベリングに役立つ色付きの監獄の大扉。
buildtoolbar_popup_obj_jaildoorlargegrey	低セキュリティ独房ブロックのラベリングに役立つ色付きの監獄の大扉。
buildtoolbar_popup_obj_jaildoorlargeorange	中セキュリティ独房ブロックのラベリングに役立つ色付きの監獄の大扉。
buildtoolbar_popup_obj_jaildoorlargeYellow	保護拘置独房ブロックのラベリングに役立つ色付きの監獄の大扉。
buildtoolbar_popup_obj_coatstand	スタッフのコートと帽子を休ませる場所。
buildtoolbar_popup_obj_dogbowl	疲れた番犬用の水と食物の容器。\n犬のスタミナを少し増加させる。
buildtoolbar_popup_obj_secretdoor	本棚を装った隠し扉は、スライドして開き、スタッフが通れるようになっている。
buildtoolbar_popup_obj_parkbench	シンプルな公園用のベンチ。
buildtoolbar_popup_obj_fencegateguard	フェンスが併設された、警備員しか開けられない見栄えのよい門。
buildtoolbar_popup_obj_oaktable	食べる場所。
buildtoolbar_popup_obj_oakbench	腰を下ろす場所。オーク材のテーブルと相性バッチリ。

buildtoolbar_popup_obj_classic	かつての番犬、年寄りだが経験豊富。
buildtoolbar_popup_obj_dalmation	元は農場に住んでいたが、現在では脱獄防止に日夜働いている。
buildtoolbar_popup_obj_husky	雪の中を走る脱獄者にとって致命的な罠。
buildtoolbar_popup_obj_companion	警備員の最高の友
buildtoolbar_popup_obj_cat	誰もが犬派というわけではないので。
buildtoolbar_popup_obj_direwoof	いったい誰が脱獄なんて考えるだろう？

buildtoolbar_popup_filter_mostused	最も使い込まれた
buildtoolbar_caters_safety	安全性のニーズのために。

interfacedeployment_orderly	病棟用務員を割り当てる
buildtoolbar_deployment_orderly	刑務所内のエリアに病棟用務員を配置する。

interfacedeployment_orderlypatrols	病棟用務員を割り当てる
buildtoolbar_deployment_orderlypatrols	刑務所内の巡回ルートに病棟用務員を配置する。

room_PaddedCell	パッド入り独房
room_PaddedHoldingCell	パッド入り保護独房
room_PsychiatristOffice	精神科医のオフィス

interfaceplanning_BuildPlan	プランを作成する
interfaceplanning_ClearPlan	プランをクリアする
interfaceplanning_Door	ドア

buildtoolbar_improvement	- *Rのグレードを改善
buildtoolbar_improvement_windows	（外側を向くとき）

buildplan_title	壁タイプの選択
buildplan_message	プランを作成する準備はできていますか？\nこの操作は元に戻せません。\n\nプランに含まれているすべての壁は同じ壁タイプで作成されます。\n壁タイプの選択は以下で変更できます。
clearplan_title	プランをクリアする
clearplan_message	描画されたすべてのプランをクリアしてもよろしいですか？\n\nこの操作は元に戻せません。

d11_custom_planning	カスタムプラン

buildtoolbar_popup_planning	作業員が作業を始める前に、しっかりと刑務所を設計して、準備を整えよう。プランメニューでは、プランに含まれるすべての構造物とドアの構築、プランの区画の消去、またはプラン全体のクリアとやり直しを選択できます。

buildtoolbar_popup_help_planningDoor_1	選択したドアの種類は、プランにドアを配置するときに使用されます。
buildtoolbar_popup_help_quickBuildWall_1	選択した壁タイプは、次に実施するクイックビルドの構築に使用されます


buildtoolbar_popup_mat_blueclassywall	基部の上に最高級の壁を構築して、新しいスタッフ用のエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_burgundyclassywall	基部の上に最高級の壁を構築して、新しいスタッフ用のエリアまたは部屋を作ることができる。
buildtoolbar_popup_mat_greenclassywall	基部の上に最高級の壁を構築して、新しいスタッフ用のエリアまたは部屋を作ることができる。

buildtoolbar_popup_obj_windowclassy	外見を実際よりも良くしてくれる。
buildtoolbar_popup_obj_windowclassyLarge	外見を実際よりも良くしてくれる。
buildtoolbar_popup_obj_gravestone	あなたの刑務所で出た死者には墓石が供給されることになっている。

buildtoolbar_popup_staff_psychiatrist	触法精神障害者に定期的な相談を提供する高度なスタッフメンバー。\n精神科医は、刑務所に精神科カウンセリングプログラムが導入されると、触法精神障害者に対して定期的な１対１のセッションを行い、彼らを精神的に安定させる。\n触法精神障害者の数が多い場合は、彼らをすべて支援するために数人の精神科医を雇う必要がある。その場合、それぞれにオフィスが必要。

buildtoolbar_popup_staff_orderly	触法精神障害者への対応の訓練を受けた医療スタッフ。
buildtoolbar_popup_obj_leatherchair	革のソファにマッチする。スタッフが座るのに完璧、あなたの囚人にとっては上等すぎるのは間違いない。

buildtoolbar_popup_obj_rorschachTest	ロールシャッハテストを精神科医のオフィスに追加すると、精神科医による触法精神障害者の治療を改善させることができる。
buildtoolbar_popup_obj_anatomyModel	人体模型を精神科医のオフィスに追加すると、精神科医による触法精神障害者の治療を改善させることができる。
buildtoolbar_popup_obj_flipboard	フリップボードを精神科医のオフィスに追加すると、精神科医による触法精神障害者の治療を改善させることができる。
buildtoolbar_popup_obj_medicineCabinetPsych	薬のキャビネットを精神科医のオフィスに追加すると、精神科医による触法精神障害者の治療を改善させることができる。
buildtoolbar_popup_obj_leatherchair	革のソファにマッチする。スタッフが座るのに完璧、あなたの囚人にとっては上等すぎるのは間違いない。
buildtoolbar_popup_obj_leatherSofa	最高級の革張りのソファを精神科医のオフィスに追加すると、精神科医による触法精神障害者の治療を改善させることができる。

buildtoolbar_deployment_insaneseczone	触法精神障害者のみがこのエリアに入ることを許可される。

failuremessage_maximumcountreachedgeneric	最大配置数

buildtoolbar_popup_locked_PsychiatricConsultation	*B以上の精神科セッション後にロック解除
