
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	新規
sector_insecure	安全の保証なし


# =============================================================================
# Hardware Compatibility
# =============================================================================

hardware_compat_title	ハードウェアの互換性テスト
hardware_compat_message	弊社では、ユーザーからの許可がある場合に限り、以下のデータをユーザーのコンピュータより収集します。\n\nこの情報は、本ゲームができるだけ多くのハードウェアに対応できるよう、完全に匿名の状態で集められます。\n\nご協力ありがとうございます。
hardware_compat_accept	許可する
hardware_compat_decline	断る

connectionmenu_connect	接続
connectionmenu_disconnect	接続解除
connectionmenu_clear	クリア
connectionmenu_done	完了


# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_title	建設
buildtoolbar_reports	報告書
buildtoolbar_bangup	独房行き
buildtoolbar_lockdown	封鎖
buildtoolbar_shakedown	ガサ入れ
buildtoolbar_weaponsfree	発砲許可

buildtoolbar_tooltip_reports	「報告書」画面では、受刑者や職員、収入、助成金、その他の項目に関して情報を見ることができる。
buildtoolbar_tooltip_bangup	すべての（抵抗しない）受刑者を独房に戻すことができる。監禁期間が長くなると受刑者が怒り始めるので注意した方がいい。
buildtoolbar_tooltip_lockdown	刑務所内のすべてのドアを一斉に施錠する。
buildtoolbar_tooltip_shakedown	すべての独房を今すぐに調べさせることができる。この作業には時間がかなり掛かり、受刑者はかなり不満を頂くことになるだろう。
buildtoolbar_tooltip_weaponsfree	看守に殺傷力のある武器を許可する。スナイパーは、標的を殺す前に警告の発砲をしなくなる。
buildtoolbar_tooltip_nostrike	職員のストライキ中は使用不可。

buildtoolbar_cost	コスト：*Cドル
buildtoolbar_cost_sqrft	コスト：*Cドル（1平方Mあたり）
buildtoolbar_wages	賃金：*Wドル/日
buildtoolbar_upkeep	維持費:*Wドル/日
buildtoolbar_outdoor	屋外のみ
buildtoolbar_indoor	屋内のみ
buildtoolbar_walk_speed	歩行速度：*S
buildtoolbar_walk_speed_slow	遅い
buildtoolbar_walk_speed_norm	普通
buildtoolbar_walk_speed_fast	速い
buildtoolbar_locked	ロック中
buildtoolbar_locked_research	ロック中（*Bが必要）
buildtoolbar_locked_administrator	ロック中（*Bが必要）
buildtoolbar_room	部屋

buildtoolbar_electrical	- 配線
buildtoolbar_highpower	- 高出力
buildtoolbar_water	- 水道管への接続が必要
buildtoolbar_wired	- 有線（その他の有線アイテムに接続）
buildtoolbar_modcontent	- MODコンテンツ

buildtoolbar_popup_foundations	建物を作ったり壊したりしながら、刑務所の形を決めていこう。
buildtoolbar_popup_construction	いろいろな種類の床や壁。
buildtoolbar_popup_planning	作業員が作業を始める前に、しっかりと刑務所を設計しよう。
buildtoolbar_popup_designation	刑務所内の各エリアに特定の役割を与える。
buildtoolbar_popup_objects	刑務所内に便利なアイテムを配置しよう。
buildtoolbar_popup_overlays	刑務所のレイアウトの弱点を視覚的に示してくれる。
buildtoolbar_popup_utilities	水道や電気の設備。
buildtoolbar_popup_staff	刑務所の運営に必要な人材を雇う。
buildtoolbar_popup_deployment	刑務所内の各エリアに職員を配置する。
buildtoolbar_popup_logistics	受刑者に刑務所内の仕事を与える。また、食堂や洗濯室の管理を手動で行う。
buildtoolbar_popup_research	刑務所に新しい可能性を与えてくれる。
buildtoolbar_popup_emergencies	非常事態が発生した際に緊急サービスを呼ぶ。
buildtoolbar_popup_clone	現存の建物をコピペする。
buildtoolbar_popup_properties	色々と発見する。
buildtoolbar_popup_contraband	禁制品の出どころと、最近刑務所で見つかった禁制品のリストを確認できる。また、密告人とその情報の内容も確認できる。
buildtoolbar_popup_grading	処罰、更生、安全性、健康の4つの側面から見た、刑務所の全般的な評価を見ることができる。また、再犯率も確認できる。
buildtoolbar_popup_prefabs	自分の刑務所の一部をコピー＆ペーストするか、事前に用意された部屋を配置する。
buildtoolbar_popup_room_cell	受刑者が暮らしている場所。
buildtoolbar_popup_room_holdingcell	到着したばかりの受刑者が、独房が見つかるまでのあいだ過ごす部屋。
buildtoolbar_popup_room_solitary	受刑者の中でも特に始末の悪い者たちを隔離して収容する場所。
buildtoolbar_popup_room_dormitory	複数の受刑者を収容する、サイズ変更可能な部屋。寮が広いほど、多くの受刑者を収容できる。
buildtoolbar_popup_room_familycell	乳幼児がいる受刑者が住む場所。
buildtoolbar_popup_room_sharedcell	複数の受刑者を収容するための独房。最大8人まで受刑者を収容できる。
buildtoolbar_popup_room_canteen	受刑者たちが食事をする場所。
buildtoolbar_popup_room_kitchen	受刑者の食事を準備する場所。
buildtoolbar_popup_room_shower	受刑者を清潔に保ち、シラミが湧かないようにする。
buildtoolbar_popup_room_yard	狙撃タワーの監視のもと、受刑者たちが1日数時間だけ新鮮な空気を吸える場所。
buildtoolbar_popup_room_storage	刑務所の職員が必要とするありとあらゆるアイテムが保管されている。
buildtoolbar_popup_room_deliveries	アイテムや材料、さらに受刑者が届けられる場所。
buildtoolbar_popup_room_garbage	ゴミはここから収集される。
buildtoolbar_popup_room_execution	受刑者をあの世へ送る場所。
buildtoolbar_popup_room_workshop	ナンバープレートを作るという死ぬほど退屈な作業を受刑者が行う場所。
buildtoolbar_popup_room_security	警備スタッフのためのオフィス。
buildtoolbar_popup_room_office	刑務所の管理職員が働くエリア。
buildtoolbar_popup_room_medicalward	医療スタッフが働くエリア。意識不明の囚人は回復に時間がかかるが、ここで治療を受ければ安心だ。
buildtoolbar_popup_room_morgue	死んだ受刑者（だけでなく職員も）が送られる場所。
buildtoolbar_popup_room_commonroom	受刑者がしばし寛ぐことのできるエリア。
buildtoolbar_popup_room_kennel	犬が暮らしている場所。
buildtoolbar_popup_room_chapel	役人たちが集まり、受刑者たちの宗教的ニーズをどうするか考えた末にできたのが、この「共用祈祷室」だ。ここでは単に「チャペル」とよばれている。
buildtoolbar_popup_room_paroleroom	受刑者たちは、刑期の50%または75%を務めた後で仮釈放の資格を得る。仮釈放が許されるか否かは、この部屋で刑務所長と看守長によって決められる。\n\n注意：仮釈放が認められなかった受刑者が暴れだすことがあるため、警備をさらに厳重にすることをお勧めする。
buildtoolbar_popup_room_library	刑務所にはいらなくなった本が国中から送られてくる。これを棚に並べるのは受刑者の仕事だ。
buildtoolbar_popup_room_intake	受刑者が到着した際に最初に連れていかれる場所。
buildtoolbar_popup_room_nursery	乳幼児がいる受刑者のためのアクティビティ室。
buildtoolbar_popup_room_shop	売店は、受刑者が苦労して稼いだ賃金を使って、贅沢をしたいという気持ちを満足させる場を提供する。衛生用品、食物、娯楽も提供できる。君は販売した物に対しての料金と、販売総数に応じて毎日手数料を得る。

buildtoolbar_popup_obj_bed	寝心地満点… とい言いたいことろだが、実際は硬すぎる上にサイズも小さめである。
buildtoolbar_popup_obj_toilet	奴らの言うところの「基本的人権」のひとつ。
buildtoolbar_popup_obj_table	お揃いの椅子との相性バッチリ。
buildtoolbar_popup_obj_chair	お揃いのテーブルとの相性バッチリ。
buildtoolbar_popup_obj_bench	腰を下ろす場所。
buildtoolbar_popup_obj_electricchair	2000ボルトの正義が下される場所。
buildtoolbar_popup_obj_jaildoor	受刑者を閉じ込めておくためのもの。
buildtoolbar_popup_obj_jaildoorlarge	大量の受刑者を閉じ込めておくためのもの。
buildtoolbar_popup_obj_door	シンプルなドア。
buildtoolbar_popup_obj_solitarydoor	どんなに力のある受刑者をも逃げさせない、頑丈なドア。
buildtoolbar_popup_obj_staffdoor	看守だけでなく、すべての職員が開けることのできる鍵の掛かったドア。
buildtoolbar_popup_obj_window	太陽の光を通してくれる。
buildtoolbar_popup_obj_windowlarge	太陽の光をたっぷり通してくれる。
buildtoolbar_popup_obj_tree	地球温暖化は人類が一体になって取り組まなければならない問題だ。
buildtoolbar_popup_obj_light	これのお陰で一日中受刑者の顔をはっきりと見ることができる。
buildtoolbar_popup_obj_cooker	暖かい食事という贅沢を受刑者に与えるためのもの。
buildtoolbar_popup_obj_fridge	食料を腐らせずに保管できる。
buildtoolbar_popup_obj_bin	見つかった禁制品はしっかりと始末しなければならない。
buildtoolbar_popup_obj_sink	すべての職員は手洗いをしなければならない。お湯がでる場合は、手洗いが速くなる。
buildtoolbar_popup_obj_servingtable	受刑者に食事を提供する場所。
buildtoolbar_popup_obj_officedesk	職員は色々なことを書き留める必要がある。このピカピカのオフィスデスクはそんな時に便利だ。
buildtoolbar_popup_obj_filingcabinet	職員が書き留めたものをきれいに保管しておくためのもの。
buildtoolbar_popup_obj_morgueslab	遺体を搬送する前に安置しておくための場所。
buildtoolbar_popup_obj_drain	床から水を抜く役目を果たす。
buildtoolbar_popup_obj_sprinkler	火事が起こった際に自動的に水を撒いてくれる。
buildtoolbar_popup_obj_metaldetector	禁制品を身につけた受刑者がここを通ると知らせてくれる。禁制品を没収するための看守が必要。
buildtoolbar_popup_obj_weightsbench	これで運動すれば受刑者の機嫌も上々。
buildtoolbar_popup_obj_tv	頭が麻痺するほどの平凡さで、受刑者を落ち着かせよう。テレビの前に受刑者が座る場所が必要だ。
buildtoolbar_popup_obj_largetv	大勢の受刑者に、頭が腐る経験を共有させることができる。テレビの前に受刑者が座る場所が必要だ。
buildtoolbar_popup_obj_pooltable	ビリヤードで単調な刑務所生活に刺激を。
buildtoolbar_popup_obj_dismantleobject	刑務所のアイテムを取り除く。
buildtoolbar_popup_obj_altar	受刑者の祈りの声を好みの神の元へ届けてくれる。
buildtoolbar_popup_obj_pews	信心深い者たちのための椅子。大変固く、座ればお尻が痛くなること間違いなし。
buildtoolbar_popup_obj_prayermat	祈りを捧げる受刑者たちを汚い床から守ってくれる。

buildtoolbar_popup_staff_guard	受刑者がトラブルを起こさないよう見張っていてくれる。
buildtoolbar_popup_staff_armedguard	ショットガンを持っているため、受刑者に襲い掛かられる可能性は低い。\n\n注意：それぞれの武装警備員は武器庫内にロッカーを持つ必要がある。
buildtoolbar_popup_staff_doctor	看守、受刑者を問わず、近くにいる怪我人を自動的に治療してくれる。
buildtoolbar_popup_staff_cook	受刑者のために食事を用意してくれる。
buildtoolbar_popup_staff_gardener	刑務所の敷地を綺麗に整えてくれる。
buildtoolbar_popup_staff_janitor	刑務所の内部を綺麗にしてくれる。洗濯の手伝いをしてくれることもある。

buildtoolbar_popup_uts_powerstation	刑務所で使われる電力を供給してくれる。
buildtoolbar_popup_uts_capacitor	発電所の横に置くとことで、さらに多くの電力を確保してくれる。
buildtoolbar_popup_uts_electricalcable	刑務所のあらゆる場所に電気を行き渡らせてくれる。
buildtoolbar_popup_uts_powerswitch	スイッチを入れるとそこにつながれたケーブルに電気が通る。\n\n右クリックでスイッチをオンまたはオフにできる。
buildtoolbar_popup_uts_waterpumpstation	刑務所に水を供給してくれる。
buildtoolbar_popup_uts_pipevalve	スイッチを入れるとそこにつながれたパイプに水が通る。
buildtoolbar_popup_uts_pipelarge	刑務所内に大量の水を高い水圧で行き渡らせてくれる。受刑者がそこを通って逃げようと思えば可能なほど大きいが、ヒドい悪臭の中を何百メートルも進なければならないだろう。\n\n注意：水圧が高いため、シンクやシャワーヘッドにはつなげない方がいい。そのような用途には小さいパイプが適している。
buildtoolbar_popup_uts_pipesmall	トイレ、シャワー、シャワーといったアイテムを大きなパイプにつなげるのに使われる。水圧はかなり低く、あまりパイプが長くなると使いものにならない。
buildtoolbar_popup_uts_cctv	一度に沢山の看守を配置せずに刑務所を監視することができる。\n\nモニターを接続しないと使うことができない。
buildtoolbar_popup_uts_cctvmonitor	警備室に設置し、看守によって操作される。刑務所内に設置された監視カメラを遠隔操作できる。\n\nこのモニターを監視カメラにつなぐには、接続ツールを使おう。\n\n注意：一度に見れる監視カメラは8台まで。８台以上接続した場合には、周期的にしか映せないため、すべてをカバーすることができない。
buildtoolbar_popup_uts_DoorControlSystem	警備室に設置し、看守によって操作される。刑務所内のドアを遠隔操作で開けるのに使われる。\n\nこのシステムをドアサーボにつなぐには、接続ツールを使おう。ドアサーボは遠隔操作したいドアの上に設置する必要がある。\n\n注意：このシステムにはいくつでもサーボを接続することができるが、これを操作している看守が1秒間に開けられるドアは2つまで。
buildtoolbar_popup_uts_phonemonitor	警備室に設置し、看守によって操作される。受刑者が電話を掛ける際にそれを盗聴することができ、違法行為が計画されている場合にそれを知ることが可能。\n\nこのシステムを電話ボックスにつなぐには、接続ツールを使おう。
buildtoolbar_popup_uts_Servo	遠隔操作したいドアの上に設置して使う。歯車モーターがドアのすぐ上に来るようにしよう。\n\nサーボを設置すると、そのスイッチが入った際にドアが自動的に開く。この操作は、ドア操作システムまたはドアタイマーによって行われる。\n\n複数のサーボをつなげることも可能で、この場合、1つのドアが開くと他のサーボのスイッチが入る仕組みになっている。
buildtoolbar_popup_uts_LogicCircuit	上級の設計士のみが使用可能。\n\n入力に応じて論理演算を行い出力を決定する、シンプルな回路ボックス。\n\n可能な操作：And / Or / Not / Nand / Nor / Xor\n\n右クリックで演算を切り替えることができる。
