
campaigncutscene_tooltip 				（クリックで次のチャプターをスタート）
objective_food_hirejanitors             （任意）清掃人を雇い、洗濯室を運営
objective_food_handleclothingneed 		（任意）受刑者の「衣服」ニーズを満たす

objective_food_buildkitchen             厨房を建てる（約12平方メートル）
objective_food_buildkitchencookers      コンロを最低4台設置
objective_food_buildkitchenfridges      冷蔵庫を最低4台設置
objective_food_buildkitchensink         シンクを1つ設置
objective_food_buildkitchenbin	 		ゴミ箱を1つ設置
objective_food_buildkitchenwatermains 	シンクを水道本管につなげる
objective_food_buildkitchenfloor 		（任意）厨房の床を向上

objective_food_buildkitchen_description		まずは基盤を建てる必要がある。
objective_food_buildcanteen_description		まずは基盤を建てる必要がある。

objective_Food_HireChefs				料理人を最低8人雇う
objective_food_CookMeals				（自動）すべての受刑者の食事を用意

objective_food_buildcanteen             食堂を建てる（約20平方メートル）
objective_food_buildservingtables       配膳台を2台設置
objective_food_buildcanteentables       テーブルを最低6台設置
objective_food_buildcanteenchairs       テーブル1台につき長椅子を2台設置
objective_food_buildcanteenbin	 		ゴミ箱を1つ設置
objective_food_buildcanteenfloor 		（任意）食堂の床を向上


objective_food_buildsprinklers          新しいスプリンクラーを1台設置
objective_food_buildsprinklers1         厨房に1台かそれ以上のスプリンクラーを設置
objective_food_buildsprinklers2         食堂に1台かそれ以上のスプリンクラーを設置
objective_food_connectwater             厨房のスプリンクラーを水道本管につなげる
objective_food_connectwater2			食堂のスプリンクラーを水道本管につなげる
objective_food_feedprisoners            すべての受刑者に夕食を与える

objective_food_buildkitchenwatermains_description   大きなパイプには大量の高圧の水が流れている。小さなパイプには様々なアイテムがつながれている。\n\nまずは「電気＆水道」ビューで大きなパイプを建物につなげよう。次に、小さなパイプを使って水が必要な周辺のすべての器具を大きなパイプにつなげよう。
objective_food_connectwater_description             大きなパイプには大量の高圧の水が流れている。小さなパイプには様々なアイテムがつながれている。\n\nまずは「電気＆水道」ビューで大きなパイプを建物につなげよう。次に、小さなパイプを使って水が必要な周辺のすべての器具を大きなパイプにつなげよう。
objective_food_connectwater2_description            大きなパイプには大量の高圧の水が流れている。小さなパイプには様々なアイテムがつながれている。\n\nまずは「電気＆水道」ビューで大きなパイプを建物につなげよう。次に、小さなパイプを使って水が必要な周辺のすべての器具を大きなパイプにつなげよう。

campaigncutscene_foodinfirmary			医療室
campaigncutscene_foodfamily             家族
campaigncutscene_foodfeud               不仲
campaigncutscene_foodregret				後悔
campaigncutscene_foodsuccession 		継承

campaigncutscene_foodfamily_description		パレルモはかつて東海岸全土において麻薬取引きを仕切っていた一家だ。そのドンと子供たちの背景を探ってみよう。

adviser_name_thedon                     パレルモのドン
adviser_name_thedonangry                パレルモのドン
adviser_name_nico                       ニコ・タモレッティ
adviser_name_nicoshower					ニコ・タモレッティ
adviser_name_nicosuited					ニコ・タモレッティ
adviser_name_sonny                      ソニー・パレルモ
adviser_name_sonnysuited				ソニー・パレルモ
adviser_name_sonnystrangled				ソニー・パレルモ
adviser_name_anthonysuited				アントニー・パレルモ
adviser_name_wiggins					ウィギンズ
adviser_name_nicoinfirmary				ニコ・タモレッティ
adviser_name_vitalia					ヴィタリア・パレルモ

cutscene_foodfamily_palermo01			ビクター・パレルモ。東海岸で最も恐れられているマフィア一家のドン。
cutscene_foodfamily_palermo1			パレルモ一家は数十年もの間、FBIの追跡を逃れてきた。
cutscene_foodfamily_palermo02			一家のビジネスを取り仕切っているのはアントニー・パレルモ。ドンの長男で、後継者でもある。
cutscene_foodfamily_palermo03			ニコ・タモレッティは元々は一家の出身ではない。ドンの娘であるヴィタリアと結婚したことで、一家のビジネスに関わることとなった。
cutscene_foodfamily_palermo04			そして、ドンの次男ソニー・パレルモ。短気さでは誰にも負けないが頭が弱く、出来損ない扱いされている。

cutscene_foodfamily_palermo2 			一家の麻薬ビジネスはかつてメイン州からフロリダ州にまで及んでいた。
cutscene_foodfamily_palermo3			しかしそれは、アントニーが射殺されるまでのことだった。
cutscene_foodfamily_palermo3b           浮気相手の夫に現場を押さえられ、撃たれたのだ。
cutscene_foodfamily_palermo4			運悪く、現場にいた警官がアントニーのスポーツバッグに入っていた12キロの純コカインを見つけた。
cutscene_foodfamily_palermo5			そしてその証拠がドンを仕留めることとなった。
cutscene_foodfamily_palermo6			パレルモ一家が築いてきたものすべてが、一夜にして崩れ去ってしまった。そして、関係者すべてを刑務所に長い間閉じ込めておくのに十分な証拠を、FBIは手にしていた。
cutscene_foodfamily_palermo7			一家の中で刑務所行きを免れたのは、ドンの娘ヴィタリアのみだった。
cutscene_foodfamily_palermo8			ヴィタリアについては、一家のビジネスにまったく関わっていなかったということ以外、ほとんど何も分かっていない。
cutscene_foodfamily_palermo9 			だが刑務所の外にいる何者かが、麻薬を持ち込んだのは間違いない。

adviser_food_findalldrugs1				これで食事に関する問題は解決した。またしっかり食事が取れることで、受刑者たちの満足度もかなり上がったはずだ。

adviser_food_findalldrugs2				パレルモがこの刑務所で受刑者たちに薬物を売りさばいていたのは間違いない。
adviser_food_findalldrugs3				看守たちの話によれば、あの火事以来、多くの受刑者が離脱症状のようなものを見せているということだ。
adviser_food_findalldrugs4				すべての受刑者と独房を調べてきて欲しい。パレルモが売りさばいた薬物が刑務所中で見つかるだろう。

objective_food_findalldrugs					刑務所にあるすべての薬物を見つける
objective_food_findalldrugs_description 	独房棟を調べるには、そこにいる受刑者をクリックし、「この棟を調べる」をクリックするか、画面下にあるツールバーの中から「ガサ入れ」を選ぼう。

objective_food_hiremoreguards 			（任意）追加で看守を雇い、捜索のスピードを上げる

adviser_food_drugsfound1				状況は予想していたほど悪くはないようだ。だが、薬物依存やアルコール依存の問題が存在しているのは間違いない。
adviser_food_drugsfound2				彼らが摂取をやめ、離脱症状を乗り越えるためには、我々の助けが必要になる。
adviser_food_drugsfound2b 				医療室で薬物治療プログラムを開始しよう。中毒者の欲求を少しでも抑えるために、医師たちが代替となる薬品を投与してくれるだろう。
adviser_food_drugsfound3				アルコール中毒者に投与できる薬品はない。代わりにグループ療法のセッションを設けるといいだろう。
adviser_food_drugsfound4				こういったセッションを行うには、共有ルームを設けなければならない。
adviser_food_drugsfound5				新しいプログラムを始めるには、画面右下の「報告書」から「プログラム」を選ぼう。

objective_food_drugtreatment			薬物治療プログラムを始める
objective_food_cureaddictions			（任意）薬物中毒者の治療を始める
objective_food_alcoholprogram			アルコール中毒者のグループ療法を始める
objective_Food_HelpAlcoholics			（任意）アルコール中毒者の回復を助ける
objective_food_buildcommonroom 			共有ルームを作る
objective_food_buildcommonroomchairs	椅子が８脚以上置かれた共有ルームを作る

objective_food_drugtreatment_description 	画面右下の「報告書」をクリックし、「プログラム」タブを選ぼう。プログラムは「麻薬中毒者のための薬物療法」と呼ばれるもので、医療室で行われる。\n\n注意：このプログラムに受刑者を参加させるには、スケジュール内の「労働」時間のうち、最低でも2時間を割く必要がある。
objective_food_alcoholprogram_description 	画面右下の「報告書」をクリックし、「プログラム」タブを選ぼう。\n\n注意：このプログラムに受刑者を参加させるには、スケジュール内の「労働」時間のうち、最低でも2時間を割く必要がある。

cutscene_food_feudintro1 				シャワー室で事件が起こった。死体が発見されたようだ。
cutscene_food_feudintro2 				しかも2人だ。幸いにもシャワー室には監視カメラがついている。
cutscene_food_feudintro3 				時間ができたら、シャワー室内のポラロイド写真をクリックしてみよう。何が起こったのかチェックできるはずだ。

objective_food_triggerfightscene		準備ができたら、シャワー室内のポラロイド写真をクリックして次に進もう。
objective_food_triggerfightscene_description 	シャワー室は刑務所の北西エリアの角にある。

cutscene_food_feud1b                    おっ、誰もいないぞ。ツイてるな。
cutscene_food_feud1                     遅かったな。
cutscene_food_feud2                     黙れ。うちのバカな妹は一体こんなクソ野郎のどこに惚れたんだろうな。
cutscene_food_feud2b 					嫁さんに頼まれてやったのか？それともジイさんか？
cutscene_food_feud3                     なわけねーだろ、ブタ野郎が！親父さんに怪我させるつもりなんてなかったよ。実の親のように慕ってたんだからな。
cutscene_food_feud3b 					アホなお前のせいで一家が迷惑を被るのはもう懲り懲りだ。
cutscene_food_feud4                     あの火事はな、お前を殺るためだったのさ。
cutscene_food_feud5                     なら仕返しさせてもらうぜ。
cutscene_food_feud6                     何を言ってやがる。ずっと前から俺を殺るつもりだったんだろ。
cutscene_food_feud7                     なんでもお見通しってか。さすがだな！まあ、心配するな。痛い思いはさせねぇよ。
cutscene_food_feud8                     言ったよな、「気をつけろ」って。
cutscene_food_feud8b                    うぐっ.....！！！！
cutscene_food_feud8c                    うわああああ！！！！
cutscene_food_feud8d                    紹介がまだだったな。こいつはフランキー。ワイヤー使いの名人だ。
cutscene_food_feud8e                    奴の手に掛かれば、どんな殺しも自殺に見える。
cutscene_food_feud9                     まだ終わっちゃいねぇぞ、ニコ。
cutscene_food_feud9b                    ま、マジか。

cutscene_food_successionintro			よし、ずいぶん頑張ってくれたな。おかげで刑務所に秩序が戻ってきた。
cutscene_food_successionintro2 			もう少しここにいて刑務所の状態を向上させるのもいいだろう。もしくは次の施設に移ってもいい。
cutscene_food_successionintro3 			次に進む準備ができたら、医療室のポラロイド写真をクリックしよう。

objective_food_runending 				準備ができたら、医療室のポラロイド写真をクリックして次に進もう。
objective_food_runending_description	医療室は刑務所の南西側の一番端にある。

cutscene_food_succession1				ヴィタリア！
cutscene_food_succession1b				...？
cutscene_food_succession2				ああ、ヴィタリア！
cutscene_food_succession3				とんでもないことをしちまったよ。
cutscene_food_succession4				しゃべっちゃダメ。
cutscene_food_succession5				親父さんは持って数日だって...
cutscene_food_succession6				わかってる。お別れを言いに来たのよ。
cutscene_food_succession7				なあ、こんなヒドい人生はもう沢山だ。2人だけでどこか遠くへ行こう。
cutscene_food_succession8				そうね。
cutscene_food_succession9				でも無理なのよ、ニコ。私にはパレルモの血が流れてるんだから。
cutscene_food_succession10				パパがいなくなって、他人のあなたがその後を継いだら、敵に完全になめられるわ。
cutscene_food_succession11 				そんなの許せない。だから、パレルモの血が流れてる人間がドンになるべきなのよ。
cutscene_food_succession12				お前... 俺を蹴落とすつもりか？これまで一緒に頑張って来たのにか？
cutscene_food_succession13				ああ、ニコ。何も分かってないのね。
cutscene_food_succession14 				私はあなたと離婚するつもりよ。
cutscene_food_succession15				は？お前、正気か？一家との関わりがなくなったら、俺がここでどんな目に遭うと思う？死んだも同然だ！
cutscene_food_succession16				それはわかってる。でもね、そんなの私の知ったことじゃないのよ。
cutscene_food_succession17				パパ、安らかに眠ってね。
cutscene_food_succession18				さよなら、ニコ。


# =============================================================================
# Riot
# =============================================================================

campaignchapter_riot                    情けは無用
campaignchapter_riot_description		アルケミコ州立刑務所で暴動が起きている。行って安全を確保してほしい。

campaigncutscene_riotintro              ニュース速報

adviser_riot_newsintro_01				ニュース速報です。
adviser_riot_newsintro_02				アルケミコ州立刑務所で暴動が起きている模様です。職員および警備スタッフは、施設の外に撤退し、軍の到着を待っている状態です。
adviser_riot_newsintro_1				また、行方の分からなくなっている職員が数人おり、この中にはCEOのチャールズ・ウォレス氏も含まれているとのことです。
adviser_riot_newsintro_2				今回の暴動は、賄賂と引き換えに過剰な実刑判決を下したとされる....
adviser_riot_newsintro_3				... 著名の裁判官数人が逮捕されたことを受けて発生した模様です。
adviser_riot_newsintro_4				それだけでなく、先月起こったマフィアボス、ビクター・パレルモの暗殺未遂事件をはじめとし...
adviser_riot_newsintro_5				... 犯罪地下組織の大物が殺害される事件が立て続けに起こっているという情報もあります。
adviser_riot_newsintro_6				刑務所の秩序の回復を任されているのは、CEOチャールズ・ウォレス氏の補佐です。
adviser_riot_newsintro_7				しかし、この人物は最近この役職を手にしたばかりだということで、経験の浅さが今回の危機的状況において不利となる可能性もあります。
adviser_riot_newsintro_8                また、今回の暴動の首謀者は、現在終身刑で服役中のダグラス・ベネディクトだと考えられています。

adviser_riot_newsintroheller_1 			市長であるカルビン・ヘラーがたった今、以下の声明を発表しました。
adviser_riot_newsintroheller_2 			「受刑者たちは、住む場所や食事を与えられ、その上有償の仕事まで手にしている。
adviser_riot_newsintroheller_3 			その資金を担っている納税者にとって、今回の事件は侮辱以外の何ものでもありません。
adviser_riot_newsintroheller_4 			懲罰的な改革を掲げる我々の政策に異議を申し立てるみなさんには、そのことをよく考えて頂きたい」

campaigncutscene_riothostages			人質
adviser_name_riotceo					CEO
adviser_name_riotbenedict 				ベネディクト

adviser_riot_hostages1					みんな聞け。トップは捕まえた。
adviser_riot_hostages1b 				うぐぐ...
adviser_riot_hostages2 					今から要求を言う。お前はそれを飲む。簡単だ。
adviser_riot_hostages3					誰かを送りこんだり、サツがちょっとでも近づいたりしたら、こいつの脳みそにすぐさまブチ込む。いいな。
adviser_riot_hostages4 					追跡できない車を用意しろ。しかも黒塗りだ。ガソリンは満タン。1時間だけやる。また後で連絡する。
adviser_riot_hostages5 					よし、話を元に戻そう。
adviser_riot_hostages5b					お前、あのオフィスで何をしてた？
adviser_riot_hostages6					本当に何も知らないんだ。信じてくれ。
adviser_riot_hostages7					やましいことしてる人間はすぐ分かるんだよ。見慣れてるからな。
adviser_riot_hostages8					何を隠してた？
adviser_riot_hostages9					ここは俺みたいな人間にはお似合いの場所さ。だけどあの若いのは... あんなガキに長いことクサい飯を食わせて何の得になる？
adviser_riot_hostages10					お前は何かを知ってる。ここから生きてでたきゃ喋った方がいいぜ。

adviser_riot_hostageheller1 			こんなことは何があっても許されない。食堂で何が起こっているか調べなくては。
adviser_riot_hostageheller2 			食堂の北側に小さな警備室がある。まずはそこの安全を確保しよう。
adviser_riot_hostageheller3 			看守を何人か送りこんで監視カメラのチェックを担当させよう。そうすれば、独房棟の全体をチェックできる。

objective_Riot_MaxSecCameras			警備室を取り戻す

campaigncutscene_riotroulette			ルーレット

adviser_riot_rouletteintro1             警備室に看守を送り込むことができた。これで監視カメラのライブ映像をチェックできるようになった。
adviser_riot_rouletteintro2             さっそく人質の状況を見てみよう。
adviser_riot_click 						<クリック>
adviser_riot_roulette1					ここから生きて出る最後のチャンスだ。ロシアンルーレットって知ってるか？
adviser_riot_roulette2 					しかも弾が2つのバージョンだ。薬室は4つ。
adviser_riot_roulette2b 				昔はよくウサギ相手にこのゲームで遊んだんだ。頭が丸ごとブッ飛んだな。
adviser_riot_roulette3 					お前の頭でもきっと同じことさ。
adviser_riot_roulette4 					じゃあまずは簡単な質問から始めよう。あのオフィスで何をしてた？
adviser_riot_roulette5 					本当だ。本当に何も知らないんだ。
adviser_riot_roulette5b 				なるほどね。
adviser_riot_roulette6 					まあいい。じゃあ最初は誰の番だ？お前？俺？こいつは？
adviser_riot_roulette7					はは、やっぱりな。ウサギと同じだ。
adviser_riot_roulette8 					あのファイルに何が書いってあった？
adviser_riot_roulette9 					信じてくれ！本当に知らないんだ...
adviser_riot_roulette10 				そろそろ運も尽きてきたな。まだ弾は1つ残ってるしな。なあ、俺はこの目で見たんだ。
adviser_riot_roulette11b 				信じられない光景をな。
adviser_riot_roulette11c 				大企業のボスがこのムショでヤバそうな事をしてる光景だ。
adviser_riot_roulette11d 				逮捕記録よりもっとヤバいものがあのファイルの中に入ってたんだろ？
adviser_riot_roulette11					頼む... やめてくれ。
adviser_riot_roulette11e 				生きてここを出られる確率は低くなりつつあるぜ、ウォレス。
adviser_riot_roulette12 				しょうがねぇな。吐かせてやるよ。
adviser_riot_roulette12b	 			よし、お遊びはここまでだ。
adviser_riot_roulette13 				次はてめぇの番だ。嫌ならぜんぶ吐くんだな。
adviser_riot_roulette14 				無理だ。頼む、許してくれ。
adviser_riot_roulette15 				分かった！頼む！撃たないでくれ。金だ。すべて金のためだ。
adviser_riot_roulette16 				それだけか？
adviser_riot_roulette17 				受刑者は金になる。服役が長ければ長いほど、こっちの利益が増える。そのために規則を曲げようとしていたんだ。
adviser_riot_roulette17b				あのファイルにはその証拠が入っていた。
adviser_riot_roulette18 				俺たちが金になるって、幾らだ？俺らをここに閉じ込めることで、どれだけ儲かるんだ？
adviser_riot_roulette19 				1年で7万3000ドルだ。
adviser_riot_roulette20					1人あたりか？このクソ野郎が。払い戻してもらうぜ。

campaigncutscene_riotassault 			違反

adviser_riot_assault01					もう十分だ。今すぐ終わりにしよう。
adviser_riot_assault02 					すべてのチームが位置についている。
adviser_riot_assault03					今すぐ車を用意しろ。ウォレスは一緒に連れて行く。追跡しようとしたらウォレスの肉片を高速にバラ撒くからな。
adviser_riot_assault2 					ボス、一緒に来てもらうぜ。お前が危ない状況なら奴らもバカなことはしないだろうからな。
adviser_riot_assault3 					ここから生きて出れると思ってるのか？あいつらの狙いはお前じゃない。
adviser_riot_assault4 					どういうことだ？
adviser_riot_assault5					私は金のためにやった。だがあいつは政治的利益のためにやったんだ。受刑者の刑期が長ければ長いほど、市民の票を得られるからな。
adviser_riot_assault6					誰の話だ？
adviser_riot_assault7					ヘラー市長だ。すべてあいつが企んだことなんだ。私は手を貸しただけだ。
adviser_riot_assault7b 					あのファイルにはあいつのキャリアを破壊する証拠が入っていたんだ。
adviser_riot_assault8					マジかよ。
adviser_riot_assault9 					信じられねぇ話だ...
adviser_riot_assault9b					入ってくるぞ。位置につけ！
adviser_riot_assault10					くそっ、だから言っただろう！！！

# Riot Objectives and help text

adviser_name_negotiator 				交渉人

adviser_riot_negotiator1 				刑務所は完全に制御不能だ。仕切る人間が誰もいない。
adviser_riot_negotiator2 				負傷者も多数出ており、残った看守たちは暴動の起こっている棟に入ることを拒んでいる。結果、我々は施設の外に撤退せざるを得なくなった。
adviser_riot_negotiator3 				なんとか作戦を考え、取り返しのつかない事が起こる前にこの事態に終止符を打って欲しい。
adviser_riot_negotiator4 				機動隊はあと数分で到着する予定だ。

adviser_riot_firstreinforcements1 		対策チームが到着した。
adviser_riot_firstreinforcements2 	 	ここにいるのは機動隊だ。彼らはかなりの重装備だ。占拠された棟を取り戻すのに使うといい。
adviser_riot_firstreinforcements3 		それに加え、近隣の病院から救急隊も到着している。
adviser_riot_firstreinforcements4 		独房棟を取り戻そうとする機動隊に負傷者が出た際には、救急隊に処置をしてもらうといい。

objective_Riot_StopTheRiot 				暴動を止める
objective_Riot_StopTheRiot_description  刑務所を取り仕切る人間は誰もいない。どうしたらいいか自分で考えるしかない。

adviser_riot_helleradvice1				あなたはCEOの補佐ですね？
