# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog
mm_updatenotes_Date	27. Juni 2019
mm_updatenotes_Header	Das Clink-Update
mm_updatenotes_01	4 neue Fußböden und 4 neue Wände hinzugefügt.
mm_updatenotes_02	Verbesserte Performance und dadurch kürzere Ladezeiten.
mm_updatenotes_03	Sie können jetzt mehr Vorarbeiter einstellen, für größere Gefängnisse, in denen die Vorarbeiter auch in Programmen unterrichten.
mm_updatenotes_04	Bestehende Objekte haben jetzt alle Rotationen, für fehlende Ausrichtungen wurden neue Sprites ergänzt.
mm_updatenotes_05	Neuer Button 'Wachen rufen', der bestehende Wachen in der Nähe zu einem Ort ruft, der Spieler muss also keine neuen Wachen mehr einstellen, um auf Zwischenfälle zu reagieren.
mm_updatenotes_06	Neuer Button 'Tunnelsuche', der Wachen befiehlt, alle Toiletten nach versteckten Fluchttunneln abzusuchen.
mm_updatenotes_07	Das Schnellbau-Menü enthält neue Schnellräume für das schnellere und einfachere Bauen von Räumen.
mm_updatenotes_08	Sie können Gefangenen und Mitarbeitern jetzt sehr viel leichter folgen, indem Sie auf sie doppelklicken.
mm_updatenotes_09	Sie können jetzt Objekte bewegen und verschieben! Wählen Sie ein Objekt aus und doppelklicken Sie darauf.
mm_updatenotes_10	Viel Spaß mit den Verbesserungen!


############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	Schlamm
material_mud	Schlamm
material_yutaniwall	Wand (Yutani)










material_solacofloor	Solaco
material_gratefloor	Gitter

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree	Baum (schneebedeckte Konifere)


object_palmtree	Baum (Palme)
object_plant	Pflanze

object_bush	Strauch

object_streetlamp	Straßenlaterne

object_floodlight	Licht (Flutlicht)








object_bleachers	Nicht überdachte Tribüne
object_smallbench	Bank (klein)
object_smalltable	Tisch (klein)
object_showerpillar	Duschstange


object_doorMat	Fußmatte

object_GuardPavilion	Wachposten
object_GuardPavilionCorner	Wachposten (Ecke)

object_OfficeChair	Sessel (Büro)




















object_visitorDoor	Besuchertür
object_ironingBoardShort	Bügelbrett (klein)
object_fencegatestaff	Zauntor (Personal)
object_fencegatestandard	Zauntor (Standard)
object_fencegatevisitor	Zauntor (Besucher)












object_walllight	Wandlampe
object_securedoor	Tür (sicher)
object_secretdoor	Tür (geheim)



# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	Einfach nur Schlamm und der ist auch noch kostenlos!
buildtoolbar_popup_mat_yutaniwall	Errichten Sie Wände im Hightech-Look auf den Fundamenten, um so neue Bereiche oder Räume zu erschaffen. Passt gut mit dem Fracht- oder Solacoboden zusammen.

buildtoolbar_popup_mat_newbblockwall	Errichten Sie Wände aus Porenbetonstein auf den Fundamenten, um so neue Bereiche oder Räume zu erschaffen.
buildtoolbar_popup_mat_newbarredwall	Errichten Sie vergitterte Wandabschnitte auf den Fundamenten, um so neue Bereiche oder Räume zu erschaffen.
buildtoolbar_popup_mat_newtiledwall	Errichten Sie geflieste Wände auf den Fundamenten, um so neue Bereiche oder Räume zu erschaffen.
buildtoolbar_popup_mat_newhedgewall	Hohe, aber schwache Hecken. Sind eher hübsche Dekoration, als dass sie eine echte Sicherheitsmaßnahme darstellen.









buildtoolbar_popup_mat_solacofloor	Gibt unseren Gefängnisböden einen Hightech-Look. Passt wunderbar zu den Yutani-Wänden zusammen.
buildtoolbar_popup_mat_gratefloor	Gibt unseren Gefängnisböden einen Hightech-Look.
buildtoolbar_popup_mat_newcargofloor	Gibt unseren Gefängnisböden einen nach Maß gefertigten Look.
buildtoolbar_popup_mat_newironfloor	Gibt unseren Gefängnisböden einen nach Maß gefertigten Look.
buildtoolbar_popup_mat_newcheckeredfloor	Der würde sich wahrscheinlich gut in den Küchen oder Kantinen machen.
buildtoolbar_popup_mat_snow	Das ist wie Wasser, nur kälter und hübscher anzusehen.





buildtoolbar_popup_obj_snowyconifertree	Die würden am besten in eine winterliche Landschaft passen.


buildtoolbar_popup_obj_palmtree	Sie wachsen normalerweise nur auf trockenen Böden, aber hier können sie ganz nach Wunsch überall angepflanzt werden.


buildtoolbar_popup_obj_bush	Verleiht Außenbereichen ein freundlicheres Aussehen.

buildtoolbar_popup_obj_streetlamp	Damit können Straßen und Wege erleuchtet werden.

buildtoolbar_popup_obj_floodlight	Ein hoch angebrachtes Licht für den Außenbereich, das große Flächen - wie beispielsweise einen Hof - abdecken kann.








buildtoolbar_popup_obj_bleachers	Nicht überdachte Tribünen sind typisch für einen Gefängnishof. Gruppen von Häftlingen können hier Platz nehmen und ihre nächsten Schritte planen.
buildtoolbar_popup_obj_smallbench	Zum Sitzen.
buildtoolbar_popup_obj_smalltable	Um daran zu essen.
buildtoolbar_popup_obj_showerpillar	Der Standort sollte in der Mitte der Dusche sein, damit an jeder Seite ein Duschkopf installiert werden kann.


buildtoolbar_popup_obj_doorMat	Eine billige Fußmatte aus Gummi, die sich vielleicht vor Türöffnungen gut macht.


buildtoolbar_popup_obj_guardPavilion	Stellen Sie es im Hof und in offenen Bereichen auf, damit die Wachen und die bewaffneten Wachen Ihre Häftlinge im Auge behalten können.\n	Über das Einsatzmenü können Sie Wachen zuweisen.\n-Erhöht das Maß an Unterdrückung in diesem Bereich.\n-Die Wachen sind vor dem Wetter geschützt.
buildtoolbar_popup_obj_guardPavilionCorner	Stellen Sie es in den Hofecken und den Ecken von offenen Bereichen auf, damit die Wachen und die bewaffneten Wachen Ihre Häftlinge im Auge behalten können.\n	Über das Einsatzmenü können Sie Wachen zuweisen.\n-Erhöht das Maß an Unterdrückung in diesem Bereich.\n-Die Wachen sind vor dem Wetter geschützt.

buildtoolbar_popup_obj_officeChair	Ein Sessel für Personal, um an einem Büroschreibtisch zu sitzen.




















buildtoolbar_popup_obj_visitorDoor	Eine Tür, durch die Besucher das Gefängnis betreten können, ohne das eine Wache die Tür öffnen muss. Die Wachen und das Personal können sie ebenfalls benutzen, die Häftlinge allerdings nicht.
buildtoolbar_popup_obj_ironingBoardShort	Ein kürzeres Bügelbrett.
buildtoolbar_popup_obj_fencegatestaff	Ein Tor, das sich hervorragend mit den Zäunen macht, und genau wie eine Tür funktioniert.
buildtoolbar_popup_obj_fencegatestandard	Ein Tor, das sich hervorragend mit den Zäunen macht, und genau wie eine Tür funktioniert.
buildtoolbar_popup_obj_fencegatevisitor	Ein Tor, das sich hervorragend mit den Zäunen macht, und genau wie eine Tür funktioniert.












buildtoolbar_popup_obj_walllight	Eine Lampe im Bunkerstil, die an den Wänden aufgehängt werden kann.
buildtoolbar_popup_obj_securedoor	Eine für die Einzelhaftzellen entwickelte Tür mit einer Kommunikationsklappe. So können die Wachen Essen auf dem Tablett durch die Tür reichen, ohne die Zelle betreten zu müssen.


interfacedeployment_guards	Weisen Sie Wachen zu.
buildtoolbar_deployment_Guards	Weisen Sie Ihren Gefängnistrakten Wachen zu.

interfacedeployment_Dogs	Weisen Sie Hundeführer zu.
buildtoolbar_deployment_Dogs	Weisen Sie Ihren Gefängnistrakten Hundeführer zu.

interfacedeployment_ArmedGuards	Weisen Sie bewaffnete Wachen zu.
buildtoolbar_deployment_ArmedGuards	Weisen Sie Ihren Gefängnistrakten bewaffnete Wachen zu.

interfacedeployment_patrols	Weisen Sie Wachen zu.
buildtoolbar_deployment_Patrols	Weisen Sie Ihren Patrouillenrouten Wachen zu.

interfacedeployment_dogpatrols	Weisen Sie Hundeführer zu.
buildtoolbar_deployment_DogPatrols	Weisen Sie Ihren Patrouillenrouten Hundeführer zu.

interfacedeployment_armedpatrols	Weisen Sie bewaffnete Wachen zu.
buildtoolbar_deployment_ArmedPatrols	Weisen Sie Ihren Patrouillenrouten bewaffnete Wachen zu.

buildtoolbar_popup_help_Guards_1	Mit dem Wachen-Werkzeug können Sie Wachen in Zonen stationieren. Stationierte Wachen bewegen sich zufällig innerhalb ihrer zugeteilten Zone und erledigen entsprechende Aufgaben in diesem Bereich, z. B. das Öffnen von Türen.\n\n
buildtoolbar_popup_help_Guards_2	~Mit Linksklick erhöhen Sie die Anzahl der Hundeführer, die einer Zone zugeteilt sind. Mit Rechtsklick entfernen Sie eine Wache.\n\n
buildtoolbar_popup_help_Guards_3	^Tipps
buildtoolbar_popup_help_Guards_4	- Wenn Mikromanagement freigeschaltet ist, haben Sie Zugriff auf den Einsatzplaner, mit dem Sie einen Zeitplan erstellen können, entsprechend dem Wachen bestimmten Bereichen zugeteilt werden. Wenn Sie z. B. nur während der Essenszeiten Wachen in den Kantinen benötigen, können Sie im Zeitplan alle Blöcke anklicken, die Ihren Essenszeiten entsprechen, den Zeitregler in diesen Block bewegen und auf Ihre Kantine klicken, um die Wachen entsprechend zuzuteilen.
buildtoolbar_popup_help_Guards_5	- Für den Zeitplaner stehen bis zu 9 verschiedene Zeitblöcke sowie der Standardmodus „Immer aktiv“ zur Verfügung. So können Sie komplexe Einsatzpläne erstellen und diese genau an die Bedürfnisse Ihres Gefängnisses anpassen.
buildtoolbar_popup_help_Guards_6	- Wenn Sie beim Zuteilen von Hundeführern keinen Zeitblock auswählen, verwendet der Zeitplaner die aktuelle Uhrzeit. Achten Sie deshalb darauf, dass bei Änderungen Ihres Einsatzplans die richtige Zeit ausgewählt ist!

buildtoolbar_popup_help_Dogs_1	Mit dem Hundeführer-Werkzeug können Sie Hundeführer in Zonen stationieren. Stationierte Wachen bewegen sich zufällig innerhalb ihrer zugeteilten Zone und erledigen entsprechende Aufgaben in diesem Bereich, z. B. das Öffnen von Türen.\n\n
buildtoolbar_popup_help_Dogs_2	~Mit Linksklick erhöhen Sie die Anzahl der Hundeführer, die einer Zone zugeteilt sind. Mit Rechtsklick entfernen Sie einen Hundeführer.\n\n
buildtoolbar_popup_help_Dogs_3	^Tipps
buildtoolbar_popup_help_Dogs_4	- Wenn Mikromanagement freigeschaltet ist, haben Sie Zugriff auf den Einsatzplaner, mit dem Sie einen Zeitplan erstellen können, entsprechend dem Hundeführer bestimmten Bereichen zugeteilt werden. Wenn Sie z. B. nur während der Essenszeiten Hundeführer in den Kantinen benötigen, können Sie im Zeitplan alle Blöcke anklicken, die Ihren Essenszeiten entsprechen, den Zeitregler in diesen Block bewegen und auf Ihre Kantine klicken, um die Hundeführer entsprechend zuzuteilen.
buildtoolbar_popup_help_Dogs_5	- Für den Zeitplaner stehen bis zu 9 verschiedene Zeitblöcke sowie der Standardmodus „Immer aktiv“ zur Verfügung. So können Sie komplexe Einsatzpläne erstellen und diese genau an die Bedürfnisse Ihres Gefängnisses anpassen.
buildtoolbar_popup_help_Dogs_6	- Wenn Sie beim Zuteilen von Hundeführern keinen Zeitblock auswählen, verwendet der Zeitplaner die aktuelle Uhrzeit. Achten Sie deshalb darauf, dass bei Änderungen Ihres Einsatzplans die richtige Zeit ausgewählt ist!

buildtoolbar_popup_help_ArmedGuards_1	Mit dem Werkzeug für bewaffnete Wachen können Sie bewaffnete Wachen in Zonen stationieren. Stationierte Wachen bewegen sich zufällig innerhalb ihrer zugeteilten Zone und erledigen entsprechende Aufgaben in diesem Bereich, z. B. das Öffnen von Türen.\n\n
buildtoolbar_popup_help_ArmedGuards_2	~Mit Linksklick erhöhen Sie die Anzahl der Wachen, die einer Zone zugeteilt sind. Mit Rechtsklick entfernen Sie eine Wache.\n\n
buildtoolbar_popup_help_ArmedGuards_3	^Tipps
buildtoolbar_popup_help_ArmedGuards_4	- Wenn Mikromanagement freigeschaltet ist, haben Sie Zugriff auf den Einsatzplaner, mit dem Sie einen Zeitplan erstellen können, entsprechend dem bewaffnete Wachen bestimmten Bereichen zugeteilt werden. Wenn Sie z. B. nur während der Essenszeiten bewaffnete Wachen in den Kantinen benötigen, können Sie im Zeitplan alle Blöcke anklicken, die Ihren Essenszeiten entsprechen, den Zeitregler in diesen Block bewegen und auf Ihre Kantine klicken, um die bewaffneten Wachen entsprechend zuzuteilen.
buildtoolbar_popup_help_ArmedGuards_5	- Für den Zeitplaner stehen bis zu 9 verschiedene Zeitblöcke sowie der Standardmodus „Immer aktiv“ zur Verfügung. So können Sie komplexe Einsatzpläne erstellen und diese genau an die Bedürfnisse Ihres Gefängnisses anpassen.
buildtoolbar_popup_help_ArmedGuards_6	- Wenn Sie beim Zuteilen von bewaffneten Wachen keinen Zeitblock auswählen, verwendet der Zeitplaner die aktuelle Uhrzeit. Achten Sie deshalb darauf, dass bei Änderungen Ihres Einsatzplans die richtige Zeit ausgewählt ist!

interfacedeployment_PrioritizeArea	Bereich priorisieren (*X)
buildtoolbar_deployment_PrioritizeGuard	Verwenden Sie diese Option, damit zugewiesene Wachen die Abdeckung bestimmter Trakte in Ihrem Gefängnis priorisieren. Wenn Sie zu wenig Personal haben, werden die Wachen versuchen, die priorisierten Bereiche zuerst abzudecken. Es stehen zwei Prioritäten zur Auswahl: "Hoch" (>>) und "Sehr hoch" (>>>).

interfacedeployment_BluePatrol	Blaue Patrouille
buildtoolbar_deployment_BluePatrol	Sie können farbige Patrouillenroute miteinander überschneiden und ihnen separate Wachen zuweisen. Zum Erstellen einer blauen Patrouillenroute klicken Sie darauf und ziehen sie. Mit einem Rechtsklick und Ziehen können Sie sie wieder löschen. Verwenden Sie „Zuweisen“, um Wachen einer Patrouillenroute zuzuweisen.

interfacedeployment_MagentaPatrol	Violette Patrouille
buildtoolbar_deployment_MagentaPatrol	Sie können farbige Patrouillenroute miteinander überschneiden und ihnen separate Wachen zuweisen. Zum Erstellen einer magenta Patrouillenroute klicken Sie darauf und ziehen sie. Mit einem Rechtsklick und Ziehen können Sie sie wieder löschen. Verwenden Sie „Zuweisen“, um Wachen einer Patrouillenroute zuzuweisen.

interfacedeployment_PrioritizePatrol	Patrouille priorisieren
buildtoolbar_deployment_PrioritizePatrol	Verwenden Sie diese Option, damit zugewiesene Wachen die Abdeckung bestimmter Patrouillen in Ihrem Gefängnis priorisieren. Wenn Sie zu wenig Personal haben, werden die Wachen versuchen, die priorisierten Patrouillenrouten zuerst abzudecken. Es stehen zwei Prioritäten zur Auswahl: "Hoch" (>>) und "Sehr hoch" (>>>).

buildtoolbar_popup_filter_title	Liste filtern
buiildtoolbar_popup_filter_toggle	Zum Ein-/Ausschalten auf die Schaltfläche klicken
buildtoolbar_popup_filter_default	Standard
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	Im Besitz
buildtoolbar_popup_filter_costhighlow	Kosten (hoch-niedrig)
buildtoolbar_popup_filter_costlowhigh	Kosten (niedrig-hoch)
buildtoolbar_popup_filter_indooroutdoor	Innenbereich-Außenbereich
buildtoolbar_popup_filter_outdoorindoor	Außenbereich-Innenbereich
buildtoolbar_popup_filter_quantity	Anzahl im Besitz
buildtoolbar_popup_filter_byroom	Nach Raum






# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	DOPPELKLICK: Objekt bewegen

double_click_add_door	Doppelter Linksklick, um Türen hinzuzufügen.

codex_option_bureaucracyresearched	Bürokratie erforscht
codex_tooltip_bureaucracyresearched	Starten Sie ein neues Spiel, bei dem Ihr gesamter Bürokratiebaum vollständig erforscht ist.

codex_option_jungle	Dschungelbauland
codex_tooltip_jungle	Erzeugen Sie ein Anfangsbaugrundstück, das einem dichten Dschungel ähnelt.

codex_option_snowy	Schneebedecktes Bauland
codex_tooltip_snowy	Erzeugen Sie ein Anfangsbaugrundstück, das mit Schnee bedeckt ist.

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	Wäscht

action_Stretching	Trainiert
action_PlayChess	Spielt Schach


plant_tree_location	Baum pflanzen in *X

report_intake_cat_SuperMax	Höchste Sicherheitsstufe

interface_undo	umkehren

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	Fehler beim Speichern des Gefängnisses.
codex_changelog_next	Weiter >
codex_changelog_prev	< Zurück
codex_credits	Mitwirkende

codex_options_screenshotmode	Screenshotmodus
codex_tooltip_screenshotmode	Halten Sie im Screenshotmodus die [*K]-TASTE und drücken Sie [*E], um ALLE BENUTZEROBERFLÄCHEN und das HEAD-UP-DISPLAY ein- oder auszuschalten.
codex_sso_content_message	Sie haben sich erfolgreich für ein Paradox-Konto angemeldet.\n\nAls Dankeschön sind jetzt die neuen Wachpostentürme im Spiel freigeschaltet! Sie finden sie im Objektmenü.
codex_options_borderless_windowed	Randlos
codex_options_monitor	Monitor


# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	Anzeigemodus
codex_options_borderless_fullscreen	Randloser Vollbildmodus
codex_options_display_monitor	Anzeigemonitor
codex_options_windowed_resolution	Auflösung im Fenstermodus

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	Wand (Art Deco)
material_blueWall	Wand edel (Blaue Streifen)
material_burgundyWall	Wand edel (Burgunderrot)
material_greenWall	Wand edel (Grün)
material_orientalWall	Wand (Fernost)
material_cushionedwall	Wand (Gepolstert)

material_sandstone	Sandstein
material_limestonefloor	Kalkstein
material_blueCarpet	Teppich (Blau)
material_redCarpet	Teppich (Rot)
material_brownCarpet	Teppich (Braun)
material_paddedfloor	Gepolstert
material_grassstones	Gras und Steine
material_grasscornerfloor	Grasecke
material_grasscornerfloor1	Grasecke
material_grasscornerfloor2	Grasecke
material_grasscornerfloor3	Grasecke
material_lunarfloor	Lunar

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	Baum (Gruselig)
object_cactustree	Baum (Kaktus)
object_sakuratree	Baum (Sakura)
object_plantcactus	Pflanze (Kaktus)
object_tyrestack	Reifenstapel
object_lamp	Licht (Lampe)
object_bathroomSink	Waschbecken
object_bathroomHandDryer	Handtrockner
object_chestOfDrawers	Kommode
object_woodenStool	Holzhocker
object_woodenTable	Holztisch
object_bucket	Eimer
object_shortbookcase	Bücherregal (Kurz)
object_outdoorTable	Tisch für Außenbereich
object_mooseHead	Elchkopf
object_toiletSign	Schild (Toilette)
object_rightArrowSign	Schild (Pfeil rechts)
object_leftArrowSign	Schild (Pfeil links)
object_infirmarySign	Schild (Krankenstation)
object_canteenSign	Schild (Kantine)
object_showerSign	Schild (Duschen)
object_armourySign	Schild (Waffenkammer)
object_jaildoorred	Gefängnistür (rot)
object_jaildoorgrey	Gefängnistür (grau)
object_jaildoororange	Gefängnistür (orange)
object_jaildoorYellow	Gefängnistür (gelb)
object_jaildoorlargered	Große Gefängnistür (rot)
object_jaildoorlargegrey	Große Gefängnistür (grau)
object_jaildoorlargeorange	Große Gefängnistür (orange)
object_jaildoorlargeyellow	Große Gefängnistür (gelb)
object_coatstand	Kleiderständer
object_dogbowl	Hundenapf
object_footbridge	Laufbrücke
object_footbridgesteel	Stahl-Laufbrücke
object_footbridgeb	Laufbrücke B
object_footbridgesteelb	Stahl-Laufbrücke B
object_windowclassy	Fenster edel
object_windowclassyLarge	Fenster edel (Groß)
object_gravestone	Grabstein
object_psychiatrist	Psychiater
object_orderly	Krankenpfleger
object_rorschachTest	Rorschachtest
object_anatomyModel	Anatomiemodell
object_flipboard	Flipchart
object_medicineCabinetPsych	Arzneischrank
object_leatherchair	Ledersessel
object_leatherSofa	Ledersofa
object_parkbench	Bank (Park)
object_fencegateguard	Zauntor (Wache)
object_oaktable	Tisch (Eiche)
object_oakbench	Bank (Eiche)
object_BoomBoxRoundHouse	Ghettoblaster


object_classic	Klassisch
object_dalmation	Dalmatiner
object_husky	Husky
object_companion	Gefährte
object_cat	Katze
object_direwoof	Schattenwuff

equipment_fountainPen	Füllfederhalter
equipment_goldPocketWatch	Goldene Taschenuhr
equipment_sedativeShot	Beruhigungsspritze (Spritze)
equipment_sedativesyringe	Beruhigungsmittel (Spritze)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	Errichten Sie Wände im Art-Deco-Look, um das Gefängnis im Design der 20er zu schmücken.
buildtoolbar_popup_mat_blueWall	Errichten Sie edle Wände auf den Fundamenten, um neue Personalbereiche und Räume zu erschaffen.
buildtoolbar_popup_mat_burgundywall	Errichten Sie edle Wände auf den Fundamenten, um neue Personalbereiche und Räume zu erschaffen.
buildtoolbar_popup_mat_greenwall	Errichten Sie edle Wände auf den Fundamenten, um neue Personalbereiche und Räume zu erschaffen.
buildtoolbar_popup_mat_orientalwall	Errichten Sie Wände im Fernost-Stil, um dem Gefängnis einen japanischen Look zu verpassen.
buildtoolbar_popup_mat_cushionedwall	Errichten Sie Wandabschnitte auf den Fundamenten, um so neue Bereiche oder Räume mit einem teuren Lederlook zu erschaffen.
buildtoolbar_popup_mat_sandstone	Legen Sie die Außenbereiche mit Sandsteinplatten aus.
buildtoolbar_popup_mat_limestonefloor	Fußboden im klassischen Kalkstein-Look.
buildtoolbar_popup_mat_blueCarpet	Legen Sie gemütlichen Teppich aus. Ideal für Personalräume.
buildtoolbar_popup_mat_redCarpet	Legen Sie gemütlichen Teppich aus. Ideal für Personalräume.
buildtoolbar_popup_mat_brownCarpet	Legen Sie gemütlichen Teppich aus. Ideal für Personalräume.
buildtoolbar_popup_mat_paddedfloor	Passt zu den gepolsterten Wänden und erschafft eine komplett gepolsterte Zelle für psychisch kranke Häftlinge.
buildtoolbar_popup_mat_grassstones	Grasbedeckte Fläche mit Steinplatten.
buildtoolbar_popup_mat_grassscornerfloor	Eine Grasecke mit Dreck. Ideal für verwinkelte Wege.
buildtoolbar_popup_mat_lunarfloor	Felsige Oberfläche mit einem interstellaren Look.
buildtoolbar_popup_obj_spookytree	Ein unheimlicher alter Baum.
buildtoolbar_popup_obj_cactustree	Eignet sich am Besten für eine trockene Landschaft.
buildtoolbar_popup_obj_sakuratree	Ein wunderschöner Kirschbaum mit pinkfarbenen Blüten.
buildtoolbar_popup_obj_plant	Eine ansprechende Zimmerpflanze.
buildtoolbar_popup_obj_plantcactus	Eingetopfte Kaktuspflanze.
buildtoolbar_popup_obj_tyrestack	Fungiert als kleine Mauer, die Häftlinge und Personal umgehen müssen.
buildtoolbar_popup_obj_lamp	Verzierte Stehlampe, ideal geeignet für Büros und Personalräume.
buildtoolbar_popup_obj_bathroomSink	Darf in keinem Badezimmer fehlen.
buildtoolbar_popup_obj_bathroomHandDryer	Passt perfekt zu einem Waschbecken.
buildtoolbar_popup_obj_chestOfDrawers	Schöne Holzkommode.
buildtoolbar_popup_obj_woodenStool	Würde gut zu einem Holztisch passen.
buildtoolbar_popup_obj_woodenTable	Würde gut zu einem Holzhocker passen.
buildtoolbar_popup_obj_bucket	Ein einfacher Eimer.
buildtoolbar_popup_obj_shortbookcase	Ein kurzes Bücherregal.
buildtoolbar_popup_obj_outdoorTable	Tisch für den Außenbereich, an dem Häftlinge sitzen und essen können.
buildtoolbar_popup_obj_mooseHead	Ein perfekt präparierter Elchkopf an einer Tafel.
buildtoolbar_popup_obj_toiletSign	Wandschild mit Toilettensymbol.
buildtoolbar_popup_obj_rightArrowSign	Wandschild mit einem nach rechts zeigenden Pfeil.
buildtoolbar_popup_obj_leftArrowSign	Wandschild mit einem nach links zeigenden Pfeil.
buildtoolbar_popup_obj_infirmarySign	Wandschild mit einem Symbol für die Krankenstation.
buildtoolbar_popup_obj_canteenSign	Wandschild mit Kantinensymbol.
buildtoolbar_popup_obj_showerSign	Wandschild mit einem Duschsymbol.
buildtoolbar_popup_obj_armourySign	Wandschild mit einem Symbol für die Waffenkammer.
buildtoolbar_popup_obj_jaildoorred	Farbige Gefängnistür, mit der Sie Zellenblöcke der hohen Sicherheitsstufe markieren können.
buildtoolbar_popup_obj_jaildoorgrey	Farbige Gefängnistür, mit der Sie Zellenblöcke der niedrigen Sicherheitsstufe markieren können.
buildtoolbar_popup_obj_jaildoororange	Farbige Gefängnistür, mit der Sie Zellenblöcke der mittleren Sicherheitsstufe markieren können.
buildtoolbar_popup_obj_jaildooryellow	Farbige Gefängnistür, mit der Sie Zellenblöcke für Schutzhaft markieren können.
buildtoolbar_popup_obj_jaildoorlargered	Große farbige Gefängnistür, mit der Sie Zellenblöcke der hohen Sicherheitsstufe markieren können.
buildtoolbar_popup_obj_jaildoorlargegrey	Große farbige Gefängnistür, mit der Sie Zellenblöcke der niedrigen Sicherheitsstufe markieren können.
buildtoolbar_popup_obj_jaildoorlargeorange	Große farbige Gefängnistür, mit der Sie Zellenblöcke der mittleren Sicherheitsstufe markieren können.
buildtoolbar_popup_obj_jaildoorlargeYellow	Große farbige Gefängnistür, mit der Sie Zellenblöcke für Schutzhaft markieren können.
buildtoolbar_popup_obj_coatstand	Ablage für Mäntel und Hüte des Personals.
buildtoolbar_popup_obj_dogbowl	Wasser und Futter für müde Wachhunde.\nErhöht in geringfügigem Maße die Ausdauer eines Hundes.
buildtoolbar_popup_obj_secretdoor	Als Bücherregal getarnte Geheimtür, die sich aufschiebt, um Personal durchzulassen.
buildtoolbar_popup_obj_parkbench	Parkbank für den Außenbereich.
buildtoolbar_popup_obj_fencegateguard	Ein Tor, das sich hervorragend mit Zäunen macht, die nur von Wachen geöffnet werden können.
buildtoolbar_popup_obj_oaktable	Super zum Essen.
buildtoolbar_popup_obj_oakbench	Super zum Sitzen. Passt perfekt zum Eichentisch.

buildtoolbar_popup_obj_classic	Alt, aber erfahren – der originale Wachhund.
buildtoolbar_popup_obj_dalmation	War ursprünglich auf einer Farm tätig und arbeitet jetzt bei der Fluchtprävention.
